year,subject,microtopic,questions
2013,General Studies II,"The Judiciary: integrated judicial system, Supreme Court composition/independence/jurisdiction/judicial-review/curative-petition, High Courts, lower judiciary, judicial appointments (collegium system, NJAC controversy), judicial accountability and corruption issues, PIL, judicial activism, and alter",1
2013,General Studies II,"Poverty, hunger and health governance: evaluation of schemes (MGNREGA, PM-POSHAN, Ayushman Bharat) and policies (NHP, NEP) against poverty/hunger/health/malnutrition/unemployment/distress-migration",1
2013,General Studies II,Right to Education Act's access-expansion vs persistent quality challenge; MGNREGA's asset-creation and distress-migration-reduction performance; National Rural Health Mission's implementation challenges; TPDS's effectiveness in reaching 'the poorest of the poor',1
2013,General Studies II,"Political parties in India: reforms, problems in functioning, casteism and politics, anti-defection strengthening, and coalition-government dynamics",1
2013,General Studies II,"Elections in India: salient features of the Representation of People Acts 1950/1951, electoral reforms, criminalization of politics, negative/neutral voting, state funding of elections, irregularities in polling, and electoral bonds",1
2013,General Studies II,"Constitutional Bodies: appointment transparency (CEC/EC selection process, CAG appointment/functions/powers), tenure security, and functional independence",1
2013,General Studies II,"Pressure groups and formal/informal associations: types, significance, distinction from political parties, politicisation of pressure groups, and their evolving role via new media",1
2013,General Studies II,"Multilateral relations: WTO (decision-making, Nairobi Package, IPR, reforms, agriculture issues, FTAs), IMF and reforms, nuclear-security architecture (NSG, MTCR, NPT), BRICS/BIMSTEC/IBSA/SAARC, India-ASEAN economic cooperation",1
2013,General Studies II,Civil-society organisations' impact on public policy formulation; FCRA compliance tightening and civil-society funding constraints; SHG federated models scaling beyond microfinance into market linkages,1
2013,General Studies II,"Security challenges in the Indian Ocean Region: US pivot to Asia, South China Sea mistrust, Somalia piracy, neighbourhood terrorism, energy routes, fisheries/livelihood issues, environmental security, and Indian Ocean 'Zone of Peace' declaration",1
2013,General Studies II,'Health for All' target vs structural health-infrastructure gaps; rising out-of-pocket health expenditure; commercialization of healthcare vs universal affordable public care,1
2013,General Studies II,"Amendment process: the Constitution's dynamic/'living document' nature (Article 368), Basic Structure Doctrine as a judicial 'safety valve', and different majority-types required",1
2013,General Studies II,"Local government: 73rd/74th Amendment provisions, functions of municipal corporations/councils/nagar panchayats, State Election/Finance Commission roles, Smart City Mission and municipal governance, Model Panchayat Citizens Charter",1
2013,General Studies II,"India and neighbours: Nepal (water/hydropower cooperation, contentions, recommendations), Bhutan (economic overview, China issues), Afghanistan (development partnership, post-NATO options, Taliban presence), Bangladesh (development partnership, boundary agreements, Teesta dispute), Maldives (geostra",1
2013,General Studies III,Venture capital's role in tech-startup growth; IP piracy's impact on creative/tech industries; biotechnology's lab-to-commercial-scale constraints; SEZs vs Chinese industrial models; PLI-scheme execution and labour absorption; stressed-asset management via bad banks,4
2013,General Studies III,"Structural growth debates: savings rate/investment pattern/capital-output ratio as growth levers, manufacturing's limited capacity to absorb agricultural surplus labour, direct-tax reform and tax-to-GDP widening, GDP's agriculture-to-services shift without a manufacturing base, and the 'jobless grow",3
2013,General Studies III,Landslide vulnerability of the Western Ghats and Himalayas: causes and mitigation strategies; institutional setups for chemical/industrial disaster management in urban-fringe clusters; cloudburst phenomenon and mountain-ecosystem vulnerability; multi-hazard resource-allocation dilemmas during live d,2
2013,General Studies III,"Public Distribution System: objectives, functioning, limitations, revamping from universal to targeted PDS, cost-benefit analysis, buffer-stock policy, and the Food Security Bill's resource-mobilization/criticism debate",1
2013,General Studies III,"Social media and internal-security threats: regulation challenges, AI's dual role, and monitoring difficulties",1
2013,General Studies III,"Nuclear energy: reaction types, civil/military applications, fuel cycle and centrifugation, reactor types, India's nuclear policy, radioactive-waste management, nuclear/radiological disaster preparedness, and institutions (DAE, AERB, BARC, IGCAR)",1
2013,General Studies III,"Maritime & space security: anti-maritime-piracy law, maritime-security developments in the IOR, drone attacks on merchant vessels, Gaganyaan-linked space security, Indo-Pacific/QUAD developments",1
2013,General Studies III,Cold-chain and price-volatility management: long-term cold-chain solutions for vegetable-price volatility; MSP's role in food security and cropping-pattern impact; farm subsidies' impact on state fiscal health and environmental degradation,1
2013,General Studies III,"Infrastructure: economic/social/environmental impact of infrastructure, transport (ports, inland waterways, roads, National Infrastructure Pipeline, Bharatmala, airports, railways, energy pipelines), negative externalities of transport, ownership/financing/pricing of public utilities, PPP project de",1
2013,General Studies III,"Banking: structure/functions, RBI and bank types (public/private/foreign/regional-rural/local-area/specialized/small-finance/payments banks), nationalization history, banking-sector reform committees (Narasimhan, Nachiket Mor, P J Nayak), development-finance institutions, new bank-licence criteria, ",1
2013,General Studies III,"Technology in agriculture: data revolution, AI applications, social-security schemes for farmers (climate-smart agriculture, precision farming for input-wastage mitigation)",1
2013,General Studies III,Data security and the Justice B.N. Srikrishna Committee Report on personal data protection; drug trafficking's linkage to gunrunning/human trafficking; NPAs as a structural drag on the credit cycle for infrastructure,1
2013,General Studies III,"Linkage between development and extremism: Left-Wing Extremism's stated purpose, its resonance with common people, Covid-19's effect on Naxalism, why LWE is deemed the biggest internal-security threat, and its nexus with illegal mining in forest tracts",1
2013,General Studies III,"Internal security challenges: social diversity as a security issue, neighbourhood-origin threats, non-state actors, global vulnerability indices, and the law-and-order vs internal-security distinction",1
2013,General Studies III,"Money laundering and black money: meaning and harmful effects of money laundering, PMLA 2002 provisions as a check on organized crime/terror-financing, parallel economy dimensions, demonetisation's impact on black money, and cross-border money-laundering coordination challenges",1
2013,General Studies III,Cyber warfare: factors aggravating cyber attacks and recent initiatives to tackle cyber warfare; structural/command changes needed for urban asymmetric-warfare threats,1
2013,General Studies III,"External sector & global economy: foreign-investment decline, de-dollarisation, global debt crisis, forex reserves, US-China trade war impact, India-Japan/EaEU FTAs, recession case studies (UK/Japan), Red Sea crisis, El Nino climate risk to growth",1
2013,General Studies III,"Security challenges in border areas: challenges to border management, community-participation approaches, non-demarcated border segments, and eastern-border illegal-migration security challenges",1
2013,General Studies III,"Environment-related institutions and schemes: Pollution Control Boards, NGT, Forest Survey of India, National Board for Wildlife, Ecomark, National Afforestation Programme, National Mission for Clean Ganga, National Air Quality Index, UJALA, Bharat Stage norms, FAME",1
2013,General Studies III,"Environmental Impact Assessment: executing body, effects analysed, EIA process, and the EIA notification of 1984 (procedural evolution)",1
2013,General Studies IV,Frequently cited quotation-anchors for ethics answer-writing: Gandhi's 'Seven Sins' and 'the weak can never forgive'; Socrates' 'an unexamined life is not worth living'; Nehru on awakening women as key to awakening the nation; Jefferson's 'honesty is the first chapter in the book of wisdom' (intelle,2
2013,General Studies IV,"Significance of public-service values (objectivity, dedication, tolerance) in a multi-cultural society like India; corruption in public life as a systemic failure rather than purely individual moral decay",2
2013,General Studies IV,Importance of EI at the workplace and in civil services; components of EI applied to conflict resolution and crisis-time administrative communication,1
2013,General Studies IV,Human values: socialization and individual personality/value formation; values and skill; fundamental vs instrumental values; democratic values,1
2013,General Studies IV,"Case studies: development vs displacement/environment trade-offs: environmental clearance vs displacement/pollution trade-offs, court-ordered demolition vs livelihood/political pressure, factory-closure aftermath (unemployment vs environmental enforcement)",1
2013,General Studies IV,Moral and political attitude formation; distinguishing 'attitude' from 'belief' and how cognitive dissonance affects internal alignment,1
2013,General Studies IV,"Case studies: crisis & resource-allocation dilemmas: drought-relief tanker capture by a 'tanker mafia', disaster resource-allocation triage (elite vs marginalised site), law-and-order vs root-cause balancing (illicit liquor), government-doctor private-practice neglect with union-strike threat",1
2013,General Studies IV,"Case studies: whistleblowing, disclosure & confidentiality dilemmas: whistleblower/suspect pleading humanitarian delay, workplace-harassment complaint with a confidentiality request, industrial-pollution complaint against a politically-connected employer",1
2013,General Studies IV,Structural flaws in asset-disclosure regulations for public officials and their effectiveness against illegal wealth generation; whether public asset-declaration has improved governance,1
2013,General Studies IV,"Case studies: welfare-access & exclusion dilemmas: digital/biometric exclusion of a genuine welfare beneficiary, biometric-mandate exclusion of poor/labour children, eligibility-criteria strict-rule-vs-humane-exception dilemmas",1
2013,General Studies IV,"Indian moral/spiritual exemplars used as case anchors: Mahatma Gandhi, Dr S. Radhakrishnan, Rabindranath Tagore, Swami Dayanand Saraswati, Mahadeva Govinda Ranade, Sri Aurobindo, Swami Vivekananda, Sardar Patel, B.R. Ambedkar, Raja Ram Mohan Roy, Chhatrapati Shahu Maharaj, Kautilya's classical admin",1
2013,General Studies IV,"Case studies: public-safety & procurement dilemmas under pressure: infrastructure-safety cover-up under election-timeline pressure, defence-procurement L1-vs-clean-bidder dilemma, clinical-trial consent violations vs public-health urgency",1
2013,General Studies IV,"Case studies: public-service integrity & corruption dilemmas: welfare-scheme 'ghost beneficiary' fraud amid caste sensitivities, law-enforcement bribery from an illegal-mining network, superior's personal-gain conflict-of-interest request, tax officer's technical-vs-substantial-compliance discretion",1
2013,General Studies IV,"Essence, determinants and consequences of ethics in human actions; approaches to ethical study (Indian vs Western perspectives); basic concepts of morality and value",1
2013,General Studies IV,"Technology & AI ethics (case studies): drone ethics, AI ethics (in healthcare, creativity, human rights), technological ethics (facial recognition, crypto-mining, brain-computer interfaces), ethics in Digital Public Infrastructure, online-gaming/mining ethics",1
2013,General Studies IV,Consequentialist vs Deontological (Kantian) moral boundaries in public-administration execution; Utilitarianism's concept and its critique when applied to minority protection,1
2014,General Studies I,"Resource geopolitics: Arctic ice-melt causes/consequences, Arctic resource-driven geopolitical conflict, and mineral resource base as determined by geological structure",1
2014,General Studies I,"Indus Valley Civilization: major cities and town-planning, internal/foreign trade, agriculture, domestication, crafts, weights and measures, script, society, religion, economy, burial system, and decline",1
2014,General Studies I,"Agricultural geography: land-use/capability classification, land degradation, cropping seasons/patterns/regionalization, infrastructure factors (seeds, fertilizers, irrigation), agricultural revolutions, labour, price policy, marketing, insurance, agricultural census, major crop conditions-of-growth",1
2014,General Studies I,Taxila as a renowned centre of scholarship and the strategic-location factors behind its ruin,1
2014,General Studies I,"Evolution of Buddhist stupas (Sanchi, Amravati) and Gandhara, Mathura, Amravati schools of art; Gandhara sculpture's dual debt to Roman/Greek traditions",1
2014,General Studies I,"Plate tectonics: lithospheric plates (major/minor), plate boundary types (divergent/convergent/transform), rates and forces of plate movement, and the Indian plate's 71-million-year movement history",1
2014,General Studies I,"Water resources: underground/surface/inland/oceanic water resources, utilization patterns, water pollution, conservation techniques, river-interlinking projects, and the problem of ageing dams",1
2014,General Studies I,"French Revolution: causes, course, France under Napoleon, impact and significance for the modern world",1
2014,General Studies I,Bhakti and Sufi movements: reach across age/gender/religious barriers; Sri Chaitanya's re-orientation; Vaishnava Acharyas' metaphysical foundations; Maharashtra Dharma; Brahmo Samaj and Ramakrishna Mission as 19th-century reform continuities,1
2014,General Studies I,"Role of women's organizations and SHGs in Indian history: types, level of penetration, problems faced, and the role of microfinance institutions",1
2014,General Studies I,"Colonial land revenue systems (Permanent Settlement, Ryotwari, Mahalwari), commercialization of agriculture, and economic drain theory",1
2014,General Studies I,"World War II: foundations, course, aftermath, analysis, and the decolonization phase",1
2014,General Studies I,"Mineral and energy resources: metallic/non-metallic mineral types, distribution and mining regions, ferrous/non-ferrous metal production and trade, energy classification, conventional energy sources (coal, petroleum, natural gas, hydro-electricity), atomic energy (uranium/thorium), renewable energy ",1
2014,General Studies I,Mid-18th century fragmented polity and the decline of the Mughal empire; Panipat as a recurring site of empire-shaking battles,1
2014,General Studies I,"Secularism: meaning, the Indian constitutional vantage point, comparison with the Western model, Gandhian view on religion, and threats to the secular spirit",1
2014,General Studies I,"Oceanography: hydrological cycle, ocean floor relief (continental shelf/slope, deep sea plain, trenches, mid-oceanic ridges, seamounts, submarine canyons, guyots, atolls), ocean water temperature/salinity/density distribution, tides and tidal currents, ocean currents (surface/deep, warm/cold) and th",1
2014,General Studies I,"Climatology: atmospheric composition and structure (exosphere to troposphere), insolation and heat balance, temperature distribution and inversion, atmospheric pressure and wind systems (pressure gradient/frictional/Coriolis forces), general/global circulation (Hadley/Ferrel/Polar cells), air masses",1
2014,General Studies I,The 1946 Naval Mutiny as 'the last nail in the coffin' of colonial rule,1
2014,General Studies I,"Earthquakes: types, causes, effects, frequency, epicentre location, global distribution, and observatories",1
2014,General Studies I,"Effects of globalization on Indian society: kinds of impact (economic, political, developmental, socio-cultural) and whether the impact is solely positive or negative",1
2014,General Studies I,"Communalism and social consolidation: secularism, causes and consequences of communalism, issue of linguistic minorities (operational inefficiency and government initiatives)",1
2014,General Studies II,"Amendment process: the Constitution's dynamic/'living document' nature (Article 368), Basic Structure Doctrine as a judicial 'safety valve', and different majority-types required",2
2014,General Studies II,"Major powers: Russia (strategic cooperation, Russia-China impact on India), China (economic relations, water disputes, String of Pearls, Maritime Silk Route/BRI implications, border disputes, South China Sea, CBMs), USA (strategic consultations, counter-terrorism, trade, energy/climate, S&T/space, d",1
2014,General Studies II,"Global governance & multilateral institutions: minilateralism, International Health Regulations amendment, UN peacekeeping and India, ICC and the Israel-Hamas dispute, UNSC and G4, WTO reform crises, Global South leadership, G20 and India",1
2014,General Studies II,"Governance, infrastructure & consumer welfare: vehicle scrappage, right to repair, land-records modernization, ULB capacity building, consumer protection, disability-inclusive urban infrastructure",1
2014,General Studies II,"Constitutional bodies: Election Commission, UPSC, State PSC, Finance Commission, GST Council, National Commission for SCs/STs, Special Officer for Linguistic Minorities, National Commission for Backward Classes; Non-Constitutional Bodies: NITI Aayog",1
2014,General Studies II,'Health for All' target vs structural health-infrastructure gaps; rising out-of-pocket health expenditure; commercialization of healthcare vs universal affordable public care,1
2014,General Studies II,"e-Governance: introduction, applications, models, successes/limitations/future prospects, dashboards/portals, democracy-and-e-governance linkage, and e-governance in the judiciary/legislature",1
2014,General Studies II,"Poverty and hunger: definitional debates across committees, poverty data, causes, urban vs rural vs feminized poverty, poverty-alleviation measures and implementation problems, food-security programmes, and controversies in poverty-data estimation",1
2014,General Studies II,The National Commission for SCs (constitutional-reservation enforcement including in religious-minority institutions); Rights of Persons with Disabilities Act 2016's administrative-capacity adequacy; National Commission for Women's strategizing capacity; need for an objective outcome-based review of,1
2014,General Studies II,"The Judiciary: integrated judicial system, Supreme Court composition/independence/jurisdiction/judicial-review/curative-petition, High Courts, lower judiciary, judicial appointments (collegium system, NJAC controversy), judicial accountability and corruption issues, PIL, judicial activism, and alter",1
2014,General Studies II,"Role of civil services in a democracy: concept and need for civil services, law-making role (policy formulation/implementation/evaluation), civil services as protector of minorities and promoter of inclusive growth, emerging challenges (lateral entry, capacity building, frequent transfers, cadre pol",1
2014,General Studies II,"Local government: 73rd/74th Amendment provisions, functions of municipal corporations/councils/nagar panchayats, State Election/Finance Commission roles, Smart City Mission and municipal governance, Model Panchayat Citizens Charter",1
2014,General Studies II,"Multilateral relations: WTO (decision-making, Nairobi Package, IPR, reforms, agriculture issues, FTAs), IMF and reforms, nuclear-security architecture (NSG, MTCR, NPT), BRICS/BIMSTEC/IBSA/SAARC, India-ASEAN economic cooperation",1
2014,General Studies II,"Global institutions: UN structure (UNGA, UNSC and India's candidacy, ECOSOC), ICJ, UN specialised agencies (FAO, ICAO, ILO, IMO, ITU, UNESCO, IFAD, WHO, WMO, WIPO), World Bank",1
2014,General Studies II,"India and Asian nations: Central Asian republics (Turkmenistan, Kazakhstan, Tajikistan; China's role; International North-South Transport Corridor; SCO), Mongolia, UAE, Iran (nuclear deal, US geo-economic considerations), Israel-Palestine and India-Israel relations, Saudi Arabia, Asia-Pacific groupi",1
2014,General Studies II,"Vice-President and Prime Minister: office, functions, appointment, and role vis-a-vis Council of Ministers/President/Lok Sabha/political party/coalition government",1
2014,General Studies II,"Pressure groups and formal/informal associations: types, significance, distinction from political parties, politicisation of pressure groups, and their evolving role via new media",1
2014,General Studies II,"Poverty, hunger and health governance: evaluation of schemes (MGNREGA, PM-POSHAN, Ayushman Bharat) and policies (NHP, NEP) against poverty/hunger/health/malnutrition/unemployment/distress-migration",1
2014,General Studies III,Cold-chain and price-volatility management: long-term cold-chain solutions for vegetable-price volatility; MSP's role in food security and cropping-pattern impact; farm subsidies' impact on state fiscal health and environmental degradation,2
2014,General Studies III,"Structural growth debates: savings rate/investment pattern/capital-output ratio as growth levers, manufacturing's limited capacity to absorb agricultural surplus labour, direct-tax reform and tax-to-GDP widening, GDP's agriculture-to-services shift without a manufacturing base, and the 'jobless grow",2
2014,General Studies III,"Linkage between development and extremism: Left-Wing Extremism's stated purpose, its resonance with common people, Covid-19's effect on Naxalism, why LWE is deemed the biggest internal-security threat, and its nexus with illegal mining in forest tracts",1
2014,General Studies III,Landslide vulnerability of the Western Ghats and Himalayas: causes and mitigation strategies; institutional setups for chemical/industrial disaster management in urban-fringe clusters; cloudburst phenomenon and mountain-ecosystem vulnerability; multi-hazard resource-allocation dilemmas during live d,1
2014,General Studies III,"Inclusive growth: meaning and concept of inclusion, India's inclusion experience, social-sector initiatives, ground reality of flagship schemes, rural-economy-based growth, sustainable agriculture/food-security linkage, PDS as a growth tool, financial inclusion, poverty-alleviation-and-employment st",1
2014,General Studies III,"Industrial & sectoral policy: National Mission on Edible Oil, Zero Defect Zero Effect scheme, natural-gas-marketing reforms, telecom-sector issues, fertiliser shortage, shift to green energy",1
2014,General Studies III,"Public Distribution System: objectives, functioning, limitations, revamping from universal to targeted PDS, cost-benefit analysis, buffer-stock policy, and the Food Security Bill's resource-mobilization/criticism debate",1
2014,General Studies III,Cyber warfare: factors aggravating cyber attacks and recent initiatives to tackle cyber warfare; structural/command changes needed for urban asymmetric-warfare threats,1
2014,General Studies III,"Land reforms: colonial-era ownership patterns (Zamindari, Ryotwari, Mahalwari), objectives and progress since Independence, ceiling-legislation progress, NITI Aayog's land-leasing report, and the SVAMITVA scheme",1
2014,General Studies III,"Marine & coastal ecosystem degradation: mangrove-ecosystem IUCN reports, Great Barrier Reef coral bleaching, Arctic Ocean marine heatwaves, coastal erosion, riverine deoxygenation, El Nino's impact on world lakes",1
2014,General Studies III,"Various security forces and their mandate: Assam Rifles, BSF, ITBP, CISF, CRPF, NSG, integrated theatre commands, National Maritime Security Coordinator, and paramilitary-force issues; CAPF deployment-related Centre-State tension and modernization funding gaps",1
2014,General Studies III,"Space technology: orbit types, launch-vehicle classification, major agencies (ISRO, NASA, ESA, Roscosmos, JAXA, CNSA) and their missions, ISRO's national-development role, private-sector/PPP participation, cryogenics/nanosatellites/electric propulsion, satellite communication, remote sensing, naviga",1
2014,General Studies III,"Intellectual Property Rights: concept, types, international agreements/institutions, IPR regime in India, and the National IPR Policy",1
2014,General Studies III,"Government budgeting: budget/Economic Survey terminology, types of budgets, outcome budgeting, railway-general budget merger, budgeting flaws, budget analysis, and subsidy design; the FRBM Act's effectiveness in maintaining macroeconomic stability",1
2014,General Studies III,"Security challenges in border areas: challenges to border management, community-participation approaches, non-demarcated border segments, and eastern-border illegal-migration security challenges",1
2014,General Studies III,"Money laundering and black money: meaning and harmful effects of money laundering, PMLA 2002 provisions as a check on organized crime/terror-financing, parallel economy dimensions, demonetisation's impact on black money, and cross-border money-laundering coordination challenges",1
2014,General Studies III,"Nanoscience and nanotechnology: basics, nanomaterials, applications (medicine, semiconductors, food, textiles, sustainable energy, environment, transport, space, agriculture) and adverse health/environmental/ethical impacts",1
2014,General Studies III,"Disaster management, preparedness and mitigation: community-based management, government initiatives, National Disaster Management Act 2005, global DRR frameworks (Sendai vs earlier Hyogo Framework), disaster insurance, media's role, gender-sensitive disaster response, disaster-management cycle, NGO",1
2014,General Studies III,"Food processing and related industries: scope and significance, location, upstream/downstream requirements, supply-chain management, Mega Food Parks, FDI policy, notable sector trends, and budget/policy strategies",1
2014,General Studies IV,"Case studies: development vs displacement/environment trade-offs: environmental clearance vs displacement/pollution trade-offs, court-ordered demolition vs livelihood/political pressure, factory-closure aftermath (unemployment vs environmental enforcement)",2
2014,General Studies IV,"Case studies: public-safety & procurement dilemmas under pressure: infrastructure-safety cover-up under election-timeline pressure, defence-procurement L1-vs-clean-bidder dilemma, clinical-trial consent violations vs public-health urgency",2
2014,General Studies IV,Frequently cited quotation-anchors for ethics answer-writing: Gandhi's 'Seven Sins' and 'the weak can never forgive'; Socrates' 'an unexamined life is not worth living'; Nehru on awakening women as key to awakening the nation; Jefferson's 'honesty is the first chapter in the book of wisdom' (intelle,2
2014,General Studies IV,Empathy and compassion as values distinguishing a pro-poor administrator from a status-quoist one; consequences of political alignment by bureaucrats,2
2014,General Studies IV,"Case studies: public-service integrity & corruption dilemmas: welfare-scheme 'ghost beneficiary' fraud amid caste sensitivities, law-enforcement bribery from an illegal-mining network, superior's personal-gain conflict-of-interest request, tax officer's technical-vs-substantial-compliance discretion",1
2014,General Studies IV,"Case studies: crisis & resource-allocation dilemmas: drought-relief tanker capture by a 'tanker mafia', disaster resource-allocation triage (elite vs marginalised site), law-and-order vs root-cause balancing (illicit liquor), government-doctor private-practice neglect with union-strike threat",1
2014,General Studies IV,Values and ethics in government; the family's contribution to value education; role of family/society/educational institutions in inculcating values,1
2014,General Studies IV,Structural flaws in asset-disclosure regulations for public officials and their effectiveness against illegal wealth generation; whether public asset-declaration has improved governance,1
2014,General Studies IV,"Can an administrator succeed on aptitude alone, without integrity? — the integrity-vs-competence debate; impartiality maintenance under political transfer-posting pressures",1
2014,General Studies IV,"Western philosophers used as ethics-paper anchors: Plato, Aristotle, Socrates, Jeremy Bentham, J.S. Mill, Thomas Hobbes, John Locke, Jean-Jacques Rousseau, John Rawls, Immanuel Kant (categorical imperative applied to public service), Carol Gilligan, Jean-Paul Sartre, Hegel, Confucius, Rene Descartes",1
2014,General Studies IV,"Components of a Citizen's Charter and steps in its formulation; concept of work culture, the Indian approach to work, methods of improving work culture, and quality of service delivery",1
2014,General Studies IV,"Judicial independence as a democratic prerequisite, and where judicial overreach threatens democratic balance",1
2014,General Studies IV,"Essence, determinants and consequences of ethics in human actions; approaches to ethical study (Indian vs Western perspectives); basic concepts of morality and value",1
2015,General Studies I,"Urbanization challenges: growth of the informal urban sector, smart cities as a management tool, flood vulnerability of major cities, rural-urban migration, emergence of slums, urban transport/waste/water-sanitation issues, urban poverty, and the Real Estate (Regulation & Development) Act 2016",2
2015,General Studies I,Prehistoric rock paintings and petroglyphs (Bhimbetka stylistic evolutions); socio-cultural patterns of pre-historic paintings and potteries,1
2015,General Studies I,"Growth of modern education, press, and vernacular public sphere under colonial rule; important newspapers/journals of the period",1
