question_number,option_label,option_id,question_id,option_text
6,c,aca19c97-21d4-4638-9bf7-b3ecce664e2a,7aba3f5e-a58d-43d4-a9c8-04ab69524196,North of Gilgit
6,d,d88f6124-27c4-4bd4-9a59-6039ca9666a3,7aba3f5e-a58d-43d4-a9c8-04ab69524196,North of Nubra Valley
7,a,1fb836d3-cb55-403c-a955-16693cd07a54,fcd92c55-173f-4320-bc08-5f4320d44bcc,1 and 3 only
7,b,6baebb2d-b573-4b9c-9b9c-bb7a1b444d05,fcd92c55-173f-4320-bc08-5f4320d44bcc,1 and 4 only
7,c,f51fb067-91a9-4e90-bc6b-afe6cff83270,fcd92c55-173f-4320-bc08-5f4320d44bcc,2 and 3 only
7,d,75ae7a44-ecbf-43d7-8dbe-caf87bc45e90,fcd92c55-173f-4320-bc08-5f4320d44bcc,2 and 4 only
8,a,b1764660-e743-42f4-94b6-1394c706e0c3,8da41853-f145-4f61-9596-0357d4b7005e,1 only
8,b,37bc065c-85a1-49c0-9481-08ed2a7ecdca,8da41853-f145-4f61-9596-0357d4b7005e,2 and 3 only
8,c,5336ab43-4f0f-49bb-8059-c949cca1ca7d,8da41853-f145-4f61-9596-0357d4b7005e,2 only
8,d,8902e76f-02d1-49a7-8e37-f20133051995,8da41853-f145-4f61-9596-0357d4b7005e,1 and 3 only
9,a,a914290d-db70-45e5-aec7-767e17e195f6,f66c200b-bf27-4d68-98d4-89e41ed23fa4,1 only
9,b,f8877f75-646f-46c5-bf95-3c86b7a477e1,f66c200b-bf27-4d68-98d4-89e41ed23fa4,2 and 3 only
9,c,5b489322-f659-4c61-bfb7-0234dbc6282b,f66c200b-bf27-4d68-98d4-89e41ed23fa4,2 only
9,d,7f6aad63-e046-482e-9c88-23600c894280,f66c200b-bf27-4d68-98d4-89e41ed23fa4,1 and 3 only
10,a,46719c8b-5110-4018-829b-33c2bf41f885,c2bc25a6-ec83-4ded-bc78-bbbe7a4866c0,Corbett
10,b,b44e885e-617d-4313-b321-31100fdc95d5,c2bc25a6-ec83-4ded-bc78-bbbe7a4866c0,Ranthambore
10,c,f6b4d809-3255-4e5e-9633-72005db2dfee,c2bc25a6-ec83-4ded-bc78-bbbe7a4866c0,Nagarjunsagar-Srisailam
10,d,d1192633-1873-410b-ac94-5c365951fa48,c2bc25a6-ec83-4ded-bc78-bbbe7a4866c0,Sunderbans
11,a,20e755a1-ff6d-4b62-8303-07f9aa9d038f,a0f2bd55-c8f7-4153-98f6-fa91752557dc,A licence is required to cultivate that plant.
11,b,627ae4a0-ce8d-43b1-bac5-308c1049ee70,a0f2bd55-c8f7-4153-98f6-fa91752557dc,Such a plant cannot be cultivated under any circumstances.
11,c,5b307b73-ee34-4d28-919a-96b16c89ea2a,a0f2bd55-c8f7-4153-98f6-fa91752557dc,It is a Genetically Modified crop plant.
11,d,16ac15e1-5d8c-4ec0-8661-47453298339f,a0f2bd55-c8f7-4153-98f6-fa91752557dc,Such a plant is invasive and harmful to the ecosystem
12,a,d9bad4c9-af94-4e22-b1a9-c8167b4df5ba,a4499e0b-57d5-423a-b68b-f1fcdd751edb,ports handling foreign trade
12,b,50934818-5947-4fc3-868a-01c3c4a4c03d,a4499e0b-57d5-423a-b68b-f1fcdd751edb,capitals of powerful kingdoms
12,c,dc9b8d87-873a-44d9-bd4d-e6b5819dc834,a4499e0b-57d5-423a-b68b-f1fcdd751edb,places of exquisite stone art and architecture
12,d,2a33dcff-463c-4a64-ab59-be1304de5491,a4499e0b-57d5-423a-b68b-f1fcdd751edb,important Buddhist pilgrimage centres
13,a,8a7d4cac-546e-48c5-b5d4-81733f1c82c2,b1cb882e-e0d6-43e2-899d-544e3f2126f3,1 and 2 only
13,b,285feb4f-89ea-42f7-aa8b-dae50f613e4e,b1cb882e-e0d6-43e2-899d-544e3f2126f3,2 and 3 only
13,c,020f048a-68f0-4fcc-8550-ac1ece889d90,b1cb882e-e0d6-43e2-899d-544e3f2126f3,3 only
13,d,07adb156-0927-4fb6-bbe2-56b44756ff5b,b1cb882e-e0d6-43e2-899d-544e3f2126f3,"1, 2 and 3"
14,a,76fcebc1-e643-4687-a069-8fdd444678f6,9c7e455b-742a-4f5b-a656-552c39af2e04,"1, 2, 5 and 6 only"
14,b,5a43e066-57fb-4fcd-b745-31ac134889a5,9c7e455b-742a-4f5b-a656-552c39af2e04,"1, 3, 4 and 6 only"
14,c,ed9c0b01-6bb2-429b-a9f2-1cfa7adc118e,9c7e455b-742a-4f5b-a656-552c39af2e04,"2, 3, 4 and 5 only"
14,d,d5582370-5970-473b-a61b-09afa365467a,9c7e455b-742a-4f5b-a656-552c39af2e04,"1, 2, 3, 4, 5 and 6"
15,a,75622399-9482-4f57-9583-9e517e2d8a04,7c5d0cea-a366-48a6-b0aa-d3889da9edb8,long-term damage done by a tonne of CO2 emissions in a given year.
15,b,82ee8687-b6e6-44ad-9918-8e2492a61ccf,7c5d0cea-a366-48a6-b0aa-d3889da9edb8,"requirement of fossil fuels for a country to provide goods and services to its citizens, based on the burning of those fuels."
15,c,7368b936-d48e-4b81-ac12-cafba5438f0c,7c5d0cea-a366-48a6-b0aa-d3889da9edb8,efforts put in by a climate refugee to adapt to live in a new place.
15,d,0ae92690-2637-4a84-8eb7-106d9e926033,7c5d0cea-a366-48a6-b0aa-d3889da9edb8,contribution of an individual person to the carbon footprint on the planet Earth.
16,a,8e0fe206-1517-4ca8-8257-dd41144bb60d,f1bf2ba6-b47e-4f99-8f02-7abe2126d427,1 only
16,b,07f22bb6-34b4-4b1c-9ea7-7a8a5562e717,f1bf2ba6-b47e-4f99-8f02-7abe2126d427,2 and 3 only
16,c,93941f90-0de8-4c4f-9237-76eea75017a2,f1bf2ba6-b47e-4f99-8f02-7abe2126d427,2 only
16,d,8118ed0a-8306-4f85-9c03-af3973861753,f1bf2ba6-b47e-4f99-8f02-7abe2126d427,"1, 2 and 3"
17,a,6d5998a0-706b-4def-b623-62d2395a7f83,0dac6259-4710-4183-840f-5aecf8383b8f,Cotton
17,b,bcc371fa-4bf3-4483-8cf5-162153d566f9,0dac6259-4710-4183-840f-5aecf8383b8f,Jute
17,c,0e3fe8d7-7d54-4d6b-850a-c2115e7fc49c,0dac6259-4710-4183-840f-5aecf8383b8f,Sugarcane
17,d,0e6389ed-b77e-4b6a-98cd-310afbf3450f,0dac6259-4710-4183-840f-5aecf8383b8f,Tea
18,a,72c08bd6-2655-43a1-a588-87bd297b4deb,3692e405-bdb5-4bfc-9a94-96fc9cf83294,1 only
18,b,4197f24a-c270-403e-ba93-1fd17ba46d8e,3692e405-bdb5-4bfc-9a94-96fc9cf83294,2 only
18,c,0b3276cd-1e73-40af-817f-133258509d69,3692e405-bdb5-4bfc-9a94-96fc9cf83294,Both 1 and 2
18,d,5c882281-8b24-40f4-9a6e-1cc009823c15,3692e405-bdb5-4bfc-9a94-96fc9cf83294,Neither 1 nor 2
19,a,37b5662c-be51-4bdb-b22d-02aeec877938,e4b96246-3ebc-4cf9-970a-8bdb861faacc,1 and 2 only
19,b,0f233495-a791-428a-a57e-3cf0fd822cd6,e4b96246-3ebc-4cf9-970a-8bdb861faacc,3 only
19,c,024ac08b-7477-48b3-a538-a48c013ac361,e4b96246-3ebc-4cf9-970a-8bdb861faacc,1 and 4 only
19,d,e48bc0bf-e6db-4cb1-8daf-a3bdeb85fb21,e4b96246-3ebc-4cf9-970a-8bdb861faacc,"2, 3 and 4 only"
20,a,55f82bb8-f6de-4cf2-82ae-b33948845890,8e9356a4-06be-48bf-a2f6-69680627d0f1,"1, 2 and 3 only"
20,b,c8df836c-1e2d-41f8-9620-de83afbf0c15,8e9356a4-06be-48bf-a2f6-69680627d0f1,3 only
20,c,a66b5b20-8446-4ac5-a9fd-85c4d09db595,8e9356a4-06be-48bf-a2f6-69680627d0f1,4 only
20,d,b7dffc6d-af09-4175-a0a4-050056659558,8e9356a4-06be-48bf-a2f6-69680627d0f1,"1, 2, 3 and 4"
21,a,16724870-b12d-49ff-8866-fd16885acda7,e56621bd-a5f0-404b-980e-336f981a476c,1 and 2 only
21,b,9ac9dbbd-a793-42cd-8a5b-b9ba86edaf27,e56621bd-a5f0-404b-980e-336f981a476c,1 and 3 only
21,c,4fa333a5-497e-4bd6-aa99-618d340f042e,e56621bd-a5f0-404b-980e-336f981a476c,2 and 3 only
21,d,a45534ba-0ff1-4832-bc1e-24b1327bd54a,e56621bd-a5f0-404b-980e-336f981a476c,"1, 2 and 3"
22,a,119b0277-9ba8-4b8d-b9c4-4efe4f3bf204,5f43c16e-a29d-4959-8893-94a7dc45798a,1 and 2 only
22,b,c990910c-67f9-45d7-86dc-1b92392fc648,5f43c16e-a29d-4959-8893-94a7dc45798a,2 and 4 only
22,c,77c9958a-cc31-4bde-a03b-85e272fffa05,5f43c16e-a29d-4959-8893-94a7dc45798a,3 only
22,d,145b10d8-d93e-4ce5-b5f8-6ca11e3cfe8b,5f43c16e-a29d-4959-8893-94a7dc45798a,"1, 3 and 4 only"
23,a,c980ae8a-308d-4623-8ef5-13b0ad6954ee,2553704a-cc22-406e-a86f-6ec71cab6b4a,1 and 2 only
23,b,2221d9f9-6981-4602-ac50-42cb83d15bf5,2553704a-cc22-406e-a86f-6ec71cab6b4a,3 and 4 only
23,c,1ecd6a67-b825-4e64-b1a9-1c859781cba3,2553704a-cc22-406e-a86f-6ec71cab6b4a,"1,3 and 4 only"
23,d,3343f1a6-10a3-4be8-bb19-32e3d74b7a91,2553704a-cc22-406e-a86f-6ec71cab6b4a,"1, 2, 3 and 4"
24,a,9b4c732d-0220-401a-98f7-65b4d358abbd,baf66cd4-0d10-4b83-8753-dc2f6884e317,Birds
24,b,d012ee9d-9f48-4fd7-9d6e-fe3bd4c2729e,baf66cd4-0d10-4b83-8753-dc2f6884e317,Primates
24,c,c177ae36-2e59-477a-b16b-a7cb04b1fea3,baf66cd4-0d10-4b83-8753-dc2f6884e317,Reptiles
24,d,652f485c-a7ce-4a53-99a4-940a35464abc,baf66cd4-0d10-4b83-8753-dc2f6884e317,Amphibians
25,a,11f8af0e-cddd-405b-9540-628e44fc0057,bde6ce8e-2e57-4d43-9c23-c1024e040b73,Kanha National Park
25,b,98d284bc-282f-413c-bae4-6bad24d52509,bde6ce8e-2e57-4d43-9c23-c1024e040b73,Manas National Park
25,c,892bdfbe-ed30-42d0-a7b2-2b48a69cddb6,bde6ce8e-2e57-4d43-9c23-c1024e040b73,Mudumalai Wildlife Sanctuary
25,d,bc0c9bbc-3996-4e86-99ff-2f46eb07a525,bde6ce8e-2e57-4d43-9c23-c1024e040b73,Tal Chhapar Wildlife Sanctuary
26,a,127ecaec-6490-4fa7-9d8d-c1bff29bbd67,a84bd717-ee65-485d-aa57-f910d42ce553,1 and 2 only
26,b,1f7437d5-a01b-4944-9407-a21a332782eb,a84bd717-ee65-485d-aa57-f910d42ce553,2 and 3 only
26,c,eef4cef3-e8c9-47bd-802e-9e2db2d8f243,a84bd717-ee65-485d-aa57-f910d42ce553,1 and 3 only
26,d,80d1c442-3b31-4baa-9dd5-1f91cd573d16,a84bd717-ee65-485d-aa57-f910d42ce553,"1, 2 and 3"
27,a,a743638a-0972-49c6-afcc-614cbfc5c46f,6bfa8f1d-1eec-431b-a756-01b9b8eb56ae,1 and 2 only
27,b,24590fc1-1749-43c1-8ad1-8b3ab5aa8a9a,6bfa8f1d-1eec-431b-a756-01b9b8eb56ae,2 and 3 only
27,c,2291bf29-e805-492a-97a8-05a08e4fa889,6bfa8f1d-1eec-431b-a756-01b9b8eb56ae,3 and 4 only
27,d,fa277583-9851-4a76-bdaa-83f3996dc44b,6bfa8f1d-1eec-431b-a756-01b9b8eb56ae,1 and 4 only
28,a,06356bf2-4471-44c4-a57a-e5724c55c770,5115b1b3-b6f6-4e12-b407-39737b88ad73,"1, 2 and 3 only"
28,b,91a99541-4663-48d8-9600-c649f0282c36,5115b1b3-b6f6-4e12-b407-39737b88ad73,"2, 3 and 4 only"
28,c,8cd53b93-99c1-407c-99ab-0583efffaf48,5115b1b3-b6f6-4e12-b407-39737b88ad73,4 and 5 only
28,d,16cf3510-1594-45f2-9b0a-c3307b6c71b8,5115b1b3-b6f6-4e12-b407-39737b88ad73,1 and 5 only
29,a,8b9c74f3-1375-48a3-bc37-303da7756fe0,0c7077a7-3830-4f3f-89fa-364252f747ec,1 only
29,b,2ab6a77d-aec7-4561-a88c-372437c35a36,0c7077a7-3830-4f3f-89fa-364252f747ec,2 and 3 only
29,c,e51ec468-c296-45ff-9251-6b6122f93003,0c7077a7-3830-4f3f-89fa-364252f747ec,3 only
29,d,cc167eb3-0738-4ab7-be1a-911a3a33c7bd,0c7077a7-3830-4f3f-89fa-364252f747ec,"1, 2 and 3"
30,a,a474956e-3f9e-4d06-99b5-a0441a8b820f,0ee2f03b-b719-4878-877e-3a0c05ab9df8,1 and 2 only
30,b,5356fe87-83df-4043-bd8a-6b9e180751e2,0ee2f03b-b719-4878-877e-3a0c05ab9df8,2 only
30,c,54e55645-03d2-47f2-8169-6571efd9ca91,0ee2f03b-b719-4878-877e-3a0c05ab9df8,1 and 3 only
30,d,852c2a7c-ac94-4a8d-b86b-50f20afeb7ec,0ee2f03b-b719-4878-877e-3a0c05ab9df8,"1, 2 and 3"
31,a,cb2d6703-0c74-4595-8275-8b7978445e6d,fcadc9e6-300c-4fbd-af4a-2c83814ade09,"1, 2 and 5 only"
31,b,da2a89eb-6a3e-408b-9901-d781a9f4625b,fcadc9e6-300c-4fbd-af4a-2c83814ade09,"1, 3, 4 and 5 only"
31,c,778d554c-6ee7-4830-813b-99189dae6b91,fcadc9e6-300c-4fbd-af4a-2c83814ade09,"2, 3 and 6 only"
31,d,a2d9191a-6e19-4165-b35d-67a10f0266c5,fcadc9e6-300c-4fbd-af4a-2c83814ade09,"1, 2, 3, 4, 5 and 6"
32,a,2145cc8d-b8fe-429c-a21c-ed2dd6d137ce,c56fb969-b220-4517-9ce2-efa1de75c29a,1 and 2 only
32,b,12eec38b-45b6-4a84-9371-6f2d723939af,c56fb969-b220-4517-9ce2-efa1de75c29a,2 only
32,c,5f21216b-5f5f-4454-82ed-b79788204507,c56fb969-b220-4517-9ce2-efa1de75c29a,1 and 3 only
32,d,cdad4189-1a1e-495f-b6cf-0943342cc479,c56fb969-b220-4517-9ce2-efa1de75c29a,"1, 2 and 3"
33,a,23be7b3c-1a05-4179-bbe2-37240ed01f16,665f7270-fd72-4159-a3be-6b7a5cfc2dc4,"1, 2 and 4 only"
33,b,904245b0-9244-4849-a95b-f7e62e85f307,665f7270-fd72-4159-a3be-6b7a5cfc2dc4,"1, 3 and 4 only"
33,c,226ad430-6d97-4942-8d1f-d0075c77e832,665f7270-fd72-4159-a3be-6b7a5cfc2dc4,2 and 3 only
33,d,5f4923ed-23d4-4f3f-92cb-b00bfdf0e8a5,665f7270-fd72-4159-a3be-6b7a5cfc2dc4,"1, 2, 3 and 4"
34,a,c63f7b39-7660-4c98-a443-5daa75978c56,b8d43fdd-4d9d-4323-a8ca-d1cef94412bf,1 and 2 only
34,b,aaefe9f0-d483-47f4-8168-1bd556ca2d45,b8d43fdd-4d9d-4323-a8ca-d1cef94412bf,2 only
34,c,66d3d092-a201-45c7-abc2-9f16e03d23e2,b8d43fdd-4d9d-4323-a8ca-d1cef94412bf,3 only
34,d,aa512bce-cca7-4c2e-9566-3156f978ba51,b8d43fdd-4d9d-4323-a8ca-d1cef94412bf,"1, 2 and 3"
35,a,adfb4ba5-97d7-46a0-aa7f-fe8914af6b3d,eaa9fc54-ffaf-4666-a9ab-30f74a4cfad1,"Argentina, Mexico, South Africa and Turkey"
35,b,894a8445-2b08-46cf-bb97-066e912ce1ae,eaa9fc54-ffaf-4666-a9ab-30f74a4cfad1,"Australia, Canada, Malaysia New Zealand and"
35,c,cd8ee084-a8de-4a40-859b-3059693c7713,eaa9fc54-ffaf-4666-a9ab-30f74a4cfad1,"Brazil, Iran, Saudi Arabia and Vietnam"
35,d,32aaac05-ae0b-464d-865e-5b7b1c40cdf6,eaa9fc54-ffaf-4666-a9ab-30f74a4cfad1,"Indonesia, Japan, Singapore and South Korea"
36,a,1d094a3a-6020-45d6-92b8-c3c1125a2963,d8d76598-a6e5-4ff1-84e8-c797d9e16a18,"1, 2 and 5 only"
36,b,c041fb27-77be-4b9b-a5b4-1ed64fcd78fe,d8d76598-a6e5-4ff1-84e8-c797d9e16a18,"1, 3 and 4 only"
36,c,795ae0a2-e77c-4a95-a4b6-6ba79166a19d,d8d76598-a6e5-4ff1-84e8-c797d9e16a18,"2,3,4 and 5 only"
36,d,6ad9706d-4350-4470-8623-97616b2ca2f7,d8d76598-a6e5-4ff1-84e8-c797d9e16a18,"1, 2, 3, 4 and 5"
37,a,a1ed689a-aac4-4cd5-b5bf-dc979e42e695,a6aa0068-62eb-4d66-8a04-28cd3558bef5,1 and 2 only
37,b,5e0298ed-ee99-4097-bc85-7f9faaf06c6e,a6aa0068-62eb-4d66-8a04-28cd3558bef5,2 only
37,c,cff27705-c9a4-4a6d-a815-4d957b8d026a,a6aa0068-62eb-4d66-8a04-28cd3558bef5,3 only
37,d,526226d7-0bb2-45cd-96fc-6d466a5862c8,a6aa0068-62eb-4d66-8a04-28cd3558bef5,"1, 2 and 3"
38,a,fe27cd5f-f497-437c-b0e4-756b366d9bd2,35f67d99-fd34-4ef9-b10e-2cf73df955b7,1 and 2 only
38,b,7fbb5af5-74e3-4ed4-bb50-459b3058645e,35f67d99-fd34-4ef9-b10e-2cf73df955b7,3 only
38,c,337e6ed2-cf33-4311-b255-03bc68238e32,35f67d99-fd34-4ef9-b10e-2cf73df955b7,3 and 4 only
38,d,e93c88f0-32fc-4c48-8aae-6f9bbb85e9e7,35f67d99-fd34-4ef9-b10e-2cf73df955b7,"1, 2 and 4 only"
39,a,11e07782-d455-4ce9-ab6c-b1e8b9179854,3eb2a1cb-1647-4b69-a44a-c4c7d97c6b6f,1 only
39,b,9387e3e7-81d6-4766-a7f3-54d259607957,3eb2a1cb-1647-4b69-a44a-c4c7d97c6b6f,2 only
39,c,12345850-3d8f-4d86-84f2-8cc9b669d737,3eb2a1cb-1647-4b69-a44a-c4c7d97c6b6f,Both 1 and 2
39,d,76712240-57de-475a-a411-b6a03caa81d3,3eb2a1cb-1647-4b69-a44a-c4c7d97c6b6f,Neither 1 nor 2
40,a,d8092dd2-b362-4dcc-bd2f-55db18b1e998,c4caf2e1-78a2-432a-baa2-b39ba05245e7,1 and 2 only
40,b,8dddcfa9-733c-4fd0-8a2b-74b7defeb068,c4caf2e1-78a2-432a-baa2-b39ba05245e7,4 only
40,c,949107e1-07a1-430c-8e97-b9e48b6c1107,c4caf2e1-78a2-432a-baa2-b39ba05245e7,1 and 3 only
40,d,39637563-b5e9-4cf9-b99e-b465211b824a,c4caf2e1-78a2-432a-baa2-b39ba05245e7,"2, 3 and 4 only"
41,a,b2380e1b-06f4-40b9-aa88-faee5d90d34c,c6b2224c-bdbc-410e-acd7-99214a5a47ce,It is the investment through capital instruments essentially in a listed company.
41,b,ccac96b4-f397-48fd-8ab7-9f1a2ec86416,c6b2224c-bdbc-410e-acd7-99214a5a47ce,It is a largely non-debt creating capital flow.
41,c,2696aab2-79bb-402b-a440-fb30f7c32c65,c6b2224c-bdbc-410e-acd7-99214a5a47ce,It is the investment which involves debt-servicing
41,d,db1f7987-25be-4f13-b0b6-ca2f36f65e53,c6b2224c-bdbc-410e-acd7-99214a5a47ce,It is the investment made by foreign institutional investors in the Government securities.
42,a,1b97a421-5ad9-4919-b381-506cbaf283ca,84e876c4-4765-4334-8985-fe37ea63ec9f,1 and 2 only
42,b,28c868c8-9602-4a8d-99d4-02e29bfe8fb0,84e876c4-4765-4334-8985-fe37ea63ec9f,2 and 4 only
42,c,c300645f-2df6-472f-b0c3-31be98783d7e,84e876c4-4765-4334-8985-fe37ea63ec9f,. 3 only
42,d,13c04e3e-e893-4ac6-8e82-79faf37db4d9,84e876c4-4765-4334-8985-fe37ea63ec9f,"1, 3 and 4 only"
43,a,ff3cdbc7-6759-42a9-b738-fe0aa39e244c,5fce46a1-488d-44c6-8335-1c2c9e5023f3,Crude oil
43,b,a6f5fd1e-663d-4662-8a0d-6bf3f38a17b0,5fce46a1-488d-44c6-8335-1c2c9e5023f3,Bullion
43,c,86e88bb7-b335-41b4-a06b-e28c0e1a3b46,5fce46a1-488d-44c6-8335-1c2c9e5023f3,Rare earth elements
43,d,1d389bf9-a448-46b8-88e4-b876e42139e3,5fce46a1-488d-44c6-8335-1c2c9e5023f3,Uranium
44,a,06a76b01-ee68-487f-8572-dc8a62519863,c701e982-9ac4-41fd-93d5-a3251dc0174f,1 only
44,b,7c5f6fc7-43f6-401d-8493-ed7acc8c7a56,c701e982-9ac4-41fd-93d5-a3251dc0174f,1 and 2 only
44,c,02b7a14b-4368-41d3-b156-48e088a3dc25,c701e982-9ac4-41fd-93d5-a3251dc0174f,3 only
44,d,55f6d5d7-cf23-4f8f-9f56-c6170413ceb1,c701e982-9ac4-41fd-93d5-a3251dc0174f,"1, 2 and 3"
45,a,682564d4-8466-48a9-a67f-04d6d7ba2da7,08052d86-a3cb-4afc-9067-e92185dcc786,Some use uranium and others use thorium
45,b,ba8b7e50-f781-4e3b-a32a-9507e64e4c97,08052d86-a3cb-4afc-9067-e92185dcc786,Some use imported uranium and others use domestic supplies
45,c,7772cbd1-65ed-4dab-9f83-bd6cf1e588fe,08052d86-a3cb-4afc-9067-e92185dcc786,Some are operated by foreign enterprises and others are operated by domestic enterprises
45,d,790bf2a0-99bb-45c0-9b3c-e892adb5860b,08052d86-a3cb-4afc-9067-e92185dcc786,Some are State-owned and others are privately-owned
46,a,353f2a25-81fc-40ed-aa4f-a6c050376ebe,2ddc41ea-7954-49ad-96b9-4bfca23de596,1 and 2 only
46,b,b032d7fb-4af1-4272-a067-74d989747600,2ddc41ea-7954-49ad-96b9-4bfca23de596,2 only
46,c,85ea8dca-b005-47e1-8a07-e8b60d07d514,2ddc41ea-7954-49ad-96b9-4bfca23de596,1 and 3 only
46,d,fe0c06e5-f2cf-494f-8dfe-3b46137fd24f,2ddc41ea-7954-49ad-96b9-4bfca23de596,"1, 2 and 3"
47,a,cbfd508a-fd49-4e6c-92a8-14258c25fa20,a8c900ae-5914-4a86-8b69-5c4fff47af7c,1 and 2 only
47,b,82a23431-1c51-4345-93f9-0915bc295ecb,a8c900ae-5914-4a86-8b69-5c4fff47af7c,2 only
47,c,520efdcf-4f40-4530-9e8a-13d0f80b0f81,a8c900ae-5914-4a86-8b69-5c4fff47af7c,1 and 3 only
47,d,de65a704-44fa-4621-ac10-964b56a0df41,a8c900ae-5914-4a86-8b69-5c4fff47af7c,"1, 2 and 3"
48,a,1f2d1696-0072-4bd8-aa3b-cfe1783fd6ef,4bed944b-dffd-4fac-859d-fdac09fa66be,1 and 2 only
48,b,9d20cf1b-d4c5-42b3-9357-f83da9214b4b,4bed944b-dffd-4fac-859d-fdac09fa66be,3 and 4 only
48,c,1fbb0e91-19ac-4515-819e-d16401c26076,4bed944b-dffd-4fac-859d-fdac09fa66be,3 only
48,d,01072263-59f7-47ad-bda6-cff27fc466e0,4bed944b-dffd-4fac-859d-fdac09fa66be,"1, 2 and 4 only"
49,a,280a4cdd-0e40-425f-8268-e3c3dadc8e5a,b374b04f-94a6-4f74-8cd2-ad831d96ed46,1 only
49,b,56e4f4e6-6a1c-42a1-b75b-f2b7ee96d3d1,b374b04f-94a6-4f74-8cd2-ad831d96ed46,2 only
49,c,1e158bd3-7bf3-48da-ba2a-9bbdc92b340f,b374b04f-94a6-4f74-8cd2-ad831d96ed46,Both 1 and 2
49,d,ee9f54f3-a4e9-4e0f-b895-e967a1617e9d,b374b04f-94a6-4f74-8cd2-ad831d96ed46,Neither 1 nor 2
50,a,7e7b11fc-2647-4d01-a1f7-8676004d241b,a69b69b0-34b3-4b46-b4a3-7ca78eafd349,"1, 2 and 4 only"
50,b,f3c544ad-c96f-49e4-a5c3-b9d86480c620,a69b69b0-34b3-4b46-b4a3-7ca78eafd349,1.3 and 4 only
50,c,2fd92cc0-09b1-40d1-b770-4afc306cbf71,a69b69b0-34b3-4b46-b4a3-7ca78eafd349,2 and 3 only
50,d,15f66e72-2f86-454f-acee-2a72c91865f9,a69b69b0-34b3-4b46-b4a3-7ca78eafd349,"1, 2, 3 and 4"
51,a,41136830-8ada-4b20-9767-a4d66acc4d6a,1da61e0a-8889-4b7f-bb2a-9b046a7fbfc3,1 and 2 only
51,b,af82b613-109f-46bf-b45c-ad01bdc12834,1da61e0a-8889-4b7f-bb2a-9b046a7fbfc3,"2, 3 and 4 only"
51,c,e11b23c1-0f69-46d2-b30a-959fc4e0c671,1da61e0a-8889-4b7f-bb2a-9b046a7fbfc3,"1, 3 and 4 only"
