question_number,assign_topic_id,microtopic_name,confidence
73,9831ee26-c1b7-42d5-b4d7-7d62cc0cbd0d,External debt and sovereign borrowing,ok
74,4ae1a175-886d-4559-b1e2-a201b7207b33,Commercial banking and asset classification,ok
75,71716840-b028-4707-bea4-2fd3ea3b8830,Balance of payments,ok
76,89f9867d-8ca9-4782-9182-cb76d16c1eb3,Governor and the state executive,ok
77,77b2c28a-d30e-4d63-826b-954b2db54477,Foreign investment — FDI and FPI,ok
78,7a9ef97f-03cf-491f-a0f4-01851b3df797,Forest laws and forest rights,ok
79,c04bfe17-b535-4178-b5c6-f40b4baf19e6,Parliamentary committees,ok
80,aff25979-b5ca-473d-9d53-92bfaf7c43b9,Economic planning and NITI Aayog,ok
81,74a4adff-6ef9-415c-80eb-60a9173e8c47,Tribal and vulnerable group welfare,ok
82,1dd4bd6f-633a-4a2b-aeb1-672574aacb30,Supreme Court: jurisdiction and composition,ok
83,21e5e3a1-56af-4abf-87a3-cc41422f1351,Parliament: composition and procedure,check
84,fa11b813-bdaa-4873-b94e-3667973490de,UN conventions and international law,ok
85,7a9ef97f-03cf-491f-a0f4-01851b3df797,Forest laws and forest rights,ok
86,0ad674a9-0694-42e8-ac87-a79e85e9f5b1,Right to life and personal liberty,ok
87,26983991-4a86-4e37-9253-0fd49b0ca39b,Intellectual property rights,ok
88,b9fd43a1-0e8c-48ca-907e-b20610c889ff,Environment Protection Act and pollution control bodies,ok
89,cb0b98ec-6f66-4710-96e1-caba6a18dbc3,Solid wastes and e-waste,ok
90,5d61a8fd-e008-4617-b000-3006e86061bc,"Social security, pensions and labour welfare",ok
91,faae405c-380a-493e-b12d-aff5f9409b89,International economic institutions,ok
92,4ae1a175-886d-4559-b1e2-a201b7207b33,Commercial banking and asset classification,ok
93,3d5f609a-e595-44bf-9c51-1ee9272153b6,Public sector banks and governance,ok
94,61e36414-bbb9-44f8-895a-eba8665b29c4,Energy and mineral sector economics,ok
95,3e99163e-c43b-4d4d-8963-1eea850b6288,Telecom and networks,ok
96,5d61a8fd-e008-4617-b000-3006e86061bc,"Social security, pensions and labour welfare",ok
97,cebc029d-90b8-402b-8076-e5e2f980fe32,International indices and rankings,ok
98,cb0b98ec-6f66-4710-96e1-caba6a18dbc3,Solid wastes and e-waste,ok
99,ee473b0f-8abe-444c-9a1b-3cd229423467,Food security and public distribution,ok
100,a8939b7e-951c-4784-bdcd-598340f7d32c,Capital formation and human capital,ok
