question_number,topic,assign_topic_id,difficulty,stem
64,Logical reasoning,ffaec54f-12ef-46ac-b93d-e6db2e243280,medium,Question: X is a collection of certain odd numbers whereas Y is a coll
65,Logical reasoning,ffaec54f-12ef-46ac-b93d-e6db2e243280,medium,"Question: If x, y and z are integers, each greater than 1, then is x a"
66,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,hard,"Which of the following conclusions are valid? Seven Sanskriti Angans, "
67,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,medium,Which one of the following statements is not correct?
68,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,hard,"The weight of X, in kg, is denoted by X. The weights of A, B, C, D, P,"
69,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,hard,How many words can one form by shuffling the letters of the word QUEUE
70,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,medium,"X, Y and Z jump forward 4', 6' and 5', respectively. At 8 AM, they all"
71,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,hard,Which of the following conclusions are valid? Sport is more than just 
72,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,hard,Which of the following statements is/are correct? Parents are not enco
73,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,hard,"A toy T jumps forward or backward. In each forward jump, it moves 5' f"
74,General mental ability,10b8404d-601b-48f2-a433-be996892a3d8,medium,"Eight persons P, Q, R, S, T, U, V and W sit around a round table in ei"
75,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,hard,The top of a table is rectangular and its dimensions are 6' × 10'. Two
76,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,hard,Which of the following statements is/are correct? Real value should no
77,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,easy,Which of the following assumptions is/are valid? Deflation strategies 
78,General mental ability,10b8404d-601b-48f2-a433-be996892a3d8,medium,A pattern formed by two characters a and b is repeated more than once 
79,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,hard,"If 10m × 1000 × n = 7525 × 2532 × 3275, where n is not divisible by 10"
80,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,medium,The speed of a train T is 100 km per hour and the speed of a person P 
