question_number,assign_topic_id,microtopic_name,confidence
24,a4b0c3b7-ea6c-4748-9a96-8cab0fc63c8d,Music traditions and composers,ok
25,b75efc14-0e32-4fc1-9fcb-bf313d91cb28,Constitutional philosophy and rule of law,ok
26,31cf0e35-2872-42be-81da-39e73517a6cb,Colonial education and social reform,ok
27,e468d421-7bcb-4a30-96f3-3ee9be1d69f3,"Lakes, waterfalls and inland water bodies",ok
28,228a5283-7058-45d7-8b3f-3eeea5d927fc,Education policy and skill development,ok
29,3e240607-c748-46ee-8239-85cecb1a0d39,Early nationalism and the moderate phase,check
30,31cf0e35-2872-42be-81da-39e73517a6cb,Colonial education and social reform,check
31,564b065b-0338-4ad3-ac93-839a6f7b882d,Water pollution and treatment,check
32,01d8cbbc-7b45-453e-973c-4b4d487e88e0,Soil ecology and nutrient cycling,ok
33,69f5f696-e1f0-4a23-95e0-447297437ac3,"Climate treaties, institutions and initiatives",check
34,47dcedf5-5a6e-4d5c-9611-8faedbae02eb,Properties of matter and materials science,check
35,93e6b74b-1946-433e-b10d-5a62a3c85844,Volcanism,ok
36,04b86c54-f0ac-4c2b-aba9-b16993a2f6dd,Invasive alien species,ok
37,e9f28928-5171-442f-b919-74f878d15888,Coral reefs and marine ecosystems,ok
38,69f5f696-e1f0-4a23-95e0-447297437ac3,"Climate treaties, institutions and initiatives",ok
39,31cf0e35-2872-42be-81da-39e73517a6cb,Colonial education and social reform,ok
40,ef2163b5-bdc8-403b-a01e-d8cb279b69df,World political geography and regions in news,ok
41,ede5a5e1-d0e7-4faa-9db5-192f0e761124,Satellite applications and navigation systems,ok
42,2f1b7047-23c4-4d42-8c18-7bcd43c81785,Astronomy and astrophysics,ok
43,21c46069-e9a1-419f-8dba-5cca10bf64e3,Biotechnology in agriculture and GM crops,ok
44,ae80b3ab-d22a-4224-bfc7-07144b78637e,Emerging computing paradigms,check
45,98ad1c9d-e1be-46d2-a1b2-0646cda1ffff,Greenhouse gases and radiative forcing,ok
46,ae80b3ab-d22a-4224-bfc7-07144b78637e,Emerging technologies,ok
47,75ca9347-8351-48c9-ad9a-237adcdd675e,Renewable energy technologies and deployment,ok
48,be28bc4d-75ae-4092-b74d-b51b580d0d8c,European arrival and trading companies,ok
49,29af2935-31ad-4498-8d5f-9bb5040484a3,Gandhian mass movements,ok
50,69b0ea72-cbd3-4936-81c0-3aa90ea17775,"Peasant, tribal and labour movements",ok
51,88219a6b-fff2-49a9-9336-092e31533444,Jainism,ok
52,cbb792cd-0c5b-4164-acf9-b6ae7df3aea6,Indo-Islamic architecture,ok
53,be28bc4d-75ae-4092-b74d-b51b580d0d8c,European arrival and trading companies,check
54,5cd4d5a6-5d34-47e7-8f8d-f465541a446f,Buddhism,ok
55,daa689f2-76b9-4bc2-9f2e-b9f41d9fda18,East India Company expansion and subsidiary alliance,ok
56,f5ad1028-8843-46a9-a884-4b896581d7dc,RBI functions and monetary policy,check
57,2707150a-38fa-4972-9585-30195bfb6e9f,"Demand, supply and market equilibrium",ok
58,7889a551-2986-465c-84ad-1ad29751858c,Economic growth and development indicators,ok
59,a8939b7e-951c-4784-bdcd-598340f7d32c,Capital formation and investment,ok
60,a8939b7e-951c-4784-bdcd-598340f7d32c,Capital formation and investment,ok
61,69b0ea72-cbd3-4936-81c0-3aa90ea17775,"Peasant, tribal and labour movements",ok
62,1f90fbbf-7550-43c7-8127-5292227908c1,Colonial land revenue systems,check
63,180a9b2f-35cf-4c6e-b145-c47a067c06f7,Emergency provisions,ok
64,66802b7b-2895-40e6-85a6-7bc889d64e48,"Crafts, textiles and geographical indications",ok
65,ede5a5e1-d0e7-4faa-9db5-192f0e761124,Satellite applications and navigation systems,ok
66,26c18d07-ca5a-4a33-96bc-66b027666f50,Money market instruments,ok
67,b9e2268e-9f54-4ee2-9dde-330bcf8b0bd9,Earth's interior and seismic waves,check
68,9ae14a1c-b352-469a-a214-faf0770d16fa,Cybersecurity and cyber threats,ok
69,1e6c07b8-b818-49ad-894e-9bdbdbed9080,Sustainable and regenerative farming methods,ok
70,59cdec61-f355-4c4a-8007-445bd2d74927,Extinction and threatened species,ok
71,4ae1a175-886d-4559-b1e2-a201b7207b33,Commercial banking and asset classification,ok
72,e5a97b06-21bf-48f8-97cc-ff70ec70164d,Data protection and digital governance,ok
73,f087e4aa-804e-435a-98d1-c682e268f4b5,Refugee and humanitarian crises,ok
74,31cf0e35-2872-42be-81da-39e73517a6cb,Colonial education and social reform,ok
75,c04bfe17-b535-4178-b5c6-f40b4baf19e6,Parliamentary committees,ok
76,228a5283-7058-45d7-8b3f-3eeea5d927fc,Education policy and skill development,ok
77,2ccca1e9-7fa0-4f2d-971c-a3c629edc738,Festivals and regional traditions,ok
78,15624d65-072a-4e8f-9823-60b0f1f1ff2f,Nutrition and food safety,ok
79,f732797f-5c48-4b11-96a1-4fcd587edfcc,Territorial and maritime disputes,ok
80,ee473b0f-8abe-444c-9a1b-3cd229423467,Food security and public distribution,ok
81,803e588e-6423-4725-a93f-3aebf0c6e313,International trade agreements and WTO,ok
82,ca69ea82-a1ed-4dd3-a47e-d54de9ccc96f,Mineral and energy resource distribution,ok
83,f21ab90d-a213-49d9-a5d5-208eef7255b6,Digital payments and payment systems,ok
84,bd9085aa-698b-4f52-bdab-6642e877c562,"Maps, projections and remote sensing",check
85,5d61a8fd-e008-4617-b000-3006e86061bc,"Social security, pensions and labour welfare",ok
86,7f08042b-edc7-4906-a2ff-59baa3b96176,Political parties and anti-defection,check
87,acd9d6ba-7f75-4e78-84a1-f7f451ad9ede,Biomes and vegetation types,ok
88,d824c6e9-cf89-4e2a-90be-48ede7da25b2,"Demography, census and population policy",check
89,b9fd43a1-0e8c-48ca-907e-b20610c889ff,Environment Protection Act and pollution control bodies,ok
90,0ebbb2b4-5582-46ed-88d2-5e2f88ad76d7,Parts and Schedules of the Constitution,ok
91,f21ab90d-a213-49d9-a5d5-208eef7255b6,Digital payments and payment systems,ok
92,edb85caf-ff68-4e7e-88c4-8a2352a2c1f4,Export control and non-proliferation regimes,ok
93,0e80d2a1-69d8-42b6-b305-8f6cbec1a798,Taxation — direct and indirect,ok
94,9f62ad97-ead4-45d1-9fd3-5da8f919ba63,Fiscal deficit and FRBM,ok
95,803e588e-6423-4725-a93f-3aebf0c6e313,International trade agreements and WTO,check
96,3e240607-c748-46ee-8239-85cecb1a0d39,Early nationalism and the moderate phase,ok
97,796be476-da1a-4b24-bae6-a6bd5eb01591,Citizenship and domicile,ok
98,06a15ece-6f4d-4f95-a19d-e0a0a0251586,Degradation of lakes and inland water bodies,ok
99,cebc029d-90b8-402b-8076-e5e2f980fe32,International indices and rankings,ok
100,f21ab90d-a213-49d9-a5d5-208eef7255b6,Digital payments and payment systems,ok
