year,question_number,question_id,classification,test_fired,reason,confidence,prior_combined,changed
2023,72,b4f5f20f-b40d-48c5-9e91-0189760913db,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2023,73,c70742d0-94f7-42a6-9d17-1d38860e76c3,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2023,74,f0abc93c-7023-4b6f-a1ca-300dce26ff5e,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2023,75,7343f9ba-a106-42fb-9b93-532bbe0eeb4c,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2023,76,362a02d5-a932-44c8-a8b5-4fb0bbed52d4,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2023,77,33b11bae-3149-4094-8a02-a209c867dc95,DURABLE,T3,Publisher of a named strategy document (§3.2),medium,DURABLE,no
2023,78,3395bf01-c064-431b-8735-d7b9811b7ada,PERISHABLE,T2,Top gold-producing country - rank,medium,PERISHABLE,no
2023,79,a60b1c74-242e-400e-9aa2-d6b6deb6437c,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2023,80,518bd8f3-af42-4782-9d84-186be53a4b6b,PERISHABLE,T1,D-SII list released March 2023,medium,PERISHABLE,no
2024,1,000f179a-e88b-438d-98e6-da4f64fe66e3,DURABLE,T3,"Scheme outlay, no date in stem (§3.1)",medium,DURABLE,no
2024,2,c03cf54f-6f27-4e8e-a958-f11435df69ef,PERISHABLE,T1,Union Budget 2024-25 change to the Tarun limit - dated announcement,high,DURABLE,yes
2024,3,1eac5e45-a56c-4514-bdc4-c2d64bc5b156,PERISHABLE,T1,Union Budget 2024-25 de-penalisation,high,DURABLE,yes
2024,4,e68ee927-612c-4717-b89b-4d1628d8897c,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2024,5,09bdd252-7913-4235-a3ad-f204400ce21a,PERISHABLE,T1,Union Budget 2024-25 proposal,high,DURABLE,yes
2024,6,ff22c6f5-286f-4ab9-97e2-aedf24118a15,PERISHABLE,T2,Top achiever for FY 2023-24,high,PERISHABLE,no
2024,7,206667d0-5750-4ee4-ae1b-80e027ebd0de,PERISHABLE,T1,Initiative launched by DAY-NRLM,medium,DURABLE,yes
2024,8,8723cf3a-e4af-413c-866f-ee2e9fdf3f2d,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2024,9,21a031cf-d598-43d6-9700-906c616ff60f,PERISHABLE,T1,MSME export share for FY 2023-24,high,PERISHABLE,no
2024,10,3a9d6660-e922-4bc5-b390-dac5b922a38f,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2024,11,8b842231-525d-4bfa-84d7-4b939eae8f85,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2024,12,a7298c3c-5b54-4c3c-9a6b-610180a97137,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2024,13,07fe7881-ce89-4636-8d7b-70dabff148f2,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2024,14,1883318d-a7ac-411b-aeaa-534b54780c7a,PERISHABLE,T1,Budget allocation for 2024-25,high,PERISHABLE,no
2024,15,6c6fabd9-b2b5-403b-8d72-3f5cfb7cdb7e,PERISHABLE,T1,Proposed UPI tax-payment limit in a recent policy statement - announcement,medium,DURABLE,yes
2024,16,d37da05c-2330-413d-aad0-cb8457ad536c,PERISHABLE,T1,Index weight to be reached by 31 March 2025,high,DURABLE,yes
2024,17,e2563c71-a97c-4aeb-8a14-ea9407a8b9a4,PERISHABLE,T1,FI-Index driver for March 2024,high,PERISHABLE,no
2024,18,c3b184d4-7376-4b01-b27d-d13ae73fff6a,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2024,19,38c4bde8-2363-4753-b7b0-de9f4fffc5f7,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2024,20,e04c9562-3075-4c29-9562-143eb186c86f,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2024,21,3c8aefb0-6b1c-4917-86c6-8119831e00ac,PERISHABLE,T1,Bank partnering with RXIL - dated partnership,high,PERISHABLE,no
2024,22,25bf3b60-a3f7-4fd5-b440-799f15c4fa54,PERISHABLE,T1,Repo increase over May 2022-Feb 2023,high,DURABLE,yes
2024,23,aa7f15a2-756d-4e3b-84f4-a446c59cd7ea,DURABLE,T3,Standing regulatory criterion (§3.4),medium,DURABLE,no
2024,24,b64a8b53-b990-4039-9de8-4c09f8451bd9,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2024,25,4fc90b0f-6ed7-4354-9010-ad78c0d78f6e,DURABLE,T3,"Current rule, no date in stem (§3.1)",medium,DURABLE,no
2024,26,fe284090-9d9a-4778-b5d7-8077b79b8919,DURABLE,T3,"Current threshold, no date in stem (§3.1)",medium,DURABLE,no
2024,27,b2a52ab0-82ae-4a9f-8dab-c2236aade5b9,DURABLE,T3,Current FAR rule (§3.1),medium,DURABLE,no
2024,28,9c570193-9a1e-4cbd-b7b3-681465a46cc8,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2024,29,75a85026-bcd3-4129-af8e-f18aa5c654c8,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2024,30,5c3e362e-0dba-4003-958b-ceadce1d9318,DURABLE,T3,Current risk-weight treatment (§3.1),medium,DURABLE,no
2024,31,896c2b31-f466-409b-b800-641be3efc1f0,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2024,32,fbb7d25c-0b56-4599-b422-c45b381efb42,DURABLE,T3,Statements attributed to a named RBI report (§3.3),medium,DURABLE,no
2024,33,e0dd0b78-f9d6-405e-87ea-9b10832a9650,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2024,34,bd0aaed2-51ee-40bb-934c-4143bf4f79f9,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2024,35,feb37eb8-99d5-4dfa-aa89-74c58233eafe,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2024,36,8db74694-48dd-4f21-84a8-e02c0da21137,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2024,37,da7110b3-e6c4-4818-a774-82aaf5d16e42,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2024,38,55094ce0-40a8-4990-9eaf-03ffc2186a32,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2024,39,cbf8c8e6-eb92-4b50-bcb5-17d4206cf7b6,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2024,40,7fb6efd1-134f-4c24-8dc9-ca288daeb7b2,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2024,41,798d40be-1be7-4acf-8f24-875065255b8c,PERISHABLE,T1,IRDAI penalty on a named NBFC,high,PERISHABLE,no
2024,42,639680ba-7e80-4f08-a577-ecd031b9f062,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2024,43,4f04deeb-e43b-4ab1-aa7a-b598d75d3e61,PERISHABLE,T1,HaRBInger 2024 problem statements,high,PERISHABLE,no
2024,44,1af91cef-9299-4846-8359-82d9dc8c63d2,DURABLE,T3,Current permission value (§3.1),medium,DURABLE,no
2024,45,0cb19ff4-2eaf-4191-b2a9-ad0ce688bd37,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2024,46,b61bbbac-da6c-4286-a75f-5a618ca7fd9d,DURABLE,T3,"Current minimum, no date in stem (§3.1)",medium,DURABLE,no
2024,47,4a6c88b5-3ae7-4594-84b6-690a3aa7dfb7,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2024,48,043697de-6bf4-4c94-b702-b6da06187ec2,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2024,49,08524ce8-d0a8-47a9-92c0-7f4655ae1e74,DURABLE,T3,Asked fact is a person's nationality - static; the appointment is only the hook,medium,PERISHABLE,yes
2024,50,0b8b22ff-925a-4d0f-9519-e7897fad65a4,PERISHABLE,T2,Current UNFCCC troika,high,PERISHABLE,no
2024,51,502ce244-eebd-45d6-873c-07b8e0daec11,PERISHABLE,T2,Country with most Gen AI patents - rank,medium,PERISHABLE,no
2024,52,9bcb0ef0-a3f5-4943-b99f-0df2c20550d0,PERISHABLE,T2,Grand Slams won/not won by a player,high,PERISHABLE,no
2024,53,e9341b3c-8605-4df3-9bbc-a4ddc0d5528e,DURABLE,T3,Fixed Olympic history (2008),medium,DURABLE,no
2024,54,75db4cef-c2c5-4107-abe7-abc2c9b2058f,PERISHABLE,T2,EPI ranks,high,PERISHABLE,no
2024,55,10af97a2-2afc-49f3-9394-df831d4706cc,PERISHABLE,T1,Kit-sponsor deal signed,high,PERISHABLE,no
2024,56,ebbc4dd1-e619-499d-aa50-57e603aaf3ff,PERISHABLE,T2,India's current G20 Sherpa,high,PERISHABLE,no
2024,57,b072a614-e11b-43ef-a926-102f8e4f61bb,PERISHABLE,T2,Global Peace Index 2024,high,PERISHABLE,no
2024,58,fc5a9390-640e-44c7-9656-3c93bdf37c62,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2024,59,5ea75317-93e0-45f6-b713-e15661a4ea83,DURABLE,T3,Resource geography - stable,medium,DURABLE,no
2024,60,5b44f24f-1c7b-4a42-b822-3393a48b648e,PERISHABLE,T2,IMO top countries,high,PERISHABLE,no
2024,61,53f4f623-2ab7-46e8-9dfb-efb45ce9d735,PERISHABLE,T1,Insurer that launched a named plan,high,PERISHABLE,no
2024,62,ce005ad8-65c4-4c19-984b-3d3ef073fd23,PERISHABLE,T1,Aditya L1 first halo-orbit duration - mission event,medium,DURABLE,yes
2024,63,476a1b17-5848-47ba-9a60-c7015b1a2ef6,DURABLE,T3,Tenth Schedule - static,medium,DURABLE,no
2024,64,8c723e8f-6790-411a-8249-8b60a512b3ce,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2024,65,0b0c9568-a2f0-4dd5-a57f-42866eeb2434,DURABLE,T3,Houthis' home country - static,medium,DURABLE,no
2024,66,2735f8fd-d4a7-4666-b67d-02cb8992a0d9,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2024,67,6e1a77de-bc75-4417-88c8-c6435759514a,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2024,68,2f3f55fb-f6e3-4a9d-a0bf-ee2749f1dc66,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2024,69,4cc1af65-893b-4548-ae4c-af73d2077672,PERISHABLE,T2,Randstad 2024 top brands,high,PERISHABLE,no
2024,70,1633fb70-e013-4f85-8c9f-ad306f6e63d0,PERISHABLE,T2,Kantar report brand ranking,high,PERISHABLE,no
2024,71,ba2458c3-0fa8-4521-bac7-fbd4c2507133,PERISHABLE,T1,Paris Olympics participation,high,PERISHABLE,no
2024,72,c156f5f1-1850-4f96-b60b-1ec4a8f82850,PERISHABLE,T2,ICOMOS 2024 AGM host,high,PERISHABLE,no
2024,73,d699bb86-2cf3-4195-8a66-7b4d2c5faec9,DURABLE,T3,"Answer is the naming register, not the naming event",medium,DURABLE,no
2024,74,be6b9e3c-7dbe-4638-b76c-f66406815e0f,DURABLE,T3,Author of a named book (§3.3),medium,DURABLE,no
2024,75,c2377279-c3a4-4bce-9fac-ad9fe5bce7e8,PERISHABLE,T1,SFB merger effective 1 April 2024,high,DURABLE,yes
2024,76,b4e1528c-a68c-452c-8e6c-80260a6f03e9,PERISHABLE,T2,G7 2025 host venue,high,PERISHABLE,no
2024,77,65c278c8-5e09-4b68-80ca-0aa0a5db073a,PERISHABLE,T1,RBI-Nepal payment-linkage agreement,high,PERISHABLE,no
2024,78,a3fb5fe1-9d94-4d21-9416-8b696ba1e82c,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2024,79,1143acaa-b912-4b79-86a0-2fd5dfabf6db,PERISHABLE,T1,Focus areas of a dated Budget speech,high,PERISHABLE,no
2024,80,7141e43d-e2ad-481a-aba5-d0c402af0930,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2025,1,b7108e45-936d-4893-870f-624e6e2bef72,PERISHABLE,T2,Leading producer states per the Economic Survey - rank,medium,DURABLE,yes
2025,2,df958959-d249-42ea-81c0-7f0b24db6d71,DURABLE,T3,"Product identity, no date in stem",medium,PERISHABLE,yes
2025,3,1cd7dcac-dae6-4539-87d1-57333a5f7193,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2025,4,a4679a2f-94e7-4caf-adc8-c709420959c4,PERISHABLE,T1,GoI-WFP collaboration announcement,medium,PERISHABLE,no
2025,5,d7989933-1358-4c7d-bd31-13187372961d,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2025,6,01e9246e-c036-493d-8981-9d4739dcdb35,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2025,7,c2ec4fae-6110-4573-ac56-3821d770401c,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2025,8,65139476-3941-422f-99a9-0f46bd22a325,PERISHABLE,T2,QS World University Rankings 2026,high,PERISHABLE,no
2025,9,619759c6-e9ee-425b-bf4c-7305035fe1f9,PERISHABLE,T1,GST rate change effective 22 September 2025,high,DURABLE,yes
2025,10,dfd8376e-b493-4685-9978-9cd0c56a6655,PERISHABLE,T2,Current Director General of ICMR (as of 2025),high,PERISHABLE,no
2025,11,17855327-6e9c-44e3-8000-3a19ee8f3519,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2025,12,a563bf34-cab2-4001-aeb0-245426a3a1a6,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2025,13,129a6ae1-1ede-4f52-847a-e0ab53efb929,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2025,14,924f659f-a4d9-4819-afac-6cd769e417b7,DURABLE,T3,Fixed annual observance date,medium,PERISHABLE,yes
2025,15,8394cecb-162c-40a6-a338-f78884177bc1,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2025,16,34547acf-12eb-44c4-abb5-9174c085435d,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2025,17,99e371db-149a-4cdf-81f3-d853748e0d60,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2025,18,261b501a-3b31-42cd-8642-7e5658dbec87,PERISHABLE,T1,Banks partnering with PCAF,high,PERISHABLE,no
2025,19,bf87a311-73c2-40f8-9b01-70dc6c4249ea,DURABLE,T3,Portfolios held historically - not a current-occupant question,medium,PERISHABLE,yes
2025,20,7495cfb4-9663-49a4-99a7-2d0b9e555b7a,PERISHABLE,T1,Campaign launched September 2025,high,PERISHABLE,no
2025,21,91c8e0da-0f3d-42c8-890b-6b68fe32250b,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2025,22,3f519bc3-a2a0-4f94-b6dc-211e29911ee5,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2025,23,8f9e55f9-5f75-4838-bb62-891a601437ec,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2025,24,308cffed-e8b3-4dd3-8b93-4a8642a6d792,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2025,25,c391d9ef-8630-4643-84a1-83f3db790666,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2025,26,3d598a6c-7449-42fa-863b-2bad65abae03,PERISHABLE,T2,Current ISRO Chairperson,high,PERISHABLE,no
2025,27,363e032b-722a-4211-b81a-91a1729e1a25,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2025,28,5522f400-2925-48cf-bbcc-588e713fac1b,PERISHABLE,T1,GCF approval for IGFF,high,PERISHABLE,no
2025,29,308ef4be-d09b-42c0-970e-0cf7baea5fcd,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2025,30,7b50ed9a-79a9-4723-b307-188c86c6ef1b,DURABLE,T3,"Current UPI limit, no date in stem (§3.1)",medium,DURABLE,no
2025,31,da740899-0bcf-41c2-9c3c-a4cdf027d473,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2025,32,ac021134-3d01-4a54-95b6-5bcf930f62e3,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
