"q","topic","difficulty","text"
"28","Meaning of an idiom in context","medium","Get a second wind (i) Even after dissatisfactory reports on his work, his manager decided to give him anoth er chanc e. (ii) After reaching "
"29","Meaning of an idiom in context","medium","Like two peas in a pod (i) Tim left the party immediately after John did, following in his footsteps. (ii) As soon as the waves subsided, th"
"30","Meaning of an idiom in context","medium","Once bitten, twice shy (i) He’s very cautious while cr ossing the road after just having recovered from a road accident injury. (ii) After f"
"36","Step count and intermediate-step questions","medium","Which among the following word is third from the right end in step III?"
"37","Step count and intermediate-step questions","hard","How many letters are there between third letter of the second word from the left end in step II and second letter of the fourth word from th"
"38","Step count and intermediate-step questions","medium","What is the sum of the even numbers appeared in step IV?"
"39","Step count and intermediate-step questions","medium","What is the difference between the numbers which are second from the right end in step IV and third from the left end in step V?"
"40","Step count and intermediate-step questions","medium","Which among the following word is second to the left of third word from the right end in step II?"
"41","Cause and effect","medium","What could be the fallout of the new excise policy approved by Delhi government?"
"42","Statement and assumption","medium","Which of the following can be postulated from the above statement? (I) Central government is not in the favour of move by Delhi Government. "
"43","Category and attribute matching puzzle","medium","Who among the following goes to Korea?"
"44","Odd-one-out within an arrangement","medium","Four of the following five are alike in a certain way and thus form a group. Who among the following does not belong to the group? [Option a"
"45","Category and attribute matching puzzle","medium","Which among the following statement(s) is/are not true?"
"46","Floor and flat double-variable puzzle","medium","In which among the following floor and flat does G live?"
"47","Floor and flat double-variable puzzle","medium","Which a mong the following pair of persons live to the south west of G?"
"48","Family tree puzzle with generations","medium","How X is related to W?"
"49","Family tree puzzle with generations","medium","What is the sum of the ages of X mother’s and K?"
"50","Family tree puzzle with generations","medium","Who among the following is the child of T?"
"51","Family tree puzzle with generations","medium","What is the ratio of the ages of P’s uncle and S’s daughter?"
"52","Day and week scheduling puzzle","hard","Seven persons i.e. P , Q, R, S, T , U and V attend the business meeting on different consecutive days starts from Tuesday but not necessaril"
"53","Square and rectangular arrangement","hard","Eight persons - A, B, C, D, E, F, G and H sit around a square table such that four of them sit at the corner of the table and the remaining "
"54","Comparison and ordering by attribute","hard","Seven persons i.e., P, Q, R, S, T, U and V have different weight but not necessarily in the same order. Find the third heaviest person among"
"55","Strengthening and weakening an argument","medium","Healthy diet, Regular exercise and Meditation are three key points to maintain your immunity level -Statement given by Health Ministry after"
"56","Statement and assumption","medium","Statement: The Supreme Court said the government’s new rules to regulate OTT (over -the-top) platforms lacked teeth to punish violators or t"
"57","Three or more statement syllogism","medium","Statements: All Dunzo are Zepto. All Zepto are Zomato. Some Zomato is not Otipy. No Otipy is a Drink prime. Conclusions:"
"58","Three or more statement syllogism","medium","Statements: Some Laptop are Grey. All Grey are User. Some User are Wi-fi. All User are Internet. Conclusions:"
"59","Only and only-a-few statements","medium","Statements: Only Paytm is G-pay. Only a few Paytm is UPI. Only a few Phone pe are UPI. All Phone pe are Bharat pay. Conclusions:"
"60","Only and only-a-few statements","medium","Statements: Only a few Wicket is Ball. Only a few Ground is Ball. All Ground are Baller. No Wicket is Baller. Conclusions:"
"61","Age and height ordering","medium","What is the sum of the ages of F and the person who was born in 2002?"
"62","Age and height ordering","medium","How many persons were born between C and the one whose age is 11 years?"
"63","Age and height ordering","easy","Who among the following is the youngest person?"
"64","Age and height ordering","medium","Which among the following statement(s) is/are true?"
"65","Odd-one-out within an arrangement","medium","Four of the following five are alike in a certain way and thus form a group. Who among the following does not belong to the group? [Option a"
"66","Number and digit coding","medium","What is the code for “Public Health” in the given code language?"
"67","Number and digit coding","medium","The code “9RR 28VI” is coded for which of the following word?"
"68","Number and digit coding","medium","What is the code for “German language” in the given code language?"
"69","Two-person path problems","medium","Find the sum of the distance walk by W and F?"
"70","Direction of one point relative to another","medium","In which direction is point C with respect to point Q?"
"71","Path tracing and final position","hard","What is the total distance between S and the one who sits immediate right of D?"
"72","Odd-one-out within an arrangement","medium","Four of the following five are alike in a certain way and hence form a group. Which of the following does not belong to that group? [Option "
"73","Path tracing and final position","medium","Which of the following statement is not true?"
"74","Strengthening and weakening an argument","medium","It is a well -known fact that one can learn and remember things easily if it has got both audio and visual aids instead of just audio. Keepi"
"75","Statement and inference","medium","Obesity is a medical condition in which excess body fat has accumulated to the extent that it may have an adverse effect on a person's healt"
"76","Cause and effect","medium","I. The central government has started to build 500 beds with the help of DRDO in Mumbai after 5000 covid cases come in a single day. II. Ami"
"77","Letter and digit pair counting","medium","Study the following digit -letter -symbol sequence carefully and answer the question given below: @ 7 F 6 G © Z J L 2 € D ¥ M # 8C % B K 1 &"
"78","Circular arrangement Î“Ã‡Ã¶ facing centre","medium","Who among the following sits 8th to the right of T?"
"79","Circular arrangement Î“Ã‡Ã¶ facing centre","medium","___ faces to the one who likes ____ colour?"
"80","Circular arrangement Î“Ã‡Ã¶ facing centre","hard","How many persons sit around the table?"
"81","Odd-one-out within an arrangement","medium","Four of the following five are alike in a certain way and hence form a group. Which of the following does not belong to that group? [Option "
"82","Circular arrangement Î“Ã‡Ã¶ facing centre","hard","If T and Q interchanged their position then, how many persons sit between Q and A when counted to the right of Q?"
"83","Cause and effect","medium","I. This year Bihar has record result of 98% in Intermediate Board Examination. II. Transport facility has been improved in Bihar in recent y"
"84","Direction of one point relative to another","medium","In which direction is point P with respect to point A?"
"85","Odd-one-out within an arrangement","medium","Four of the following five are alike in a certain way and hence form a group. Which of the following does not belong to that group? [Option "
"86","Box and stack puzzle","medium","Which among the following combination is correct?"
"87","Box and stack puzzle","medium","How many boxes are kept between box S and the box which contains clothes?"
"88","Box and stack puzzle","medium","Which among the following box contains marker?"
"89","Box and stack puzzle","hard","If all the boxes are arranged from top to bottom in an alphabetical order then the position of how many boxes remains unchanged?"
"90","Box and stack puzzle","medium","In which of the following shelf does the box contain pen is kept?"
"91","Volume and surface area of solids","hard","The lateral surface area of a cube is 420 cm2 less than lateral surface area of a cylinder and the height of cylinder is 2x cm. If radius of"
"92","Discount and marked price","medium","The marked price of an article is 1.45 times its cost price and the selling price of the article is Rs. 750. If profit percentage of shopkee"
"93","Mixtures and alligation","medium","Vessel A contains 80 liter milk and 12 liters water, while vessel B contains 156 liters mixture of milk and water are in the ratio of 10 : 3"
"94","Partnership and profit sharing","hard","P and Q started a business together and investment of P is Rs. 2000 more than that of Q. After eight months, P left the business. At the end"
"95","Simple and compound interest","medium","A man invested Rs. 6500 on compound interest at the rate of 10% p.a. for two years in scheme A. Find the total interest (approximate) receiv"
"96","Income, expenditure and savings","medium","If total amount spends by A on EMI and house rent is 50% of his total monthly income and total amount pay by B for EMI is Rs. 15000, then fi"
"97","Income, expenditure and savings","hard","The amount spends on house rent by A is Rs. 5000 more than that of B and total amount spends on house rent paid by A is Rs. 3000 more than t"
"103","Inequalities and relationship determination","medium","Quantity I: Value of ‘ x’ for equation ( √px)2 = p4 √p16 Quantity II: Value of ‘ y’ for equation √y4 = √256"
"104","Inequalities and relationship determination","hard","Given, p > 1 > q > 0. Quantity I: Value of p3−q3 p−q −3pq. Quantity II: Value of (1 −1 q)"
"105","Quadratic equations Î“Ã‡Ã¶ root comparison (x vs y)","medium","Find the ratio of smallest root of equation I to the smallest root of equation II. (a) 1 : 2"
"106","Quadratic equations Î“Ã‡Ã¶ root comparison (x vs y)","easy","Find the value of (p + q)."
"107","Quadratic equations Î“Ã‡Ã¶ root comparison (x vs y)","hard","Find the both roots of equation (p+q)2a2 + (3pq +1) a −6=0."
"108","Wrong-term series","hard","If X is the correct number which replace the wrong number of the series 229, 256, 320, 441, 661, 1004, then which of following statement/s i"
"109","Number series Î“Ã‡Ã¶ multiplicative and mixed patterns","hard","Series (A): 1332, 612, 492, Y, 462, 460 If Y−18 5 is a fourth term of series (B) and follow same pattern as of the series (A), then find the"
"110","Number series Î“Ã‡Ã¶ arithmetic and difference patterns","hard","49, ?, 82, 145, 269, 484, 826 If ?=A+6, then find the nearest square of A."
"111","Data sufficiency","hard","P , Q and R entered into a partnership. After ten months, P and Q left the business. Find the total profit at the end of year. Statement I. "
"112","Data sufficiency","hard","Find the downstream speed of boat. Statement I . Difference between downstream speed of boat and speed of the boat in still water is 12 km/h"
"113","Data sufficiency","hard","Two train A and B running in same direction and cross each other i n 32X seconds. Find the value of X. Statement I. Train B crosses a 140 me"
"114","Data sufficiency","hard","Find the difference between age of Z five years hence to age of X seven years ago. Statement I. Age of Z eight years hence will be eight yea"
"120","Trains Î“Ã‡Ã¶ crossing platforms and each other","hard","Length of train A is 60 meters less than train B and they cross a pole in 24 secs & 108 7 secs respectively. If speed of train B is 126 km/h"
