row_type,row_id,paper_year,question_number_or_topic_id,text_preview,flags,sample_reason,decision,notes,assign_topic_id,difficulty
"question","68aedf71-b510-491a-8647-6045bba915a5","2023","2","Make a Précis of the following passage in 120 words and give it a suitable title: - (35 Marks) It’s taboo but we all think about it. We are ","non_ascii_suspect","flagged","","","","",""
"question","b999b013-26f1-4afd-a8e5-3d1de75a5eb7","2023","2","Which securities can individuals invest in under the Retail Direct Scheme? {Topic- Capital Market (Debt Market)}","","","","","","easy",""
"question","d20d52d3-62b1-4b9a-b400-d286a59acba8","2023","2","How many complaints against companies and market intermediaries received through SCORES platform was disposed of in February according to th","","spot_check","","","","",""
"question","2c0c538e-305e-42ec-839f-644d6e6fc866","2023","2","What is the maximum investment in equity allowed under the Atal Pension Yojana (APY) guidelines? (Topic- Atal Pension Yojana)","","","","","","easy",""
"question","a3163e08-c50a-418e-8393-115f817a5b55","2023","2","Which of the following statements about IFSC banking units is INCORRECT? (Topic- IFSCA Regulations - Banking, Bullion, Capital Market and In","","","","","","easy",""
"question","dceb7f80-b2b8-4b4f-bde3-47867e1af9a1","2023","3","14.98 ×8.04 + 21.07 × 30.05 =?","non_ascii_suspect","flagged","","","","",""
"question","7a4781c6-2247-4ce4-892c-dcc4176a5d19","2023","3","UIDF will be managed by the _________, and will be used by public agencies to create urban infrastructure in ___________ (Topic- Latest Unio","suspicious_repeat_char","flagged","","","","",""
"question","bd0d36af-3a40-459e-95fe-6078ffd737a6","2023","3","How many people are facing south in a row?","no_primary_tag","flagged","","","","",""
"question","5e97bbea-e4fa-4720-ae9b-9e6200bf60f2","2023","3","Read the given Passage and answer the Question given below based on the Passage:- (35 Marks) India's service sector growth continued to stre","non_ascii_suspect","flagged","","","","",""
"question","12e58177-e375-4702-8465-c0ebaf32f2c7","2023","3","What is the Minimum Lock-in period of the medium- and long-term government deposits under the Medium- and Long-Term Government Deposit (MLTG","","","","","","hard",""
"question","bbc0b1a1-895e-43e0-88e6-4460d385b999","2023","3","Name the bank whose finance arm has received capital markets regulator SEBI’s nod to raise up to ₹2,500 crore through rights issue of shares","non_ascii_suspect","flagged","","","","",""
"question","b5297708-48ff-416b-9eac-7896e0d9be86","2023","3","The Central Government had introduced the National Pension System (NPS) with effect from January 1, 2004 (except for armed forces). Pension ","suspicious_repeat_char","flagged","","","","easy",""
"question","90f7ca25-b20b-49f9-9036-5d9bd0a71bb1","2023","3","What is the minimum capital requirement of an IFSC Banking Unit (IBU)? (Topic- IFSCA Regulations - Banking, Bullion, Capital Market and Insu","","","","","","hard",""
"question","6934e704-1a0e-42f1-b0e7-c6233ecfbf6c","2023","4","1653.04 ÷ 57.01 x 39.93 =? + 19.98","non_ascii_suspect","flagged","","","","",""
"question","c103b38e-38c6-4819-839e-8062574da247","2023","4","Total Estimated Expenditure in Budget 2023 – 2024 is _________. (Topic- Latest Union Budget)","non_ascii_suspect;suspicious_repeat_char","flagged","","","","",""
"question","0bfc2bff-4309-457e-a425-6082039f6d9a","2023","4","Who faces the same direction as Emily?","no_primary_tag","flagged","","","","",""
"question","b067d9f2-d8be-4246-9029-9988758bfc3b","2023","4","Banks must maintain a stock of gold that is at least equal to the amount of gold that is expected to be redeemed by depositors under the Med","suspicious_repeat_char","flagged","","","","hard",""
"question","69362348-21a9-493c-a618-e3c5da9ea61b","2023","4","An ‘Infrastructure Finance Company (IFC)’ status has been granted to which renewable energy company by Reserve Bank of India (RBI)?","non_ascii_suspect","flagged","","","","",""
"question","aa744e57-f536-44e1-9448-8c847865c51d","2023","4","As per IRDAI, corporate agent (health) may have arrangements with a maximum of _____________ insurers in their respective lines of business.","suspicious_repeat_char","flagged","","","","hard",""
"question","eb219bbc-4ec4-4f0d-a403-119ecdfabd74","2023","4","International Financial Services Centres Authority (IFSCA) banking units are not covered under which of the following? (Topic- IFSCA Regulat","","","","","","easy",""
"question","53980026-c5c4-4897-86bc-272bc1b05bf5","2023","5","18.95 × √224.95 =? × √25.03","non_ascii_suspect","flagged","","","","",""
"question","a9824e74-bdde-4309-b176-a2664a6aeec8","2023","5","Fiscal Deficit target in FY 2023 – 2024 __________ to be reduced to 4.5% by _________. (Topic- Latest Union Budget)","non_ascii_suspect;suspicious_repeat_char;no_primary_tag","flagged","","","","",""
"question","7215e382-ad60-41c2-82a9-325831d4e3b9","2023","5","Who is an immediate neighbor of Alice?","no_primary_tag","flagged","","","","",""
"question","7358b516-2cb6-4c48-a35a-7dda694260c8","2023","5","Which of the following entities can participate in the auction of gold under the Gold Monetization Scheme (GMS)? (Topic- Bullion)","","","","","","easy",""
"question","20fb8bc4-b04c-4c4e-b930-3e2edb473c93","2023","5","How much liquidity has been infused into the banking system by Reserve Bank of India (RBI) via the 14-day Variable Repo Rate (VRR) auction a","","","","","","",""
"question","2161c510-2ea5-4199-89a2-12dd65715560","2023","5","In accordance with the International Financial Services Centres Authority (IFSCA) (Issuance and Listing of Securities) Regulations, 2021, wh","","","","","","hard",""
"question","929abe1e-2746-4de0-a46e-f8dc641d760c","2023","6","Ratio of the speed of the car to bike is 4:3 and the bike travels 40 km less than the car in the same time duration. What is the distance tr","","spot_check","","","","",""
"question","a9263638-fea5-44da-9f1d-fe1cf9308afe","2023","6","Which of the following sector not been identified as One Hundred Critical transport infrastructure projects, for last and first mile connect","","spot_check","","","","",""
"question","649b73c0-79e6-4907-88fd-feb22e5379fd","2023","6","Who among the following person stays immediately above N?","","spot_check","","","","","[caselet] Ten persons, X, Y, Z, M, N, O, P, Q, R, and S, are staying in two different flats, namely Flat Alpha and Flat Beta, in a five-storey building. The lowermost floor is numbered as 1, and the floor immediately above it is n"
"question","8b286785-2b1f-49d9-af1f-8f63ee0856b8","2023","6","Which of the following Acts is not under the purview of the Reserve Bank of India (RBI)? {Topic- Banking (Functions of RBI)}","","","","","","easy",""
"question","5d316a26-555f-4dc8-9c55-ba75b5683dc4","2023","6","A fine of ₹3.06 crores imposed by RBI on which company?","non_ascii_suspect","flagged","","","","",""
"question","4115f49f-0e0c-46a3-9a7b-65641924e207","2023","6","According to the International Financial Services Centres Authority Act of 2019, which of the following options is not classified as a finan","","spot_check","","","","easy",""
"question","f0c61c17-6beb-416e-b8b7-9ae684ee089d","2023","7","A shopkeeper bought two articles A and B such that he had a Profit of 15% and 20% on selling article, A and B respectively. Selling price of","","","","","","",""
"question","52626efe-51e6-4993-9cc2-86cc5f5877ed","2023","7","In which of the following year Railway Budget was merged with the Union Budget? (Topic- Latest Union Budget)","","","","","","easy",""
"question","da42d118-aaaa-4815-ac8a-df9dc904be2b","2023","7","On which of the following floor and flat does P stay?","","","","","","","[caselet] Ten persons, X, Y, Z, M, N, O, P, Q, R, and S, are staying in two different flats, namely Flat Alpha and Flat Beta, in a five-storey building. The lowermost floor is numbered as 1, and the floor immediately above it is n"
"question","9201f1c1-81dc-41cc-8d61-e5d71a04f593","2023","7","An NBFC -factor shall ensure that its financial assets in the factoring business constitute at least _______________of its total assets and ","suspicious_repeat_char","flagged","","","","hard",""
"question","f13d688c-884a-4931-a3fe-4ffbfeb82d3e","2023","7","As per Centre for Monitoring Indian Economy, all India unemployment rate remained elevated in February 2023 and rose to______ from 7.14% in ","suspicious_repeat_char","flagged","","","","",""
"question","61b2c923-e599-47de-952e-7dbac1111ec8","2023","7","Section 13 of the IFSCA Act 2019 does not list which of the following regulators as a body whose powers have been transferred to the IFSCA? ","","","","","","easy",""
"question","2eef3460-632a-44b2-8282-08adc73cce25","2023","8","A boat can travel 90 km upstream and 120 km downstream in 12 hours 30 minutes. What is the speed of the stream, if the boat can travel 60 km","","","","","","",""
"question","22a5c76b-99c8-4e97-b9a6-be7aaf5180b8","2023","8","The average monthly gross GST collection has increased from crore in _________ FY18 to ₹1.49 lakh crore in FY23 (Topic- Latest Economic Surv","non_ascii_suspect;suspicious_repeat_char","flagged","","","","",""
"question","e3d8429c-66bf-465d-9991-5d94a413efb0","2023","8","Four of the following five are alike in a certain way as per the given arrangement and hence form a group. Find the one who doesn’t belong t","non_ascii_suspect","flagged","","","","","[caselet] Ten persons, X, Y, Z, M, N, O, P, Q, R, and S, are staying in two different flats, namely Flat Alpha and Flat Beta, in a five-storey building. The lowermost floor is numbered as 1, and the floor immediately above it is n"
"question","ab7dc6b4-39be-4b0e-a5fb-60656794b65d","2023","8","As per RBIs directions on Bank Finance to Non-Banking Financial Companies (NBFCs), what is the present ceiling on bank credit linked to the ","","spot_check","","","","hard",""
"question","08ab6a0b-3b99-436c-a343-64bafa824c06","2023","8","According to data provided by the Ministry of Statistics and Programme Implementation (MoSPI), the indian economy grew at _____ between Octo","suspicious_repeat_char","flagged","","","","",""
"question","4f37e2cb-b5a6-42fa-bd09-4d0d5c90a389","2023","8","What was the enactment year of the International Financial Services Centres Authority (IFSCA) Act? (Topic- IFSCA Act)","","","","","","easy",""
"question","cb3c392b-766a-4be7-9c9e-40145a6f2dfb","2023","9","If the product of the present ages of A and B is 864 and the ratio of the ages of A to B is 2:3, then what is A’s age after 20 years?","non_ascii_suspect","flagged","","","","",""
"question","056aaf92-a1b7-4a0f-b642-ea9ae55f3534","2023","9","Which of the following is not a challenge faced by the agriculture sector in India? (Topic- Latest Economic Survey)","no_primary_tag","flagged","","","","",""
"question","33f5bc51-298d-4b27-80e5-90e72ec8af26","2023","9","What is the position of Z with respect to N?","","","","","","","[caselet] Ten persons, X, Y, Z, M, N, O, P, Q, R, and S, are staying in two different flats, namely Flat Alpha and Flat Beta, in a five-storey building. The lowermost floor is numbered as 1, and the floor immediately above it is n"
"question","0ab83085-f2d2-4685-8ea3-284baed42f6d","2023","9","According to the Securities and Exchange Board of India (SEBI) annual report, how many clearing corporations are there in India? {Topic- Cap","","","","","","hard",""
"question","3873d4d2-042b-4051-bb10-6d2a998a2ad7","2023","9","According to Reserve Bank of India, the bank credit growth stood at _____ for 3 months ending December 2022.","suspicious_repeat_char","flagged","","","","",""
"question","d7ddbf2d-9415-41b8-a77a-a5a97681baf0","2023","9","Units operating in the IFSCA are granted a ____% income tax exemption for ____ consecutive years of the 15-year term. (Topic- GIFT City and ","suspicious_repeat_char","flagged","","","","easy",""
"question","47bc7755-173d-4268-9476-797d86cc473b","2023","10","A milkman has the mixture of milk and water in the ratio of 3:2. When he sold 20 Liters of the mixture and then added 5 litres of water, the","","","","","","",""
"question","0dfb0389-494f-4b88-bbd0-04d26192a566","2023","10","How many floors are between Q and O?","","","","","","","[caselet] Ten persons, X, Y, Z, M, N, O, P, Q, R, and S, are staying in two different flats, namely Flat Alpha and Flat Beta, in a five-storey building. The lowermost floor is numbered as 1, and the floor immediately above it is n"
"question","03c1d1e6-b425-40ed-a7ef-67a19a1581f4","2023","10","As per the social stock exchange framework issued by SEBI, Not for Profit Organization (NPO) may not raise funds from which of the following","","","","","","medium",""
"question","aad9dfd0-6ba6-4dfb-92c3-11dcb5cdcf5a","2023","10","Wholesale price index (WPI)-based inflation rate fell to ______ in February, according to the data by the Ministry of Commerce and Industry.","suspicious_repeat_char","flagged","","","","",""
"question","97f1b7f6-b42d-4188-89d5-4460760f8b51","2023","10","Which institution is the first international university established within the IFSCA? (Topic- GIFT City and GIFT IFSCA)","","","","","","easy",""
"question","eae7b9ad-3a6e-4158-885b-e0dee39652fa","2023","11","(I) x2 – 10x – 24 = 0 (II) y2 + 4y + 4 = 0","non_ascii_suspect","flagged","","","","",""
"question","82b9805b-9e9b-4380-b175-0d41a75f8aac","2023","11","Statements: All bread is butter. No butter is cream. All cream is bad. Conclusions: I. All bread are bad II. Some bad are butter","","spot_check","","","","",""
"question","fb560278-e4f9-499a-af3f-e725bfe9d403","2023","11","What is the main objective of capital issued by a company? {Topic- Capital Market (Equity Market)}","","","","","","easy",""
"question","02c57051-e05e-4e30-99fc-e941bf153e0c","2023","11","As per UK-based Brand Finance list, which telecom brand is ranked as the most valuable brand globally?","no_primary_tag","flagged","","","","",""
"question","e43db304-1351-4657-8dd7-e53ec8931832","2023","11","On what date did the International Financial Services Centres Authority assumed the powers of the RBI, SEBI, IRDAI, and PFRDA for IFSCs? (To","","","","","","easy",""
"question","0bc60b1d-dfb4-4ae6-9d56-57bc8110d519","2023","12","(I) x2 -17x + 52 =0 (II) y2 -14y + 45 =0","","","","","","",""
"question","03953220-dfa8-4d48-b815-79304eabd8e9","2023","12","Statements: A few plants are not green. All green are colorful. No colorful is black. Conclusions: I. No black is green. II. No plant is bla","","","","","","",""
"question","8a12b758-e524-44af-b9e7-f474f5f10875","2023","12","Anchor investors have a lock-in period of____________ during which they cannot sell their shares or offload their shares holdings. {Topic- C","suspicious_repeat_char","flagged","","","","hard",""
"question","49523e36-0371-4478-b694-4ba1b2227f26","2023","12","Moody's Investors Service has revised India's growth estimate for 2022 to_______ from 7 per cent pegged in November 2022.","suspicious_repeat_char","flagged","","","","",""
"question","b8d8c558-55ed-43c6-9e1e-2bd295572fb4","2023","12","As per the Global Financial Centres Index, which listed financial centre does not feature among the top five financial center? (Topic- Globa","no_primary_tag","flagged","","","","",""
"question","82fd27d7-3235-4710-b696-90f1b05b42c4","2023","13","(I) x2 – 25x + 84 = 0 (II) y2 – 28y + 147 = 0","non_ascii_suspect","flagged","","","","",""
"question","da991ebd-9300-4d33-949b-4f6800403f80","2023","13","Statements: No tiger is a dog. Some rats are tigers. All domestic are dogs. Conclusions: I. No tiger is a rat. II. All dogs are definitely n","","","","","","",""
"question","78977083-5ecc-4770-81f0-3a535762e3a1","2023","13","As per social stock exchange framework what is the minimum corpus requirement of Social Impact Fund? {Topic- Capital Market (Equity Market)}","","","","","","hard",""
"question","25df6a1b-62c9-409a-b7b8-19a38e98823e","2023","13","__________ and Federal Bank will partner with association of microfinance institutions Sa-Dhan and Delhi-based fintech solutions provider Ne","suspicious_repeat_char","flagged","","","","",""
"question","4d731586-16dd-40bd-9f69-6f548dd146aa","2023","14","(I) x2 – 5x + 6 = 0 (II) y2–8y + 15 = 0","non_ascii_suspect","flagged","","","","",""
"question","fdd95d43-8e51-4349-bac4-15bde69d2e86","2023","14","Statements: Some music is videos. No book is bad. All books are music. Some bad are not videos. Conclusions: I. All bad being a book is a po","","","","","","",""
"question","652d2816-839f-4387-beed-effcda2c25d1","2023","14","Multilateral exercise La Perouse (3rd Edition) is being organized from 13 to 14 March 2023 in the Indian Ocean region. Which among the follo","non_ascii_suspect","flagged","","","","",""
"question","ddc59105-689e-4ef6-8800-882023b8057e","2023","15","(I) x2 – 8x + 15 = 0 (II) y2 + y – 12 = 0","non_ascii_suspect","flagged","","","","",""
"question","c1423e7a-f618-434e-9800-f61dcef21a8c","2023","15","Statements: Some metros are trains. Some metros are lucky. All lucky is great. No human is lucky. All wise are humans. Conclusions: I: All m","","","","","","",""
"question","472ee992-4fdc-4c5c-8618-36c929e07050","2023","15","State the theme of World Wildlife Day 2023?","","","","","","",""
"question","1eb10396-c387-499a-a1a2-b321ffc5a1aa","2023","16","Total number of orders delivered in 2005 is how much more/less than total number of orders delivered in 2002?","no_primary_tag","flagged","","","","",""
"question","72bfaad3-c34f-438b-a030-82974d962840","2023","16","Who is the sister-in-law of Zane?","","spot_check","","","","","[caselet] Eight persons — Harper, Zane, Nova, Orion, Luna, Atlas, Vega, and Lyra — consist of a family of three generations. There are three females and two married couples in the family. For every person in the family, either bot"
"question","d2a81d03-1485-4aef-a8fc-2e408268b68d","2023","16","Who has been elected as the new President of Vietnam?","no_primary_tag","flagged","","","","",""
"question","2a06f4c5-bd1c-4c94-9550-0ab4935c4372","2023","17","Find the ratio of total number of orders delivered in 2001 and total number of orders delivered in 2004?","no_primary_tag","flagged","","","","",""
"question","e5e22611-99ac-4052-a46b-03b3b6dfb3b7","2023","17","How is Luna related to Harper?","","","","","","","[caselet] Eight persons — Harper, Zane, Nova, Orion, Luna, Atlas, Vega, and Lyra — consist of a family of three generations. There are three females and two married couples in the family. For every person in the family, either bot"
"question","3e7d2dd0-6cb1-4c46-9514-bddeab8813fa","2023","17","____ partnered with Aadhar Housing Finance to offer home loans for salaried employees, loan for plot purchase and construction, home improve","suspicious_repeat_char","flagged","","","","",""
"question","432409d6-f34d-4628-963c-f23211693625","2023","18","Total number of orders delivered in 2003 is what percentage of total number of orders delivered in 2001?","no_primary_tag","flagged","","","","",""
"question","c9a62049-9d47-4eb8-8090-f8c068596141","2023","18","Who is the husband of Orion?","","","","","","","[caselet] Eight persons — Harper, Zane, Nova, Orion, Luna, Atlas, Vega, and Lyra — consist of a family of three generations. There are three females and two married couples in the family. For every person in the family, either bot"
"question","69727384-8d2c-4dba-a6ef-a77f20fe1a3d","2023","18","Badri Narayan received the prestigious literary award Sahitya Akademi Award, 2022 for?","","spot_check","","","","",""
"question","4bce7963-5d8d-4b89-947f-736645849e23","2023","19","Find the difference between the total number of orders delivered in 2003 and total number of orders delivered in 2005?","no_primary_tag","flagged","","","","",""
"question","604dbd30-efc1-4855-90fc-db0cec1ef276","2023","19","How many children does Lyra have?","","","","","","","[caselet] Eight persons — Harper, Zane, Nova, Orion, Luna, Atlas, Vega, and Lyra — consist of a family of three generations. There are three females and two married couples in the family. For every person in the family, either bot"
"question","b852787c-8515-47db-bde0-bf11af4cab10","2023","19","Who among the following has been honoured with the ‘Player of the Year Award’ by the Asian Chess Federation?","non_ascii_suspect","flagged","","","","",""
"question","917683c3-803f-4952-93a0-fe9cb2bf5a6d","2023","20","If the ratio of number of orders delivered in 2002 and 2006 is 3:5 and then find the average number of orders delivered in 2004 and 2006 tog","no_primary_tag","flagged","","","","",""
"question","04cb450f-2a15-4af3-8f3f-261acf778429","2023","20","How many performances happened between the performances of Daniel and Harper?","","","","","","","[caselet] Ten persons Ethan, Olivia, Rohan, Liam, Norah, Mia, Harper, Isabella, Daniel and Ava performed in a competition on the 12th and 23rd of each month among June, July, August, September and October, such that only one perso"
"question","08453c9c-6a58-4300-9e5b-76792a575b76","2023","20","As per direction of SEBI the issue summary document for filing papers pertaining to IPO and for further issue of securities in XBRL format w","suspicious_repeat_char","flagged","","","","hard",""
"question","d2bd17a5-3977-4fba-8092-dd6fd60ba3a8","2023","21","A can complete the work in 18 days and A and B together can complete the half of the work in 6 days. C is 20% more efficiency than B. In how","","spot_check","","","","",""
"question","29bcd77c-4860-429b-86c0-6f4693cb0247","2023","21","In which month did Harper inform?","","spot_check","","","","","[caselet] Ten persons Ethan, Olivia, Rohan, Liam, Norah, Mia, Harper, Isabella, Daniel and Ava performed in a competition on the 12th and 23rd of each month among June, July, August, September and October, such that only one perso"
"question","7a27952f-094e-47cf-a29f-c46b263107cb","2023","21","PM Modi releases the 13th installment of financial benefits worth ____ to over eight crore eligible farmers under the flagship PM-KISAN sche","suspicious_repeat_char;no_primary_tag","flagged","","","","",""
"question","d8690373-acfa-4932-ac5d-e122052c72c7","2023","22","There are three sections (A, B and C) in class 6. The average marks scored by 25 students in Section A is 42, average marks scored by 20 stu","","","","","","",""
"question","45a6a8d5-52cb-4355-a5c1-188133d206f8","2023","22","Who performed immediately after Noah?","","","","","","","[caselet] Ten persons Ethan, Olivia, Rohan, Liam, Norah, Mia, Harper, Isabella, Daniel and Ava performed in a competition on the 12th and 23rd of each month among June, July, August, September and October, such that only one perso"
"question","8f3afe81-7e6f-4abf-b97f-fc299ab5c635","2023","22","Second global hackathon -- 'HARBINGER 2023 - Innovation for Transformation' announced by Reserve Bank of India with the theme -","","","","","","",""
"question","55922c43-c638-4d3c-b94d-c8b2980505b4","2023","23","In a bank examination, the number of passed candidates was five times the number of failed candidates. If there had been 40 less candidates ","","","","","","",""
"question","cd28117d-ad42-44b2-89c1-218e74f24906","2023","23","How many persons performed before Olivia?","","","","","","","[caselet] Ten persons Ethan, Olivia, Rohan, Liam, Norah, Mia, Harper, Isabella, Daniel and Ava performed in a competition on the 12th and 23rd of each month among June, July, August, September and October, such that only one perso"
"question","d95747dd-1bed-4f25-9577-1de55cefbaf3","2023","23","Name the first private sector bank to take up a service that allows customers to use RuPay credit cards on UPI with BHIM and other UPI - ena","","","","","","",""
"question","b611cd96-b9aa-4241-a80e-51761873ed7f","2023","24","A wire is looped in the form of rectangle whose area is 96 cm2 and the ratio of the length to breadth of the rectangle is 3:2. If the same w","","","","","","",""
"question","1257cd2b-5e04-40c9-9336-67e13e41e4a2","2023","24","Find the odd one out","","","","","","","[caselet] Ten persons Ethan, Olivia, Rohan, Liam, Norah, Mia, Harper, Isabella, Daniel and Ava performed in a competition on the 12th and 23rd of each month among June, July, August, September and October, such that only one perso"
"question","58a02ded-d15a-4d3b-80fe-e6e9681f4ddc","2023","24","Financial Literacy Week 2023 organized by Reserve Bank of India will be held from _______?","suspicious_repeat_char","flagged","","","","",""
"question","56dcea39-ae23-44ad-a2c5-7bdac76aeec6","2023","25","Three pipes A, B and C can fill a tank in 12 hours. After working at it together for 3 hours, C is closed and A and B can fill the remaining","","","","","","",""
"question","d82f6d96-6ff5-4f67-970d-98cb300d3bfa","2023","25","If it is possible to make a meaningful word without repetition of the letter with the second, fifth, sixth and seventh letter of the word ‘P","non_ascii_suspect","flagged","","","","",""
"question","93049f99-aa14-499e-8f0f-400aa0306485","2023","25","Direct Tax Collections for F.Y. 2022 - 23 at ₹15 .67 lakh crore – which is _____ % higher than gross collections for corresponding period of","non_ascii_suspect;suspicious_repeat_char;no_primary_tag","flagged","","","","",""
"tag","1efb4f54-332a-4cb9-8b1c-3ba069d9752a","2023","0140aef7-82c3-45de-be0d-e9286820ee7f","Odd-one-out within an arrangement","","spot_check","","","","",""
"tag","9841f673-6416-44ff-bed2-627e08109374","2023","0140aef7-82c3-45de-be0d-e9286820ee7f","Odd-one-out within an arrangement","","","","","","",""
"tag","ee29d4f6-cc38-4f1f-90f5-6a79e03919a8","2023","01f2ee8f-c655-4c2e-912e-e0f18a2d3201","Quadratic equations ΓÇö root comparison (x vs y)","","","","","","",""
"tag","5f6f3d32-da2a-414e-a7b4-6fe6a40f1261","2023","01f2ee8f-c655-4c2e-912e-e0f18a2d3201","Quadratic equations ΓÇö root comparison (x vs y)","","","","","","",""
"tag","23dabf36-6038-454e-8767-428e820b6894","2023","01f2ee8f-c655-4c2e-912e-e0f18a2d3201","Quadratic equations ΓÇö root comparison (x vs y)","","","","","","",""
"tag","4feff0de-04ed-490f-933f-63c1f9737eb6","2023","01f2ee8f-c655-4c2e-912e-e0f18a2d3201","Quadratic equations ΓÇö root comparison (x vs y)","","","","","","",""
"tag","018c5307-d50c-4a3c-aedb-427ed7d8391e","2023","01f2ee8f-c655-4c2e-912e-e0f18a2d3201","Quadratic equations ΓÇö root comparison (x vs y)","","","","","","",""
"tag","0cd28a8c-4833-4613-bc40-ed24fcb4d010","2023","069fdcf6-30e5-4be7-9ef2-6ae4f9631ca6","Social Stock Exchange and Social Impact Funds","","","","","","",""
"tag","855a3f38-3fa6-4e9c-873c-09f74fbd5ebd","2023","069fdcf6-30e5-4be7-9ef2-6ae4f9631ca6","Social Stock Exchange and Social Impact Funds","","","","","","",""
"tag","f5a1f499-ff8b-489a-a242-fd08790d1d86","2023","1326ca6c-e981-4960-8229-e3e61c4b91ab","Current events of international importance","","","","","","",""
"tag","2f81e03e-4afa-4369-9ef5-00fc9c1b06db","2023","1326ca6c-e981-4960-8229-e3e61c4b91ab","Current events of international importance","","","","","","",""
"tag","c91a45be-23f3-4eab-b21e-cc5bb30fd084","2023","1326ca6c-e981-4960-8229-e3e61c4b91ab","Current events of international importance","","","","","","",""
"tag","182660bd-fc62-496a-b81f-b84bb480d1bd","2023","1af08d43-cdee-4c13-bdcd-ac7ef28b7b08","IFSCA Capital Market Regulations","","spot_check","","","","",""
"tag","873d18e0-6162-4204-815d-4d380fef0c23","2023","21fb2f26-ef41-477c-a8eb-2717f20b6083","Pipes and cisterns","","","","","","",""
"tag","4b5142d6-069e-4339-b5ce-7e8ee56ac078","2023","2c0f28df-6ad1-4702-9008-5e671511e626","Asset classes E, C, G and A","","","","","","",""
"tag","63fc4685-751a-4aae-ae0b-bb8069f1aa3b","2023","3976cecf-b912-4229-8e77-757f89f96360","IPO process and book building","","","","","","",""
"tag","e4b8b799-7031-4bd7-a8da-6124529731f6","2023","3a54536e-35fe-4c7a-949c-382476120f62","Square roots, cube roots and powers","","","","","","",""
"tag","66ad29c1-f6d7-4e07-8dfc-48a1cb3f1b7c","2023","3f2a57b9-ea87-4d0e-9296-6651b115c149","Written answers to a passage","","","","","","",""
"tag","97d0eee3-4872-41e8-b2b0-f0eed6d565cb","2023","479587ab-2cef-4046-9da4-c0ca924e8ef6","Word formation from given letters","","","","","","",""
"tag","47a98b09-cc84-42c2-8144-3d5333ffd7bb","2023","47d00077-5f85-ba3b-fc49-cf7405914aa2","Pr├⌐cis Writing","","","","","","",""
"tag","35801d54-a6e3-444d-9fe2-df42ad0c1e12","2023","528ffbb5-94cb-438d-a875-c854d0f65ec5","Averages ΓÇö simple and weighted","","","","","","",""
"tag","cb179cb1-4890-4113-966b-c4859dc9e30c","2023","63d9ed95-155f-b31b-acd8-3bb63b0bbb76","Essay Writing","","","","","","",""
"tag","84e67484-2272-42b5-aff2-af3a6b13eb85","2023","652eb8c7-a25a-48c1-b51d-ddf64f8ede1b","Family tree puzzle with generations","","","","","","",""
"tag","7a060f1f-1a1f-44d6-b1ca-8a8c4b9d765a","2023","652eb8c7-a25a-48c1-b51d-ddf64f8ede1b","Family tree puzzle with generations","","","","","","",""
"tag","c4cac335-604f-46c6-b469-bc957432777b","2023","652eb8c7-a25a-48c1-b51d-ddf64f8ede1b","Family tree puzzle with generations","","","","","","",""
