question_number | question_text
55 | Healthy diet, Regular exercise and Meditation are three key points to maintain your immunity level -Statement given by Health Ministry after cases of corona has been increased rapidly. Uses of mask, sanitizer has been encouraged. Washing hands with soaps and social distancing has been advised. Which of the following diminish the advisory by Health Ministry?
56 | Statement: The Supreme Court said the government’s new rules to regulate OTT (over -the-top) platforms lacked teeth to punish violators or to screen offensive content. There is no provision for punishment or fine. What is the mechanism to control and regulate these platforms?” Justice Ashok Bhushan, heading a Bench, asked Solicitor General Tushar Mehta. Mr. Mehta agreed and said, “We can come out with a draft and place it before the court,” he stated. Which of the following can be assumed from the above statement? (I) Youth generations are diverting to wrong direction after watching web series released on OTT containing abusive content. (II) Producer and Director of a recently launched web series are sitting on a strike after Government puts a ban on its further telecast. (III) Government should regulate the OTT and it must be screened by a panel member before release.
57 | Statements: All Dunzo are Zepto. All Zepto are Zomato. Some Zomato is not Otipy. No Otipy is a Drink prime. Conclusions:
58 | Statements: Some Laptop are Grey. All Grey are User. Some User are Wi-fi. All User are Internet. Conclusions:
59 | Statements: Only Paytm is G-pay. Only a few Paytm is UPI. Only a few Phone pe are UPI. All Phone pe are Bharat pay. Conclusions:
60 | Statements: Only a few Wicket is Ball. Only a few Ground is Ball. All Ground are Baller. No Wicket is Baller. Conclusions:
61 | What is the sum of the ages of F and the person who was born in 2002?
62 | How many persons were born between C and the one whose age is 11 years?
63 | Who among the following is the youngest person?
64 | Which among the following statement(s) is/are true?
65 | Four of the following five are alike in a certain way and thus form a group. Who among the following does not belong to the group? [Option a: F...]
66 | What is the code for “Public Health” in the given code language?
67 | The code “9RR 28VI” is coded for which of the following word?
68 | What is the code for “German language” in the given code language?
69 | Find the sum of the distance walk by W and F?
70 | In which direction is point C with respect to point Q?
71 | What is the total distance between S and the one who sits immediate right of D?
72 | Four of the following five are alike in a certain way and hence form a group. Which of the following does not belong to that group? [Option a: W...]
73 | Which of the following statement is not true?
74 | It is a well -known fact that one can learn and remember things easily if it has got both audio and visual aids instead of just audio. Keeping this thing in mind, many study sessions are taken where students are taught with the help of videos. Cinema has been popular since its inception. People came to realize that students can remember more through videos than just from verbal sessions as they observed kids remembering dialogue of the movie, they watched a week ago but nothing from the lecture they attended in the morning. Which of the following weakens the concept discussed in above statement?
75 | Obesity is a medical condition in which excess body fat has accumulated to the extent that it may have an adverse effect on a person's health, leading to reduced life expectancy and/or increased health problems. In other words, it means to be dangerously overweight. Obesity is a leading preventable cause of death worldwide, with increasing prevalence in adults and children, and authorities view it as one of the most serious public health problems of the 21st century. Which of the following can be concluded from the above statement?
76 | I. The central government has started to build 500 beds with the help of DRDO in Mumbai after 5000 covid cases come in a single day. II. Amid surge in covid cases two players of RCB have withdrawn their name form ongoing IPL cricket match.
77 | Study the following digit -letter -symbol sequence carefully and answer the question given below: @ 7 F 6 G © Z J L 2 € D ¥ M # 8C % B K 1 & A W 5 P E 4 Q How many such symbols are there in the above sequence, each of which is immediately preceded by a consonant and immediately followed by a number?
78 | Who among the following sits 8th to the right of T?
79 | ___ faces to the one who likes ____ colour?
80 | How many persons sit around the table?
81 | Four of the following five are alike in a certain way and hence form a group. Which of the following does not belong to that group? [Option a: T-W...]
82 | If T and Q interchanged their position then, how many persons sit between Q and A when counted to the right of Q?
83 | I. This year Bihar has record result of 98% in Intermediate Board Examination. II. Transport facility has been improved in Bihar in recent years.
84 | In which direction is point P with respect to point A?
85 | Four of the following five are alike in a certain way and hence form a group. Which of the following does not belong to that group? [Option a: Q-C...]
86 | Which among the following combination is correct?
87 | How many boxes are kept between box S and the box which contains clothes?
88 | Which among the following box contains marker?
89 | If all the boxes are arranged from top to bottom in an alphabetical order then the position of how many boxes remains unchanged?
90 | In which of the following shelf does the box contain pen is kept?
91 | The lateral surface area of a cube is 420 cm2 less than lateral surface area of a cylinder and the height of cylinder is 2x cm. If radius of the cylinder is x cm and side of the cube is equal to the radius of cylinder, then find the area (approximate) of a circle which radius is (x+3) cm.
92 | The marked price of an article is 1.45 times its cost price and the selling price of the article is Rs. 750. If profit percentage of shopkeeper on the article is 25%, then find the discount (in %) allowed by the shopkeeper.
93 | Vessel A contains 80 liter milk and 12 liters water, while vessel B contains 156 liters mixture of milk and water are in the ratio of 10 : 3 respectively. If vessel A and B mixed into another vessel C which already contains 12 liters waters, then find the percentage of water in vessel C.
94 | P and Q started a business together and investment of P is Rs. 2000 more than that of Q. After eight months, P left the business. At the end of a year, they get total profit of Rs. 6800 and profit share of P is Rs. 400X . Find the investment of Q (Given, 6X3 = 3090 – √324 ).
95 | A man invested Rs. 6500 on compound interest at the rate of 10% p.a. for two years in scheme A. Find the total interest (approximate) received by man on investing the amount he received from scheme A again in the same scheme for two years .
96 | If total amount spends by A on EMI and house rent is 50% of his total monthly income and total amount pay by B for EMI is Rs. 15000, then find total saving of A (Given, A and B had only two expanses from their monthly income i.e., EMI and house rent).
97 | The amount spends on house rent by A is Rs. 5000 more than that of B and total amount spends on house rent paid by A is Rs. 3000 more than total amount pays by him for EMI. If house rend paid by B is 1 3rd of the amount pays by A for EMI, then which of the following possible monthly income (in Rs.) of A.
103 | Quantity I: Value of ‘ x’ for equation ( √px)2 = p4 √p16 Quantity II: Value of ‘ y’ for equation √y4 = √256
104 | Given, p > 1 > q > 0. Quantity I: Value of p3−q3 p−q −3pq. Quantity II: Value of (1 −1 q)
105 | Find the ratio of smallest root of equation I to the smallest root of equation II. (a) 1 : 2
106 | Find the value of (p + q).
107 | Find the both roots of equation (p+q)2a2 + (3pq +1) a −6=0.
108 | If X is the correct number which replace the wrong number of the series 229, 256, 320, 441, 661, 1004, then which of following statement/s is or are correct. I. X is completely divisible by 15. II. (X+2) is a prime number.
109 | Series (A): 1332, 612, 492, Y, 462, 460 If Y−18 5 is a fourth term of series (B) and follow same pattern as of the series (A), then find the first term of series (B).
110 | 49, ?, 82, 145, 269, 484, 826 If ?=A+6, then find the nearest square of A.
111 | P , Q and R entered into a partnership. After ten months, P and Q left the business. Find the total profit at the end of year. Statement I. The profit share of P & R together is 55% more than that of Q. Statement II. Annual profit of R is Rs. 450 less than that of P and annual profit of Q is 80% of R. Statement III. Total amount invested by R & Q are in the ratio of 5:4 respectively.
112 | Find the downstream speed of boat. Statement I . Difference between downstream speed of boat and speed of the boat in still water is 12 km/hr. Statement II . Ratio of upstream speed of boat to speed of boat in still water is 4:7 respectively. Statement III . The sum of time taken by the boat to cover 280 km in downstream and upstream is 24.5 hours.
113 | Two train A and B running in same direction and cross each other i n 32X seconds. Find the value of X. Statement I. Train B crosses a 140 meters bridge in 22.4 seconds. Statement II. Train A can cross a tree in 19 seconds. Statement III. Length of train A is equal to length of train B.
114 | Find the difference between age of Z five years hence to age of X seven years ago. Statement I. Age of Z eight years hence will be eight years Statement II. Twelve years hence, the age of Y will be 52 years. Ratio of present age of X to Y is 3:5 respectively. Statement III. The age of X of 50% more than that of Z.
115 | Find the ratio of people who like only car C to people who like car B.
116 | People like only car A&C together is what percentage people like at least two cars?
117 | Ratio of males to females who like only car A is 11:6 respectively. Find the people who like only car B&C together is how much more/less than males who like only car A?
118 | If 550 people living in the society, then find the people who do not like any of the three cars.
119 | People who like only car A and only car B together is how much percentage more/less than sum of the people who like only car A&B together and people who like only car C?
120 | Length of train A is 60 meters less than train B and they cross a pole in 24 secs & 108 7 secs respectively. If speed of train B is 126 km/hr and length of a bridge is 5/9th of length of train B, then find the time taken by train A to cross the bridge.
(115 rows)
