paper_code,content_hash,year,paper,official_number,sub_part,text,kind,subject_slug,status,proposed_slug,proposed_name,score,runner_up_slug,runner_up_name,runner_up_score,proposer_version,approved,edited_slug,essay_type,reviewer_note
UPSC-CSE-MAINS-GS-2013-GS1,af0461ad0a4452c3b42003e60c82058e4655e8f7dfe42d807fe070a219cdc0f4,2013,GS1,21,,Bring out the causes for the formation of heat islands in the urban habitat of the world.,topic,upsc-cse-mains-gs1,MAPPED,gs-1-physical-geography-of-india-human-geography-and-economic-geography-urbaniza-556f64cf,"Urbanization in India: pattern, issues, rural-urban migration, slum emergence, urban transport/waste/water-sanitation, urban poverty, and inclusive/smart-city responses",0.2181,gs-1-indian-society-urbanization-challenges-growth-of-the-informal-urban-sector-b11bb18c,"Urbanization challenges: growth of the informal urban sector, smart cities as a management tool, flood vulnerability of major cities, rural-urban migration, emergence of slums, urban transport/waste/water-sanitation issues, urban poverty, and the Real Estate (Regulation & Development) Act 2016",0.2037,gs-insert-tag-proposer-v1,,,,
UPSC-CSE-MAINS-GS-2013-GS1,cc68cd188561d295863fd0ec222f0a7df41885728b55206bcf9848f93da9d4f6,2013,GS1,22,,What do you understand by the phenomenon of ‘temperature inversion’ in meteorology? How does it affect weather and the habitants of the place?,topic,upsc-cse-mains-gs1,MAPPED,gs-1-physical-geography-of-india-human-geography-and-economic-geography-monsoon-09bf8afc,"Monsoon, climate & extreme-weather geography: cyclones of the Bay of Bengal and climate change, El Nino and Indian monsoon, Indian Ocean Dipole's weather impact, heat waves/anticyclones/global warming in India, changing Western Disturbances",0.1485,gs-1-geography-world-physical-geography-climatology-atmospheric-composition-and-16e0cb11,"Climatology: atmospheric composition and structure (exosphere to troposphere), insolation and heat balance, temperature distribution and inversion, atmospheric pressure and wind systems (pressure gradient/frictional/Coriolis forces), general/global circulation (Hadley/Ferrel/Polar cells), air masses and fronts, extra-tropical cyclones and thunderstorms/tornadoes, water in the atmosphere (humidity, dew, frost, fog, cloud types, precipitation types)",0.142,gs-insert-tag-proposer-v1,,,,
UPSC-CSE-MAINS-GS-2013-GS1,95a996163656de340a8021214958704987a09f4d3de1c0c8befbaf05baad19ab,2013,GS1,23,,Major hot deserts in northern hemisphere are located between 20-30 deg N latitudes and on the western side of the continents. Why?,topic,upsc-cse-mains-gs1,MAPPED,gs-1-geography-world-physical-geography-world-climate-types-equatorial-tropical-14471d14,"World climate types: equatorial, tropical monsoon/marine, Savanna, hot desert and mid-latitude desert, Mediterranean, temperate continental/oceanic/steppe, China-type, British-type, Siberian, Laurentian, and Arctic/Polar climates",0.265,gs-1-medieval-india-northern-india-in-the-first-half-of-the-18th-century-struggl-3130d5d6,"Northern India in the first half of the 18th century: struggle for Wizarat, Sayyid Brothers, rise of regional states and the beginning of foreign invasions",0.1195,gs-insert-tag-proposer-v1,,,,
UPSC-CSE-MAINS-GS-2013-GS1,32e6589595e76a64c8bee4f06e3e37b7ff5a9b2834e6a8fbb06c50f0dca25ed0,2013,GS1,24,,Bring out the causes for more frequent occurrence of landslides in the Himalayas than in the Western Ghats.,topic,upsc-cse-mains-gs1,MAPPED,gs-1-physical-geography-of-india-human-geography-and-economic-geography-physiogr-bf8786ba,"Physiography of India: geopolitical significance of location, geological divisions, the Peninsular Block, the Himalayas and other peninsular mountains, Indo-Gangetic-Brahmaputra Plain, and physiographic divisions",0.1234,gs-1-indian-society-secularism-meaning-the-indian-constitutional-vantage-point-c-f5241471,"Secularism: meaning, the Indian constitutional vantage point, comparison with the Western model, Gandhian view on religion, and threats to the secular spirit",0.1216,gs-insert-tag-proposer-v1,,,,
UPSC-CSE-MAINS-GS-2013-GS1,7097ad65d8971ef3bf83eed34303201c7152a18fb588b367230d2f76e1449cba,2013,GS1,25,,There is no formation of deltas by rivers of the Western Ghats. Why?,topic,upsc-cse-mains-gs1,MAPPED,gs-1-physical-geography-of-india-human-geography-and-economic-geography-drainage-de3829fd,"Drainage system of India: drainage patterns, Himalayan and Peninsular river systems (Indus, Ganga, Brahmaputra systems), and small east/west-flowing rivers",0.1805,gs-1-physical-geography-of-india-human-geography-and-economic-geography-river-ba-9a663b0f,"River-basin & water-resource management: Indus dam construction prospects/challenges, integrated river-basin management, shrinking reservoir water, declining groundwater, multipurpose projects and regional development",0.1578,gs-insert-tag-proposer-v1,,,,
UPSC-CSE-MAINS-GS-2013-GS1,6faaac89d5eab7d7b2f5f9970a05aba5a9a7c410cc1587f432bbd3f656784a25,2013,GS1,26,,Do you agree that there is a growing trend of opening new sugar mills in southern States of India? Discuss with justification.,topic,upsc-cse-mains-gs1,MAPPED,gs-1-revolt-of-1857-and-freedom-struggle-trends-during-the-freedom-struggle-indi-0122cf15,"Trends during the freedom struggle: Indian Renaissance/socio-religious movements, civil rebellions, tribal and peasant movements, working-class movement (1850-1900), growth of communalism, Left/Communist trends, press and education, role of women, Governors-General and Viceroys of India, important persons and Congress sessions",0.1867,gs-1-post-independence-consolidation-re-organisation-and-integration-of-states-c-521f778b,"Re-organisation and integration of states: constitutional provisions, factors behind the merger, accession of princely states, J&K/Hyderabad/Junagarh crises, accession of French/Portuguese enclaves, accession of Sikkim, refugee rehabilitation, federal crisis, and national integration",0.1283,gs-insert-tag-proposer-v1,,,,
UPSC-CSE-MAINS-GS-2013-GS1,3d2423c9f8a839e504ee1d8cae69ae10777af50e3f038e3b328090cbab2d5ea0,2013,GS1,28,,"With growing scarcity of fossil fuels, the atomic energy is gaining more and more significance in India. Discuss the availability of raw material required for the generation of atomic energy in India and in the world.",topic,upsc-cse-mains-gs1,MAPPED,gs-1-physical-geography-of-india-human-geography-and-economic-geography-mineral-44cd50ab,"Mineral and energy resources: metallic/non-metallic mineral types, distribution and mining regions, ferrous/non-ferrous metal production and trade, energy classification, conventional energy sources (coal, petroleum, natural gas, hydro-electricity), atomic energy (uranium/thorium), renewable energy (solar, wind, geothermal, tidal, wave, biomass), and alternate sources (hydrogen, microbial fuel cells)",0.4314,gs-1-physical-geography-of-india-human-geography-and-economic-geography-resource-2c36ff54,"Resource & energy geography: wind-energy potential, petroleum-production challenges, critical-mineral distribution, rare-earth-metal prospects, coal demand vs net-carbon-neutrality, Eastern Maritime Corridor, South China Sea geopolitics",0.1994,gs-insert-tag-proposer-v1,,,,
UPSC-CSE-MAINS-GS-2013-GS1,e2cdbd30d45a100c7a468d2a9ca72b04838c7e6fb17b1c86cc6482029a19f686,2013,GS1,29,,"It is said that India has substantial reserves of sale oil and gas, which can feed the needs of the country for quarter century. However, tapping of the resource does not appear to be high on the agenda. Discuss critically the availability and issues involved.",topic,upsc-cse-mains-gs1,MAPPED,gs-1-indian-society-social-empowerment-meaning-need-five-year-plan-and-governmen-e656d358,"Social empowerment: meaning, need, Five-Year-Plan and government initiatives, role of civil society organisations",0.1586,gs-1-post-independence-consolidation-overview-of-economic-development-since-inde-3aa003ac,"Overview of economic development since Independence: Five Year Plans journey, agriculture (land reforms, post-Green-Revolution issues, agrarian movements, achievements/challenges), industry (public/private sector development, industrial policy, Make in India), New Economic Policy impact, and post-Independence policy of Science & Technology (institutional framework, pre-/post-reform S&T, skill training agenda)",0.1057,gs-insert-tag-proposer-v1,,,,
UPSC-CSE-MAINS-GS-2013-GS2,89a183bb640f643949cbae6a2b059d2cbfaa499ef34a7e6c8178b1c46aaaf91b,2013,GS2,1,,The role of individual MPs (Members of Parliament) has diminished over the years and as a result healthy constructive debates on policy issues are not usually witnessed. How far can this be attributed to the anti-defection law which was legislated but with a different intention? [200 words],topic,upsc-cse-mains-gs2,MAPPED,gs-2-governance-government-policies-and-development-processes-political-parties-197eafec,"Political parties in India: reforms, problems in functioning, casteism and politics, anti-defection strengthening, and coalition-government dynamics",0.2306,gs-2-union-and-state-executive-legislature-and-judiciary-electoral-political-pro-7e501620,"Electoral & political-process reform: NOTA, coalition politics, electoral bonds, anti-defection reforms, women's reservation act, parliamentary privileges",0.1825,gs-insert-tag-proposer-v1,,,,
UPSC-CSE-MAINS-GS-2013-GS2,36d03a6664b8d2144da5e191b55d8a29fdf25c5c5aeb7d5e053b84b06c76d121,2013,GS2,2,,"Discuss Section 66A of IT Act, with reference to its alleged violation of Article 19 of the Constitution. [200 words]",topic,upsc-cse-mains-gs2,MAPPED,gs-2-indian-constitution-amendment-process-the-constitution-s-dynamic-living-doc-5c495a79,"Amendment process: the Constitution's dynamic/'living document' nature (Article 368), Basic Structure Doctrine as a judicial 'safety valve', and different majority-types required",0.2602,gs-2-union-and-state-executive-legislature-and-judiciary-federalism-reservation-d6aaaefb,"Federalism, reservation & constitutional status: Article 31C, reservation on the basis of religion/domicile, sub-categorisation of SC/OBC, reservation in J&K, Ladakh's demand for 6th Schedule status, Article 370 verdict, Citizenship Amendment Act, Uniform Civil Code, comparative secularism (Indian vs French models)",0.2322,gs-insert-tag-proposer-v1,,,,
UPSC-CSE-MAINS-GS-2013-GS2,f2742465c341f5ca733aec01d997fd1e6d681ec640ef55eee83548f5be54c4dc,2013,GS2,3,,Recent directives from Ministry of Petroleum and Natural Gas are perceived by the ‘Nagas’ as a threat to override the exceptional status enjoyed by the State. Discuss in light of Article 371A of the Indian Constitution. [200 words],topic,upsc-cse-mains-gs2,MAPPED,gs-2-union-and-state-executive-legislature-and-judiciary-federalism-reservation-d6aaaefb,"Federalism, reservation & constitutional status: Article 31C, reservation on the basis of religion/domicile, sub-categorisation of SC/OBC, reservation in J&K, Ladakh's demand for 6th Schedule status, Article 370 verdict, Citizenship Amendment Act, Uniform Civil Code, comparative secularism (Indian vs French models)",0.3083,gs-2-indian-constitution-directive-principles-of-state-policy-basic-economic-soc-e030bf23,"Directive Principles of State Policy: basic/economic-social/Gandhian/administrative/international-peace-related DPSPs, implementation record, and the Fundamental Rights-DPSP controversy (including directives outside Part IV and the Uniform Civil Code debate)",0.1829,gs-insert-tag-proposer-v1,,,,
UPSC-CSE-MAINS-GS-2013-GS2,e0405cd8c55053f589aa0ba2b0660e484ccc4ac2287db68c69cb6957da5d3d4b,2013,GS2,4,,‘The Supreme Court of India keeps a check on arbitrary power of the Parliament in amending the Constitution.’ Discuss critically. [200 words],topic,upsc-cse-mains-gs2,MAPPED,gs-2-indian-constitution-separation-of-powers-features-in-american-uk-constituti-b8f9c5e9,"Separation of powers: features in American/UK constitutions, checks-and-balances in the Indian scheme, judicial review, and the concept's practical limits",0.3045,gs-2-union-and-state-executive-legislature-and-judiciary-judiciary-rights-rule-o-86b797d1,"Judiciary, rights & rule of law: right to personality, right to vote for undertrials, curative petition, tribunals in India, criminal law reforms, All India Judicial Services, Supreme Court case-burden, contempt of court, freedom of press, special/local laws, ED and PMLA",0.2774,gs-insert-tag-proposer-v1,,,,
UPSC-CSE-MAINS-GS-2013-GS2,379a9fa692d6a6fd48ce62efcb3a4ab06e8ed52a3d9b3340f968d86cc41ed208,2013,GS2,5,,"Many State Governments further bifurcate geographical administrative areas like Districts and Talukas for better governance. In light of the above, can it also be justified that more number of smaller States would bring in effective governance at State level? Discuss. [200 words]",topic,upsc-cse-mains-gs2,MAPPED,gs-2-governance-government-policies-and-development-processes-important-aspects-ef8735ab,"Important aspects of governance, transparency and accountability: citizen-centric governance, legislative/administrative/judicial accountability, Ombudsman, whistleblower protection, anti-corruption machinery (role of citizens/media/social audit), systemic reforms, decentralisation vs delegation, and bottom-up governance",0.2031,gs-2-governance-government-policies-and-development-processes-need-and-importanc-de5fce4c,"Need and importance of government policies: growth/development, human capital formation, equality and social justice, unity and integrity, trust between state and citizens; governance meaning/scope and the good-governance debate",0.1933,gs-insert-tag-proposer-v1,,,,
UPSC-CSE-MAINS-GS-2013-GS2,70390b092716f3dce543df456f40061fa05800e5d1f35783291b792641107ac6,2013,GS2,6,,Constitutional mechanisms to resolve the inter-state water disputes have failed to address and solve the problems. Is the failure due to structural or process inadequacy or both? Discuss. [200 words],topic,upsc-cse-mains-gs2,MAPPED,gs-2-union-and-state-executive-legislature-and-judiciary-the-governor-chief-mini-446b5fc5,"The Governor, Chief Minister, Advocate-General, and State Legislature: appointment, discretionary/ordinance/pardoning powers, composition of Vidhan Sabha/Parishad, legislative procedure, and inter-house relationships",0.146,gs-2-international-relations-major-powers-russia-strategic-cooperation-russia-ch-75e82be4,"Major powers: Russia (strategic cooperation, Russia-China impact on India), China (economic relations, water disputes, String of Pearls, Maritime Silk Route/BRI implications, border disputes, South China Sea, CBMs), USA (strategic consultations, counter-terrorism, trade, energy/climate, S&T/space, defence cooperation, IPR, Indo-Pacific/QUAD, GSP)",0.1361,gs-insert-tag-proposer-v1,,,,
UPSC-CSE-MAINS-GS-2013-GS2,8856d7b361dd545ca6f03bbda7fccd7a4bedd9a679b9192869244f16eacb45c9,2013,GS2,7,,Discuss the recommendations of the 13*® Finance Commission which have been a departure from the previous commissions for strengthening the local government finances. [200 words],topic,upsc-cse-mains-gs2,MAPPED,gs-2-union-and-state-executive-legislature-and-judiciary-constitutional-bodies-e-433df162,"Constitutional bodies: Election Commission, UPSC, State PSC, Finance Commission, GST Council, National Commission for SCs/STs, Special Officer for Linguistic Minorities, National Commission for Backward Classes; Non-Constitutional Bodies: NITI Aayog",0.4107,gs-2-union-and-state-executive-legislature-and-judiciary-statutory-regulatory-qu-1f7989f9,"Statutory/regulatory/quasi-judicial bodies: CVC, CBI, NHRC ('toothless tiger' critique), SHRC, Central/State Information Commission, NGT, SEBI, IRDA, TRAI, NCLAT, National Consumer Disputes Redressal Commission, Lokpal and Lokayukta, Planning Commission legacy, PMO, Zonal Council",0.2561,gs-insert-tag-proposer-v1,,,,
UPSC-CSE-MAINS-GS-2013-GS2,3e13ac9ffb4e25c085abd94e3b7fe88c0b5cb9abf95feb85eb6d4dec6cc9cdfc,2013,GS2,8,,"The product diversification of financial institutions and insurance companies, resulting in overlapping of products and services strengthens the case for the merger of the two regulatory agencies, namely SEBI and IRDA. Justify. [200 words]",topic,upsc-cse-mains-gs2,MAPPED,gs-2-union-and-state-executive-legislature-and-judiciary-statutory-regulatory-qu-1f7989f9,"Statutory/regulatory/quasi-judicial bodies: CVC, CBI, NHRC ('toothless tiger' critique), SHRC, Central/State Information Commission, NGT, SEBI, IRDA, TRAI, NCLAT, National Consumer Disputes Redressal Commission, Lokpal and Lokayukta, Planning Commission legacy, PMO, Zonal Council",0.1429,gs-2-governance-government-policies-and-development-processes-delivery-mechanism-c98eb99c,"Delivery mechanisms & sectoral missions: co-operatives, MSME, One Nation One Ration Card/One District One Product, entitlement portability, flagship missions (Jal Jeevan, Gati Shakti)",0.1013,gs-insert-tag-proposer-v1,,,,
UPSC-CSE-MAINS-GS-2013-GS2,79798fd4d2947413819fa8cf4ae62a718c420092211f2efe2646a28c6d74fd39,2013,GS2,9,,"The concept of Mid Day Meal (MDM) scheme is almost a century old in India with early beginnings in Madras Presidency in pre-independent India. The scheme has again been given impetus in most states in the last two decades. Critically examine its twin objectives, latest mandates and success.: [200 words] 10 (A-BRL-M-HTUB]",topic,upsc-cse-mains-gs2,MAPPED,gs-2-social-justice-welfare-health-education-and-poverty-flagship-schemes-educat-4d5eb270,"Flagship schemes: education: Padhe Bharat Badhe Bharat, Mid-Day Meal, SWAYAM",0.2567,gs-2-indian-constitution-separation-of-powers-features-in-american-uk-constituti-b8f9c5e9,"Separation of powers: features in American/UK constitutions, checks-and-balances in the Indian scheme, judicial review, and the concept's practical limits",0.1888,gs-insert-tag-proposer-v1,,,,
UPSC-CSE-MAINS-GS-2013-GS2,d16e49f658c5a63446e69be4ecbad28290e1bae84cfd9a9f5b6c6b720674d122,2013,GS2,10,,"Pressure group politics is sometimes seen as the informal face of politics. With regards to the above, assess the structure and functioning of pressure groups in India. [200 words]",topic,upsc-cse-mains-gs2,MAPPED,gs-2-governance-government-policies-and-development-processes-pressure-groups-an-36f5531a,"Pressure groups and formal/informal associations: types, significance, distinction from political parties, politicisation of pressure groups, and their evolving role via new media",0.3077,gs-2-union-and-state-executive-legislature-and-judiciary-representation-of-peopl-de9986fb,"Representation of People's Act: disqualification triggers, criminalization of politics, electoral reform proposals, and electoral bond aftermath",0.222,gs-insert-tag-proposer-v1,,,,
UPSC-CSE-MAINS-GS-2013-GS2,1ef4988dc45fe4d818c2a31e67f1ad5a25565024cc72a8d96542ab5951d74181,2013,GS2,11,,"The legitimacy and accountability of Self Help Groups (SHGs) and their patrons, the micro-finance outfits, need systematic assessment and scrutiny for the sustained success of the concept. Discuss. [200 words]",topic,upsc-cse-mains-gs2,MAPPED,gs-2-governance-government-policies-and-development-processes-development-proces-d5bc13d1,"Development process and industry: growth vs development, main constraints and stakeholders, SHGs (meaning, importance, institutional structure, funding, women's development linkage, poverty/rural-development linkage), and Micro Finance (meaning, structure, importance)",0.2015,gs-2-governance-government-policies-and-development-processes-important-aspects-ef8735ab,"Important aspects of governance, transparency and accountability: citizen-centric governance, legislative/administrative/judicial accountability, Ombudsman, whistleblower protection, anti-corruption machinery (role of citizens/media/social audit), systemic reforms, decentralisation vs delegation, and bottom-up governance",0.1215,gs-insert-tag-proposer-v1,,,,
UPSC-CSE-MAINS-GS-2013-GS2,f8cc27f5b70d25c59fd74280bc14c126e822fe5c3aeee0b3cf85a422a36bf433,2013,GS2,12,,The Central Government frequently complains on the poor performance of the State Governments in eradicating suffering of the vulnerable sections of the society. Restructuring of Centrally sponsored schemes across the sectors for ameliorating the cause of vulnerable sections of population aims at providing flexibility to the States in better implementation. Critically evaluate. [200 words],topic,upsc-cse-mains-gs2,MAPPED,gs-2-union-and-state-executive-legislature-and-judiciary-ministries-departments-e81ac269,"Ministries/Departments of government: functioning, central secretariat, cabinet secretary, field organizations, and PMO",0.1908,gs-2-social-justice-welfare-health-education-and-poverty-right-to-education-act-c37cbd3c,Right to Education Act's access-expansion vs persistent quality challenge; MGNREGA's asset-creation and distress-migration-reduction performance; National Rural Health Mission's implementation challenges; TPDS's effectiveness in reaching 'the poorest of the poor',0.1884,gs-insert-tag-proposer-v1,,,,
