paper_code,content_hash,year,paper,official_number,sub_part,section,marks,word_limit,low_confidence,flags,best_db_score,text,approved,edited_text,edited_marks,reviewer_note
UPSC-CSE-MAINS-GS-2013-GS1,e2cdbd30d45a100c7a468d2a9ca72b04838c7e6fb17b1c86cc6482029a19f686,2013,GS1,29,,,,200,Y,marks_unread;numbering_unverified,0.3235,"It is said that India has substantial reserves of sale oil and gas, which can feed the needs of the country for quarter century. However, tapping of the resource does not appear to be high on the agenda. Discuss critically the availability and issues involved.",,,,
UPSC-CSE-MAINS-GS-2013-GS2,89a183bb640f643949cbae6a2b059d2cbfaa499ef34a7e6c8178b1c46aaaf91b,2013,GS2,1,,,10,,Y,unanchored,0.2955,The role of individual MPs (Members of Parliament) has diminished over the years and as a result healthy constructive debates on policy issues are not usually witnessed. How far can this be attributed to the anti-defection law which was legislated but with a different intention? [200 words],,,,
UPSC-CSE-MAINS-GS-2013-GS2,36d03a6664b8d2144da5e191b55d8a29fdf25c5c5aeb7d5e053b84b06c76d121,2013,GS2,2,,,10,,Y,unanchored,0.4766,"Discuss Section 66A of IT Act, with reference to its alleged violation of Article 19 of the Constitution. [200 words]",,,,
UPSC-CSE-MAINS-GS-2013-GS2,f2742465c341f5ca733aec01d997fd1e6d681ec640ef55eee83548f5be54c4dc,2013,GS2,3,,,10,,Y,unanchored;low_confidence_ocr,0.3438,Recent directives from Ministry of Petroleum and Natural Gas are perceived by the ‘Nagas’ as a threat to override the exceptional status enjoyed by the State. Discuss in light of Article 371A of the Indian Constitution. [200 words],,,,
UPSC-CSE-MAINS-GS-2013-GS2,e0405cd8c55053f589aa0ba2b0660e484ccc4ac2287db68c69cb6957da5d3d4b,2013,GS2,4,,,10,,Y,unanchored,0.4135,‘The Supreme Court of India keeps a check on arbitrary power of the Parliament in amending the Constitution.’ Discuss critically. [200 words],,,,
UPSC-CSE-MAINS-GS-2013-GS2,379a9fa692d6a6fd48ce62efcb3a4ab06e8ed52a3d9b3340f968d86cc41ed208,2013,GS2,5,,,10,,Y,unanchored,0.3256,"Many State Governments further bifurcate geographical administrative areas like Districts and Talukas for better governance. In light of the above, can it also be justified that more number of smaller States would bring in effective governance at State level? Discuss. [200 words]",,,,
UPSC-CSE-MAINS-GS-2013-GS2,70390b092716f3dce543df456f40061fa05800e5d1f35783291b792641107ac6,2013,GS2,6,,,10,,Y,unanchored,0.3493,Constitutional mechanisms to resolve the inter-state water disputes have failed to address and solve the problems. Is the failure due to structural or process inadequacy or both? Discuss. [200 words],,,,
UPSC-CSE-MAINS-GS-2013-GS2,8856d7b361dd545ca6f03bbda7fccd7a4bedd9a679b9192869244f16eacb45c9,2013,GS2,7,,,10,,Y,unanchored,0.4884,Discuss the recommendations of the 13*® Finance Commission which have been a departure from the previous commissions for strengthening the local government finances. [200 words],,,,
UPSC-CSE-MAINS-GS-2013-GS2,3e13ac9ffb4e25c085abd94e3b7fe88c0b5cb9abf95feb85eb6d4dec6cc9cdfc,2013,GS2,8,,,10,,Y,unanchored,0.3457,"The product diversification of financial institutions and insurance companies, resulting in overlapping of products and services strengthens the case for the merger of the two regulatory agencies, namely SEBI and IRDA. Justify. [200 words]",,,,
UPSC-CSE-MAINS-GS-2013-GS2,79798fd4d2947413819fa8cf4ae62a718c420092211f2efe2646a28c6d74fd39,2013,GS2,9,,,3,,Y,unanchored;low_confidence_ocr,0.314,"The concept of Mid Day Meal (MDM) scheme is almost a century old in India with early beginnings in Madras Presidency in pre-independent India. The scheme has again been given impetus in most states in the last two decades. Critically examine its twin objectives, latest mandates and success.: [200 words] 10 (A-BRL-M-HTUB]",,,,
UPSC-CSE-MAINS-GS-2013-GS2,d16e49f658c5a63446e69be4ecbad28290e1bae84cfd9a9f5b6c6b720674d122,2013,GS2,10,,,,,Y,unanchored;marks_unread,0.4,"Pressure group politics is sometimes seen as the informal face of politics. With regards to the above, assess the structure and functioning of pressure groups in India. [200 words]",,,,
UPSC-CSE-MAINS-GS-2013-GS2,1ef4988dc45fe4d818c2a31e67f1ad5a25565024cc72a8d96542ab5951d74181,2013,GS2,11,,,,,Y,unanchored;marks_unread,0.3228,"The legitimacy and accountability of Self Help Groups (SHGs) and their patrons, the micro-finance outfits, need systematic assessment and scrutiny for the sustained success of the concept. Discuss. [200 words]",,,,
UPSC-CSE-MAINS-GS-2013-GS2,f8cc27f5b70d25c59fd74280bc14c126e822fe5c3aeee0b3cf85a422a36bf433,2013,GS2,12,,,,,Y,unanchored;marks_unread,0.2918,The Central Government frequently complains on the poor performance of the State Governments in eradicating suffering of the vulnerable sections of the society. Restructuring of Centrally sponsored schemes across the sectors for ameliorating the cause of vulnerable sections of population aims at providing flexibility to the States in better implementation. Critically evaluate. [200 words],,,,
UPSC-CSE-MAINS-GS-2013-GS2,2e62fb62679d79be1b08896495d6921c860442b92ffedff744eaa82e835ef670,2013,GS2,13,,,,,Y,unanchored;marks_unread,0.4,"Electronic cash transfer system for the welfare schemes is an ambitious project to minimize corruption, eliminate wastage and facilitate reforms. Comment.",,,,
UPSC-CSE-MAINS-GS-2013-GS2,df9e1d24b7972be3cf7329b14c38d979513969080e53c65387c5ceb2b180753d,2013,GS2,14,,,10,,Y,unanchored,0.4369,The basis of providing urban amenities in rural areas (PURA) is rooted in establishing connectivity. Comment. [200 words],,,,
UPSC-CSE-MAINS-GS-2013-GS2,4f6bb719681d663e25714b81a1a2761a8cf71ed9465ca29a513e94e2fb814422,2013,GS2,15,,,10,,Y,unanchored,0.3941,Identify the Millennium Development Goals (MDGs) that are related to health. Discuss the success of the actions taken by the Government for achieving the same. [200 words],,,,
UPSC-CSE-MAINS-GS-2013-GS2,399152fedc9c5939fd23b94847171805801e773f3e1bda2766f2e6b9429eefa3,2013,GS2,16,,,10,,Y,unanchored,0.4036,"Though Citizens’ charters have been formulated by many public service delivery organizations, there is no corresponding improvement in the level of citizens’ satisfaction and quality of services being provided. Analyse. [200 words]",,,,
UPSC-CSE-MAINS-GS-2013-GS2,3f15eb14c104679f74b29f819ceb76b5f759aca35eb5b78366a3ca65b29e8ea4,2013,GS2,17,,,10,,Y,unanchored,0.4072,"‘A national Lokpal, however strong it may be, cannot resolve the problems of immorality in public affairs.’ Discuss. [200 words]",,,,
UPSC-CSE-MAINS-GS-2013-GS2,a39f4bb4ba65882958684438e8d090263efae19004bb6cf51bda73eff4ff1781,2013,GS2,18,,,5,,Y,unanchored;low_confidence_ocr,0.3063,The proposed withdrawal of International Security Assistance Force (ISAF) from Afghanistan in 2014 is fraught with major security implications for the countries of the region. Examine in light of the fact that India is faced with a plethora of challenges and needs to safeguard its own strategic interests. [200 words] 10 {A-BRL-M-HTUB],,,,
UPSC-CSE-MAINS-GS-2013-GS2,c9d3ac9ce0ee5a2e8782eadc2a4f83ca3673c56f8805186f0fc24ff3252b32ff,2013,GS2,19,,,,,Y,unanchored;marks_unread,0.5276,What do you understand by ‘The String of Pearls’? How does it impact India? Briefly outline the steps taken by India to counter this. [200 words],,,,
UPSC-CSE-MAINS-GS-2013-GS2,748d578944dd22f6d81bc9ee2702bd8fe374db0cd3ab0b35cee08d53d5ab4858,2013,GS2,20,,,,,Y,unanchored;marks_unread,0.3649,Economic ties between India and Japan while growing in the recent years are still far below their potential. Elucidate the policy constraints which are inhibiting this growth. [200 words],,,,
UPSC-CSE-MAINS-GS-2013-GS2,999f5b01637f4df16b20c8fe027255934fa786ba68afc2c60ad2f4088739aa7c,2013,GS2,21,,,,,Y,unanchored;low_confidence_ocr;marks_unread,0.3577,The protests in Shahbag Square in Dhaka in Bangladesh reveal a fundamental split in society between the nationalists and Islamic forces. What is its significance for India? [200 words],,,,
UPSC-CSE-MAINS-GS-2013-GS2,7f1d23542e3b8d3f5ab42524a4f98f6eae2a5b01bd7b472ce47b1f13afc1cd20,2013,GS2,22,,,,,Y,unanchored;marks_unread,0.4466,Discuss the political developments in Maldives in the last two years. Should they be of any cause of concern to India? [200 words],,,,
UPSC-CSE-MAINS-GS-2013-GS2,65fe5dc890e664b46e8c0a6d49c0607b82af9c51debc11079fbbb64104912a45,2013,GS2,23,,,,,Y,unanchored;marks_unread,0.4162,"In respect of India—Sri Lanka relations, discuss how domestic factors influence foreign policy. [200 words]",,,,
UPSC-CSE-MAINS-GS-2013-GS2,e91e116d66b9261c26949eba2d49eb9fd2b723963189b5e1941e7286eacd52c2,2013,GS2,24,,,,,Y,unanchored;low_confidence_ocr;marks_unread,0.4327,What is meant by Gujral doctrine? Does it have any relevance today? Discuss. [200 words] (A-BRL-M-HTUB] 6 p,,,,
UPSC-CSE-MAINS-GS-2013-GS2,991587497e6dca998fcb54039c87be8c098792a28fadcd424d62c98f5bd4d360,2013,GS2,25,,,,,Y,unanchored;low_confidence_ocr;marks_unread,0.3077,"The World Bank and the IMF, collectively known as the Bretton Woods Institutions, are the two inter-governmental pillars supporting the structure of the world’s economic and financial order. Superficially, the World Bank and the IMF exhibit many common characteristics, yet their role, functions and mandate are distinctly different. Elucidate. [200 words] 10 (a-BRL-M-HTUB] 7 i",,,,
UPSC-CSE-MAINS-GS-2013-GS3,4599cdee323ac106a53d3e3b8bee68dee17c9b4510516f0afd5cef0bf880c20e,2013,GS3,1,,,10,,Y,unanchored,0.3518,"With a consideration towards the strategy of inclusive growth, the new Companies Bill, 2013 has indirectly made CSR a mandatory obligation. Discuss the challenges expected in its implementation in right earnest. Also discuss other provisions in the Bill and their implications. [200 words]",,,,
UPSC-CSE-MAINS-GS-2013-GS3,a7acb0bed7a31ac774cec8819ad58a714cf602736a5b9347d9e9ccb61a91b0d9,2013,GS3,2,,,10,,Y,unanchored,0.427,"What were the reasons for the introduction of Fiscal Responsibility and Budget Management (FRBM) Act, 2003? Discuss critically its salient features and their effectiveness. [200 words]",,,,
UPSC-CSE-MAINS-GS-2013-GS3,25eb4d147ea71aabcceccf876c53b3ae1acd4b18c3b17f87a4e79b301cd01d27,2013,GS3,3,,,10,,Y,unanchored,0.4167,"What is the meaning of the term ‘tax expenditure’? Taking housing sector as an example, discuss how it influences the budgetary policies of the government. [200 words]",,,,
UPSC-CSE-MAINS-GS-2013-GS3,5c8f690155b8841821da33009979db87f1310ec317f89c85c72b8d432bd71779,2013,GS3,4,,,10,,Y,unanchored,0.3963,Food Security Bill is expected to eliminate hunger and malnutrition in India. Critically discuss various apprehensions in its effective implementation along with the concerns it has generated in WTO. [200 words],,,,
UPSC-CSE-MAINS-GS-2013-GS3,2027a7be583a47a80401b7890f4da178bcf5e9525d425d7e2987099d3d50c71d,2013,GS3,5,,,10,,Y,unanchored,0.3722,What are the different types of agriculture subsidies given to farmers at the national and at state levels? Critically analyse the agricultural subsidy regime with reference to the distortions created by it. [200 words],,,,
UPSC-CSE-MAINS-GS-2013-GS3,12c1c8baad1d5d4ba50c2373cbcc8437a5d3bb8b315534bd2b36c54759cccda0,2013,GS3,6,,,10,,Y,unanchored,0.3481,India needs to strengthen measures to promote the pink revolution in food industry for ensuring better nutrition and health. Critically elucidate the statement. [200 words],,,,
UPSC-CSE-MAINS-GS-2013-GS3,71d993d8d47eaf06e042528251b6ea46a0a898d733b41fb68be4a07ae0d9cddc,2013,GS3,7,,,10,,Y,unanchored,0.4653,Examine the impact of liberalization on companies owned by Indians. Are they competing with the MNCs satisfactorily? Discuss. [200 words],,,,
UPSC-CSE-MAINS-GS-2013-GS3,a15a52bde07fb1727ac31ce6833a20adb24bbee49735f7c090076ec3fb95332f,2013,GS3,8,,,10,,Y,unanchored,0.3876,"Establish relationship between land reforms, agriculture productivity and elimination of poverty in the Indian economy. Discuss the difficulties in designing and implementation of agriculturefriendly land reforms in India. [200 words]",,,,
UPSC-CSE-MAINS-GS-2013-GS3,eba632c448c69aa5320832c048bc441cd0b54c466364f6acbb86563dba124ca8,2013,GS3,9,,,5,,Y,unanchored,0.4132,Discuss the impact of FDI entry into Multi-trade retail sector on supply chain management in commodity trade pattern of the economy. [100 words],,,,
UPSC-CSE-MAINS-GS-2013-GS3,f3deda087e2337ccb8db651a46dae702bb61ba042dfb2452df0a0c2fd0ca925d,2013,GS3,10,,,5,,Y,unanchored,0.3049,"Though India allowed Foreign Direct Investment (FDI) in what is called multi-brand retail through the joint venture route in September 2012, the FDI, even after a year, has not picked up. Discuss the reasons. [100 words]",,,,
UPSC-CSE-MAINS-GS-2013-GS3,3107061959fd92a58691a80957f6ba2cd5950eaac84e1869a2ffb4a008b1ccc0,2013,GS3,11,,,10,,Y,unanchored,0.4225,Discuss the rationale for introducing Goods and Services Tax (GST) in India. Bring out critically the reasons for the delay in roll out for its regime. [200 words],,,,
UPSC-CSE-MAINS-GS-2013-GS3,f8197435cabf79c139378d1149471fb3e2a728de128c4555e21e8671f1f4d31a,2013,GS3,12,,,10,,Y,unanchored,0.402,Write a note on India’s green energy corridor to alleviate the problem of conventional energy. [200 words],,,,
UPSC-CSE-MAINS-GS-2013-GS3,9d20d553e6c07acb8aaabbad3c5bd1d4a46b9df6becf145961612c232f225146,2013,GS3,13,,,,,Y,unanchored;low_confidence_ocr;marks_unread,0.3312,Adoption of PPP model for infrastructure development of the country has not been free of criticism. Critically discuss pros and cons of the model. [200 words] 10 aredtr unet after fiat (Patent Law) 1970 #t ara 3(d) AX at 2005 A seid,,,,
UPSC-CSE-MAINS-GS-2013-GS3,64729d7077a5f67c8842eafe4de94bbb9f418712c4bc5bf8fcf9a9473ea06daf,2013,GS3,14,,,10,,Y,unanchored,0.3462,"Bringing out the circumstances in 2005 which forced amendment to the section 3(d) in Indian Patent Law, 1970, discuss how it has been utilized by the Supreme Court in its judgement in rejecting Novratis’ patent application for ‘Glivec’. Discuss briefly the pros and cons of the decision. [200 words]",,,,
UPSC-CSE-MAINS-GS-2013-GS3,e16953ef8a0ab798c3536c82e0da6a19804001067f1fb2f5d04a4f2d76f290fe,2013,GS3,15,,,10,,Y,unanchored,0.5933,What do you understand by Fixed Dose Drug Combinations (FDCs)? Discuss their merits and demerits. [200 words],,,,
UPSC-CSE-MAINS-GS-2013-GS3,f419d44195282dc3282c01bd7cc6fed0688b3f22c46c92e4c5ae934674f00e16,2013,GS3,16,,,10,,Y,unanchored;low_confidence_ocr,0.4357,What do you understand by Umpire Decision Review System in Cricket? Discuss its various components. Explain how silicone tape on the edge of a bat may fool the system? [200 words],,,,
UPSC-CSE-MAINS-GS-2013-GS3,518be69397099cd64ce8c640de8878702dc2bb78d8d7570a97c705762540048b,2013,GS3,17,,,5,,Y,unanchored,0.4069,What is a digital signature? What does its authentication mean? Give various salient built-in features of a digital signature. [100 words],,,,
UPSC-CSE-MAINS-GS-2013-GS3,eb7894f8f7dfa505e00716036c705179820988d0ade0229ba29aaf8eea13a4d8,2013,GS3,18,,,,,Y,unanchored;marks_unread,0.4301,How does the 3D printing technology work? List out the advantages and disadvantages of the technology. [100 words] S,,,,
UPSC-CSE-MAINS-GS-2013-GS3,e51df88d90235f527b5150ac20404a33fbf78b86467f8ab6c80376f0b2643889,2013,GS3,19,,,,,Y,unanchored;low_confidence_ocr;marks_unread,0.4487,What is an FRP composite material? How are they manufactured? Discuss their applications in aviation and automobile industries. [100 words] >,,,,
UPSC-CSE-MAINS-GS-2013-GS3,ea1be8e63dd52ddf3abddc6df09107e6ad7631a73398e4888c77c92dcd569d33,2013,GS3,20,,,5,,Y,unanchored,0.4854,What do you understand by Run-of-river hydroelectricity project? How is it different from any other hydroelectricity project? [100 words],,,,
UPSC-CSE-MAINS-GS-2013-GS3,099b3151f2b69b6a80aa3479be3d2f858b7a3c26cdc5734850bf429d9e01285a,2013,GS3,21,,,10,,Y,unanchored,0.3688,"How important are vulnerability and risk assessment for pre-disaster management? As an administrator, what are key areas that you would focus on in a Disaster Management System. [200 words]",,,,
UPSC-CSE-MAINS-GS-2013-GS3,f220c9b08e19d5f22994f5cf0e1a785de0948806ea38cf679b0c1357ed3a0159,2013,GS3,22,,,10,,Y,unanchored,0.4178,What are the consequences of Illegal mining? Discuss the Ministry of Environment and Forests’ concept of GO AND NO GO zones for coal mining sector. [200 words],,,,
UPSC-CSE-MAINS-GS-2013-GS3,45bb89b8449e8353ede8a27ac8709be7b76389bc5f481238c1673406d6787b76,2013,GS3,23,,,10,,Y,unanchored;low_confidence_ocr,0.3241,"Enumerate the National Water Policy of India. Taking river Ganges as an example, discuss the strategies which may be adopted for river water pollution control and management. What are the legal provisions of management and handling of hazardous wastes in India? [200 words]",,,,
UPSC-CSE-MAINS-GS-2013-GS3,a937e1b2352bbb2c8ba868f6a8f890ca2d3a7862f4228fe5518d4d95b59832c2,2013,GS3,24,,,10,,Y,unanchored,0.3699,Money laundering poses a serious security threat to a country’s economic sovereignty. What is its significance for India and what steps are required to be taken to control this menace? [200 words],,,,
UPSC-CSE-MAINS-GS-2013-GS3,b4dbf9555ca9473efd599a1b3d1f0a4219546526f31d98e81dc72ae5968574fa,2013,GS3,25,,,,,Y,unanchored;marks_unread,0.4746,What are social networking sites and what security implications do these sites present? [200 words] spare 1),,,,
UPSC-CSE-MAINS-GS-2013-GS3,5b3b3a3faaef3ef1a006f79361e1d56e486092a67bba9a16181f894dbe8c5009,2013,GS3,26,,,,,Y,unanchored;marks_unread,0.3127,Cyber warfare is considered by some defense analysts to be a larger threat than even Al Qaeda or terrorism. What do you understand by Cyber warfare? Outline the cyber threats which India is vulnerable to and bring out the state of the country’s preparedness to deal with the same. [200 words] an),,,,
UPSC-CSE-MAINS-GS-2013-GS3,2625b560debc9ded0352c8c92ee1d35d87be939e4b445d41eaf261ca7d983a09,2013,GS3,27,,,10,,Y,unanchored,0.3511,Article 244 of the Indian Constitution relates to administration of scheduled areas and tribal areas. Analyse the impact of non-implementation of the provisions of the Fifth schedule on the growth of Left Wing extremism. [200 words],,,,
UPSC-CSE-MAINS-GS-2013-GS3,75fe605bb9118004af2592e8627894c1fc93e728e31a0b47b1b4b4a60148e830,2013,GS3,28,,,10,,Y,unanchored,0.4234,How far are India’s internal security challenges linked with border management particularly in view of the long porous borders with most countries of South Asia and Myanmar? [200 words],,,,
UPSC-CSE-MAINS-GS-2013-GS4,4cba1ebe4c18016df2ca67c70a1f51a59e93720e380d7273b90a925d66f65179,2013,GS4,1,,A,10,150,Y,numbering_unverified,0.4527,What do you understand by ‘values’ and ‘ethics’? In what way is it important to be ethical along with being professionally competent?,,,,
UPSC-CSE-MAINS-GS-2013-GS4,dc0ce444662645a8111ddfa368e7493e309f56c6847228da0f468d32fd91bca3,2013,GS4,2,,A,,250,Y,low_confidence_ocr;marks_unread;numbering_unverified,0.5052,What do you understand by the following terms in the context of public service?,,,,
UPSC-CSE-MAINS-GS-2013-GS4,7f7d9f598652d68142cd107319ce1117fe7757eb69ad6a0c1317a04018b3bf28,2013,GS4,3,,A,10,100,Y,numbering_unverified,0.3895,Indicate two more attributes which you consider important for public service. Justify your answer.,,,,
UPSC-CSE-MAINS-GS-2013-GS4,90ead57861f5b241673fc2a43d6bb2eeade3c6c18f4965b6c3c7e68cc382c547,2013,GS4,4,,A,10,150,Y,numbering_unverified,0.3625,"Some people feel that values keep changing with time and situation, while others strongly believe that there are certain universal and eternal human values. Give your perception in this regard with due justification.",,,,
UPSC-CSE-MAINS-GS-2013-GS4,26f528973c6fe2e19096cdcb54e89e758a4b159af4656136833c54c95113b2e2,2013,GS4,5,,A,10,150,Y,numbering_unverified,0.5438,What is ‘emotional intelligence’ and how can it be developed in people? How does it help an individual in taking ethical decisions?,,,,
UPSC-CSE-MAINS-GS-2013-GS4,51172f64265d309a195ac5216875ee3c46f35062d3738ca7351cd7ad1b8d2f7c,2013,GS4,6,,A,,150,Y,marks_unread;numbering_unverified,0.4979,What do you understand by the term ‘voice of conscience’? How do you prepare yourself to heed to the voice of conscience?,,,,
UPSC-CSE-MAINS-GS-2013-GS4,fb0a43a662ea0d85c4b4865ca85a4dedd5b65715c66be35a0d6239d57982e8d6,2013,GS4,7,,A,10,150,Y,numbering_unverified,0.3782,What is meant by ‘crisis of conscience’? Narrate one incident in your life when you were faced with such a crisis and how you resolved the same.,,,,
UPSC-CSE-MAINS-GS-2013-GS4,35b612cd1c2585a5e185a1b97851a219e8e5182a276213e3e43d9a450f326534,2013,GS4,8,,A,10,150,Y,numbering_unverified,0.4333,“There is enough on this earth for every one’s need but for no one’s greed.” —Mahatma Gandhi,,,,
UPSC-CSE-MAINS-GS-2013-GS4,a12f8148a8ea2d4efd9661ffd97f678ebb9aae0363b72bac831b432f02e5cce7,2013,GS4,9,,A,10,150,Y,numbering_unverified,0.3774,"“Nearly all men can withstand adversity, but if you want to test a man’s character, give him power.”—Abraham Lincoln",,,,
UPSC-CSE-MAINS-GS-2013-GS4,67ec0a1b739eae8047b48a82f8cf1c0066c473d980e00bcb8f8e3e1281b90381,2013,GS4,10,,A,10,150,Y,low_confidence_ocr;numbering_unverified,0.3497,“I count him braver who overcomes his desires than him who overcomes his enemies.”—Aristotle,,,,
UPSC-CSE-MAINS-GS-2013-GS4,8519711109fe1e3fef3f30e458b4737cf25784955d93b3ba826c5f22bad81809,2013,GS4,11,,A,10,150,Y,low_confidence_ocr;possible_truncation;numbering_unverified,0.3732,a ue feat at WHat 8? (150 we) “The good of an individual is contained in the good of all.” What do you understand by this statement? How can this principle be implemented in public life?,,,,
UPSC-CSE-MAINS-GS-2013-GS4,114362b44ccb26495ac34a5df417428e24c8477cd0f84a0a17c57f2fc42261a9,2013,GS4,12,,A,10,150,Y,numbering_unverified,0.3969,It is often said that ‘politics’ and ‘ethics’ do not go together. What is your opinion in this regard? Justify your answer with illustrations.,,,,
UPSC-CSE-MAINS-GS-2013-GS4,3afe4af38c9c3545e3e30bce3acd331b47746d82e99ec923f266eb91dc1f207d,2013,GS4,13,,B,20,250,Y,numbering_unverified,0.3734,"Also please indicate (without necessarily restricting to the above options) what you would like to advise, giving proper reasons.",,,,
