paper_code,content_hash,year,paper,official_number,sub_part,score,measure,db_question_id,text,db_text
UPSC-CSE-MAINS-GS-2014-GS4,81795f76fcd3e8bdab690ca26eedfe466d26be41fa7d37902e493b71394dff1d,2014,GS4,1,,0.8075,sequence,59c28740-92a2-404a-972c-803952f9247d,All human beings aspire for happiness. Do you agree? What does happiness mean to you? Explain with examples.,All human beings aspire for happiness. What does happiness mean to you? Explain its linkage with ethical living.
UPSC-CSE-MAINS-GS-2015-GS1,dc2f7151a0b460b3ed7d64998bc5c4bec1ba90ed39331d460f6809d7073b4694,2015,GS1,6,,0.795,sequence,04d8dd0a-6903-44da-86cf-78f078106386,Why did the industrial revolution first occur in England? Discuss the quality of life of the people there during the industrialization. How does it compare with that in India at present?,Why did the industrial revolution first occur in Great Britain? Discuss the quality of life of the people there during the industrialization.
UPSC-CSE-MAINS-GS-2016-GS1,faef5a40efa5bf8dd211a5ac72c2eacb53d8f7803826b66df8909f7f2318f3b5,2016,GS1,9,,0.6204,sequence,06363710-b2fa-4889-8d24-6fe55ae0de50,Why are the tribals in India referred to as ‘the Scheduled Tribes’? Indicate the major provisions enshrined in the Constitution of India for their upliftment. 4%t+8=12%,Why are the tribals in India referred to as 'Adivasis'? Indicate the major areas of their geographic concentration.
UPSC-CSE-MAINS-GS-2016-GS1,dbc95f38bebd02e767c64ceccffc12ab694b3585c745edc6396a4b304688529d,2016,GS1,16,,0.7789,sequence,b590375d-11ec-4bc3-9ff4-ec2cfab8835c,Major citics of India arc becoming morc vulncrable to flood conditions. Discuss.,Major cities of India are becoming more vulnerable to flood conditions. Discuss the reasons and remedial measures.
UPSC-CSE-MAINS-GS-2017-GS2,15ff2609a2142d3212f6ba62638311ae635aed0d7f0395c465d65983cd695d87,2017,GS2,2,,0.6284,sequence,4b23f311-fe36-4500-a1ae-49196a432221,"Critically examine the Supreme Court’s judgement on ‘National Judicial Appointments Commission Act, 2014’ with reference to appointment of judges of higher judiciary in India.",Critically examine the Supreme Court's judgement on 'National Anthem' in Context of Article 19(1)(a) of the Constitution of India.
UPSC-CSE-MAINS-GS-2017-GS2,de9cf6c84823728ed998be2a751fea647f151b244c0cfd1969ab934e43c338e8,2017,GS2,7,,0.6154,dice,f3f8abeb-6373-4e2c-aef2-9d012533cf19,"Does the Rights of Persons with Disabilities Act, 2016 ensure effective mechanism for empowerment and inclusion of the intended beneficiaries in the society? Discuss.","Does the Rights of Persons with Disabilities Act, 2016 ensure mechanism for enhanced administrative capacity for their empowerment? Examine."
UPSC-CSE-MAINS-GS-2017-GS2,38fed60e0358a178ad18ca3846ddcbf145310f7e48166d9fc86ed8168a645b77,2017,GS2,8,,0.7705,sequence,87d8cfe4-50e2-4603-be89-b38e34a8f460,Hunger and poverty are the biggest challenges for good governance in India still today. Evaluate how far successive governments have progressed in dealing with these humongous problems. Suggest measures for improvement.,Hunger and Poverty are the biggest challenges for good governance in India still today. Evaluate how far success is achieved in tracking these problems.
UPSC-CSE-MAINS-GS-2017-GS4,b61ee64b779bc146266a651f80e10b85511d964cd000a5b36fbdc9c592905a95,2017,GS4,2,,0.6667,containment,37844963-71a7-47c3-9256-4de5c894bb8e,(d) 3 fazara @I area (e) aaraa Examine the relevance of the following in the context of civil service,Examine the relevance of the following in the context of civil service: (a) Transparency (b) Accountability (c) Fairness and justice (d) Courage of conviction (e) Spirit of service
UPSC-CSE-MAINS-GS-2018-GS3,26dfc231351c7b4cb80ca69d1142a2a79100a9ccf9c8e46c36b3d4a32b03e309,2018,GS3,10,,0.8371,sequence,60be2d29-bee9-4359-92ad-b5c21356f150,"Left Wing Extremism (LWE) is showing a downward trend, but still affects many parts of the country. Briefly explain the Government of India’s approach to counter the challenges posed by LWE. ura 4 sift ari get sige fee art? fears Fee ea & See aa ge) sqaite fer a her","Left Wing Extremism (LWE) is showing a downward trend, but still affects many parts of the country. Briefly explain the Government of India's approach to counter the challenges posed by LWE."
UPSC-CSE-MAINS-GS-2019-GS1,6608e1ab9404e54c1d0f63e4e376733840811e40027e276fa04ee79bdff9f881,2019,GS1,9,,0.7188,sequence,9583f07d-6dd2-474a-8ee3-302077a69ee3,(150 reat see Life) “Empowering women is the key to control population growth.” Discuss.,women is the key to control population Discuss.
UPSC-CSE-MAINS-GS-2019-GS2,d964cb5554975beb64252a01514b4962df81434a29bed7bf28a44d573991c032,2019,GS2,6,,0.6966,sequence,750bf29d-357b-4a20-b4e5-7ec51187e20a,"elusive. |, 9 «ty that make balanced and S/ Programmes usually suffe rs, rs in terms of certain vital facto™ 10 » and suggest measures for th eir effective implementation..","Implementation of Information and Communication Technology (ICT) based Projects/Programmes usually suffers in terms of certain vital factors. Identify these factors, and suggest measures for their effective implementation."
UPSC-CSE-MAINS-GS-2019-GS2,c608831b3546f6990709163046d2b97381cff44a03a3039666a65d1c0478535c,2019,GS2,11,,0.7778,containment,3ca92b62-6938-45e1-941d-64ca9f670c5a,men in the institutions of local self-government has character of the Indian Political Process.”,reservation of seats for women in the institutions of local self-government has had a limited impact on the patriarchal character of the Indian Political Comment.
UPSC-CSE-MAINS-GS-2019-GS2,cfea7d900a13eca46d6ddce2a2eb69a7ccd3cea098165309259756ef647be252,2019,GS2,13,,0.7143,dice,206b6df6-5379-4fb7-a347-390daebc730d,= 3: er of the Government of ral is the chief legal adviser and lawyer ne ————- 15 a,Attorney-General is the chief legal adviser and lawyer of the Government of Discuss.
UPSC-CSE-MAINS-GS-2019-GS3,b5248ac57f902e87e40b1e3aba6460d8021d219d9618703953f5c119130acfdb,2019,GS3,6,,0.8267,sequence,fa093254-3f2c-4ecd-9ed4-8cc4ce827f62,Vulnerability is an essential element for defining disaster impacts and ite rized? people. How and in what ways can vulnerability to disasters be ¢ Discuss diff ili i eference to disasters. erent types of vulnerability with r,Vulnerability is an essential element for defining disaster impacts and its threat to people. How and in what ways can vulnerability to disasters be characterized? Discuss different types of vulnerability with reference to disasters.
UPSC-CSE-MAINS-GS-2019-GS4,57c68ecade81f29b6a804bd37892dc69cfe39a643bc3d2e030678ec68637d68a,2019,GS4,6,,0.625,dice,e88688df-4df7-4092-a9c8-b7b0ac844b32,ght to Information Act. Do you agree with the view? Discuss.,There is a view that the Official Secrets Act is an obstacle to the implementation of Right to Information Act. Do you agree with the view? Discuss.
UPSC-CSE-MAINS-GS-2019-GS4,86090b874482f64dd9d8f4d65b8071bb2973f85f41c6e5e74355038bb2180513,2019,GS4,9,,0.6667,dice,bb1781d7-1ebf-4732-8bf8-5d3d9ef2612c,“An unexamined life is not worth living”. — Socrates,What do each of the following quotations mean to you? unexamined life is not worth Socrates
UPSC-CSE-MAINS-GS-2019-GS4,3cef26b6562a5f4fc2e89d9500988499a16e0a16f2ad2eab3355eb1bb4230ffa,2019,GS4,10,,0.7123,sequence,195aac54-a9df-4554-b1ec-1a9e65d6cb74,"So ri hteousness in the heart, there is beauty in the character. When “Where hat a the character, there is harmony in the home. there 1s be When there is we i ion. When there is order in the nati; there is order in the nation on, harmony 1m he world.” — A. P. J. Abdul Kalam","What do each of the following quotations mean to you? there is righteousness in the heart, there is beauty in the character. When there is beauty in the character, there is harmony in the home. When there is harmony in the home, there is order in the nation. When there is order in the nation, there is peace in the A. P. J. Abdul Kalam"
UPSC-CSE-MAINS-GS-2019-GS4,3ed39899467c5f0c53534d848200f1d1a6d83b200b72e005c9cd8618f21f1176,2019,GS4,13,,0.6667,containment,d5f8f67e-df5a-472a-bfe6-6a9c25591a22,oY d in the case. tive is not involve 3 exec’ fy the ethical issues involved in this case. What options are available to ‘Identity the woman employee?,"An apparel manufacturing company having large number of women employees was losing sales due to various factors. The company hired a reputed marketing executive, who increased the volume of sales within a short span of time. However, some unconfirmed reports came up regarding his indulgence in sexual harassment at the work place. After sometime, a woman employee lodged a formal complaint to the management against the marketing executive about sexually harassing her. Faced with the company's indifference in not taking cognizance of her grievance, she lodged an FIR with the Police. Realizing the sensitivity and gravity of the situation, the company called the woman employee to negotiate. In that she was offered a hefty sum of money to withdraw the complaint and the FIR and also give in writing that the marketing executive is not involved in the case. Identify the ethical issues involved in this case. What options are available to the woman employee?"
UPSC-CSE-MAINS-GS-2019-GS4,a2a0e8badedab3c0cdd58c854473d90e901f2feb68a42ef21ee1db10eef836af,2019,GS4,16,,0.7222,containment,5a51c58b-726f-4d19-bc0b-68264257af1d,2. Strengthening the ethical compevene sate?. 3. Sevelaing administrative processes and practices which promote ethical values e integrity in civil services.. ae }; a es pee measures to address the above three issucs.,"In recent times, there has been an increasing concern in India to develop effective civil service ethics, codes of conduct, transparency measures, ethics and integrity systems and anti-corruption agencies. In view of this, there is a need being felt to focus on three specific areas, which are directly relevant to the problems of internalizing integrity and ethics in the civil services. These are as follows: 1. Anticipating specific threats to ethical standards and integrity in the civil services, 2. Strengthening the ethical competence of civil servants and 3. Developing administrative processes and practices which promote ethical values and integrity in civil services. Suggest institutional measures to address the above three issues."
UPSC-CSE-MAINS-GS-2020-GS1,ad6c98379a54251261f3618a3cf303f79c01dcd4b9cb3c75ee490b0c8fb4b639,2020,GS1,9,,0.7692,dice,f44099c3-8b43-45fe-bdcb-b781ab9913eb,COVID-19 pandemic accelerated class i Comment.,COVID-19 pandemic accelerated class inequalities and poverty in India. Comment.
UPSC-CSE-MAINS-GS-2020-GS1,1e8315d89e71340dc5c789c2880545df6eb88cf54d7065d9a459e0b45033c7fd,2020,GS1,10,,0.6316,dice,d124e061-5c4f-4c76-9e95-c07c330871d7,gnificant role in conceiving and Indian philosophy and tradition played a si,Indian Philosophy and tradition played a significant role in conceiving and shaping the monuments and their art in India. Discuss.
UPSC-CSE-MAINS-GS-2020-GS4,f6a2329cb24f30c811987081d1eb15616f11318be0d3c74d2e2eaa3aa54d5c9a,2020,GS4,2,,0.6207,dice,c13a00e3-0c6f-4e84-aa66-54b8297e6f1d,A positive attitude Who is often re< attitude in a Pp ie is considered oO be an essential char; Wired to function under ming teristic of ‘ extreme stress. W * CtVil servant erson?,A positive attitude is considered to be an essential characteristic of a civil servant who is often required to function under extreme stress. What contributes to a positive attitude in a person?
UPSC-CSE-MAINS-GS-2020-GS4,95a9aa8046be8775f785757ed14a01d69aa9231b9b4e5c6a1f83928f2d1f1909,2020,GS4,4,,0.8462,containment,4b090e76-a114-40eb-a64c-c9cfc0ef0342,"“Condemn none: if you can stretch out a helping hand, do - If er bse re their own way.” — Swami Vivekanan hands, bless your brothers, and let them go *","What do each of the following quotations mean to you? ""Condemn none: if you can stretch out a helping hand, do so. If not, fold your hands, bless your brothers, and let them go their own way."" - Swami Vivekananda"
UPSC-CSE-MAINS-GS-2021-GS2,a3078d5bf3a5f3eea322d3d70f8c86bb006e7bd0bc74a1cc718437562e6c32cf,2021,GS2,6,,0.8011,sequence,5b354c4e-cffc-4a05-9917-1ceb8d527e35,Department-related Parliamentary Standing: patiiamentary pontrel? Nistration on its toes and inspire reverence a les. uate the working of such committees with suitable examp,Do Department-related Parliamentary Standing Committees keep the administration on its toes and inspire reverence for parliamentary control? Evaluate the working of such committees with suitable examples.
UPSC-CSE-MAINS-GS-2021-GS2,77ea91bd3f213a8ba602e0ce185b42cf4db313042f043c8336fdef9f957661b8,2021,GS2,10,,0.8008,sequence,27984bf6-da65-4456-bce8-ef55fc652e04,h ly tri-nation partnership AUKUS is aimed at countering China’s ambitions e new - hip 4 nte the indi; Pacific region. Is it going to supersede the existin & partnerships in the i t of AUKUS in the present scenario.:. the strength and impac region? Discuss,The newly tri-nation partnership AUKUS is aimed at countering China's ambitions in the Indo-Pacific region. Is it going to supersede the existing partnerships in the region? Discuss the strength and impact of AUKUS in the present scenario.
UPSC-CSE-MAINS-GS-2021-GS3,a62ddc7c7d23fdc8b7bcb0e261f1ac915600dc2a15bbed60d71ff1ae4dda2b49,2021,GS3,4,,0.8235,dice,3d65e8cf-4d20-4af5-9ccc-680242c9900a,"oes: — ia i the impact of cross-border Keeping in view India’s internal secuTity, analyse the 1mp inst these sophisticated cyber attacks. Also discuss defensive measures agains ¥% attacks.","Keeping in view India's internal security, analyse the impact of cross-border cyber attacks. Also discuss defensive measures against these sophisticated attacks."
UPSC-CSE-MAINS-GS-2021-GS4,a9efb4df0647547378352cd3a0a1323b7d1037724e58c31b8fb5f01aab567949,2021,GS4,1,,0.8333,containment,175fd8b1-9bc9-4480-98e0-c13ee5c0b654,"atening him y; mother) were Stalk Identify the different options available to Sunil in attending to this situation. (b) Critically evaluate each of the options listed by you.: il to (c) Which of the above, do you think, would be the most appropriate for Sun adopt and why?","Sunil is a young civil servant and has a reputation for his competence, integrity, dedication and relentless pursuit of difficult and onerous jobs. Considering his profile, he was picked up by his bosses to handle a very challenging and sensitive assignment. He was posted in a tribal dominated district notorious for illegal sand mining. Excavating sand from river belt and transporting through trucks and selling them in black market was rampant. This illegal sand mining mafia was operating with the support of local functionaries and tribal musclemen who in turn were bribing selected poor tribals and had kept the tribals under fear and intimidation. Sunil being a sharp and energetic officer immediately grasped the ground realities and the modus operandi followed by the mafia through their devious and dubious mechanism. On making inquiries, he gathered that some of their own office employees are in hand and glove with them and have developed close unholy nexus. Sunil initiated stringent action against them and started conducting raids on their illegal operations of movement of trucks filled with sand. The mafia got rattled as not many officers in the past had taken such steps against the mafia. Some of the office employees who were allegedly close to mafia informed them that the officer is determined to clean up the mafia's illegal sand mining operations in that district and may cause them irreparable damage. The mafia turned hostile and launched counter-offensive. The tribal musclemen and mafia started threatening him with dire consequences. His family (wife and old mother) were stalked and were under virtual surveillance and thus causing mental torture, agony and stress to all of them. The matter assumed serious proportions when a muscleman came to his office and threatened him to stop raids, etc., otherwise, his fate will not be different than some of his predecessors (ten years back one officer was killed by the mafia). Identify the different options available to Sunil in attending to this situation. Critically evaluate each of the options listed by you. Which of the above, do you think, would be the most appropriate for Sunil to adopt and why?"
UPSC-CSE-MAINS-GS-2023-GS4,1cbc248f413d2692c78ceeec9182a1dd5d129ffd891438f70ffc465e3b37493d,2023,GS4,13,,0.6667,dice,0282ff1f-54f3-4836-9fba-b86d0fc59195,Explain the term social capital. How does it enhance good governance?,(a) What were the major teachings of Guru Nanak? Explain their relevance in the contemporary world. 10 (b) Explain the term social capital. How does it enhance good governance? 10
