"question_id","year","section","question_number","assign_topic_id","proposed_topic_label","difficulty","decision","question_text"
"e62ee044-1c93-40af-b4cd-d1926efcec11","2023","","53","a0b3ccef-9ea8-4bce-9a3d-1eacb5cfe165","Balance of payments and the external sector","medium","verified","Indiaâ€™s Services exports set a new record of USD 254.4 Billion in the financial year 2021-2022. The new record achieved in 2021-22 beats the previous high of USD 213.2 Billion in 2019-20. Also, Serv"
"ece24678-98ac-427f-9044-df2546c45e65","2023","","54","c4012952-1df1-4ce4-a6ce-f54083541fd6","FDI caps and sectoral limits","medium","verified","According to the data released by the Department for Promotion of Industry and Internal Trade (DPIIT), the foreign direct equity investments into India in fiscal 2023 shrank 21.67% from the previous y"
"89def589-836a-4d4d-9933-9081ec2cea5f","2023","","55","9fa06a82-fffa-48e5-8d9c-f712dfed4e93","Poverty alleviation packages and Garib Kalyan schemes","medium","verified","The Twenty Points Program was a significant policy initiative introduced by the Government of India in 1975. It aimed to address various socio-economic challenges and promote social justice and equali"
"4e97483b-787b-4b3d-b50f-c6ea37dd26b0","2023","","58","75f89786-112e-4d19-ace5-a941f8fe577b","International organisations and groupings","easy","verified","The US is set to rejoin ______ after a four-year absence from the global body that the country abandoned during the Donald Trump presidency over what his administration called â€œanti-Israeli biasâ€."
"72b60dc6-6ac5-4560-9869-1bbbcb48bb92","2023","","61","75791278-f076-4df9-8099-e6456ff02b77","Pension schemes for unorganised workers and farmers","medium","verified","The National Pension Scheme (NPS) is a voluntary and contributory pension scheme introduced by the Government of India. It is designed to provide individuals with a sustainable income after retirement"
"2072bcce-cf00-44b7-b6e0-ba6f707ec04f","2023","","66","8a64f844-7e04-436c-ab9a-5fa2e9ceb99d","Housing finance and house price indices","medium","verified","SWAMIH was announced on 6th November 2019 by the Finance Minister Smt. Nirmala Sitharaman. The Union Cabinet cleared a proposal to set up a â€˜Special Windowâ€™ in the form of AIF to provide priority "
"d45288ea-3086-455e-a2f7-3b86ccb182ca","2023","","69","32f78939-6d1f-462f-947d-297acdf453f6","International summits and forums","easy","verified","The SAI20 Summit of the SAI20 Engagement Group under Indiaâ€™s G20 Presidency was organized in Goa. Shri Girish Chandra Murmu, the Comptroller and Auditor General (CAG) of India and the Chair of the S"
"3395bf01-c064-431b-8735-d7b9811b7ada","2023","","78","09e4b8c2-3e2b-4633-8ec1-a58bc6867e0b","Mineral resources and mining sites","easy","verified","Which of the following is the top gold producing countries in the world?"
"518bd8f3-af42-4782-9d84-186be53a4b6b","2023","","80","83767c6b-bfac-4384-8dc1-2deeff9d5b83","Capital and leverage norms; D-SIBs","medium","verified","Domestic Systemically Important Insurers (D-SIIs) refer to insurers of such size, market importance, and domestic and global interconnectedness, whose distress or failure would cause a significant dis"
"c03cf54f-6f27-4e8e-a958-f11435df69ef","2024","","2","c07b3f29-e87e-4721-8dfe-257793aae9e3","MUDRA and micro-enterprise credit","easy","verified","The Pradhan Mantri MUDRA Yojana (PMMY) was launched in 2015 to ignite entrepreneurship, providing collateral-free micro-loans up to Rs 10 lakh and supporting numerous small and microenterprises. The U"
"1eac5e45-a56c-4514-bdc4-c2d64bc5b156","2024","","3","fa731497-39a6-49f8-b3ff-e0f3bb19cb96","Union Budget provisions and taxation","medium","verified","As per the Union Budget 2024-25, the non-reporting of small movable foreign assets up to ____________ has been de- penalised. Fill the gap"
"09bdd252-7913-4235-a3ad-f204400ce21a","2024","","5","edfa8f79-7e0a-4f3e-8726-dbd3a97fb1de","MSME sector and its contribution","medium","verified","The Union Budget 2024-25 has proposed to reduce the turnover threshold of buyers for mandatory onboarding on the TReDS platform from Rs 500 crore to ____________. Fill the gap"
"ff22c6f5-286f-4ab9-97e2-aedf24118a15","2024","","6","fac566e1-1cba-4017-9733-f13cc31b1aa6","National Infrastructure Pipeline and project dashboards","medium","verified","Which Ministry is recognized as the top achiever in the National Monetisation Pipeline for the financial year 2023-24?"
"206667d0-5750-4ee4-ae1b-80e027ebd0de","2024","","7","6f182884-0443-48e2-ad72-601b4ad101ab","DAY-NRLM, self-help groups and rural livelihoods","easy","verified","Which initiative has been launched by the Deendayal Antyodaya Yojanaâ€“National Rural Livelihoods Mission (DAY-NRLM) to empower individuals across India with systems design skills to address complex s"
"21a031cf-d598-43d6-9700-906c616ff60f","2024","","9","edfa8f79-7e0a-4f3e-8726-dbd3a97fb1de","MSME sector and its contribution","medium","verified","What is the share of export of MSME specified products in all India exports (in %) in FY 2023-24?"
"1883318d-a7ac-411b-aeaa-534b54780c7a","2024","","14","fa731497-39a6-49f8-b3ff-e0f3bb19cb96","Union Budget provisions and taxation","medium","verified","The Government has substantially enhanced the budget allocation of Ministry of Agriculture & Farmers Welfare from Rs. 27,662.67 crore BE during 2013-14 to _________ BE during 2024-25. Fill the gap"
"6c6fabd9-b2b5-403b-8d72-3f5cfb7cdb7e","2024","","15","390cb8c4-537c-469c-b3d1-14d9194d8cea","NPCI systems â€” UPI, IMPS, NEFT, RTGS","medium","verified","Recently, RBI released the Statement on Developmental and Regulatory Policies. One initiative that RBI took is regarding UPI. UPI (Unified Payments Interface) is the most preferred payment mode due to"
"d37da05c-2330-413d-aad0-cb8457ad536c","2024","","16","6543f906-3a5b-4e9d-9672-3628cc7a032c","Capital market instruments and regulation","medium","verified","India has been included in the JP Morgan Global Bond Index - Emerging Markets. The inclusion process started on June 28, 2024, with a gradual increase in Indiaâ€™s weight in the index. Initially, a 1%"
"e2563c71-a97c-4aeb-8a14-ea9407a8b9a4","2024","","17","ffdc4541-194f-4155-a578-d0fc9d7d4c91","Financial Inclusion Index and schemes","easy","verified","The Reserve Bank of Indiaâ€™s Financial Inclusion Index (FI-Index) measures the level of financial inclusion across India. As of March 2024, the index has risen to 64.2, up from 60.1 in March 2023. Th"
"3c8aefb0-6b1c-4917-86c6-8119831e00ac","2024","","21","177b68be-4bce-4c12-bc99-f7fabcbc1de6","Bank advances â€” cash credit, overdraft, bill discounting","medium","verified","Trade Receivables e-Discounting System (TReDS) is an electronic platform for facilitating the financing/discounting of trade receivables of micro, small and medium enterprises (MSMEs) through multiple"
"25bf3b60-a3f7-4fd5-b440-799f15c4fa54","2024","","22","a5f18325-af4e-4040-95ca-5007d0ed75ab","Direct vs indirect monetary instruments â€” OMO, CRR, SLR, repo, MSF","medium","verified","To control inflationary pressures, the Reserve Bank of India (RBI) undertook a series of monetary policy actions between May 2022 and February 2023. During this period, the central bank raised the rep"
"798d40be-1be7-4acf-8f24-875065255b8c","2024","","41","15e5b403-5be3-49c4-a4c5-8c3805cc2694","RBI, SEBI, IRDAI, PFRDA â€” mandate boundaries","medium","verified","The Insurance Regulatory and Development Authority of India (IRDAI) recently imposed a penalty of Rs.2 crore on which of the following Non-Banking Financial Companies (NBFCs) for regulatory violations"
"4f04deeb-e43b-4ab1-aa7a-b598d75d3e61","2024","","43","1d690f05-756d-4389-b40d-5bca2d050fdd","Digital finance and technology in banking","easy","verified","RBI announced its much awaited 3rd global hackathon- â€˜HaRBInger 2024- Innovation for Transformationâ€™. The announcement was made by RBI Governor during his MPC meeting statement in June. Which of t"
"0b8b22ff-925a-4d0f-9519-e7897fad65a4","2024","","50","748e1177-b18b-4e5a-9698-9aa51b57a50b","International agreements and declarations","medium","verified","The United Nations Framework Convention on Climate Change (UNFCCC) is essential for global climate negotiations, with leadership roles rotating among member countries. Each Conference of the Parties ("
"502ce244-eebd-45d6-873c-07b8e0daec11","2024","","51","9dd02f97-b76e-4e51-95fe-cd68265df28c","Computing and artificial intelligence","easy","verified","The field of Generative Artificial Intelligence (Gen AI) has seen significant advancements and innovations, leading to an increase in patent filings worldwide. Various countries are competing to estab"
"9bcb0ef0-a3f5-4943-b99f-0df2c20550d0","2024","","52","8e5aa145-440d-4db7-a3f4-9ee6e4aed196","Sports terminology and Indian sporting history","easy","verified","Carlos Alcaraz, a rising star in the world of tennis, has made headlines with his impressive performances in various Grand Slam tournaments. His remarkable skills and determination have led him to sec"
"75db4cef-c2c5-4107-abe7-abc2c9b2058f","2024","","54","c862456b-d22b-45b5-9150-d9d1f21eb0c6","Global indices and India's rank","easy","verified","The Environmental Performance Index (EPI) is an important metric that evaluates countries based on their environmental health and sustainability efforts. It considers various factors such as air quali"
"10af97a2-2afc-49f3-9394-df831d4706cc","2024","","55","8e5aa145-440d-4db7-a3f4-9ee6e4aed196","Sports terminology and Indian sporting history","easy","verified","The Athletics Federation of India (AFI) plays a crucial role in promoting and developing athletics in the country, supporting athletes at various levels. Recently, the AFI has taken significant steps "
"ebbc4dd1-e619-499d-aa50-57e603aaf3ff","2024","","56","32f78939-6d1f-462f-947d-297acdf453f6","International summits and forums","easy","verified","Indiaâ€™s role in the G20 has become increasingly significant as the country engages with other major economies to address global challenges such as economic growth, climate change, and sustainable de"
"b072a614-e11b-43ef-a926-102f8e4f61bb","2024","","57","c862456b-d22b-45b5-9150-d9d1f21eb0c6","Global indices and India's rank","easy","verified","The Global Peace Index (GPI) is an important measure that ranks countries and regions based on their levels of peace, considering factors such as violence, conflict, and militarization. The 2024 repor"
"5b44f24f-1c7b-4a42-b822-3393a48b648e","2024","","60","b2983344-9a73-4205-bc92-76949ad7d588","Awards and honours","easy","verified","The International Mathematics Olympiad (IMO) is a prestigious annual event that brings together the brightest young mathematicians from around the world to compete in challenging mathematical problems"
"53f4f623-2ab7-46e8-9dfb-efb45ce9d735","2024","","61","1d690f05-756d-4389-b40d-5bca2d050fdd","Digital finance and technology in banking","medium","verified","In the rapidly evolving insurance sector, companies are increasingly leveraging technology to enhance their offerings and improve customer experience. One such innovation is the introduction of AI-pow"
"ce005ad8-65c4-4c19-984b-3d3ef073fd23","2024","","62","93940073-ade8-459c-91cf-c7384d4b5cd9","Space missions and spacecraft","easy","verified","The Aditya L1 spacecraft, launched by the Indian Space Research Organisation (ISRO), is Indiaâ€™s first dedicated mission to study the Sun. This mission aims to observe solar activities and their impa"
"4cc1af65-893b-4548-ae4c-af73d2077672","2024","","69","0adcb286-28d5-4094-bb12-80f2f9e99468","Business and startup terminology","medium","verified","The Randstad Employer Brand Research is a comprehensive study that evaluates employer branding and attractiveness in various industries. This research provides insights into what makes companies appea"
"1633fb70-e013-4f85-8c9f-ad306f6e63d0","2024","","70","af53b54e-1844-450a-b3e2-e16020be4533","Industrial policy and manufacturing","medium","verified","The Fast-Moving Consumer Goods (FMCG) sector is a vital part of the global economy, encompassing a wide range of products that are sold quickly at relatively low cost. Various brands compete in this s"
"ba2458c3-0fa8-4521-bac7-fbd4c2507133","2024","","71","8e5aa145-440d-4db7-a3f4-9ee6e4aed196","Sports terminology and Indian sporting history","easy","verified","The Paris Olympics have garnered significant attention as countries around the world prepare to showcase their athletes in various sports. India has a rich history of participation in the Olympics, of"
"c156f5f1-1850-4f96-b60b-1ec4a8f82850","2024","","72","a966cebe-c5d9-4989-ad3f-1ebd16c23f89","World Heritage and protected sites","medium","verified","The International Council on Monuments and Sites (ICOMOS) plays a vital role in promoting the conservation and protection of cultural heritage sites worldwide. Each year, the organization holds its An"
"c2377279-c3a4-4bce-9fac-ad9fe5bce7e8","2024","","75","65c6b4bb-b6fc-4351-a9ea-e09a179d12da","Public sector bank reforms","medium","verified","In a significant development within the banking sector, the Reserve Bank of India (RBI) has approved a merger that will reshape the landscape of small finance banks in the country. This merger is set "
"b4e1528c-a68c-452c-8e6c-80260a6f03e9","2024","","76","32f78939-6d1f-462f-947d-297acdf453f6","International summits and forums","easy","verified","The G7 Leadersâ€™ Summit is a significant annual gathering where leaders from seven of the worldâ€™s largest advanced economies come together to discuss pressing global issues, including economic poli"
"65c278c8-5e09-4b68-80ca-0aa0a5db073a","2024","","77","390cb8c4-537c-469c-b3d1-14d9194d8cea","NPCI systems â€” UPI, IMPS, NEFT, RTGS","medium","verified","The Reserve Bank of India (RBI) has recently taken a significant step towards enhancing financial connectivity in the region by signing an agreement to integrate fast payment systems with another coun"
"1143acaa-b912-4b79-86a0-2fd5dfabf6db","2024","","79","fa731497-39a6-49f8-b3ff-e0f3bb19cb96","Union Budget provisions and taxation","medium","verified","During the recent budget presentation, the Union Finance Minister emphasized several key focus areas that are crucial for the economic development and welfare of the nation. This budget aims to addres"
"a1d29d65-8949-489b-913c-d3b578bf5261","2025","Economic & Social Issues","7","ec1c423a-d5ab-42aa-b03e-26d3a74e72fb","Life and accident insurance schemes for the poor","easy","verified","The Pradhan Mantri Suraksha Bima Yojana (PMSBY) is a government-backed accident insurance scheme aimed at providing social security coverage to individuals, especially from economically weaker section"
"9b18d19f-4799-4e4d-89ba-458daf3848c3","2025","Economic & Social Issues","8","5e3f8952-3acb-45fa-8e28-b4e5ed0e3dc8","Non-tax sources of revenue","medium","verified","The Public Provident Fund (PPF) is a long-term small savings scheme introduced by the Government of India in 1968 to encourage household savings and provide old-age income security. It is governed by "
"8ce8cdb3-54cb-4a01-9cb4-6381232c72b6","2025","Economic & Social Issues","9","a8e79dbb-62c4-424f-83dd-56dbf319e539","Skill development and apprenticeship","medium","verified","A private training organisation proposes to open a Pradhan Mantri Kaushal Kendra (PMKK) in a semi-urban district of India. The organisation claims to have experience in skill training, access to adequ"
"073aca3f-93c7-4261-943a-03083c28ce0e","2025","Economic & Social Issues","10","55445373-0670-480b-9789-76cf81fef778","Solar and renewable energy schemes in agriculture","medium","verified","Consider the following statement with reference to PM Surya Ghar Muft Bijli yojana? 1. Person X wants to install a rooftop solar system. He can receive a maximum subsidy of Rs 78,000, which is availab"
"ec3580e8-ce61-41c0-942d-4347df1417d4","2025","Economic & Social Issues","11","75791278-f076-4df9-8099-e6456ff02b77","Pension schemes for unorganised workers and farmers","medium","verified","Amit is a 45 year old who recently enrolled under NPS, which of the following is true? 1. He can contribute for 25 more years. 2. He will be eligible for withdrawal after 3 years 3. He made an investm"
"13001bdb-7836-4d9b-9463-e3d542f0ad8e","2025","Economic & Social Issues","12","67198b82-3136-4a92-8f44-676488c348d2","Social legislation on women, children and the elderly","medium","verified","Which of the following are eligible under the CARA rules 2025? 1. A female single parent aged 45 want to adopt a male or female child aged 4 years. 2. Parents having composite age 92 years want to ado"
"66d56037-148a-4a48-abe0-4619ae387f55","2025","Economic & Social Issues","13","572d0eaa-691a-4172-aa52-98a315b3f558","Scholarships and student support schemes","medium","verified","Which of the following students are eligible to receive benefits under SHRESHTA scheme? 1. The scheme is open to students from Scheduled Castes, Scheduled Tribes, and Other Backward Classes. 2. The an"
"7cc7dcad-b90e-4f35-b008-7a2cb53e13e5","2025","Economic & Social Issues","14","a9893874-a4ba-4cb8-950f-c570eeb3dfad","Welfare schemes for senior citizens","medium","verified","With reference to Atal Vayo Abhyuday Yojana, consider the following statements. 1. A person belong to BPL and who is above 60 is eligible. 2. The Ministry of Social Justice provides equity support of "
"f306caff-0f00-4e2e-8fe2-c79f79cd2702","2025","Economic & Social Issues","15","75791278-f076-4df9-8099-e6456ff02b77","Pension schemes for unorganised workers and farmers","medium","verified","Which of the following persons are eligible to enroll under PM Shram Yogi Mandhan Yojana? 1. X earns Rs 18,000 per month and is 65 years old and would receive Rs 3000 monthly pension under the scheme."
"d2248ef9-6299-4f8e-9641-3d7dfe54de47","2025","Economic & Social Issues","16","6543f906-3a5b-4e9d-9672-3628cc7a032c","Capital market instruments and regulation","medium","verified","Specialized Investment Funds (SIFs) are a new category of investment products in India, introduced by the Securities and Exchange Board of India (SEBI) in early 2025. They are designed to bridge the g"
"0541d59f-b575-4f4b-af14-40832341bcbd","2025","Economic & Social Issues","17","4d2ef984-313a-468f-87f4-d5027de94736","Sustainable agriculture missions","medium","verified","The Pradhan Mantri Dhan-Dhaanya Krishi Yojana (PMDDKY) is a groundbreaking government initiative launched to revolutionize Indian agriculture by making it more productive, sustainable, and financially"
"e291a985-bbc3-435b-9fe2-2c312d7d9af7","2025","Economic & Social Issues","18","4d2ef984-313a-468f-87f4-d5027de94736","Sustainable agriculture missions","medium","verified","The Pradhan Mantri Dhan-Dhaanya Krishi Yojana (PMDDKY) is a groundbreaking government initiative launched to revolutionize Indian agriculture by making it more productive, sustainable, and financially"
"4e1ebff5-9265-45c7-a578-64e025093728","2025","Economic & Social Issues","19","4d2ef984-313a-468f-87f4-d5027de94736","Sustainable agriculture missions","medium","verified","The Pradhan Mantri Dhan-Dhaanya Krishi Yojana (PMDDKY) is a groundbreaking government initiative launched to revolutionize Indian agriculture by making it more productive, sustainable, and financially"
"c2d50ff5-5bee-48ca-956d-dde74e95656e","2025","Economic & Social Issues","20","4d2ef984-313a-468f-87f4-d5027de94736","Sustainable agriculture missions","medium","verified","The Pradhan Mantri Dhan-Dhaanya Krishi Yojana (PMDDKY) is a groundbreaking government initiative launched to revolutionize Indian agriculture by making it more productive, sustainable, and financially"
"c915b2f1-d15b-4b58-8563-c23013e406fd","2025","Economic & Social Issues","21","4d2ef984-313a-468f-87f4-d5027de94736","Sustainable agriculture missions","medium","verified","The Pradhan Mantri Dhan-Dhaanya Krishi Yojana (PMDDKY) is a groundbreaking government initiative launched to revolutionize Indian agriculture by making it more productive, sustainable, and financially"
"21b7ab30-32f3-49c6-88dc-c20ea27d10f8","2025","Economic & Social Issues","22","4d2ef984-313a-468f-87f4-d5027de94736","Sustainable agriculture missions","medium","verified","The Pradhan Mantri Dhan-Dhaanya Krishi Yojana (PMDDKY) is a groundbreaking government initiative launched to revolutionize Indian agriculture by making it more productive, sustainable, and financially"
"247e610c-1898-4c51-98b2-252ce8e944e5","2025","Economic & Social Issues","23","4d2ef984-313a-468f-87f4-d5027de94736","Sustainable agriculture missions","medium","verified","The Pradhan Mantri Dhan-Dhaanya Krishi Yojana (PMDDKY) is a groundbreaking government initiative launched to revolutionize Indian agriculture by making it more productive, sustainable, and financially"
"2f070e68-cefb-4fe3-b151-4862b9945fac","2025","Economic & Social Issues","24","4d2ef984-313a-468f-87f4-d5027de94736","Sustainable agriculture missions","medium","verified","The Pradhan Mantri Dhan-Dhaanya Krishi Yojana (PMDDKY) is a groundbreaking government initiative launched to revolutionize Indian agriculture by making it more productive, sustainable, and financially"
"a424381f-3119-4f8a-8a65-76c8f6cf62d3","2025","Economic & Social Issues","25","f760738d-0cb4-465f-9aa4-ebef3fc42346","Watershed development","medium","verified","Covering about one-third of the Earthâ€™s land surface, forests are crucial for food security, livelihoods and for renewable biomaterials and energy. They are habitats for a large proportion of the wo"
"27c00ca1-58ea-4db6-aff9-5090aae709a4","2025","Economic & Social Issues","26","f760738d-0cb4-465f-9aa4-ebef3fc42346","Watershed development","medium","verified","Covering about one-third of the Earthâ€™s land surface, forests are crucial for food security, livelihoods and for renewable biomaterials and energy. They are habitats for a large proportion of the wo"
"b33636c8-f41e-4f3b-af56-702d8c743a2c","2025","Economic & Social Issues","27","f760738d-0cb4-465f-9aa4-ebef3fc42346","Watershed development","medium","verified","Covering about one-third of the Earthâ€™s land surface, forests are crucial for food security, livelihoods and for renewable biomaterials and energy. They are habitats for a large proportion of the wo"
"9d75a38c-082c-4ca7-9f6a-80aaa958d7f2","2025","Economic & Social Issues","28","f760738d-0cb4-465f-9aa4-ebef3fc42346","Watershed development","medium","verified","Covering about one-third of the Earthâ€™s land surface, forests are crucial for food security, livelihoods and for renewable biomaterials and energy. They are habitats for a large proportion of the wo"
"37ccaebb-d329-47c0-a0bc-fb668361997b","2025","Economic & Social Issues","29","a406cb7b-b61d-4987-8afe-2039eef3133b","Rural and urban housing schemes","medium","verified","The launch of Pradhan Mantri Awas Yojana â€“ Urban 2.0 (PMAY-U 2.0) has created a significant need to generate public awareness about the scheme and encourage participation of eligible beneficiaries t"
