id,subject,microtopic,level,factcheck_verdict,verify_fact,stem_excerpt,keyed_answer,ref,sample,reviewer,decision,fix_note,minutes_spent
ACC-003,commerce-accountancy,Double entry and rules of debit and credit,L1,not_flagged,N,"The proprietor withdraws goods costing ₹12,000 (sale value ₹15,000) for personal use. The correct journal entry is:","B. Drawings A/c Dr ₹12,000 To Purchases A/c ₹12,000",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
ACC-004,commerce-accountancy,Double entry and rules of debit and credit,L2,not_flagged,N,"Ravi owes the firm ₹50,000. He settles the account in full by paying cash after being allowed a cash discount of 3%. The firm's entry is:","A. Cash A/c Dr ₹48,500; Discount Allowed A/c Dr ₹1,500; To Ravi ₹50,000",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
ACC-005,commerce-accountancy,Stages of the accounting process,L1,not_flagged,N,Transferring entries from the journal to the respective ledger accounts belongs to which stage of the accounting process?,C. Classifying,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
ACC-006,commerce-accountancy,Stages of the accounting process,L2,not_flagged,N,Consider the following statements about the accounting process: 1. A trial balance is prepared from ledger balances and is a step towards summarising. 2. Agree…,B. 1 and 3 only,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
ACC-007,commerce-accountancy,Users and objectives of accounting,L1,not_flagged,N,"According to the Conceptual Framework for Financial Reporting under Ind AS, the primary users of general purpose financial reports are:","D. Existing and potential investors, lenders and other creditors","Conceptual Framework for Financial Reporting under Ind AS, Chapter 1",,,,,
ACC-008,commerce-accountancy,Users and objectives of accounting,L2,not_flagged,N,Match each user of accounting information with its principal information need: | | List I | | List II | |---|---|---|---| | A | Trade creditors | 1 | Ability t…,"B. A-1, B-3, C-4, D-2",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
ACC-009,commerce-accountancy,Qualitative characteristics of financial information,L1,not_flagged,N,Which of the following is a FUNDAMENTAL qualitative characteristic of useful financial information under the Conceptual Framework?,B. Faithful representation,"Conceptual Framework for Financial Reporting under Ind AS, Chapter 2",,,,,
ACC-010,commerce-accountancy,Qualitative characteristics of financial information,L2,not_flagged,N,Consider the following statements: 1. Materiality is an entity-specific aspect of relevance. 2. Timeliness is a fundamental qualitative characteristic. 3. A pe…,D. 1 and 3 only,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
ACC-011,commerce-accountancy,"Going concern, conservatism, matching, consistency",L2,not_flagged,N,Match the accounting practice with the concept that primarily justifies it: | | List I | | List II | |---|---|---|---| | A | Closing stock valued at lower of c…,"D. A-3, B-4, C-1, D-2",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
ACC-012,commerce-accountancy,"Going concern, conservatism, matching, consistency",L3,not_flagged,N,**Assertion (A):** Insurance premium paid on 1 January 2026 for the year ending 31 December 2026 is partly shown as a prepaid asset in the balance sheet at 31…,"A. Both A and R are true, and R is the correct explanation of A",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
ACC-013,commerce-accountancy,Accrual vs cash basis,L3,not_flagged,N,"A consultancy (all revenue on credit; salary is its only expense) gives these data for FY 2025-26: | Item | ₹ | |---|---:| | Cash collected from clients | 8,40…","D. ₹4,61,000",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
ACC-014,commerce-accountancy,Accrual vs cash basis,L1,confirmed,Y,"Under Section 128(1) of the Companies Act, 2013, a company's books of account must be kept on:",B. Accrual basis and according to the double entry system,"Companies Act, 2013, s.128(1)",,,,,
ACC-015,commerce-accountancy,Capital vs revenue expenditure,L2,not_flagged,N,A manufacturer incurs the following. Which of them are capital expenditure? 1. Replacement of a worn-out belt that merely restores the machine's original effic…,D. 2 and 4 only,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
ACC-016,commerce-accountancy,Capital vs revenue expenditure,L3,not_flagged,N,"Tarang Ltd bought a machine. Details: | Item | ₹ | |---|---:| | List price | 12,00,000 | | Trade discount | 5% of list price | | GST @18% on invoice (full inpu…","C. ₹12,38,000",AS 10 / Ind AS 16 — elements of cost,,,,,
ACC-017,commerce-accountancy,Rectification of errors,L1,not_flagged,N,"Purchase of office furniture for ₹40,000 was debited to Purchases Account. This is an error of:",D. Principle,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
ACC-018,commerce-accountancy,Rectification of errors,L2,not_flagged,N,"Which of the following errors will NOT affect the agreement of the trial balance? 1. Credit sale of ₹7,500 to Asha entirely omitted from the books. 2. Wages of…","B. 1, 2 and 4 only",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
ACC-019,commerce-accountancy,Rectification of errors,L3,not_flagged,N,"After closing the books, Suraj & Co. (reported net profit ₹2,40,000) finds: 1. Goods costing ₹6,000 taken by the proprietor were not recorded at all. 2. Repair…","A. ₹2,21,500",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
ACC-020,commerce-accountancy,Rectification of errors,L4,not_flagged,N,[case ACC-C1-KAVERI] The balance originally placed in the suspense account was:,"A. ₹6,200 credit",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
ACC-021,commerce-accountancy,Rectification of errors,L4,not_flagged,N,[case ACC-C1-KAVERI] The corrected net profit is:,"A. ₹1,79,100",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
ACC-022,commerce-accountancy,Rectification of errors,L4,not_flagged,N,[case ACC-C1-KAVERI] Consider the following statements: 1. Error (d) is an error of principle. 2. Error (e) disturbs the agreement of the trial balance. 3. Error (b) is an error of…,B. 1 and 3 only,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
ACC-023,commerce-accountancy,Rectification of errors,L4,not_flagged,N,[case ACC-C1-KAVERI] The rectifying entry for error (c) is:,"B. Discount Allowed A/c Dr ₹2,400 To Suspense A/c ₹2,400",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
ACC-024,commerce-accountancy,Bills of exchange and account current,L2,confirmed,Y,"A bill dated 31 January 2026 is payable one month after date. Assuming no public holiday intervenes, its date of maturity is:",B. 3 March 2026,"Negotiable Instruments Act, 1881, ss.22–23",,,,,
ACC-025,commerce-accountancy,Bills of exchange and account current,L3,not_flagged,N,"Anand accepted three bills drawn by Balan: | Bill | Amount (₹) | Due date | |---|---:|---:| | 1 | 6,000 | 10 March 2026 | | 2 | 9,000 | 25 March 2026 | | 3 | 5…",B. 27 March 2026,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
ACC-026,commerce-accountancy,Bills of exchange and account current,L2,not_flagged,N,"Pooja discounted Kiran's acceptance of ₹20,000 with her bank for ₹19,600. On maturity the bill was dishonoured and the bank paid noting charges of ₹100. Pooja'…","C. Kiran A/c Dr ₹20,100 To Bank A/c ₹20,100",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
ACC-027,commerce-accountancy,Accounting software and XBRL,L1,not_flagged,N,"In XBRL reporting, the electronic dictionary that defines the elements (tags) and their relationships used in financial statements is called the:",D. Taxonomy,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
ACC-028,commerce-accountancy,Accounting software and XBRL,L2,confirmed,Y,"Under Rule 3 of the Companies (Accounts) Rules, 2014 (as amended), for books of account kept in electronic mode: 1. Back-up of books must be kept on servers ph…",B. 1 and 2 only,"Companies (Accounts) Rules, 2014 — Rule 3(1) and 3(5) as amended in 2021/2022",,,,,
ACC-031,commerce-accountancy,Applicability framework and enterprise levels,L2,confirmed,Y,"With reference to the Companies (Indian Accounting Standards) Rules, 2015: 1. An unlisted company with net worth of ₹280 crore is required to follow Ind AS. 2.…",D. 1 and 3 only,"Companies (Ind AS) Rules, 2015, Rule 4",,,,,
ACC-033,commerce-accountancy,AS vs Ind AS convergence,L1,confirmed,Y,"Under Ind AS 40 as notified in India, investment property is measured after initial recognition using:","A. The cost model only, with fair value disclosed","Ind AS 40, paragraph 30 (Indian carve-out)",,,,,
ACC-035,commerce-accountancy,AS vs Ind AS convergence,L3,confirmed,Y,"**Assertion (A):** Under AS, proposed dividends declared after the reporting date are not recognised as a liability at the reporting date, which now matches In…","B. Both A and R are true, and R is the correct explanation of A",AS 4 (revised 2016) para 8.5; Ind AS 10 para 12,,,,,
ACC-036,commerce-accountancy,"AS 2 — inventories, NRV, abnormal wastage",L1,not_flagged,N,"Under AS 2, which of the following is INCLUDED in the cost of inventories?",A. Fixed production overheads allocated on the basis of normal capacity,AS 2 (revised) — cost of inventories,,,,,
ACC-037,commerce-accountancy,"AS 2 — inventories, NRV, abnormal wastage",L2,not_flagged,N,"A trader holds 1,200 units of an item costing ₹500 each. The estimated selling price is ₹540 per unit and estimated costs to sell are ₹60 per unit. Closing inv…","B. ₹5,76,000",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
ACC-038,commerce-accountancy,"AS 2 — inventories, NRV, abnormal wastage",L3,not_flagged,N,"Normal capacity of a plant is 50,000 units a year; owing to a strike only 40,000 units were produced this year. Fixed production overheads were ₹10,00,000 and…","C. ₹6,40,000",AS 2 para 9,,,,,
ACC-039,commerce-accountancy,"AS 2 — inventories, NRV, abnormal wastage",L4,not_flagged,N,[case ACC-C2-SUNRISE] The cost of finished product P under AS 2 is:,"A. ₹5,60,000",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
ACC-040,commerce-accountancy,"AS 2 — inventories, NRV, abnormal wastage",L4,not_flagged,N,[case ACC-C2-SUNRISE] Total inventory to be reported is:,"D. ₹12,10,000",AS 2 para 24,,,,,
ACC-041,commerce-accountancy,"AS 2 — inventories, NRV, abnormal wastage",L4,not_flagged,N,[case ACC-C2-SUNRISE] The write-down of inventories to net realisable value recognised as an expense is:,"A. ₹60,000",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
ACC-042,commerce-accountancy,"AS 2 — inventories, NRV, abnormal wastage",L4,not_flagged,N,[case ACC-C2-SUNRISE] Consider the following statements: 1. Material X is not written down because product P is expected to be sold above cost. 2. Replacement cost may be the best a…,C. 1 and 2 only,"AS 2 para 16, 24",,,,,
ACC-043,commerce-accountancy,"AS 10 — property, plant and equipment; revaluation",L1,not_flagged,N,"Under AS 10, an increase in carrying amount arising on revaluation of an item of PPE, which does NOT reverse a previous revaluation decrease, is:",A. Credited to revaluation surplus under owners' interests (equity),AS 10 (2016) para 42–43,,,,,
ACC-044,commerce-accountancy,"AS 10 — property, plant and equipment; revaluation",L3,not_flagged,N,"Plant costing ₹10,00,000 was acquired on 1 April 2023 (life 10 years, SLM, nil residual value). On 31 March 2025 it was revalued at ₹9,60,000, with no change i…","A. ₹1,40,000",AS 10 para 45,,,,,
ACC-045,commerce-accountancy,"AS 10 — property, plant and equipment; revaluation",L3,not_flagged,N,"Land was revalued upward two years ago, creating a revaluation surplus of ₹50,000 that remains intact. This year it is revalued downward by ₹80,000. The amount…","A. ₹30,000",AS 10 para 43,,,,,
ACC-046,commerce-accountancy,"AS 10 — property, plant and equipment; revaluation",L2,not_flagged,N,"Under AS 10 (revised), consider the following: 1. Each part of an item of PPE with a cost significant in relation to the total cost is depreciated separately.…",C. 1 and 3 only,"AS 10 paras 12, 16, 44",,,,,
ACC-047,commerce-accountancy,"Depreciation — methods, change in estimate, commencement",L1,not_flagged,N,"Under AS 10 / Ind AS 16, depreciation of an asset begins:",C. When it is available for use in the location and condition intended,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
ACC-048,commerce-accountancy,"Depreciation — methods, change in estimate, commencement",L3,not_flagged,N,"A machine cost ₹6,00,000 (residual value ₹60,000, life 10 years, SLM). At the start of year 5 the remaining useful life is re-estimated at 4 years and the resi…","A. ₹86,000",AS 10 para 55; AS 5,,,,,
ACC-049,commerce-accountancy,"Depreciation — methods, change in estimate, commencement",L3,confirmed,Y,"An asset costing ₹8,00,000 bought on 1 April 2022 was depreciated at 10% SLM (nil residual). From 1 April 2025 the company changes to the WDV method at 15% bec…","B. ₹84,000",AS 10 (2016) para 61; AS 5,,,,,
ACC-050,commerce-accountancy,"Depreciation — methods, change in estimate, commencement",L2,not_flagged,N,"A press costing ₹12,00,000 has an estimated residual value of ₹1,20,000 and an estimated total output of 3,60,000 units. Output this year is 54,000 units. Depr…","A. ₹1,62,000",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
ACC-051,commerce-accountancy,AS 9 — revenue recognition,L1,not_flagged,N,"Under AS 9, revenue from dividends on investments in shares is recognised:",D. When the owner's right to receive payment is established,AS 9 para 13,,,,,
ACC-052,commerce-accountancy,AS 9 — revenue recognition,L2,not_flagged,N,"Under AS 9, consider the following: 1. In a sale on approval, revenue is recognised when the buyer signifies acceptance or the time for rejection has lapsed. 2…",B. 1 and 3 only,AS 9 Appendix,,,,,
ACC-053,commerce-accountancy,AS 9 — revenue recognition,L3,not_flagged,N,"Data for Himadri Ltd for FY 2025-26: 1. Goods of sale value ₹8,00,000 sent on sale-or-return; buyers have not yet accepted 25% and the return period has not ex…","B. ₹9,06,000",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
ACC-054,commerce-accountancy,AS 13 — investments,L1,not_flagged,N,"Under AS 13, current investments are carried in the financial statements at:","C. Lower of cost and fair value, determined individually or by category",AS 13 paras 14–17,,,,,
ACC-055,commerce-accountancy,AS 13 — investments,L3,not_flagged,N,A company holds the following current investments (each a separate scrip; valuation on an individual investment basis): | Scrip | Cost (₹) | Fair value (₹) | |…,"B. ₹6,55,000",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
ACC-056,commerce-accountancy,AS 13 — investments,L2,not_flagged,N,On reclassification of investments under AS 13: 1. Long-term to current: transfer at the lower of cost and carrying amount. 2. Current to long-term: transfer a…,D. 1 and 2 only,AS 13 paras 24–25,,,,,
ACC-057,commerce-accountancy,"AS 11 — foreign exchange, FCMITDA, non-integrated operations",L2,not_flagged,N,"Goods were imported on credit for USD 25,000 when the rate was ₹83.20/USD. The payable remains unpaid at the balance sheet date, when the rate is ₹84.00/USD. U…","C. Loss of ₹20,000 charged to profit and loss","AS 11 paras 11, 13",,,,,
ACC-058,commerce-accountancy,"AS 11 — foreign exchange, FCMITDA, non-integrated operations",L3,confirmed,Y,"On 1 April 2024 a company borrowed USD 1,00,000 (repayable in one bullet on 31 March 2029) for working capital, at ₹82.00/USD. It exercises the option in para…","D. ₹2,10,000",AS 11 para 46A,,,,,
ACC-059,commerce-accountancy,"AS 11 — foreign exchange, FCMITDA, non-integrated operations",L2,not_flagged,N,"Regarding translation of a non-integral foreign operation under AS 11: 1. Assets and liabilities, both monetary and non-monetary, are translated at the closing…",A. 1 and 2 only,AS 11 paras 24–26,,,,,
ACC-060,commerce-accountancy,AS 22 — deferred tax,L1,not_flagged,N,"Under AS 22, a deferred tax asset arising from unabsorbed depreciation or carry forward of tax losses is recognised only when:","A. There is virtual certainty, backed by convincing evidence, of future taxable income",AS 22 para 17,,,,,
ACC-061,commerce-accountancy,AS 22 — deferred tax,L3,not_flagged,N,"Opening deferred tax liability was ₹6,00,000, computed at 30%. During the year the tax rate for future years is enacted at 25%. Timing differences originating…","B. ₹5,50,000","AS 22 paras 21, 22",,,,,
ACC-062,commerce-accountancy,AS 22 — deferred tax,L4,not_flagged,N,[case ACC-C3-NAVDEEP] Current tax for the year is:,"C. ₹4,92,500",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
ACC-063,commerce-accountancy,AS 22 — deferred tax,L4,not_flagged,N,[case ACC-C3-NAVDEEP] The net deferred tax charge for the year is:,"C. ₹20,000 (net deferred tax liability)",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
ACC-064,commerce-accountancy,AS 22 — deferred tax,L4,not_flagged,N,[case ACC-C3-NAVDEEP] Total tax expense in the statement of profit and loss is:,"C. ₹5,12,500",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
ACC-065,commerce-accountancy,AS 22 — deferred tax,L4,not_flagged,N,[case ACC-C3-NAVDEEP] Consider the following statements under AS 22: 1. The deferred tax liability is measured using the enacted or substantively enacted rate. 2. The deferred tax l…,B. 1 and 3 only,"AS 22 paras 17, 21, 26",,,,,
ACC-066,commerce-accountancy,Leases — operating and finance,L2,not_flagged,N,"Under AS 19, which of the following would normally indicate a FINANCE lease? 1. The lease transfers ownership of the asset to the lessee by the end of the leas…",A. 1 and 2 only,AS 19 para 8,,,,,
ACC-067,commerce-accountancy,Leases — operating and finance,L3,not_flagged,N,"Under a finance lease (AS 19), a lessee pays ₹2,80,000 at the end of each of 5 years for a machine whose fair value at inception is ₹10,00,000. The rate implic…","C. ₹1,28,027","AS 19 paras 11, 17",,,,,
ACC-069,commerce-accountancy,Provisions vs contingent liabilities,L2,not_flagged,N,Match each situation (present obligation or possible obligation from a past event) with its treatment under AS 29 / Ind AS 37: | | List I | | List II | |---|--…,"D. A-2, B-3, C-1, D-4",AS 29 / Ind AS 37,,,,,
ACC-070,commerce-accountancy,Provisions vs contingent liabilities,L3,not_flagged,N,"A company sold 10,000 appliances under a one-year warranty. Experience: 75% need no repair; 20% need minor repairs costing ₹800 each; 5% need major repairs cos…","A. ₹31,00,000",AS 29 / Ind AS 37 — best estimate,,,,,
ACC-071,commerce-accountancy,Commitments and disclosure,L1,confirmed,Y,"Under Schedule III (Division I/II), which of the following are disclosed as COMMITMENTS (not contingent liabilities)? 1. Estimated amount of contracts remainin…",C. 1 and 2 only,"Schedule III, General Instructions — Contingent liabilities and commitments",,,,,
ACC-072,commerce-accountancy,Commitments and disclosure,L2,not_flagged,N,"A company contracted for a new plant at ₹50,00,000. By the balance sheet date work worth ₹20,00,000 has been completed, billed and provided for, and an unadjus…","C. ₹25,00,000",Schedule III — capital commitments,,,,,
ACC-073,commerce-accountancy,"Ind AS 16 — property, plant and equipment",L1,not_flagged,N,"Under Ind AS 16, if an entity chooses the revaluation model for an item of property, plant and equipment:",A. The entire class of PPE to which that item belongs must be revalued,"Ind AS 16 paras 29, 36",,,,,
ACC-074,commerce-accountancy,"Ind AS 16 — property, plant and equipment",L3,not_flagged,N,"On 1 April 2025 an oil company installs a rig at a cost of ₹50,00,000. It is legally obliged to dismantle it at the end of its 10-year life; the dismantling co…","D. ₹5,61,687","Ind AS 16 para 16(c); Ind AS 37 para 45, 60",,,,,
ACC-075,commerce-accountancy,"Ind AS 16 — property, plant and equipment",L2,not_flagged,N,"A company exchanges an old machine (carrying amount ₹4,00,000, fair value ₹5,20,000) plus cash of ₹30,000 for a new machine. The exchange has commercial substa…","D. ₹5,50,000",Ind AS 16 paras 24–26,,,,,
ACC-076,commerce-accountancy,Ind AS 105 — non-current assets held for sale,L1,not_flagged,N,A non-current asset classified as held for sale under Ind AS 105 is measured at:,A. Lower of carrying amount and fair value less costs to sell; not depreciated,"Ind AS 105 paras 15, 25",,,,,
ACC-077,commerce-accountancy,"Ind AS 16 — property, plant and equipment",L4,not_flagged,N,[case ACC-C5-ORION] Depreciation on the machine for FY 2025-26 is:,"B. ₹2,50,000",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
ACC-078,commerce-accountancy,Ind AS 105 — non-current assets held for sale,L4,not_flagged,N,[case ACC-C5-ORION] The impairment loss recognised on classification as held for sale is:,"A. ₹4,50,000",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
ACC-079,commerce-accountancy,Ind AS 105 — non-current assets held for sale,L4,not_flagged,N,[case ACC-C5-ORION] The carrying amount of the machine at 31 March 2026 is:,"D. ₹24,30,000",Ind AS 105 paras 20–21,,,,,
ACC-080,commerce-accountancy,Ind AS 105 — non-current assets held for sale,L4,not_flagged,N,[case ACC-C5-ORION] Consider the following statements: 1. The machine is presented separately from other assets in the balance sheet. 2. Had the sale been expected only after 18 m…,D. 1 and 2 only,"Ind AS 105 paras 7–8, 13, 38",,,,,
ACC-081,commerce-accountancy,Ind AS 36 — impairment of assets,L1,not_flagged,N,"Under Ind AS 36, the recoverable amount of an asset is:",D. The higher of its fair value less costs of disposal and its value in use,Ind AS 36 para 18,,,,,
ACC-082,commerce-accountancy,Ind AS 36 — impairment of assets,L2,not_flagged,N,"An asset has a carrying amount of ₹12,00,000, fair value less costs of disposal of ₹9,50,000 and value in use of ₹10,40,000. The impairment loss is:","A. ₹1,60,000",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
ACC-083,commerce-accountancy,Ind AS 36 — impairment of assets,L3,not_flagged,N,"For a specialised machine (carrying amount ₹11,50,000, fair value less costs of disposal ₹9,80,000) management's approved budgets show: | Year | Net cash inflo…","A. ₹72,615",Ind AS 36 paras 30–39,,,,,
ACC-084,commerce-accountancy,Ind AS 36 — impairment of assets,L3,not_flagged,N,**Assertion (A):** An impairment loss recognised for goodwill is not reversed in a subsequent period even if the recoverable amount of the CGU increases. **Rea…,"C. Both A and R are true, and R is the correct explanation of A",Ind AS 36 paras 124–125,,,,,
ACC-085,commerce-accountancy,Ind AS 36 — impairment of assets,L4,not_flagged,N,[case ACC-C4-VISTARA] The impairment loss of the CGU and the part allocated to goodwill are:,"B. ₹4,00,000, of which ₹2,00,000 to goodwill",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
ACC-086,commerce-accountancy,Ind AS 36 — impairment of assets,L4,not_flagged,N,[case ACC-C4-VISTARA] The carrying amount of the patent after allocation of the impairment loss is:,"A. ₹1,80,000",Ind AS 36 para 105,,,,,
ACC-087,commerce-accountancy,Ind AS 36 — impairment of assets,L4,not_flagged,N,[case ACC-C4-VISTARA] The carrying amount of the building after allocation of the impairment loss is:,"A. ₹4,92,000",Ind AS 36 para 105,,,,,
ACC-088,commerce-accountancy,Ind AS 36 — impairment of assets,L4,not_flagged,N,"[case ACC-C4-VISTARA] If next year the CGU's recoverable amount rises to ₹12,00,000, consider: 1. The impairment loss on goodwill may be reversed to the extent of the increase. 2. A…",B. 2 and 3 only,"Ind AS 36 paras 60, 117, 124",,,,,
ACC-089,commerce-accountancy,Ind AS 113 — fair value hierarchy,L2,not_flagged,N,"Under Ind AS 113, which of the following are Level 2 inputs? 1. Quoted price in an active market for an identical listed share held by the entity. 2. Quoted pr…",C. 2 and 3 only,Ind AS 113 paras 76–90,,,,,
ACC-090,commerce-accountancy,Ind AS 113 — fair value hierarchy,L2,not_flagged,N,"Under Ind AS 113, the fair value of a non-financial asset is measured by considering:","A. Its highest and best use by market participants, whatever the entity intends","Ind AS 113 paras 24, 27–30",,,,,
ACC-091,commerce-accountancy,Ind AS 113 — fair value hierarchy,L3,not_flagged,N,An asset is traded in two markets: | | Market A | Market B | |---|---:|---:| | Price (₹) | 26 | 25 | | Transaction costs (₹) | 3 | 1 | | Transport costs to mar…,D. ₹24,"Ind AS 113 paras 16, 25–26",,,,,
ACC-092,commerce-accountancy,Ind AS 21 — translation of non-monetary items,L1,not_flagged,N,"Under Ind AS 21, an entity's functional currency is:",B. Currency of the primary economic environment in which the entity operates,Ind AS 21 para 8,,,,,
ACC-093,commerce-accountancy,Ind AS 21 — translation of non-monetary items,L2,not_flagged,N,"On 1 February an Indian company pays a non-refundable advance of USD 10,000 to a foreign supplier (₹82/USD). The goods (fully covered by the advance) are recei…","A. ₹8,20,000","Ind AS 21 para 23, Appendix B",,,,,
ACC-094,commerce-accountancy,Ind AS 21 — translation of non-monetary items,L3,not_flagged,N,"An Indian entity (functional currency INR) holds imported inventory costing USD 10,000, bought when the rate was ₹80/USD. At the reporting date its net realisa…","C. ₹7,90,400",Ind AS 21 para 25,,,,,
ACC-095,commerce-accountancy,Consolidation — when required,L1,confirmed,Y,"Under Section 129(3) of the Companies Act, 2013, a company having one or more subsidiaries, associates or joint ventures must:",C. Prepare consolidated statements in addition to its standalone statements,"Companies Act, 2013 s.129(3); Companies (Accounts) Rules, 2014 Rule 5–6",,,,,
