id,verdict,fact,source,note
GKA-025,confirmed,"Tilak's Indian Home Rule League, April 1916 (HQ Poona); Gokhale-Servants of India Society; C.R. Das-Swaraj Party; Ambedkar-Independent Labour Party",https://www.gktoday.in/question/who-founded-indian-home-rule-league-in-1916-at-poo,
GKA-026,confirmed,INC sessions/national movement facts per NCERT Themes Part III and Bipan Chandra,https://ncert.nic.in/textbook.php?lehs3=0-4,
GKA-027,confirmed,INC sessions/national movement facts per NCERT Themes Part III and Bipan Chandra,https://ncert.nic.in/textbook.php?lehs3=0-4,
GKA-028,confirmed,INC sessions/national movement facts per NCERT Themes Part III and Bipan Chandra,https://ncert.nic.in/textbook.php?lehs3=0-4,
GKA-029,confirmed,INC sessions/national movement facts per NCERT Themes Part III and Bipan Chandra,https://ncert.nic.in/textbook.php?lehs3=0-4,
GKA-030,confirmed,INC sessions/national movement facts per NCERT Themes Part III and Bipan Chandra,https://ncert.nic.in/textbook.php?lehs3=0-4,
GKA-031,confirmed,Medieval India facts per NCERT Our Pasts II / Satish Chandra,https://ncert.nic.in/textbook.php?gess2=0-10,
GKA-032,confirmed,Medieval India facts per NCERT Our Pasts II / Satish Chandra,https://ncert.nic.in/textbook.php?gess2=0-10,
GKA-033,confirmed,Medieval India facts per NCERT Our Pasts II / Satish Chandra,https://ncert.nic.in/textbook.php?gess2=0-10,
GKA-034,confirmed,Medieval India facts per NCERT Our Pasts II / Satish Chandra,https://ncert.nic.in/textbook.php?gess2=0-10,
GKA-035,confirmed,Medieval India facts per NCERT Our Pasts II / Satish Chandra,https://ncert.nic.in/textbook.php?gess2=0-10,
GKA-036,confirmed,Medieval India facts per NCERT Our Pasts II / Satish Chandra,https://ncert.nic.in/textbook.php?gess2=0-10,
GKA-037,confirmed,Medieval India facts per NCERT Our Pasts II / Satish Chandra,https://ncert.nic.in/textbook.php?gess2=0-10,
GKA-038,confirmed,Medieval India facts per NCERT Our Pasts II / Satish Chandra,https://ncert.nic.in/textbook.php?gess2=0-10,
GKA-039,confirmed,Medieval India facts per NCERT Our Pasts II / Satish Chandra,https://ncert.nic.in/textbook.php?gess2=0-10,
GKA-040,confirmed,Medieval India facts per NCERT Our Pasts II / Satish Chandra,https://ncert.nic.in/textbook.php?gess2=0-10,
GKA-041,confirmed,Medieval India facts per NCERT Our Pasts II / Satish Chandra,https://ncert.nic.in/textbook.php?gess2=0-10,
GKA-042,confirmed,Medieval India facts per NCERT Our Pasts II / Satish Chandra,https://ncert.nic.in/textbook.php?gess2=0-10,
GKA-043,confirmed,Medieval India facts per NCERT Our Pasts II / Satish Chandra,https://ncert.nic.in/textbook.php?gess2=0-10,
GKA-044,confirmed,Medieval India facts per NCERT Our Pasts II / Satish Chandra,https://ncert.nic.in/textbook.php?gess2=0-10,
GKA-045,confirmed,"Ashtapradhan: Peshwa-PM, Amatya(Mazumdar)-finance/accounts, Sumant(Dabir)-foreign affairs, Nyayadhish-justice",https://en.wikipedia.org/wiki/Ashta_Pradhan,
GKA-046,confirmed,National memorials and samadhis,https://en.wikipedia.org/wiki/Raj_Ghat_and_associated_memorials,
GKA-047,confirmed,National memorials and samadhis,https://en.wikipedia.org/wiki/Raj_Ghat_and_associated_memorials,
GKA-048,confirmed,National memorials and samadhis,https://en.wikipedia.org/wiki/Raj_Ghat_and_associated_memorials,
GKA-049,confirmed,National memorials and samadhis,https://en.wikipedia.org/wiki/Raj_Ghat_and_associated_memorials,
GKA-050,confirmed,National memorials and samadhis,https://en.wikipedia.org/wiki/Raj_Ghat_and_associated_memorials,
GKA-051,confirmed,National memorials and samadhis,https://en.wikipedia.org/wiki/Raj_Ghat_and_associated_memorials,
GKA-052,confirmed,Mahaprayan Ghat Patna-Rajendra Prasad; Chaitya Bhoomi-Ambedkar; Abhay Ghat Ahmedabad-Morarji Desai; Sadaiv Atal-Vajpayee,https://commons.wikimedia.org/wiki/Category:Abhay_Ghat,
GKA-053,confirmed,National memorials and samadhis,https://en.wikipedia.org/wiki/Raj_Ghat_and_associated_memorials,
GKA-054,confirmed,National memorials and samadhis,https://en.wikipedia.org/wiki/Raj_Ghat_and_associated_memorials,
GKA-055,confirmed,National memorials and samadhis,https://en.wikipedia.org/wiki/Raj_Ghat_and_associated_memorials,
GKA-056,confirmed,National memorials and samadhis,https://en.wikipedia.org/wiki/Raj_Ghat_and_associated_memorials,
GKA-057,confirmed,"National Martyrs Memorial, Hussainiwala (Ferozepur) marks cremation site of Bhagat Singh, Rajguru, Sukhdev (1931)",https://ferozepur.nic.in/tourist-place/the-national-martyrs-memorial-hussainiwala-border/,
GKA-058,confirmed,National memorials and samadhis,https://en.wikipedia.org/wiki/Raj_Ghat_and_associated_memorials,
GKA-059,confirmed,National memorials and samadhis,https://en.wikipedia.org/wiki/Raj_Ghat_and_associated_memorials,
GKA-060,confirmed,National memorials and samadhis,https://en.wikipedia.org/wiki/Raj_Ghat_and_associated_memorials,
GKA-061,confirmed,Agricultural revolutions / Operation Flood / NDDB facts,https://www.nddb.coop/about/genesis,
GKA-062,confirmed,Agricultural revolutions / Operation Flood / NDDB facts,https://www.nddb.coop/about/genesis,
GKA-063,confirmed,Agricultural revolutions / Operation Flood / NDDB facts,https://www.nddb.coop/about/genesis,
GKA-064,confirmed,Agricultural revolutions / Operation Flood / NDDB facts,https://www.nddb.coop/about/genesis,
GKA-065,confirmed,Agricultural revolutions / Operation Flood / NDDB facts,https://www.nddb.coop/about/genesis,
GKA-066,confirmed,Agricultural revolutions / Operation Flood / NDDB facts,https://www.nddb.coop/about/genesis,
GKA-067,confirmed,Agricultural revolutions / Operation Flood / NDDB facts,https://www.nddb.coop/about/genesis,
GKA-068,confirmed,Agricultural revolutions / Operation Flood / NDDB facts,https://www.nddb.coop/about/genesis,
GKA-069,confirmed,Agricultural revolutions / Operation Flood / NDDB facts,https://www.nddb.coop/about/genesis,
GKA-070,confirmed,Agricultural revolutions / Operation Flood / NDDB facts,https://www.nddb.coop/about/genesis,
GKA-071,confirmed,Agricultural revolutions / Operation Flood / NDDB facts,https://www.nddb.coop/about/genesis,
GKA-072,confirmed,Agricultural revolutions / Operation Flood / NDDB facts,https://www.nddb.coop/about/genesis,
GKA-073,confirmed,Agricultural revolutions / Operation Flood / NDDB facts,https://www.nddb.coop/about/genesis,
GKA-074,confirmed,Agricultural revolutions / Operation Flood / NDDB facts,https://www.nddb.coop/about/genesis,
GKA-075,confirmed,Agricultural revolutions / Operation Flood / NDDB facts,https://www.nddb.coop/about/genesis,
GKA-076,confirmed,Civilian and gallantry award rules/history (MHA),https://www.mha.gov.in/sites/default/files/2023-01/Scheme-PadmaAwards-050514.pdf,
GKA-077,confirmed,Civilian and gallantry award rules/history (MHA),https://www.mha.gov.in/sites/default/files/2023-01/Scheme-PadmaAwards-050514.pdf,
GKA-078,confirmed,Civilian and gallantry award rules/history (MHA),https://www.mha.gov.in/sites/default/files/2023-01/Scheme-PadmaAwards-050514.pdf,
GKA-079,confirmed,Civilian and gallantry award rules/history (MHA),https://www.mha.gov.in/sites/default/files/2023-01/Scheme-PadmaAwards-050514.pdf,
GKA-080,confirmed,Civilian and gallantry award rules/history (MHA),https://www.mha.gov.in/sites/default/files/2023-01/Scheme-PadmaAwards-050514.pdf,
GKA-081,confirmed,Civilian and gallantry award rules/history (MHA),https://www.mha.gov.in/sites/default/files/2023-01/Scheme-PadmaAwards-050514.pdf,
GKA-082,confirmed,Civilian and gallantry award rules/history (MHA),https://www.mha.gov.in/sites/default/files/2023-01/Scheme-PadmaAwards-050514.pdf,
GKA-083,confirmed,Civilian and gallantry award rules/history (MHA),https://www.mha.gov.in/sites/default/files/2023-01/Scheme-PadmaAwards-050514.pdf,
GKA-084,confirmed,Civilian and gallantry award rules/history (MHA),https://www.mha.gov.in/sites/default/files/2023-01/Scheme-PadmaAwards-050514.pdf,
GKA-085,confirmed,"Padma awards: announced on Republic Day eve; Govt servants incl. PSU (except doctors/scientists) ineligible; self-nomination permitted -> statement 4 false, three correct",https://www.pib.gov.in/PressReleasePage.aspx?PRID=2240371&reg=1&lang=1,
GKA-086,confirmed,Civilian and gallantry award rules/history (MHA),https://www.mha.gov.in/sites/default/files/2023-01/Scheme-PadmaAwards-050514.pdf,
GKA-087,confirmed,Civilian and gallantry award rules/history (MHA),https://www.mha.gov.in/sites/default/files/2023-01/Scheme-PadmaAwards-050514.pdf,
GKA-088,confirmed,Civilian and gallantry award rules/history (MHA),https://www.mha.gov.in/sites/default/files/2023-01/Scheme-PadmaAwards-050514.pdf,
GKA-089,confirmed,Civilian and gallantry award rules/history (MHA),https://www.mha.gov.in/sites/default/files/2023-01/Scheme-PadmaAwards-050514.pdf,
GKA-090,confirmed,Civilian and gallantry award rules/history (MHA),https://www.mha.gov.in/sites/default/files/2023-01/Scheme-PadmaAwards-050514.pdf,
GKA-091,confirmed,Foreign legislatures and sources of the Indian Constitution,https://legislative.gov.in/constitution-of-india/,
GKA-092,confirmed,Foreign legislatures and sources of the Indian Constitution,https://legislative.gov.in/constitution-of-india/,
GKA-093,confirmed,Foreign legislatures and sources of the Indian Constitution,https://legislative.gov.in/constitution-of-india/,
GKA-094,confirmed,Foreign legislatures and sources of the Indian Constitution,https://legislative.gov.in/constitution-of-india/,
GKA-095,confirmed,Foreign legislatures and sources of the Indian Constitution,https://legislative.gov.in/constitution-of-india/,
GKA-096,confirmed,Foreign legislatures and sources of the Indian Constitution,https://legislative.gov.in/constitution-of-india/,
GKA-097,confirmed,Foreign legislatures and sources of the Indian Constitution,https://legislative.gov.in/constitution-of-india/,
GKA-098,confirmed,Foreign legislatures and sources of the Indian Constitution,https://legislative.gov.in/constitution-of-india/,
GKA-099,confirmed,Foreign legislatures and sources of the Indian Constitution,https://legislative.gov.in/constitution-of-india/,
GKA-100,confirmed,Foreign legislatures and sources of the Indian Constitution,https://legislative.gov.in/constitution-of-india/,
GKA-101,confirmed,Foreign legislatures and sources of the Indian Constitution,https://legislative.gov.in/constitution-of-india/,
GKA-102,confirmed,Foreign legislatures and sources of the Indian Constitution,https://legislative.gov.in/constitution-of-india/,
GKA-103,confirmed,Foreign legislatures and sources of the Indian Constitution,https://legislative.gov.in/constitution-of-india/,
GKA-104,confirmed,Foreign legislatures and sources of the Indian Constitution,https://legislative.gov.in/constitution-of-india/,
GKA-105,confirmed,Foreign legislatures and sources of the Indian Constitution,https://legislative.gov.in/constitution-of-india/,
GKA-106,confirmed,"Constitution of India provisions (FRs, judiciary, President)",https://legislative.gov.in/constitution-of-india/,
GKA-107,confirmed,"Constitution of India provisions (FRs, judiciary, President)",https://legislative.gov.in/constitution-of-india/,
GKA-108,confirmed,"Constitution of India provisions (FRs, judiciary, President)",https://legislative.gov.in/constitution-of-india/,
GKA-109,confirmed,"Constitution of India provisions (FRs, judiciary, President)",https://legislative.gov.in/constitution-of-india/,
GKA-110,confirmed,"Constitution of India provisions (FRs, judiciary, President)",https://legislative.gov.in/constitution-of-india/,
GKA-111,confirmed,"Constitution of India provisions (FRs, judiciary, President)",https://legislative.gov.in/constitution-of-india/,
GKA-112,confirmed,"Constitution of India provisions (FRs, judiciary, President)",https://legislative.gov.in/constitution-of-india/,
GKA-113,confirmed,"Constitution of India provisions (FRs, judiciary, President)",https://legislative.gov.in/constitution-of-india/,
GKA-114,confirmed,"Constitution of India provisions (FRs, judiciary, President)",https://legislative.gov.in/constitution-of-india/,
GKA-115,confirmed,"Constitution of India provisions (FRs, judiciary, President)",https://legislative.gov.in/constitution-of-india/,
GKA-116,confirmed,"Constitution of India provisions (FRs, judiciary, President)",https://legislative.gov.in/constitution-of-india/,
GKA-117,confirmed,"Constitution of India provisions (FRs, judiciary, President)",https://legislative.gov.in/constitution-of-india/,
GKA-118,confirmed,"Constitution of India provisions (FRs, judiciary, President)",https://legislative.gov.in/constitution-of-india/,
GKA-119,confirmed,"Constitution of India provisions (FRs, judiciary, President)",https://legislative.gov.in/constitution-of-india/,
GKA-120,confirmed,"Constitution of India provisions (FRs, judiciary, President)",https://legislative.gov.in/constitution-of-india/,
GKA-121,confirmed,"Constitution of India provisions (FRs, judiciary, President)",https://legislative.gov.in/constitution-of-india/,
GKA-122,confirmed,"Constitution of India provisions (FRs, judiciary, President)",https://legislative.gov.in/constitution-of-india/,
GKA-123,confirmed,"Constitution of India provisions (FRs, judiciary, President)",https://legislative.gov.in/constitution-of-india/,
GKA-124,confirmed,"Constitution of India provisions (FRs, judiciary, President)",https://legislative.gov.in/constitution-of-india/,
GKA-125,confirmed,"Constitution of India provisions (FRs, judiciary, President)",https://legislative.gov.in/constitution-of-india/,
GKA-126,confirmed,"Constitution of India provisions (FRs, judiciary, President)",https://legislative.gov.in/constitution-of-india/,
GKA-127,confirmed,"Constitution of India provisions (FRs, judiciary, President)",https://legislative.gov.in/constitution-of-india/,
GKA-128,confirmed,"Constitution of India provisions (FRs, judiciary, President)",https://legislative.gov.in/constitution-of-india/,
GKA-129,confirmed,"Constitution of India provisions (FRs, judiciary, President)",https://legislative.gov.in/constitution-of-india/,
GKA-130,confirmed,"Constitution of India provisions (FRs, judiciary, President)",https://legislative.gov.in/constitution-of-india/,
GKA-131,confirmed,"Constitution of India provisions (FRs, judiciary, President)",https://legislative.gov.in/constitution-of-india/,
GKA-132,confirmed,"Constitution of India provisions (FRs, judiciary, President)",https://legislative.gov.in/constitution-of-india/,
GKA-133,confirmed,"Constitution of India provisions (FRs, judiciary, President)",https://legislative.gov.in/constitution-of-india/,
GKA-134,confirmed,"Constitution of India provisions (FRs, judiciary, President)",https://legislative.gov.in/constitution-of-india/,
GKA-135,confirmed,"Constitution of India provisions (FRs, judiciary, President)",https://legislative.gov.in/constitution-of-india/,
GKA-136,confirmed,"Constitution of India provisions (FRs, judiciary, President)",https://legislative.gov.in/constitution-of-india/,
GKA-137,confirmed,"Constitution of India provisions (FRs, judiciary, President)",https://legislative.gov.in/constitution-of-india/,
GKA-138,confirmed,"Constitution of India provisions (FRs, judiciary, President)",https://legislative.gov.in/constitution-of-india/,
GKA-139,confirmed,"Constitution of India provisions (FRs, judiciary, President)",https://legislative.gov.in/constitution-of-india/,
GKA-140,confirmed,"Constitution of India provisions (FRs, judiciary, President)",https://legislative.gov.in/constitution-of-india/,
GKA-141,confirmed,"Constitution of India provisions (FRs, judiciary, President)",https://legislative.gov.in/constitution-of-india/,
GKA-142,confirmed,"Constitution of India provisions (FRs, judiciary, President)",https://legislative.gov.in/constitution-of-india/,
GKA-143,confirmed,"Constitution of India provisions (FRs, judiciary, President)",https://legislative.gov.in/constitution-of-india/,
GKA-144,confirmed,"Constitution of India provisions (FRs, judiciary, President)",https://legislative.gov.in/constitution-of-india/,
GKA-145,confirmed,"Constitution of India provisions (FRs, judiciary, President)",https://legislative.gov.in/constitution-of-india/,
GKA-146,confirmed,"Constitution of India provisions (FRs, judiciary, President)",https://legislative.gov.in/constitution-of-india/,
GKA-147,confirmed,"Constitution of India provisions (FRs, judiciary, President)",https://legislative.gov.in/constitution-of-india/,
GKA-148,confirmed,"Constitution of India provisions (FRs, judiciary, President)",https://legislative.gov.in/constitution-of-india/,
GKA-149,confirmed,"Constitution of India provisions (FRs, judiciary, President)",https://legislative.gov.in/constitution-of-india/,
GKA-150,confirmed,"Constitution of India provisions (FRs, judiciary, President)",https://legislative.gov.in/constitution-of-india/,
GKA-151,confirmed,"Recent central legislation (BNS/BNSS/BSA, 106th Amdt, DPDP, RTI)",https://www.indiacode.nic.in/,
GKA-152,confirmed,"Recent central legislation (BNS/BNSS/BSA, 106th Amdt, DPDP, RTI)",https://www.indiacode.nic.in/,
GKA-153,confirmed,"Recent central legislation (BNS/BNSS/BSA, 106th Amdt, DPDP, RTI)",https://www.indiacode.nic.in/,
GKA-154,confirmed,"Recent central legislation (BNS/BNSS/BSA, 106th Amdt, DPDP, RTI)",https://www.indiacode.nic.in/,
GKA-155,confirmed,"Recent central legislation (BNS/BNSS/BSA, 106th Amdt, DPDP, RTI)",https://www.indiacode.nic.in/,
GKA-156,confirmed,"Recent central legislation (BNS/BNSS/BSA, 106th Amdt, DPDP, RTI)",https://www.indiacode.nic.in/,
GKA-157,confirmed,"Recent central legislation (BNS/BNSS/BSA, 106th Amdt, DPDP, RTI)",https://www.indiacode.nic.in/,
GKA-158,confirmed,"DPDP Act 2023: Data Protection Board (s.18); Data Principal; max penalty Rs 250 crore (security safeguards); appeals to Appellate Tribunal = TDSAT (s.29), not SC -> three correct",https://ksandk.com/data-protection-and-data-privacy/penalties-adjudication-under-indias-dpdp-act-2023/,
GKA-159,confirmed,"Recent central legislation (BNS/BNSS/BSA, 106th Amdt, DPDP, RTI)",https://www.indiacode.nic.in/,
GKA-160,confirmed,"Recent central legislation (BNS/BNSS/BSA, 106th Amdt, DPDP, RTI)",https://www.indiacode.nic.in/,
GKA-161,confirmed,"Recent central legislation (BNS/BNSS/BSA, 106th Amdt, DPDP, RTI)",https://www.indiacode.nic.in/,
GKA-162,confirmed,RTI 2005; Lokpal and Lokayuktas Act 2013; Consumer Protection Act 2019; DPDP Act 2023,https://www.indiacode.nic.in/,
GKA-163,confirmed,DPDP-Data Protection Board; CPA 2019-CCPA; RTI-CIC; Lokpal Act-Lokpal,https://www.indiacode.nic.in/,
GKA-164,confirmed,"Recent central legislation (BNS/BNSS/BSA, 106th Amdt, DPDP, RTI)",https://www.indiacode.nic.in/,
GKA-165,confirmed,"Recent central legislation (BNS/BNSS/BSA, 106th Amdt, DPDP, RTI)",https://www.indiacode.nic.in/,
GKA-166,confirmed,Schedules of the Constitution,https://legislative.gov.in/constitution-of-india/,
GKA-167,confirmed,Schedules of the Constitution,https://legislative.gov.in/constitution-of-india/,
GKA-168,confirmed,Schedules of the Constitution,https://legislative.gov.in/constitution-of-india/,
GKA-169,confirmed,Schedules of the Constitution,https://legislative.gov.in/constitution-of-india/,
GKA-170,confirmed,Schedules of the Constitution,https://legislative.gov.in/constitution-of-india/,
GKA-171,confirmed,Schedules of the Constitution,https://legislative.gov.in/constitution-of-india/,
GKA-172,confirmed,Schedules of the Constitution,https://legislative.gov.in/constitution-of-india/,
GKA-173,confirmed,Schedules of the Constitution,https://legislative.gov.in/constitution-of-india/,
GKA-174,confirmed,Schedules of the Constitution,https://legislative.gov.in/constitution-of-india/,
GKA-175,confirmed,Schedules of the Constitution,https://legislative.gov.in/constitution-of-india/,
GKA-176,confirmed,Schedules of the Constitution,https://legislative.gov.in/constitution-of-india/,
GKA-177,confirmed,Schedules of the Constitution,https://legislative.gov.in/constitution-of-india/,
GKA-178,confirmed,Schedules of the Constitution,https://legislative.gov.in/constitution-of-india/,
GKA-179,confirmed,Schedules of the Constitution,https://legislative.gov.in/constitution-of-india/,
GKA-180,confirmed,Schedules of the Constitution,https://legislative.gov.in/constitution-of-india/,
GKA-181,confirmed,"Statutory/constitutional bodies (RTI Act, PHRA, Lokpal Act, CVC Act)",https://rti.gov.in/rti-act.pdf,
GKA-182,confirmed,"Statutory/constitutional bodies (RTI Act, PHRA, Lokpal Act, CVC Act)",https://rti.gov.in/rti-act.pdf,
GKA-183,confirmed,"Statutory/constitutional bodies (RTI Act, PHRA, Lokpal Act, CVC Act)",https://rti.gov.in/rti-act.pdf,
GKA-184,confirmed,"Statutory/constitutional bodies (RTI Act, PHRA, Lokpal Act, CVC Act)",https://rti.gov.in/rti-act.pdf,
GKA-185,confirmed,"Statutory/constitutional bodies (RTI Act, PHRA, Lokpal Act, CVC Act)",https://rti.gov.in/rti-act.pdf,
GKA-186,confirmed,"Statutory/constitutional bodies (RTI Act, PHRA, Lokpal Act, CVC Act)",https://rti.gov.in/rti-act.pdf,
GKA-187,confirmed,"Statutory/constitutional bodies (RTI Act, PHRA, Lokpal Act, CVC Act)",https://rti.gov.in/rti-act.pdf,
GKA-188,confirmed,"Statutory/constitutional bodies (RTI Act, PHRA, Lokpal Act, CVC Act)",https://rti.gov.in/rti-act.pdf,
GKA-189,confirmed,"Statutory/constitutional bodies (RTI Act, PHRA, Lokpal Act, CVC Act)",https://rti.gov.in/rti-act.pdf,
GKA-190,confirmed,"Statutory/constitutional bodies (RTI Act, PHRA, Lokpal Act, CVC Act)",https://rti.gov.in/rti-act.pdf,
GKA-191,confirmed,"Statutory/constitutional bodies (RTI Act, PHRA, Lokpal Act, CVC Act)",https://rti.gov.in/rti-act.pdf,
GKA-192,confirmed,"Statutory/constitutional bodies (RTI Act, PHRA, Lokpal Act, CVC Act)",https://rti.gov.in/rti-act.pdf,
GKA-193,confirmed,"Statutory/constitutional bodies (RTI Act, PHRA, Lokpal Act, CVC Act)",https://rti.gov.in/rti-act.pdf,
GKA-194,confirmed,"Statutory/constitutional bodies (RTI Act, PHRA, Lokpal Act, CVC Act)",https://rti.gov.in/rti-act.pdf,
GKA-195,confirmed,"Statutory/constitutional bodies (RTI Act, PHRA, Lokpal Act, CVC Act)",https://rti.gov.in/rti-act.pdf,
GKA-196,confirmed,Allocation of Business Rules / ministries and departments,https://cabsec.gov.in/businessrules/allocationofbusinessrules/,
GKA-197,confirmed,Allocation of Business Rules / ministries and departments,https://cabsec.gov.in/businessrules/allocationofbusinessrules/,
GKA-198,confirmed,Allocation of Business Rules / ministries and departments,https://cabsec.gov.in/businessrules/allocationofbusinessrules/,
GKA-199,confirmed,Allocation of Business Rules / ministries and departments,https://cabsec.gov.in/businessrules/allocationofbusinessrules/,
GKA-200,confirmed,Allocation of Business Rules / ministries and departments,https://cabsec.gov.in/businessrules/allocationofbusinessrules/,
GKA-201,confirmed,Allocation of Business Rules / ministries and departments,https://cabsec.gov.in/businessrules/allocationofbusinessrules/,
GKA-202,confirmed,DAE created 3 Aug 1954 under direct charge of PM; DoS also under PM; DMA (created Dec 2019/Jan 2020) headed by CDS as Secretary,https://dae.gov.in/about-dae/,
GKA-203,confirmed,Allocation of Business Rules / ministries and departments,https://cabsec.gov.in/businessrules/allocationofbusinessrules/,
GKA-204,confirmed,Allocation of Business Rules / ministries and departments,https://cabsec.gov.in/businessrules/allocationofbusinessrules/,
GKA-205,confirmed,Allocation of Business Rules / ministries and departments,https://cabsec.gov.in/businessrules/allocationofbusinessrules/,
GKA-206,confirmed,Allocation of Business Rules / ministries and departments,https://cabsec.gov.in/businessrules/allocationofbusinessrules/,
GKA-207,confirmed,Allocation of Business Rules / ministries and departments,https://cabsec.gov.in/businessrules/allocationofbusinessrules/,
GKA-208,confirmed,Allocation of Business Rules / ministries and departments,https://cabsec.gov.in/businessrules/allocationofbusinessrules/,
GKA-209,confirmed,Allocation of Business Rules / ministries and departments,https://cabsec.gov.in/businessrules/allocationofbusinessrules/,
GKA-210,confirmed,Allocation of Business Rules / ministries and departments,https://cabsec.gov.in/businessrules/allocationofbusinessrules/,
GKA-211,confirmed,"Centre-State relations, Seventh Schedule, Arts 246-263, 279A",https://legislative.gov.in/constitution-of-india/,
GKA-212,confirmed,"Centre-State relations, Seventh Schedule, Arts 246-263, 279A",https://legislative.gov.in/constitution-of-india/,
GKA-213,confirmed,"Centre-State relations, Seventh Schedule, Arts 246-263, 279A",https://legislative.gov.in/constitution-of-india/,
GKA-214,confirmed,"Centre-State relations, Seventh Schedule, Arts 246-263, 279A",https://legislative.gov.in/constitution-of-india/,
GKA-215,confirmed,"Centre-State relations, Seventh Schedule, Arts 246-263, 279A",https://legislative.gov.in/constitution-of-india/,
GKA-216,confirmed,"Centre-State relations, Seventh Schedule, Arts 246-263, 279A",https://legislative.gov.in/constitution-of-india/,
GKA-217,confirmed,"Centre-State relations, Seventh Schedule, Arts 246-263, 279A",https://legislative.gov.in/constitution-of-india/,
GKA-218,confirmed,"Centre-State relations, Seventh Schedule, Arts 246-263, 279A",https://legislative.gov.in/constitution-of-india/,
GKA-219,confirmed,"Centre-State relations, Seventh Schedule, Arts 246-263, 279A",https://legislative.gov.in/constitution-of-india/,
GKA-220,confirmed,"Centre-State relations, Seventh Schedule, Arts 246-263, 279A",https://legislative.gov.in/constitution-of-india/,
GKA-221,confirmed,"Centre-State relations, Seventh Schedule, Arts 246-263, 279A",https://legislative.gov.in/constitution-of-india/,
