group,id,verdict,fact,source,note
ACT-BANK,ACTB-010,fix_needed,"RBI Act s.42(3) penal interest is on the FORTNIGHTLY AVERAGE shortfall (3% over Bank Rate, 5% for continuing fortnights); the daily-basis scheme (3% for the day, 5% for succeeding days, on the daily minimum) comes from RBI CRR/SLR Directions",https://indiankanoon.org/doc/371708/,"Key C (Rs 2,32,877) is arithmetically correct under the daily scheme. Fix stem/ref: replace 'penal-interest scheme of s.42(3) on a daily basis' with 'the daily penal-interest scheme under RBI's CRR Directions (issued under s.42)'; also note the daily minimum is 90% of the fortnightly requirement (the Rs 900 cr may be described as that daily minimum). Bank Rate in stem is hypothetical (actual has changed, e.g. 5.75% from 7 Jun 2025)."
ACT-BANK,ACTB-011,fix_needed,"RBI Act s.42(3): average-balance penal 3% over Bank Rate for the fortnight, 5% for continuing default in next fortnight; 'fortnight' redefined by Banking Laws (Amendment) Act 2025 as 1st-15th / 16th-last day of month (effective 15 Dec 2025)",https://taxguru.in/rbi/banking-laws-amendment-act-2025.html,"Key C (Rs 30.72 lakh) is correct only under the stem's stated '14-day fortnight'. Since 15 Dec 2025 a fortnight is 1st-15th or 16th-month-end (13-16 days), so a 14-day fortnight is outdated. Fix: change assumption to a 15-day fortnight (then answer = 48cr x 9.5% x 15/365 + 30cr x 11.5% x 15/365 = Rs 32.92 lakh; rebuild options) or specify actual periods (e.g. 1-15 Jan and 16-31 Jan)."
ACT-BANK,ACTB-039,fix_needed,"BR Act s.24(4): 3% over Bank Rate for first default, 5% for continuing default - statutorily keyed to the reporting day (formerly alternate Friday, now 'last day of the fortnight' after the 2025 amendment); s.24(5) and RBI CRR/SLR Directions extend penal interest to daily shortfalls (3% first day, 5% succeeding days)",https://indiankanoon.org/doc/79726/,"Key D (Rs 4,87,671) correct under RBI's daily SLR penal scheme. Fix ref/explanation: cite 's.24(4)-(5) read with RBI CRR/SLR Directions' rather than s.24(4) alone, since s.24(4) itself runs on reporting-day (fortnight-end) defaults."
ACT-BANK,ACTB-043,fix_needed,"BR Act s.47A(1)(c) (not (1)(b)): for contraventions under s.46(4), penalty up to Rs 1 crore or twice the amount involved (if quantifiable), whichever more, plus up to Rs 1 lakh per day after the first for continuing default. s.47A(1)(b) is the s.46(3) deposits penalty.",https://lawgist.in/banking-regulation-act/47A,Key B (Rs 1.61 crore) correct. Fix stem/ref/explanation: change 's.47A(1)(b)' to 's.47A(1)(c)' (RBI penalty orders cite s.47A(1)(c) read with s.46(4)(i)).
ACT-BANK,ACTB-044,fix_needed,BR Act s.44A(1): scheme approved by resolution passed by majority in number representing two-thirds in value of shareholders present in person or by proxy; s.44A(4) RBI sanction,https://lawgist.in/banking-regulation-act/44A,"Key B correct. Fix: ref should be s.44A(1) (s.44A(2) is the notice requirement); explanation should say 'present in person or by proxy', not 'present and voting'."
ACT-BANK,ACTB-045,fix_needed,BR Act s.3 (as amended 2020) excludes PACS and long-term agri-finance societies (subject to conditions); s.22 via s.56; supersession of a co-operative bank board under s.36AAA as applied by s.56 (2020 amendment: after consultation with State Govt for State-registered co-op banks); s.36ACA does NOT apply to co-operative banks,https://prsindia.org/billtrack/the-banking-regulation-amendment-bill-2020,"Key C stands. Fix explanation/ref: statement 2 rests on s.36AAA (as applied through s.56 after the 2020 amendment), not s.36ACA, which s.56 expressly excludes for co-operative banks. Optionally tighten statement 2 to 'a co-operative bank registered under a State co-operative law' (multi-State co-op banks need no State Govt consultation)."
ACT-BANK,ACTB-047,fix_needed,BR Act s.36ACA(1): RBI (in consultation with Central Govt) may supersede board for a period not exceeding six months; proviso: extensions allowed but total period not to exceed twelve months,https://lawgist.in/banking-regulation-act/36ACA,Key D (2 months) correct. Fix explanation: initial supersession is up to SIX months (not 'up to 12 months'); only the aggregate with extensions is capped at 12 months.
ACT-IPI,ACTI-011,fix_needed,s.38: insurer may decline assignment (not bona fide/trading) - s.38(2); reasons communicated within 30 days of notice - s.38(3); aggrieved person may claim to Authority within 30 days of communication - s.38(4),https://indiankanoon.org/doc/1556495/,"Key D and dates correct, but section references are off by one: ref 's.38(3)-(5)' should read 's.38(2)-(4)'; in explanation change 's.38(3)-(4)' to 's.38(2)-(3)' and 's.38(5)' to 's.38(4)'."
ACT-IPI,ACTI-023,fix_needed,IRDA Act s.4: Chairperson + not more than 5 whole-time + not more than 4 part-time members,https://ifsca.gov.in/CommonDirect/PreviewPdf?id=29709e474fe6b066fc0cb19f7d6aaf6e&fileName=IRDA_Act_1999_20260717_0229.pdf,"Key B correct. Trap text wrongly describes PFRDA as '1+6 (>=3 WTM)'; PFRDA Act s.4 as enacted is Chairperson + three whole-time + three part-time members. Change trap to 'IRDAI 1+5+4, PFRDA 1+3+3, IFSCA 1+4+2+2'."
ACT-IPI,ACTI-043,fix_needed,"PFRDA Act s.4 (as enacted, unamended): Chairperson; three whole-time members; three part-time members; at least one from each of economics, finance and law",https://prsindia.org/files/bills_acts/acts_parliament/2000/pfrda-act.pdf,"Key B is the only near-fit but misstates the statute ('not more than six members, of whom at least three whole-time' is PFRDA website paraphrase, not s.4). Reword option B to 'A Chairperson, three whole-time members and three part-time members' and fix explanation step 1 accordingly; key stays B."
ACT-IPI,ACTI-050,fix_needed,"PFRDA Act s.24: aggregate foreign holding <= 26% or percentage approved for Indian insurance company under Insurance Act, whichever higher",https://indiankanoon.org/doc/53900733/,"Key A (Rs 33 cr) correct on the stated 74% assumption. Note for currency: after Act 40 of 2025 (in force 05-02-2026) the 74% cap in Insurance Act s.2(7A) was removed (100% FDI permitted), so add 'hypothetically' / 'notwithstanding the current 100% limit' to the data line or the explanation."
ACT-IPI,ACTI-066,fix_needed,PFRDA Act s.24: cap = higher of 26% and insurance-sector limit,https://indiankanoon.org/doc/53900733/,Key A correct. Option A/explanation should not present 74% as the current insurance limit: post Act 40 of 2025 Indian insurers may have 100% foreign holding; keep '74% as given' framing explicit (answer A holds either way).
ACT-OTH,ACTO-033,fix_needed,s.6(2A) as amended 2023: 150-day standstill; s.31(6): deemed approval if no order in 150 days; proviso to s.31(1)+s.29(1B): deemed approval if no prima facie opinion in 30 days,"https://prsindia.org/files/bills_acts/acts_parliament/2023/The%20Competition%20(Amendment)%20Act,%202023.pdf","Key B (150 days, 2 Jul 2026) is right, but (i) the explanation cites s.31(11); the 2023 amendment omitted s.31(7)-(12), so the 150-day deemed approval is now in substituted s.31(6). (ii) Ambiguity: under s.29(1B) + proviso to s.31(1) (2023), if the CCI does not form a prima facie opinion within 30 days the combination is deemed approved, which makes option C (30 days, 4 Mar 2026) defensible on the stem 'CCI neither passes an order nor stops the clock'. Fix: add to the stem 'The CCI formed its prima facie opinion under s.29(1B) within 30 days' (or ask for the statutory standstill under s.6(2A)), and change the ref/explanation from s.31(11) to s.31(6)."
ACT-OTH,ACTO-050,fix_needed,"LLP s.63/s.64: winding up by Tribunal; Tribunal = NCLT, defined in s.2(1)(u)",https://ibclaw.in/section-2-definitions-5/,"Key A right. The explanation cites s.2(1)(x) for 'Tribunal'; the definition is s.2(1)(u) of the LLP Act (NCLT under s.408, Companies Act 2013). Change s.2(1)(x) to s.2(1)(u)."
ACT-PAY,ACTP-065,fix_needed,"FRA s.14(2): assignee entitled to receive delay interest, shall recover under MSMED Act 'and shall pay such interest to the micro or small enterprise'; MSMED s.16 compound monthly at 3x bank rate",https://www.advocatekhoj.com/library/bareacts/factoring2011/14.php,"Arithmetic correct (Rs1,80,194 = 35,00,000 x [(1+0.2025/12)^3 - 1]), but s.14(2) FRA says the assignee is entitled to receive and recover the interest 'and shall pay such interest to the micro or small enterprise'. So the interest is ultimately Kaveri's; option B (Kaveri, Rs1,80,194) is also defensible and the explanation's 'payee is the factor' is misleading. Fix: reword option C to 'Recoverable by Sutlej, which must pass it to Kaveri - Rs1,80,194' and change B to a wrong figure (e.g. Kaveri directly from Narmada, Rs1,77,188), and update explanation to cite s.14(2)'s pass-through."
ACT-REC,ACTR-013,fix_needed,"IBC s.12A as substituted by s.8, IBC (Amendment) Act 2026 (in force 26.05.2026): withdrawal with 90% CoC voting share, on application by the RP; barred before CoC constitution and after first invitation of resolution plans",https://ibbi.gov.in/uploads/legalframwork/2026-04-07-115842-i5nsk-7ed69ef2a4d23a8b0d472cc0fcd55e79.pdf,"Key C (90%) still correct, but s.12A was substituted w.e.f. 26.05.2026 (S.O. 2625(E)): the withdrawal application is now made by the resolution professional (not 'the applicant'), and withdrawal is not permitted before constitution of the CoC or after the first invitation for resolution plans. Reword stem: 'After admission ... the application may be withdrawn under s.12A, on the RP's application, only with approval of the CoC by:' and add the timing window to the explanation."
ACT-REC,ACTR-015,fix_needed,IBC s.53(1) waterfall; 212-10=202; less (b) 159 = 43; less (c) 7 = 36 to unsecured FCs,https://ibbi.gov.in/uploads/legalframwork/2026-04-07-115842-i5nsk-7ed69ef2a4d23a8b0d472cc0fcd55e79.pdf,"Key B correct on stated facts. But 2026 Act (s.32, in force 26.05.2026) inserted an Explanation to s.53(1)(b)(ii): a secured creditor that relinquishes is secured only to the extent of the value of the security relinquished, and unsecured for the balance. Add to stem: 'the value of the relinquished security is not less than their ₹150 crore claim' so the whole claim ranks in (b)."
ACT-REC,ACTR-016,fix_needed,IBC s.53(1)(b): workmen (24 m) pari passu with relinquishing secured creditors; 12 x 84/120 = 8.40,https://ibbi.gov.in/uploads/legalframwork/2026-04-07-115842-i5nsk-7ed69ef2a4d23a8b0d472cc0fcd55e79.pdf,"Key D follows only if the secured creditors' full ₹108 crore ranks in (b). Under the 2026 Explanation to s.53(1)(b)(ii) (in force 26.05.2026) a relinquishing secured creditor is secured only up to the value of its security; with the whole estate only ₹90 crore, a ₹108 crore secured claim is not possible (if security worth ₹90 crore, (b) = 12+90 = 102 and workmen get 9.88, not an option). Fix: state that the relinquished security is valued at ₹108 crore or more (or cut the secured claim to ≤ the security value and recompute the options), and cite the Explanation."
ACT-REC,ACTR-023,fix_needed,"IBC s.30(2)(ba) (inserted by 2026 Act, in force 26.05.2026): dissenting FC gets not less than the LOWER of (i) its liquidation entitlement under s.53 and (ii) its entitlement if plan value distributed per s.53; Explanation to s.53(1)(b)(ii): secured only to extent of value of security relinquished",https://ibbi.gov.in/uploads/legalframwork/2026-04-07-115842-i5nsk-7ed69ef2a4d23a8b0d472cc0fcd55e79.pdf,"Key B (₹60.43 cr, 'closest to') can stand, but the provision cited is out of date. s.30(2)(b)(ii) was replaced w.e.f. 26.05.2026 by s.30(2)(ba), under which the floor is the LOWER of the liquidation amount and the plan-waterfall amount (here 60.43 against 610×180/1400 = 78.43, so 60.43). Change the stem and ref to 's.30(2)(ba)'. The explanation also puts the full ₹1,380 cr in class (b), but under the new s.53(1)(b)(ii) Explanation FCs are secured only up to the value of their security (≤ ₹480 cr in total). With a pari-passu charge, Eastern ARC gets about 58.85 (B is still the closest option). Either add an assumption that each creditor's security covers its claim, or rewrite the working."
ACT-REC,ACTR-057,fix_needed,RDB s.30(1): appeal to the Tribunal within 30 days from the date on which a copy of the order is issued to him (s.30A: deposit of 50% of debt),https://ibclaw.in/section-30-appeal-against-the-order-of-recovery-officer/,"Key C (DRT, 30 days) is correct, but the period runs from the date a copy of the Recovery Officer's order is issued to the appellant, not from the order date. Reword option C and the explanation to '30 days from the date on which a copy of the order is issued to him'. Optionally mention the s.30A pre-deposit of 50% of the debt."
ACT-REC,ACTR-067,fix_needed,"SARFAESI s.37 (in addition to RDB Act); RDB s.19(1) proviso lets a bank withdraw its OA with DRT permission to go under SARFAESI, but withdrawal is not mandatory (Transcore v. Union of India, (2008) 1 SCC 125)",https://www.indiacode.nic.in/handle/123456789/2006,"Key C is correct, but the authority cited is wrong. Mardia Chemicals (2004) did not decide parallel recourse. Cite Transcore v. Union of India, (2008) 1 SCC 125 (decided 29.11.2006), which held that a bank need not withdraw a pending OA before taking SARFAESI measures and that the doctrine of election does not apply. Also mention the enabling withdrawal proviso to RDB s.19(1)."
ACT-REC,ACTR-086,fix_needed,PMLA s.5(5) 30 days (8 Apr 2026); s.5(1) 180 days (5 Sep 2026),https://www.indiacode.nic.in/handle/123456789/2036,Key B correct. The shared case text calls Mr. B 'Mr.' but says the Appellate Tribunal's order 'was communicated to her' (item 087 uses 'his accounts'). Change 'her' to 'him' in the case text.
ACT-REC,ACTR-087,fix_needed,PMLA s.45(1) proviso: < Rs 1 crore 'either on his own or along with other co-accused'; joint Rs 1.40 crore,https://www.indiacode.nic.in/handle/123456789/2036,Key C correct. The shared case text calls Mr. B 'Mr.' but says the Appellate Tribunal's order 'was communicated to her' (item 087 uses 'his accounts'). Change 'her' to 'him' in the case text.
ACT-REC,ACTR-088,fix_needed,"PMLA s.4: RI 3-7 years, fine without cap (since 2013)",https://www.indiacode.nic.in/handle/123456789/2036,Key C correct. The shared case text calls Mr. B 'Mr.' but says the Appellate Tribunal's order 'was communicated to her' (item 087 uses 'his accounts'). Change 'her' to 'him' in the case text.
ACT-REC,ACTR-089,fix_needed,PMLA s.42: appeal to High Court within 60 days of communication (+60 days condonable); 12 Oct + 60 = 11 Dec 2026,https://www.indiacode.nic.in/handle/123456789/2036,Key B correct. The shared case text calls Mr. B 'Mr.' but says the Appellate Tribunal's order 'was communicated to her' (item 087 uses 'his accounts'). Change 'her' to 'him' in the case text.
ACT-SEC,ACTS-010,fix_needed,Deemed CIS: unregistered pooling with corpus >= Rs 100 cr,https://lawgist.in/securities-and-exchange-board-of-india-act/11AA,"Key B correct, but the Rs 100 crore deeming rule is the PROVISO TO s.11AA(1), not s.11AA(2A). s.11AA(2A) covers schemes satisfying conditions specified by regulations. Change ref/explanation to 's.11AA(1) proviso (inserted 2014)'."
ACT-SEC,ACTS-020,fix_needed,"s.15-I(3) proviso: no revision after expiry of 3 months from AO order or disposal of appeal u/s 15T, whichever is earlier",https://bcajonline.org/journal/sebi-revising-its-own-orders-and-enhancing-penalties/,"Key C follows the common reading (min of AO order+3 months, appeal disposal date). But the proviso text ('expiry of a period of three months from the date of the order ... or disposal of the appeal ..., whichever is earlier') can also be read as 3 months from either event, giving 12 April 2026 (option A). Also s.15-I(3) power is specifically to ENHANCE the penalty. Recommend rewording stem to state the reading explicitly (e.g. 'the power lapses 3 months after the AO order or on disposal of the appeal, whichever is earlier') or replace option A to remove the second defensible answer."
ACT-SEC,ACTS-029,fix_needed,"SCRA s.18A: derivatives legal if (a) traded on RSE; (b) settled on RSE clearing house/per its bye-laws; or (c) between parties and on terms notified by Central Govt (clause (c) ins. by Finance Act 2015, Act 20 of 2015 s.134)",https://lawgist.in/securities-contracts-regulation-act/18A,"Key A remains the best option, but the explanation ('Both limbs'; s.18A as 1999 text) is outdated: s.18A now has a third route, clause (c) - contracts between such parties and on such terms as the Central Government notifies. Update explanation/ref to 's.18A (as amended by Finance Act, 2015)' and drop the 'both limbs are necessary' trap; consider rewording stem to 'one of the conditions under which...'."
ACT-SEC,ACTS-036,fix_needed,"SCRA s.13: in notified area, contracts otherwise than between/through/with members of RSE 'shall be ILLEGAL'; s.18 excludes spot delivery contracts",https://lawgist.in/securities-contracts-regulation-act/13,"Key B is the only defensible answer, but s.13 says such contracts are 'illegal' (the word 'void' is in s.14). Reword option B to 'Illegal under section 13' and the explanation 'is void' to 'is illegal (and hence unenforceable)'."
ACT-SEC,ACTS-052,fix_needed,DA s.14(3): issuer to issue certificate within 30 days of receipt of intimation from depository,https://lawgist.in/depositories-act/14,"Key C (30 days) correct, but the explanation cites s.14(2); the 30-day issuer obligation is s.14(3) (s.14(2) is the depository's duty to make entries and inform the issuer). Change 's.14(2)' to 's.14(3)'."
ACT-SEC,ACTS-071,fix_needed,DA s.14(3): 30 days from issuer's receipt of intimation; 6 Jul + 30 = 5 Aug 2026,https://lawgist.in/depositories-act/14,Key A correct; explanation cites s.14(2) - should be s.14(3).
CA-A,CAA-045,fix_needed,s.56(4)(c): certificates within one month of receipt of transfer instrument; but Share Capital Rules r.9A(3): holders of securities of an unlisted PUBLIC company must dematerialise before any transfer on/after 2 Oct 2018,https://taxguru.in/company-law/mandatory-dematerialisation-securities-public-private-companies-legal-framework.html,"Key D (5 Feb 2026) correct under s.56(4)(c), but the scenario (transfer of PHYSICAL shares of an unlisted 'Ltd' i.e. public company in 2026) is not permitted under r.9A(3) (and r.9B now restricts non-small private companies too). Reword: make Rupal a small private company (e.g. 'Rupal Pvt Ltd, a small company') or make it a transmission/demat context."
CA-A,CAA-054,fix_needed,Schedule V Part II Section II (substituted 12 Sep 2018; table revised 18 Mar 2021): effective capital 5-<100 cr -> Rs 84 lakh for managerial person; proviso: remuneration IN EXCESS of the limits may be paid if special resolution,https://taxguru.in/company-law/analysis-amendments-schedule-v-part-ii-remuneration.html,"Key D (Rs 84 lakh; effective capital Rs 92 cr) is correct. Fix explanation: 'The limit doubles only if special resolution' is outdated (pre-2018); current proviso: remuneration in excess of the table limits may be paid if the resolution is a special resolution (no doubling cap). Ref should read 'as amended 2018 and 2021', not 'as revised 2016'. Option B (Rs 168 lakh = doubling) is fine as a distractor but must not be described as the SR limit."
