id,area,current_name,proposed_name,ncert_source,standard_source
5a9e3e5b,Environment,Heavy metals and toxic pollutants,Toxic metals and industrial pollution,Class 12 Biology — Environmental Issues,Shankar IAS Environment
50c227c7,Environment,Persistent organic pollutants and endocrine disruptors,Persistent pollutants and their effects,,Stockholm Convention; Shankar IAS
4bb3306d,Environment,Plastic pollution and microplastics,Plastic waste and microplastics,Class 12 Biology — Environmental Issues,Plastic Waste Management Rules
564b065b,Environment,Water pollution and treatment,Water pollution and its control,Class 12 Biology — Environmental Issues,Shankar IAS Environment
cb0b98ec,Environment,"Solid waste, e-waste and extended producer responsibility",Solid wastes and e-waste,Class 12 Biology — Environmental Issues,Waste Management Rules; Shankar IAS
9cb05e22,Environment,Pesticides and agrochemicals,Agro-chemicals and their effects,Class 12 Biology — Environmental Issues,Shankar IAS Environment
98ad1c9d,Environment,Greenhouse gases and radiative forcing,Greenhouse effect and global warming,Class 12 Biology — Environmental Issues,IPCC summaries; Shankar IAS
9b6155ff,Environment,Carbon sinks and sequestration,Carbon sinks and sequestration,,Shankar IAS Environment; PIB
741b1b26,Environment,Carbon markets and climate metrics,Carbon markets and climate metrics,,Economic Survey; PIB
69f5f696,Environment,"Climate treaties, institutions and initiatives","Climate treaties, institutions and initiatives",,Shankar IAS Environment; UNFCCC
9a41122b,Environment,Geoengineering,Geoengineering,,Current affairs; science journalism
75ca9347,Environment,Renewable energy technologies and deployment,Renewable energy,,MNRE; Economic Survey
db700d76,Environment,Alternative and cleaner fuels,Alternative and cleaner fuels,,PIB; Economic Survey
1e6c07b8,Environment,Sustainable and regenerative farming methods,Sustainable agriculture practices,Class 11 Indian Economic Development,ICAR; Economic Survey
b75efc14,Polity,Constitutional philosophy and rule of law,Philosophy of the Constitution,Class 11 Indian Constitution at Work — Philosophy of the Constitution,Laxmikanth
7110e9d8,Polity,Making of the Constitution,Making of the Constitution,Class 11 Indian Constitution at Work — Constitution: Why and How?,Laxmikanth
0ebbb2b4,Polity,Parts and Schedules of the Constitution,Parts and Schedules of the Constitution,,Laxmikanth; Bare Act
c84898db,Polity,"Fundamental Rights, equality and reservation",Fundamental Rights,Class 11 Indian Constitution at Work — Rights in the Indian Constitution,Laxmikanth
0ad674a9,Polity,Right to life and personal liberty,Right to life and personal liberty,Class 11 Indian Constitution at Work — Rights in the Indian Constitution,Laxmikanth
7125cf43,Polity,Right to Property,Right to Property,,Laxmikanth
05a42bff,Polity,Directive Principles and Fundamental Duties,Directive Principles and Fundamental Duties,Class 11 Indian Constitution at Work,Laxmikanth
601b76a3,Polity,Writs and constitutional remedies,Writs and constitutional remedies,Class 11 Indian Constitution at Work — The Judiciary,Laxmikanth
758fb132,Polity,President — election and powers,The President and the Union Executive,Class 11 Indian Constitution at Work — Executive,Laxmikanth
89f9867d,Polity,Governor and the state executive,Governor and the state executive,Class 11 Indian Constitution at Work — Executive,Laxmikanth
07d0f9f8,Polity,Prime Minister and Council of Ministers,Prime Minister and Council of Ministers,Class 11 Indian Constitution at Work — Executive,Laxmikanth
21e5e3a1,Polity,"Parliament — composition, sessions and procedure",Parliament: composition and procedure,Class 11 Indian Constitution at Work — Legislature,Laxmikanth
8c9499a4,Polity,Types of bills and the legislative process,Types of bills and the legislative process,Class 11 Indian Constitution at Work — Legislature,Laxmikanth
c04bfe17,Polity,Parliamentary committees,Parliamentary committees,,Laxmikanth
33a6cc51,Polity,"Presiding officers, privileges and office of profit","Presiding officers, privileges and office of profit",,Laxmikanth
ef19b179,Polity,Constitutional amendment procedure,Constitutional amendment procedure,Class 11 Indian Constitution at Work — Constitution as a Living Document,Laxmikanth
1dd4bd6f,Polity,Supreme Court — jurisdiction and composition,Supreme Court: jurisdiction and composition,Class 11 Indian Constitution at Work — The Judiciary,Laxmikanth
6fa3309d,Polity,High Courts and subordinate judiciary,High Courts and subordinate judiciary,Class 11 Indian Constitution at Work — The Judiciary,Laxmikanth
63ae071a,Polity,Judicial review and basic structure,Judicial review and basic structure,Class 11 Indian Constitution at Work — Constitution as a Living Document,Laxmikanth
b0e9c565,Polity,Contempt of court and judicial accountability,Contempt of court and judicial accountability,,Laxmikanth
6fe2005c,Polity,Legal profession and access to justice,Legal profession and access to justice,,Laxmikanth
7633e848,Polity,Centre-State relations,Centre-State relations,Class 11 Indian Constitution at Work — Federalism,Laxmikanth
180a9b2f,Polity,Emergency provisions,Emergency provisions,,Laxmikanth
347ca3d5,Polity,Federal features and comparative systems,Federalism in India,Class 11 Indian Constitution at Work — Federalism,Laxmikanth
520ffe2a,Polity,Special provisions for states and areas,Special provisions for states and areas,,Laxmikanth
fdc986d4,Polity,Local government and urban governance,Local governments,Class 11 Indian Constitution at Work — Local Governments,Laxmikanth
1afc4357,Polity,Election Commission and electoral process,Election and representation,Class 11 Indian Constitution at Work — Election and Representation,Laxmikanth
7f08042b,Polity,Political parties and anti-defection,Political parties and anti-defection,Class 12 Politics in India Since Independence,Laxmikanth
e4c262b4,Polity,Reservation of seats and representation,Reservation of seats and representation,,Laxmikanth
3fcb6de8,Polity,Constitutional bodies,Constitutional bodies,,Laxmikanth
66a6ed8a,Polity,Statutory and regulatory bodies,Statutory and regulatory bodies,,Laxmikanth
796be476,Polity,Citizenship and domicile,Citizenship and domicile,,Laxmikanth
4961002d,Polity,"Governance, transparency and accountability","Governance, transparency and accountability",,2nd ARC reports
e1a5612a,Polity,Internal security administration,Internal security administration,,MHA Annual Report
03bdd74d,Polity,"National symbols, honours and awards","National symbols, honours and awards",,India Year Book
b9e2268e,Geography,Earth's interior and seismic waves,Interior of the earth,Class 11 Fundamentals of Physical Geography — Interior of the Earth,GC Leong
2f44b4db,Geography,Plate tectonics and mountain building,Plate tectonics,Class 11 Fundamentals of Physical Geography — Distribution of Oceans and Continents,GC Leong
93e6b74b,Geography,Volcanism,Volcanism,Class 11 Fundamentals of Physical Geography — Interior of the Earth,GC Leong
9a055491,Geography,Weathering and erosional landforms,Geomorphic processes and landforms,Class 11 Fundamentals of Physical Geography — Geomorphic Processes,GC Leong
523f626e,Geography,Rocks and minerals,Minerals and rocks,Class 11 Fundamentals of Physical Geography — Minerals and Rocks,GC Leong
7556e6ac,Geography,Atmospheric structure and composition,Composition and structure of atmosphere,Class 11 Fundamentals of Physical Geography,GC Leong
6cfd3c3c,Geography,Insolation and heat budget,"Solar radiation, heat balance and temperature",Class 11 Fundamentals of Physical Geography,GC Leong
87041523,Geography,Pressure systems and winds,Atmospheric circulation and weather systems,Class 11 Fundamentals of Physical Geography,GC Leong
eaacf60f,Geography,Coriolis force and planetary circulation,Planetary winds and Coriolis effect,Class 11 Fundamentals of Physical Geography,GC Leong
b93c6ca1,Geography,Precipitation and cloud types,Water in the atmosphere,Class 11 Fundamentals of Physical Geography,GC Leong
aa8350fa,Geography,World climate classification,World climate and climate change,Class 11 Fundamentals of Physical Geography,GC Leong
7f80d70d,Geography,Indian monsoon,Climate of India,Class 11 India: Physical Environment — Climate,GC Leong
9d62b3a9,Geography,Ocean currents and circulation,Movements of ocean water,Class 11 Fundamentals of Physical Geography,GC Leong
ace3fd37,Geography,Ocean salinity and temperature,Oceans: temperature and salinity,Class 11 Fundamentals of Physical Geography — Water (Oceans),GC Leong
ac36747a,Geography,"Seas, straits and maritime chokepoints","Seas, straits and maritime chokepoints",,Oxford School Atlas
0cabc0e9,Geography,Himalayan and peninsular relief,Physiography of India,Class 11 India: Physical Environment — Physiography,GC Leong
ebe20275,Geography,Indian river systems,Drainage system of India,Class 11 India: Physical Environment — Drainage System,Oxford School Atlas
e468d421,Geography,"Lakes, waterfalls and inland water bodies","Lakes, waterfalls and inland water bodies",,Oxford School Atlas
8b0d90c2,Geography,Indian soils,Soils of India,Class 11 India: Physical Environment — Soils,GC Leong
9b419dbd,Geography,Natural vegetation zones,Natural vegetation,Class 11 India: Physical Environment — Natural Vegetation,GC Leong
ca69ea82,Geography,Mineral and energy resource distribution,Mineral and energy resources,Class 12 India: People and Economy — Mineral and Energy Resources,Economic Survey
913b826e,Geography,Agricultural regions and cropping patterns,Land resources and agriculture,Class 12 India: People and Economy — Land Resources and Agriculture,Economic Survey
c8d9194d,Geography,Industrial location and clusters,Manufacturing industries,Class 12 India: People and Economy — Manufacturing Industries,Economic Survey
e3cf11b7,Geography,Transport corridors and connectivity projects,Transport and communication,Class 12 India: People and Economy — Transport and Communication,PIB
5a8bc4f5,Geography,Ports and inland waterways,Ports and inland waterways,Class 12 India: People and Economy — Transport and Communication,Sagarmala; PIB
ef2163b5,Geography,World political geography and regions in news,World political geography and regions in news,,Oxford School Atlas; newspapers
6b2ca3a8,Geography,World physical features and landmarks,World physical features and landmarks,,Oxford School Atlas
84bc27b9,Geography,International boundaries and border disputes,International boundaries and border disputes,,Oxford School Atlas; MEA
58c3f676,Geography,World agricultural and mineral producers,World agricultural and mineral producers,,Oxford School Atlas
1d225731,Geography,"Earth's motions, solstices and time",Motions of the earth,Class 11 Fundamentals of Physical Geography — The Earth,GC Leong
bd9085aa,Geography,"Maps, projections and remote sensing",Map work and remote sensing,Class 11 Practical Work in Geography,Oxford School Atlas
512e8c00,History,Prehistory and Harappan civilisation,Harappan civilisation,"Class 12 Themes in Indian History I — Bricks, Beads and Bones",Old NCERT Ancient India (RS Sharma)
4af21078,History,Vedic period and later Vedic society,Vedic age,Class 12 Themes in Indian History I,Old NCERT Ancient India (RS Sharma)
5cd4d5a6,History,Buddhism,Buddhism,"Class 12 Themes in Indian History I — Thinkers, Beliefs and Buildings",Old NCERT Ancient India
88219a6b,History,Jainism,Jainism,"Class 12 Themes in Indian History I — Thinkers, Beliefs and Buildings",Old NCERT Ancient India
1cd9949b,History,Mauryan empire and Ashokan edicts,Mauryan empire,"Class 12 Themes in Indian History I — Kings, Farmers and Towns",Old NCERT Ancient India
64bfe1f1,History,Post-Mauryan period and the Sangam age,Post-Mauryan period and the Sangam age,Class 12 Themes in Indian History I,Old NCERT Ancient India
93e92dcb,History,Gupta period,Gupta period,Class 12 Themes in Indian History I,Old NCERT Ancient India
1722f5df,History,Ancient Indian literature and authors,Ancient Indian literature and authors,,Nitin Singhania Art and Culture
9ef945d6,History,"Ancient trade, ports and urban centres",Early trade and urban centres,"Class 12 Themes in Indian History I — Kings, Farmers and Towns",Old NCERT Ancient India
93929d93,History,Early medieval dynasties,Early medieval dynasties,,Old NCERT Medieval India (Satish Chandra)
586d5666,History,Delhi Sultanate — administration and revenue,Delhi Sultanate — administration and revenue,,Old NCERT Medieval India (Satish Chandra)
f75261c6,History,Delhi Sultanate — rulers and campaigns,Delhi Sultanate — rulers and campaigns,,Old NCERT Medieval India (Satish Chandra)
4d279345,History,Vijayanagara and Bahmani kingdoms,Vijayanagara empire,Class 12 Themes in Indian History II — An Imperial Capital: Vijayanagara,Old NCERT Medieval India
a1896442,History,Mughal empire — administration and land revenue,Mughal administration and land revenue,"Class 12 Themes in Indian History II — Peasants, Zamindars and the State",Old NCERT Medieval India
cb50b194,History,Mughal empire — rulers and succession,Mughal empire — rulers and succession,Class 12 Themes in Indian History II — Kings and Chronicles,Old NCERT Medieval India
11f635d2,History,Bhakti movement,Bhakti movement,Class 12 Themes in Indian History II — Bhakti-Sufi Traditions,Nitin Singhania Art and Culture
37160da9,History,Sufi traditions,Sufi traditions,Class 12 Themes in Indian History II — Bhakti-Sufi Traditions,Nitin Singhania Art and Culture
bb64c318,History,Regional kingdoms and the Marathas,Regional kingdoms and the Marathas,,Old NCERT Medieval India
be28bc4d,History,European arrival and trading companies,European arrival and trading companies,,Spectrum Modern India
8b8d195d,History,Temple architecture and styles,Temple architecture,Class 11 An Introduction to Indian Art,Nitin Singhania Art and Culture
ae7b07ac,History,Buddhist and Jain rock-cut architecture,Buddhist and Jain rock-cut architecture,Class 11 An Introduction to Indian Art,Nitin Singhania Art and Culture
cbb792cd,History,Indo-Islamic architecture,Indo-Islamic architecture,Class 11 An Introduction to Indian Art,Nitin Singhania Art and Culture
4ff96891,History,Painting traditions and schools,Painting traditions and schools,Class 11 An Introduction to Indian Art,Nitin Singhania Art and Culture
31f1d931,History,Classical and folk dance,Classical and folk dance,,CCRT; Nitin Singhania Art and Culture
a4b0c3b7,History,Music traditions and composers,Music traditions and composers,,CCRT; Nitin Singhania Art and Culture
66802b7b,History,"Crafts, textiles and geographical indications","Crafts, textiles and geographical indications",,CCRT; GI Registry
2ccca1e9,History,Festivals and regional traditions,Festivals and regional traditions,,CCRT
6be63a96,History,UNESCO heritage listings and intangible heritage,UNESCO heritage listings,,UNESCO India list; PIB
daa689f2,History,East India Company expansion and subsidiary alliance,East India Company expansion and subsidiary alliance,,Spectrum Modern India
1f90fbbf,History,Colonial land revenue systems,Colonial land revenue systems,Class 12 Themes in Indian History III — Colonialism and the Countryside,Spectrum Modern India
31cf0e35,History,Colonial education and social reform,Colonial education and social reform,,Spectrum Modern India
3e240607,History,Early nationalism and the moderate phase,Early nationalism and the moderate phase,,Spectrum Modern India
971a22b9,History,Revolutionary movements and armed struggle,Revolutionary movements and armed struggle,,Spectrum Modern India
29af2935,History,Gandhian mass movements,Gandhian mass movements,Class 12 Themes in Indian History III — Mahatma Gandhi and the Nationalist Movement,Spectrum Modern India
69b0ea72,History,"Peasant, tribal and labour movements","Peasant, tribal and labour movements",Class 12 Themes in Indian History III — Rebels and the Raj,Spectrum Modern India
8c060e1c,History,Constitutional reforms and Government of India Acts,Constitutional reforms and Government of India Acts,,Spectrum Modern India
8713e217,History,"Partition, integration and independence","Partition, integration and independence",Class 12 Themes in Indian History III — Understanding Partition,Spectrum Modern India
2192efc2,Economy,National income and GDP measurement,National income and its aggregates,Class 12 Introductory Macroeconomics — National Income Accounting,Ramesh Singh
7889a551,Economy,Economic growth and development indicators,Economic growth and development indicators,Class 11 Indian Economic Development,Economic Survey
2707150a,Economy,"Demand, supply and market equilibrium","Demand, supply and market equilibrium",Class 12 Introductory Microeconomics,Ramesh Singh
10e4c33b,Economy,Inflation — types and measurement,Inflation — types and measurement,Class 12 Introductory Macroeconomics,Ramesh Singh
a8939b7e,Economy,Capital formation and investment,Capital formation and human capital,Class 11 Indian Economic Development — Human Capital Formation,Ramesh Singh
3ea83231,Economy,Poverty measurement and estimation,Poverty and its estimation,Class 11 Indian Economic Development — Poverty,Economic Survey
8f635c62,Economy,Unemployment and employment data,Employment: growth and informalisation,Class 11 Indian Economic Development — Employment,Economic Survey; PLFS
f5ad1028,Economy,RBI functions and monetary policy,Money and banking: RBI and monetary policy,Class 12 Introductory Macroeconomics — Money and Banking,Ramesh Singh
5767d76c,Economy,Money supply and the multiplier,Money supply and the multiplier,Class 12 Introductory Macroeconomics — Money and Banking,Ramesh Singh
3860384c,Economy,Liquidity instruments and open market operations,Liquidity instruments and open market operations,,RBI website; Ramesh Singh
4ae1a175,Economy,Commercial banking and asset classification,Commercial banking and asset classification,,RBI Financial Stability Report
3d5f609a,Economy,Public sector banks and governance,Public sector banks and governance,,Economic Survey
071d0c52,Economy,Cooperative banks and regional rural banks,Cooperative banks and regional rural banks,,RBI website
624b9c56,Economy,Non-banking financial companies,Non-banking financial companies,,RBI website
9b05314d,Economy,Financial inclusion and microfinance,Financial inclusion and microfinance,,Economic Survey; PIB
f21ab90d,Economy,Digital payments and payment systems,Digital payments and payment systems,,NPCI; RBI
3b0a64fd,Economy,Central bank digital currency,Central bank digital currency,,RBI concept note
26c18d07,Economy,Money market instruments,Money market instruments,,RBI website; Ramesh Singh
64bfd004,Economy,Capital market instruments and bonds,Capital market instruments and bonds,,SEBI; Ramesh Singh
598d7ce8,Economy,Equity markets and market participants,Equity markets and market participants,,SEBI
c06dd0e0,Economy,"Mutual funds, ETFs and investment trusts","Mutual funds, ETFs and investment trusts",,SEBI
2c510a52,Economy,Credit rating agencies,Credit rating agencies,,SEBI
8f03c3e9,Economy,Financial regulation and investor protection,Financial regulation and investor protection,,SEBI; RBI
b2f1e8ea,Economy,Union Budget and the budget process,Union Budget and the budget process,Class 12 Introductory Macroeconomics — Government Budget and the Economy,Ramesh Singh
0e80d2a1,Economy,Taxation — direct and indirect,Taxation — direct and indirect,Class 12 Introductory Macroeconomics — Government Budget and the Economy,Economic Survey
61120bdd,Economy,Finance Commission and tax devolution,Finance Commission and tax devolution,,Finance Commission report
9f62ad97,Economy,Fiscal deficit and FRBM,Fiscal deficit and FRBM,Class 12 Introductory Macroeconomics,Economic Survey
48f9772e,Economy,Government borrowing and public debt,Government borrowing and public debt,,Economic Survey
71716840,Economy,Balance of payments and current account,Balance of payments,Class 12 Introductory Macroeconomics — Open Economy Macroeconomics,Ramesh Singh
d6152647,Economy,Exchange rate systems and currency management,Foreign exchange rate,Class 12 Introductory Macroeconomics — Open Economy Macroeconomics,Ramesh Singh
77b2c28a,Economy,Foreign investment — FDI and FPI,Foreign investment — FDI and FPI,,Economic Survey; DPIIT
9831ee26,Economy,External debt and sovereign borrowing,External debt and sovereign borrowing,,Economic Survey
803e588e,Economy,International trade agreements and WTO,International trade and WTO,Class 11 Indian Economic Development,Economic Survey
faae405c,Economy,International economic institutions,International economic institutions,,Economic Survey; IMF/World Bank
8e834bd5,Economy,"Agricultural marketing, MSP and procurement","Agricultural marketing, MSP and procurement",Class 11 Indian Economic Development — Rural Development,Economic Survey
ee473b0f,Economy,Food security and public distribution,Food security and public distribution,Class 11 Indian Economic Development — Rural Development,Economic Survey
e50a7e81,Economy,Industrial policy and MSMEs,Industrial policy and MSMEs,Class 11 Indian Economic Development — Liberalisation,Economic Survey
cb6b1afa,Economy,Services sector and e-commerce,Services sector and e-commerce,,Economic Survey
3c34cf1b,Economy,Infrastructure and public-private partnership,Infrastructure and public-private partnership,Class 11 Indian Economic Development — Infrastructure,Economic Survey
61e36414,Economy,Energy and mineral sector economics,Energy and mineral sector economics,,Economic Survey
07148e1a,Economy,Health system and public health programmes,Health system and public health programmes,Class 11 Indian Economic Development — Human Capital Formation,Economic Survey; NFHS
228a5283,Economy,Education policy and skill development,Education policy and skill development,Class 11 Indian Economic Development — Human Capital Formation,Economic Survey; NEP 2020
15624d65,Economy,Nutrition and food safety,Nutrition and food safety,,FSSAI; NFHS
d824c6e9,Economy,"Demography, census and population policy",Population and demography,Class 12 Fundamentals of Human Geography — Population,Census; Economic Survey
5d61a8fd,Economy,"Social security, pensions and labour welfare","Social security, pensions and labour welfare",,Labour Codes; Economic Survey
74a4adff,Economy,Tribal and vulnerable group welfare,Tribal and vulnerable group welfare,,Ministry of Tribal Affairs; India Year Book
cea3c9c5,Science,Cell biology and human physiology,Cell structure and human physiology,Class 11 Biology — Cell: The Unit of Life; Human Physiology,NCERT only
a218d1ba,Science,"Genetics, DNA and gene technologies",Molecular basis of inheritance,Class 12 Biology — Molecular Basis of Inheritance,NCERT only
a4d2c72a,Science,Immunology and vaccines,Immunity and vaccines,Class 12 Biology — Human Health and Disease,NCERT only
59a26ffc,Science,"Viruses, bacteria and microbiology",Microbes and biological classification,Class 11 Biology — Biological Classification; Class 12 — Microbes in Human Welfare,NCERT only
cc133a7d,Science,Antimicrobial resistance and drug development,Human health and disease,Class 12 Biology — Human Health and Disease,Current affairs
5b00d743,Science,"Mechanics, heat and thermodynamics","Motion, force and thermodynamics",Class 11 Physics,NCERT only
f04a60bb,Science,"Optics, waves and sound","Waves, sound and optics",Class 11–12 Physics,NCERT only
a7c38826,Science,"Electricity, magnetism and electronics",Electricity and magnetism,Class 12 Physics,NCERT only
4971ff36,Science,Atomic and nuclear physics,Atoms and nuclei,Class 12 Physics — Atoms; Nuclei,NCERT only
47dcedf5,Science,Properties of matter and materials science,States of matter and material properties,Class 11 Chemistry,NCERT only
39f1a761,Science,Industrial and everyday chemistry,Chemistry in everyday life,Class 12 Chemistry — Chemistry in Everyday Life,NCERT only
21c46069,Technology,Biotechnology in agriculture and GM crops,Biotechnology and its applications,Class 12 Biology — Biotechnology and its Applications,PIB; current affairs
bd5847e7,Technology,Disease vectors and public health interventions,Disease vectors and public health interventions,Class 12 Biology — Human Health and Disease,PIB; WHO
e57ad5b3,Technology,Indian space programme and launch vehicles,Space technology and launch vehicles,,ISRO website; PIB
ede5a5e1,Technology,Satellite applications and navigation systems,Satellites and navigation,,ISRO website; PIB
15936c3d,Technology,Planetary and deep space missions,Space missions,,ISRO website; PIB
2f1b7047,Technology,Astronomy and astrophysics,Space science,,ISRO; science journalism
5858c30e,Technology,Artificial intelligence and machine learning,Artificial intelligence and machine learning,,MeitY; current affairs
e2e8bf83,Technology,"Blockchain, cryptocurrency and Web3","Blockchain, cryptocurrency and Web3",,RBI; MeitY
9ae14a1c,Technology,Cybersecurity and cyber threats,Cybersecurity and cyber threats,,CERT-In; MeitY
e5a97b06,Technology,Data protection and digital governance,Data protection and digital governance,,DPDP Act; MeitY
3e99163e,Technology,Telecommunications and network technologies,Telecom and networks,,TRAI; DoT
87385709,Technology,Internet of things and sensor technologies,MERGE into Emerging technologies,,
ae80b3ab,Technology,Emerging computing paradigms,Emerging technologies,,MeitY; science journalism
814ac6fd,Technology,Nanotechnology,Nanotechnology,,DST; science journalism
692609bc,Technology,Nuclear energy technology,Nuclear energy technology,Class 12 Physics — Nuclei,DAE; PIB
1abf068e,Technology,Energy storage and battery technology,Batteries and energy storage,,MNRE; PIB
de8ab3b1,Technology,Hydrogen and fuel cell technology,Hydrogen and fuel cells,,National Hydrogen Mission; PIB
fca7b5dd,Technology,Armed forces structure and ranks,Armed forces structure and ranks,,MoD Annual Report
cd941d98,Technology,Defence hardware and platforms,Defence hardware and platforms,,MoD Annual Report; PIB
47eba1b6,Technology,Missile systems and strategic weapons,Missile systems and strategic weapons,,DRDO; PIB
40bf511c,Technology,Joint exercises and defence cooperation,Joint exercises and defence cooperation,,MoD; PIB
5849c447,Technology,Internal security forces and paramilitary,Internal security forces and paramilitary,,MHA Annual Report
bac98697,IR,Relations with neighbouring countries,Relations with neighbouring countries,Class 12 Contemporary World Politics,MEA; newspapers
ffb14933,IR,India and major powers,India and major powers,Class 12 Contemporary World Politics,MEA; newspapers
6c1b6671,IR,Connectivity and development partnerships,Connectivity and development partnerships,,MEA; newspapers
49b4790b,IR,"Diaspora, consular and migration policy","Diaspora, consular and migration policy",,MEA
a6999dcd,IR,Conflict zones and civil wars,Conflict zones and civil wars,Class 12 Contemporary World Politics,Newspapers; atlas
f732797f,IR,Territorial and maritime disputes,Territorial and maritime disputes,Class 12 Contemporary World Politics,Newspapers; atlas
ee6c5c2b,IR,"Political instability, coups and transitions","Political instability, coups and transitions",,Newspapers
f087e4aa,IR,Refugee and humanitarian crises,Refugee and humanitarian crises,,UNHCR; newspapers
93bda482,IR,Country economic and political situations in news,Country situations in news,,Newspapers
f87ee241,IR,United Nations system and principal organs,United Nations system and principal organs,Class 12 Contemporary World Politics — International Organisations,UN website
fa11b813,IR,UN conventions and international law,UN conventions and international law,,UN website
1af4be87,IR,Regional groupings and economic blocs,Regional groupings and economic blocs,Class 12 Contemporary World Politics,MEA
bbf61f1e,IR,Plurilateral and strategic groupings,Plurilateral and strategic groupings,,MEA; newspapers
edb85caf,IR,Export control and non-proliferation regimes,Export control and non-proliferation regimes,,MEA; IAEA
cebc029d,IR,International indices and rankings,International indices and rankings,,PIB; index publishers
9287d12d,IR,"Global summits, declarations and compacts","Global summits, declarations and compacts",,MEA; PIB
e336caf3,IR,International maritime and polar governance,International maritime and polar governance,,UNCLOS; MEA
b56a807c,IR,"Awards, honours and civilian decorations","Awards, honours and civilian decorations",,India Year Book; PIB
69cb3017,IR,Sporting events and championships,Sporting events and championships,,Newspapers
2d384e36,IR,"Books, authors and personalities in news","Books, authors and personalities in news",,Newspapers
ca4c910c,IR,"Days, observances and commemorations","Days, observances and commemorations",,PIB
