mention_id,paper,macro_topic,level,mention_type,text,decision,notes
2693c131-c712-4d4c-9260-daa66fc0db61,General Studies I,Geography (World Physical Geography),microtopic,derived,"Atmospheric & coastal phenomena: geomagnetic storms and auroras, sea swells and rip currents, alpenglow phenomenon, atmospheric rivers, lightning in India",verified,
4a44a8ab-db9c-45d6-90ec-4d0fe5a81ce9,General Studies I,Geography (World Physical Geography),microtopic,derived,"Biogeography: soil formation processes/profiles/classification/erosion-conservation; vegetation types, forest significance (economic/ecological/cultural), forest cover, deforestation causes/patterns (tropical vs temperate), and conservation strategies (reforestation, afforestation, agro-forestry, Miyawaki method)",verified,
d7a8ca06-effe-44fb-9397-b7655c7a3d7f,General Studies I,Geography (World Physical Geography),microtopic,derived,"Climatology: atmospheric composition and structure (exosphere to troposphere), insolation and heat balance, temperature distribution and inversion, atmospheric pressure and wind systems (pressure gradient/frictional/Coriolis forces), general/global circulation (Hadley/Ferrel/Polar cells), air masses and fronts, extra-tropical cyclones and thunderstorms/tornadoes, water in the atmosphere (humidity, dew, frost, fog, cloud types, precipitation types)",verified,
98f1b454-3735-457e-bf54-a0d5365491e9,General Studies I,Geography (World Physical Geography),microtopic,derived,"Continental Drift Theory (Wegener), Pangea/Panthalassa, Laurasia/Gondwanaland, supporting evidence (jigsaw fit, rock ages, tillite, placer deposits, fossil distribution), forces of drifting, post-drift studies (convectional current theory, ocean floor mapping)",verified,
53aa9af1-e75c-4364-8c7f-e464f869f6e1,General Studies I,Geography (World Physical Geography),microtopic,derived,"Earthquakes: types, causes, effects, frequency, epicentre location, global distribution, and observatories",verified,
99e84f9e-a648-4f39-8379-68919632b6cb,General Studies I,Geography (World Physical Geography),microtopic,derived,"Geology: minerals, major crustal elements, physical characteristics of minerals, rocks (igneous/sedimentary/metamorphic), rock cycle, and rock-soil relationships",verified,
cc24a3a8-dd05-43fa-87dd-125a29ba073c,General Studies I,Geography (World Physical Geography),microtopic,derived,"Geomorphic processes: endogenic (diastrophism, orogeny, epeirogeny, plate movements, volcanism) and exogenic (denudation, weathering, mass movements, erosion-transport-deposition)",verified,
c9b72529-1658-4bcf-ac4f-875445303a96,General Studies I,Geography (World Physical Geography),microtopic,derived,"Industrial localization parameters: distribution factors for iron-steel and cotton-textile industries in India, and why petroleum refineries are often sited away from crude-producing areas",verified,
2eb4d64a-3ba0-4b81-bbe7-c990d7310c54,General Studies I,Geography (World Physical Geography),microtopic,derived,"Interior of the Earth: sources of information (direct and indirect via seismic/body/surface waves), shadow zone, and internal structure (crust, lithosphere, mantle, asthenosphere, core, seismic discontinuities)",verified,
de4610f8-b3e2-4ddb-9d04-46da0b21850f,General Studies I,Geography (World Physical Geography),microtopic,derived,"Jet streams: features, types (permanent/temporary), influence on weather and aviation",verified,
3ca1f610-3128-4ded-94ad-f6f5af6dfb15,General Studies I,Geography (World Physical Geography),microtopic,derived,"Landform evolution by agent: wind (pediments, playas, deflation hollows, barchans, seif, parabolic/transverse/longitudinal dunes), running water (erosional/depositional stages and landforms, incised meanders, river terraces, deltas, floodplains, oxbow lakes, braided channels), groundwater/karst topography (poljes, sinkholes, caves, stalactites/stalagmites), glaciers (cirques, aretes, fiords, moraines, eskers, drumlins), and waves/currents (cliffs, stacks, beaches, spits, bars)",verified,
daa8d6dc-d7e5-436e-a315-a89e08583f6b,General Studies I,Geography (World Physical Geography),microtopic,derived,"Landforms across the world: fold/block/volcanic mountains, plateau types (dissected, volcanic) and their economic significance",verified,
80c8a71e-e97f-45cd-a5ce-702045b530f0,General Studies I,Geography (World Physical Geography),microtopic,derived,"Latitude/longitude, motions of the Earth (rotation/revolution), axial inclination, local/standard time, International Date Line, calendar, eclipses, and the geological time scale",verified,
e95b6e71-ebc7-4a52-b8c1-6a19f94200fe,General Studies I,Geography (World Physical Geography),microtopic,derived,"Ocean & climate-system dynamics: mid-oceanic ridges and biodiversity, changing El Nino/La Nina patterns, Oceanic Nino Index, climate change's impact on ocean currents, slowdown in overturning circulation, marine heatwaves, cryosphere and climate change",verified,
8758971b-fdae-42af-ac68-612097d01b8f,General Studies I,Geography (World Physical Geography),microtopic,derived,"Oceanography: hydrological cycle, ocean floor relief (continental shelf/slope, deep sea plain, trenches, mid-oceanic ridges, seamounts, submarine canyons, guyots, atolls), ocean water temperature/salinity/density distribution, tides and tidal currents, ocean currents (surface/deep, warm/cold) and their global effects, desert formation linkage, Atlantic Meridional Overturning Circulation, ocean resources (deposits, deep-sea minerals, energy/biotic resources, deep ocean mission), and UNCLOS maritime zones",verified,
5617bfd9-02bb-4775-9f44-3365cec342e6,General Studies I,Geography (World Physical Geography),microtopic,derived,"Origin and evolution of the Earth: early/modern (BBT) theories, star and planet formation, layered structure, evolution of lithosphere/atmosphere/hydrosphere, and origin of life",verified,
fc6c0b05-88d3-491b-87f5-7af4d165698a,General Studies I,Geography (World Physical Geography),microtopic,derived,"Plate tectonics: lithospheric plates (major/minor), plate boundary types (divergent/convergent/transform), rates and forces of plate movement, and the Indian plate's 71-million-year movement history",verified,
883c96aa-b76a-44e2-a5e5-3898f46e976d,General Studies I,Geography (World Physical Geography),microtopic,derived,"Resource geopolitics: Arctic ice-melt causes/consequences, Arctic resource-driven geopolitical conflict, and mineral resource base as determined by geological structure",verified,
8c23d702-d14b-4daf-9932-dc548f627209,General Studies I,Geography (World Physical Geography),microtopic,derived,"Temperate cyclones, polar vortex (and its link to ozone depletion), El Nino/La Nina/ENSO and the Indian Ocean Dipole effect on regional and Indian monsoon climate",verified,
463f5433-33ce-44f0-943d-a21ff500f598,General Studies I,Geography (World Physical Geography),microtopic,derived,"Tropical cyclones: formation conditions, convective cyclogenesis, path, damage, Arabian Sea cyclones, naming conventions, and early-warning systems",verified,
7bae13f8-3241-4410-8a1d-bfbcda6409b6,General Studies I,Geography (World Physical Geography),microtopic,derived,"Tsunami mechanism, wave properties, and effects",verified,
4f365c0d-c8d4-4304-aeb8-e556ba0c0800,General Studies I,Geography (World Physical Geography),microtopic,derived,"Volcanism & tectonic phenomena: subaerial/fissure volcanic eruptions, supervolcanoes, volcanic island arcs, volcanic vortex rings, earthquake-ionosphere linkage, Africa's Rift Valley/new ocean basin formation",verified,
efb236fe-b09c-46dc-ae86-51445e40ffdc,General Studies I,Geography (World Physical Geography),microtopic,derived,"Volcanism: shield/composite/caldera/flood-basalt/mid-ocean-ridge types, lava types, intrusive landforms (batholiths, laccoliths, lapoliths, phacoliths, sills, dykes), extrusive landforms, geysers/hot springs, and global distribution (Pacific Ring of Fire)",verified,
1a8f0847-376a-41a0-9cdf-83270ba923c7,General Studies I,Geography (World Physical Geography),microtopic,derived,"Weathering: chemical (solution, carbonation, hydration, oxidation-reduction), physical/mechanical, and biological processes; significance for soil formation, biomes/biodiversity, and mass movements",verified,
f414c44d-c278-4c93-b92e-9f9221bddd44,General Studies I,Geography (World Physical Geography),microtopic,derived,"World climate types: equatorial, tropical monsoon/marine, Savanna, hot desert and mid-latitude desert, Mediterranean, temperate continental/oceanic/steppe, China-type, British-type, Siberian, Laurentian, and Arctic/Polar climates",verified,
7e27aaa1-3061-4688-b925-130ff66da43c,General Studies I,Geography (World Physical Geography),microtopic,derived,World physiographic divisions and their economic-geographic significance; wetlands' ecological/economic importance,verified,
15afbf4b-92e8-4458-a74a-232a0aad2b56,General Studies I,Indian Culture,topic,explicit,"Indian culture will cover the salient aspects of Art Forms, literature and Architecture from ancient to modern times.",verified,
13b4cd81-b2d6-4603-80e6-4cf9d64d43d7,General Studies I,Indian Culture,microtopic,derived,"Architecture in ancient India: Harappan, Mauryan, post-Mauryan/Gupta periods",verified,
a6c9d227-187d-4bc5-8c27-9e24c2afc1e7,General Studies I,Indian Culture,microtopic,derived,Bhakti and Sufi movements: reach across age/gender/religious barriers; Sri Chaitanya's re-orientation; Vaishnava Acharyas' metaphysical foundations; Maharashtra Dharma; Brahmo Samaj and Ramakrishna Mission as 19th-century reform continuities,verified,
bf95a9e3-930a-4abe-bb07-6c96f6acb930,General Studies I,Indian Culture,microtopic,derived,"Classical Temple Architecture: Nagara, Dravida, Vesara and regional sub-schools (Pallava, Chola, Pandya, Vijayanagara, Nayaka, Hoysala, Rashtrakuta, Kerala temples)",verified,
46336ec8-0a33-4e69-bb51-ca47479eee84,General Studies I,Indian Culture,microtopic,derived,Coinage of India and inscriptions/coins as sources of history; Devadasi tradition; Aadi Mahotsav and tribal cultural empowerment; Dwarka and India's ancient maritime heritage; bronze art tradition from Indus Valley to medieval times; seals of the Indus Valley,verified,
4974c4cd-803f-4cad-9d62-727abe261032,General Studies I,Indian Culture,microtopic,derived,"Cultural issues/themes in news: Kuli language, military systems in ancient India, indentured labourers, UNESCO's Prix Versailles, Abhilekh Patal, Homo Naledi, Woman Odhuvar",verified,
83370fb4-3a56-4832-935c-c56571c0dbb8,General Studies I,Indian Culture,microtopic,derived,"Dance in India: concept, Ashta Nayika, eight classical forms, folk and modern dances; Tandava as recorded in early inscriptions; Garba, Cham Lama, Kolkali, Pulikali (Tiger Dance)",verified,
8c66aa43-c3de-496c-a573-b0ee1c3e35ee,General Studies I,Indian Culture,microtopic,derived,Early Buddhist cave-art (Barabar and Nagarjuni caves) and its evolution into later western Indian cave traditions,verified,
cf5d1602-6fd9-4566-b3d5-74012e7084bb,General Studies I,Indian Culture,microtopic,derived,"Evolution of Buddhist stupas (Sanchi, Amravati) and Gandhara, Mathura, Amravati schools of art; Gandhara sculpture's dual debt to Roman/Greek traditions",verified,
385f2f2b-17f6-462f-b9c5-9d8cf0793eeb,General Studies I,Indian Culture,microtopic,derived,"Historical sites in current affairs: Keeladi, Juna Khatiya, Chebrolu, Menhirs, Thoppikkallu/Hat stones, Sundargarh Natural Arch, Sisupalgarh, Chandraketugarh, Old Fort",verified,
bd03cb95-ed51-493a-9c7e-a21629efab21,General Studies I,Indian Culture,microtopic,derived,"History through the eyes of travellers: Ayodhya's historical narratives, Chinese pilgrim travellers, Arab travellers and cultural encounters",verified,
b4fef5f1-8c39-463a-a0c5-674999e21c55,General Studies I,Indian Culture,microtopic,derived,Indian cinema: history and classification of Indian cinema film,verified,
65a3ca38-3b44-42e7-ba05-c27369a1187b,General Studies I,Indian Culture,microtopic,derived,"Indian painting traditions: mural painting, miniature painting (Rajput, Pahari, Deccan, South Indian schools), regional/modern/contemporary painting; Panamalai, Cheriyal Scroll, Mewar school, Gilgit manuscripts, Ol Chiki script, Phanigiri artefacts, Vajra Mushti Kalaga, Bagh print",verified,
5c97650c-4c51-4630-8a97-a10f42298a45,General Studies I,Indian Culture,microtopic,derived,"Indian puppetry: string, shadow, rod, glove, modern, and tribal puppetry traditions",verified,
c57f65e8-1ace-40c8-a855-d33021709db8,General Studies I,Indian Culture,microtopic,derived,"Indian theatre: classical Sanskrit, regional, modern, and its renaissance",verified,
a05cf86e-468e-426d-98d4-130d787e9637,General Studies I,Indian Culture,microtopic,derived,"Indo-Islamic architecture: Imperial (Delhi Sultanate) style, Provincial style, Mughal style, Sikh style, Rajput architecture",verified,
34cb6395-1707-4fa4-8793-e0b1aff8bcdc,General Studies I,Indian Culture,microtopic,derived,"Indus Valley Civilization town-planning, seals, bronze casting, terracottas, and sculptures",verified,
a029e97e-c620-47bf-a580-f229edf6696e,General Studies I,Indian Culture,microtopic,derived,"Languages and literature of India: Sanskrit, Pali, Prakrit, and the major regional literatures (Tamil, Telugu, Malayalam, Kannada, Odia, Assamese, Bengali, Gujarati, Rajasthani, Punjabi, Marathi, Hindi, Persian, Urdu); Sangam literature as a record of early Tamil society",verified,
7aca79cd-e55a-478b-abee-a415fe7eb139,General Studies I,Indian Culture,microtopic,derived,Martial arts of India: genesis and forms of traditional martial arts,verified,
410427d2-3bc1-4a6a-952f-672bc3e14fe6,General Studies I,Indian Culture,microtopic,derived,"Mauryan art and architecture (Ashokan pillars, polishing techniques, and rock-cut caves)",verified,
7d873372-f371-4b5b-94e3-af91394feb87,General Studies I,Indian Culture,microtopic,derived,Medieval school of sculpture and modern Indian sculpture,verified,
940a72fc-86de-4176-8dbe-fe4ba38669d1,General Studies I,Indian Culture,microtopic,derived,"Miscellaneous cultural themes: handicrafts, Indian universities, cultural personalities, places of cultural interest, fairs and festivals, cultural institutions and awards, the calendar and eras, science and technology in ancient India, UNESCO heritage listings, legal provisions protecting cultural heritage",verified,
b7c08315-05f8-4f15-b389-2d79e807603e,General Studies I,Indian Culture,microtopic,derived,"Modern architecture: European influence, Indo-Saracenic architecture, post-Independence period; Adopt-a-Heritage 2.0 and National Mission for Cultural Mapping",verified,
e3b54405-86e4-4fef-8627-82279828c576,General Studies I,Indian Culture,microtopic,derived,"Music in India: pillars, forms (Hindustani/Carnatic gharanas), instruments, and institutions related to music",verified,
ecc1e711-5409-4ad5-b160-8433b8a723f0,General Studies I,Indian Culture,microtopic,derived,"Personalities in cultural news: reformers, freedom-linked cultural icons, and regional culture-bearers (e.g., Ahilyabai Holkar, Rukmini Lakshmipathi, Srimanta Sankaradeva, Sree Narayana Guru, Raja Ravi Varma)",verified,
958b8e28-4244-40ac-83ee-211c438275a3,General Studies I,Indian Culture,microtopic,derived,Post-Mauryan and Jain sculptural traditions; Gupta-era sculpture and its 'golden age' craftsmanship,verified,
a4733687-07de-4f71-8c98-38419a4695c2,General Studies I,Indian Culture,microtopic,derived,"Pottery traditions of India: Ochre Coloured Pottery, Black-and-Red Ware, Painted Grey Ware, Northern Black Polished Ware, glazed/unglazed pottery",verified,
720a48c3-b9db-4d3c-a40a-2e915ae49b6e,General Studies I,Indian Culture,microtopic,derived,Prehistoric rock paintings and petroglyphs (Bhimbetka stylistic evolutions); socio-cultural patterns of pre-historic paintings and potteries,verified,
a65e27a0-8c12-405d-b473-9d7379477126,General Studies I,Indian Culture,microtopic,derived,"Regional temple traditions: Khajuraho, Odisha, Gwalior, Gujarat, Rajasthan, Bengal, Assam, HP, J&K temple styles",verified,
3f7f7119-9431-42c6-b780-d096cba7281f,General Studies I,Indian Culture,microtopic,derived,"Religions in India: pre-Vedic religion, Hinduism, Buddhism, Jainism, Sikhism, Islam, Christianity, Zoroastrianism, Judaism; Indian philosophy (Adi Shankaracharya, Upanishads, heterodox sects, Tantrism)",verified,
cf9f6e55-599d-4254-b9e0-acef833da635,General Studies I,Indian Culture,microtopic,derived,UNESCO World Heritage sites of India: cultural criteria and conservation issues,verified,
36561b2d-0ffe-494a-927e-cde9774293b4,General Studies I,Indian Society,topic,explicit,"Salient features of Indian Society, Diversity of India. Role of women and women’s organization, population and associated issues, poverty and developmental issues, urbanization, their problems and their remedies. Effects of globalization on Indian society. Social empowerment, communalism, regionalism & secularism.",verified,
bd0adb4c-04af-4407-a96f-6170946c3a98,General Studies I,Indian Society,microtopic,derived,'Adivasi' as a category: reasons for the term and geographic concentration of tribal populations; issues with tribal habitat in India,verified,
298d5a69-995c-4f1b-aae1-22383476e1cb,General Studies I,Indian Society,microtopic,derived,"Caste system: structural resilience as a barrier to social mobility, and its adaptation to modernization/secularization",verified,
dfbb6488-af21-4659-b2e4-fbf1437f1759,General Studies I,Indian Society,microtopic,derived,"Children and vulnerable-section issues: child labour, child adoption, Juvenile Justice Act 2015, child trafficking, age of consent; tribal welfare (denotified tribes), LGBTQIA+ rights, disability rights, manual scavenging, marginalisation of sexual minorities",verified,
42c36656-03b6-4d9f-a23a-310e3ba6f0e7,General Studies I,Indian Society,microtopic,derived,"Communalism: meaning, historicity, role of third parties in inciting/perpetrating it, and whether it can be eradicated; regionalism's theories, manifestations, and possible remedies",verified,
a8ca9df0-1236-451b-ab23-86a50983c6d1,General Studies I,Indian Society,microtopic,derived,"Demographic transition: changes in population growth rates and distribution since Independence; population problems of developing vs developed countries; Malthusian, Marxian and Demographic Transition theories",verified,
889018a3-81d6-41ad-928f-ada5021d80a1,General Studies I,Indian Society,microtopic,derived,"Development & welfare indicators: socio-economic inequality, climate change and food insecurity, One Nation One Ration Card, Human Development Index, universal social welfare",verified,
86abc5b1-e2b1-48c9-9525-d9c958221162,General Studies I,Indian Society,microtopic,derived,"Education-sector issues: public schools, NIPUN Bharat Mission, Anusandhan National Research Foundation Act 2023, National Curriculum Framework for School Education, Performance Grading Index, higher-education reforms (deemed universities, foreign HEIs, National Credit Framework, accreditation)",verified,
20f7b171-be98-44c5-b16c-1968ef0f2708,General Studies I,Indian Society,microtopic,derived,"Effects of globalization on Indian society: kinds of impact (economic, political, developmental, socio-cultural) and whether the impact is solely positive or negative",verified,
4ebb0587-ad37-4833-8928-00c61cd95f80,General Studies I,Indian Society,microtopic,derived,"Family, marriage, and kinship structural shifts in transitional Indian society; validity of Hindu marriages, live-in relationships, raising the legal age for marriage, and the menace of girl-child marriage",verified,
f0b039b4-25fd-4286-a30c-4e1b75f0984b,General Studies I,Indian Society,microtopic,derived,"Health, nutrition and sanitation: NFHS-5 findings, renewed healthcare system, One Health concept, Global Hunger Index, Open Defecation Free status, nutritional security through food fortification",verified,
34b43ce5-08ae-4e9c-96a4-21a04e8ed1ba,General Studies I,Indian Society,microtopic,derived,"Labour & livelihood security: occupational safety and health, MGNREGA payment delays, e-Shram portal",verified,
c40f3e57-a8a5-42a3-b4eb-491810507b63,General Studies I,Indian Society,microtopic,derived,"Marginalised & vulnerable-group welfare: old-age care, rag-pickers, caste-manual-scavenging linkage, migrant-worker housing",verified,
96ea56e9-1607-4531-96e2-db96b111d054,General Studies I,Indian Society,microtopic,derived,"Migration patterns: internal migration shifts, distress migration, push/pull factors, emigration across colonial/post-independence/post-liberalisation periods, and remittance economies",verified,
4906f56a-9408-4acd-88f1-8651777ea8df,General Studies I,Indian Society,microtopic,derived,"Population and associated issues: suicide deaths in India, 'great replacement theory' discourse, population crisis in Asian nations, manual scavenging as India's 'dirtiest job', caste-based violence, need for caste census, silver economy and elderly-welfare initiatives (SACRED portal, SAGE, Elder Line, RVY, IGNOAPS, MWPSC Act 2007)",verified,
36e6ac11-9636-41ce-b6bc-a5d83a3ee9c6,General Studies I,Indian Society,microtopic,derived,"Poverty and development issues: concept of development, Sen vs Bhagwati model, crisis of development",verified,
7619bcfd-b544-4653-898e-9a52d8f158e5,General Studies I,Indian Society,microtopic,derived,"Role of women's organizations and SHGs in Indian history: types, level of penetration, problems faced, and the role of microfinance institutions",verified,
775581c2-1803-4406-97dc-cea22f18c81a,General Studies I,Indian Society,microtopic,derived,Salient features and changes within Indian society and their repercussions; diversity of India and whether 'unity in diversity' is reality or a reconciled chimera,verified,
9fef473b-70f5-47f2-93c7-7dd5b95f7944,General Studies I,Indian Society,microtopic,derived,"Secularism: meaning, the Indian constitutional vantage point, comparison with the Western model, Gandhian view on religion, and threats to the secular spirit",verified,
525743cf-41b4-4233-9c92-6c9bc9171796,General Studies I,Indian Society,microtopic,derived,"Social empowerment: meaning, need, Five-Year-Plan and government initiatives, role of civil society organisations",verified,
aa6f2475-4951-4c63-afb1-f428749e7548,General Studies I,Indian Society,microtopic,derived,"Social risk & institutional conditions: state of prisons, drug abuse, social media's effect on youth",verified,
345e6ede-1b47-44a7-9da4-f726b99bda10,General Studies I,Indian Society,microtopic,derived,"Urbanization challenges: growth of the informal urban sector, smart cities as a management tool, flood vulnerability of major cities, rural-urban migration, emergence of slums, urban transport/waste/water-sanitation issues, urban poverty, and the Real Estate (Regulation & Development) Act 2016",verified,
3ff5a084-6cab-4804-b5c9-0df0b771014b,General Studies I,Indian Society,microtopic,derived,"Women-related issues: hysterectomies, workforce participation gaps, gender disparities in poverty, women in corporate roles, abortion rights, gender digital divide, menstrual hygiene, surrogacy rules, sexual harassment at workplace, domestic violence, marital rape, women in STEM, female entrepreneurship, NFHS-5 women-centric findings",verified,
6805c4b6-d39a-4145-a57c-d1e8f8f27de0,General Studies I,Medieval India,topic,derived,Indian culture / Modern history (background formation) — the medieval-history spine feeding GS1 culture and pre-1750 context questions.,verified,
aca47f1e-21e5-4901-bcc0-f04828ee6db1,General Studies I,Medieval India,microtopic,derived,"18th-century society, economy, and culture: rural society, artisans, standard of living, ruling classes, inland/overseas trade, religion, fine arts, science and technology",verified,
8cc50ab6-d53e-4ae6-8f2a-695b3150233f,General Studies I,Medieval India,microtopic,derived,"Aurangzeb: religious policy phases, temples/jizyah, territorial consolidation, popular revolts (Jats, Satnamis, Sikhs), and the climax/crisis of the empire",verified,
f9d00be7-ccb6-4716-aa30-7df2dbbdf68f,General Studies I,Medieval India,microtopic,derived,"Central Asian politics and Babur's advance: Timurids, Uzbek-Iran conflict, and the struggle for empire in north India (Panipat, Rana Sanga, Afghans)",verified,
a0b6c910-e61f-4311-a972-6fba9415924d,General Studies I,Medieval India,microtopic,derived,"Cholas and other south Indian kingdoms: administration, socio-economic life, education/literature, Cheras, Yadavas, and contact with Southeast Asia",verified,
af824af7-baeb-448b-9487-5e3c94352920,General Studies I,Medieval India,microtopic,derived,"Consolidation and expansion under Akbar: conflict with the nobility, relations with Rajputs, state/government structure (mansabdari, land revenue), and religious policy (Ibadat Khana to Din-i-Ilahi)",verified,
d8252a37-2147-4ca3-aeeb-8335354f00e7,General Studies I,Medieval India,microtopic,derived,"Early Muslim invasions: Arab conquest of Sindh, Mahmud of Ghazni, Muhammad Ghori",verified,
3090564d-52d3-49c6-8cf5-87b21afaca77,General Studies I,Medieval India,microtopic,derived,"Establishment of the Mughal empire: Humayun's struggles, the Sur dynasty and Sher Shah's administrative contributions",verified,
1bb6e540-015e-44c7-af5f-06d396ec7d98,General Studies I,Medieval India,microtopic,derived,"India in the first half of the 17th century: Jahangir, Nur Jahan's 'junta', Shah Jahan's consolidation, evolution of the mansabdari system",verified,
48026cf5-a069-4001-bf3c-cb368906343b,General Studies I,Medieval India,microtopic,derived,"Major early medieval dynasties (750-1200): Pratiharas, Palas, Rashtrakutas, tripartite conflict, Senas, Rajputs, Pallavas, Chalukyas, and the concept of Indian feudalism",verified,
c1738a0e-414e-4fa5-a5b3-6b90836bce22,General Studies I,Medieval India,microtopic,derived,"Northern India in the first half of the 18th century: struggle for Wizarat, Sayyid Brothers, rise of regional states and the beginning of foreign invasions",verified,
9f838570-6f43-451f-b687-1f7fb00b167b,General Studies I,Medieval India,microtopic,derived,"Rise of the Marathas: Shivaji's Swarajya, Treaty of Purandar, Aurangzeb and the Deccan, assessment of the Jagirdari crisis",verified,
e64b6a34-4cf9-4447-9c7a-fe82e1993387,General Studies I,Medieval India,microtopic,derived,"The Deccan and the Mughals up to 1657; foreign policy of the Mughals (Uzbeks, Qandahar, Balkh, Persia)",verified,
3ac57142-d91e-4b9c-b024-84dc60d521f4,General Studies I,Medieval India,microtopic,derived,"The Delhi Sultanate (1206-1526): Slave, Khalji, Tughlaq, Sayyid, and Lodi dynasties; Mongol/Turk attacks; administration, economy, urbanization, society, culture, science, and the causes of decline",verified,
b376524e-33ba-47b9-90aa-f95a187cc65b,General Studies I,Medieval India,microtopic,derived,The Maratha bid for supremacy and the three Anglo-Maratha/Panipat phases (1741-1761),verified,
a0c0c838-2439-461c-9093-b6e64a1d426c,General Studies I,Medieval India,microtopic,derived,"Vijayanagar Empire: sources, political history, administration, economy, decline of trade, and regional kingdoms",verified,
7e05e528-d73f-40b0-a489-814c1b998070,General Studies I,Modern Indian History,topic,explicit,"Modern Indian history from about the middle of the eighteenth century until the present- significant events, personalities, issues.",verified,
294a88cc-790e-403e-a80d-f253e54620fb,General Studies I,Modern Indian History,microtopic,derived,"Colonial land revenue systems (Permanent Settlement, Ryotwari, Mahalwari), commercialization of agriculture, and economic drain theory",verified,
3ba2e622-60c4-45e1-b9d3-b04b813645b6,General Studies I,Modern Indian History,microtopic,derived,Deindustrialization of traditional artisanal industries and British economic policy's impact on the rural economy,verified,
