row_type,row_id,paper_year,question_number_or_topic_id,text_preview,flags,sample_reason,decision,notes,assign_topic_id,difficulty,stimulus_preview,paper_id,section,current_primary_topic_id,apply_result,apply_detail
question,8b842231-525d-4bfa-84d7-4b939eae8f85,2024,11,"Ministry of Food Processing Industries (MoFPI) implements a Scheme for Integrated Cold Chain, Food Processing and Preservation Infrastructur",suspicious_repeat_char,flagged,verified,primary tag replaced by operator SQL after this run,,medium,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,8f704fc7-27d2-45f4-aa1d-80c9e028efe3,difficulty;verified,
question,a7298c3c-5b54-4c3c-9a6b-610180a97137,2024,12,Which crops are covered under the Price Support Scheme (PSS) under the umbrella scheme of Pradhan Mantri Annadata Aay SanraksHan Abhiyan’ (P,non_ascii_suspect,flagged,verified,primary tag replaced by operator SQL after this run,,medium,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,8f704fc7-27d2-45f4-aa1d-80c9e028efe3,difficulty;verified,
question,07fe7881-ce89-4636-8d7b-70dabff148f2,2024,13,"Government is implementing the scheme titled “PM Programme for Restoration, Awareness, Nourishment and Amelioration of Mother Earth (PM-PRAN",non_ascii_suspect;suspicious_repeat_char,flagged,verified,,,medium,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,8f704fc7-27d2-45f4-aa1d-80c9e028efe3,difficulty;verified,
question,1883318d-a7ac-411b-aeaa-534b54780c7a,2024,14,"The Government has substantially enhanced the budget allocation of Ministry of Agriculture & Farmers Welfare from Rs. 27,662.67 crore BE dur",suspicious_repeat_char;no_primary_tag,flagged,verified,,fa731497-39a6-49f8-b3ff-e0f3bb19cb96,medium,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,,difficulty;tagged;verified,
question,6c6fabd9-b2b5-403b-8d72-3f5cfb7cdb7e,2024,15,"Recently, RBI released the Statement on Developmental and Regulatory Policies. One initiative that RBI took is regarding UPI. UPI (Unified P",no_primary_tag,flagged,verified,,390cb8c4-537c-469c-b3d1-14d9194d8cea,medium,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,,difficulty;tagged;verified,
question,d37da05c-2330-413d-aad0-cb8457ad536c,2024,16,"India has been included in the JP Morgan Global Bond Index - Emerging Markets. The inclusion process started on June 28, 2024, with a gradua",non_ascii_suspect;no_primary_tag,flagged,verified,,6543f906-3a5b-4e9d-9672-3628cc7a032c,medium,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,,difficulty;tagged;verified,
question,e2563c71-a97c-4aeb-8a14-ea9407a8b9a4,2024,17,"The Reserve Bank of India’s Financial Inclusion Index (FI-Index) measures the level of financial inclusion across India. As of March 2024, t",non_ascii_suspect;no_primary_tag,flagged,verified,,ffdc4541-194f-4155-a578-d0fc9d7d4c91,easy,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,,difficulty;tagged;verified,
question,c3b184d4-7376-4b01-b27d-d13ae73fff6a,2024,18,"With the introduction of the Goods and Services Tax (GST) in India, various central, state, and local taxes were subsumed into a unified sys",,,verified,,,easy,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,eedab1ad-56e1-4f9a-bf27-e6b077af1760,difficulty;verified,
question,38c4bde8-2363-4753-b7b0-de9f4fffc5f7,2024,19,The Reserve Bank of India’s (RBI) Digital Payments Index (RBI-DPI) is a composite index that measures the extent of digital payments in Indi,non_ascii_suspect,flagged,verified,,,medium,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,4ac5fc1d-9fcf-4772-bd60-d9cfa9f8e673,difficulty;verified,
question,e04c9562-3075-4c29-9562-143eb186c86f,2024,20,A Basic Service Demat Account (BSDA) is just like a normal Demat account that helps investors to hold equity shares/ other securities invest,non_ascii_suspect;suspicious_repeat_char,flagged,verified,,,medium,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,567b9717-73ac-46ef-bd37-671acc8420b0,difficulty;verified,
question,3c8aefb0-6b1c-4917-86c6-8119831e00ac,2024,21,Trade Receivables e-Discounting System (TReDS) is an electronic platform for facilitating the financing/discounting of trade receivables of ,suspicious_repeat_char;no_primary_tag,flagged,verified,,177b68be-4bce-4c12-bc99-f7fabcbc1de6,medium,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,,difficulty;tagged;verified,
question,25bf3b60-a3f7-4fd5-b440-799f15c4fa54,2024,22,"To control inflationary pressures, the Reserve Bank of India (RBI) undertook a series of monetary policy actions between May 2022 and Februa",no_primary_tag,flagged,verified,,a5f18325-af4e-4040-95ca-5007d0ed75ab,medium,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,,difficulty;tagged;verified,
question,aa7f15a2-756d-4e3b-84f4-a446c59cd7ea,2024,23,"The Reserve Bank of India (RBI) issued directions on November 15, 2021, requiring certain Non-Banking Financial Companies (NBFCs) to appoint",,,verified,,,medium,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,7bf9193a-dfbb-4626-8876-d7821016029b,difficulty;verified,
question,b64a8b53-b990-4039-9de8-4c09f8451bd9,2024,24,"RBI under its Depositor Education and Awareness (DEA) Scheme, mandates all deposit accounts such as savings, current, or fixed deposits, tha",,,,,,,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,60744a81-c455-493e-9ab8-182c50e646b7,skipped,no decision
question,4fc90b0f-6ed7-4354-9010-ad78c0d78f6e,2024,25,As part of its effort to harmonize regulations for Housing Finance Companies (HFCs) with those applicable to Non- Banking Financial Companie,non_ascii_suspect,flagged,verified,,,medium,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,7bf9193a-dfbb-4626-8876-d7821016029b,difficulty;verified,
question,fe284090-9d9a-4778-b5d7-8077b79b8919,2024,26,"In a recent update to its banking regulations, the RBI revised the definition of “bulk deposits” for various banking institutions. Scheduled",non_ascii_suspect,flagged,verified,,,medium,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,f56288ef-a26d-402b-9dc1-f1d4e141968e,difficulty;verified,
question,b2a52ab0-82ae-4a9f-8dab-c2236aade5b9,2024,27,"The RBI has taken a significant step in modifying its fully accessible route (FAR) for government securities. This decision, aimed at managi",,,verified,,,medium,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,a3ea6cd9-eb80-4bf0-a4fd-3043d8749d00,difficulty;verified,
question,9c570193-9a1e-4cbd-b7b3-681465a46cc8,2024,28,The Reserve Bank of India (RBI) has outlined specific eligibility criteria for Small Finance Banks (SFBs) to transition into Universal Banks,,,verified,,,medium,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,f56288ef-a26d-402b-9dc1-f1d4e141968e,difficulty;verified,
question,75a85026-bcd3-4129-af8e-f18aa5c654c8,2024,29,The RBI outlined a detailed framework for Self-Regulatory Organizations (SROs) in the FinTech space to ensure proper governance and regulati,non_ascii_suspect,flagged,verified,,,medium,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,15e5b403-5be3-49c4-a4c5-8c3805cc2694,difficulty;verified,
question,5c3e362e-0dba-4003-958b-ceadce1d9318,2024,30,The Financial Stability Report (FSR) by the RBI often highlights critical measures to strengthen the financial resilience of banks. One such,,,verified,primary tag replaced by operator SQL after this run,,medium,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,e6ae56a5-8fb5-4dab-a838-59ac2c665fc0,difficulty;verified,
question,896c2b31-f466-409b-b800-641be3efc1f0,2024,31,"The International Financial Services Centres Authority (IFSCA) plays a pivotal role in regulating financial institutions, financial products",non_ascii_suspect,flagged,verified,,,medium,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,15e5b403-5be3-49c4-a4c5-8c3805cc2694,difficulty;verified,
question,fbb7d25c-0b56-4599-b422-c45b381efb42,2024,32,"According to the RBI’s report on currency and finance 2024, the rise in digital payments has resulted in several significant outcomes. Which",non_ascii_suspect,flagged,verified,,,medium,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,4ac5fc1d-9fcf-4772-bd60-d9cfa9f8e673,difficulty;verified,
question,e0dd0b78-f9d6-405e-87ea-9b10832a9650,2024,33,"INFINET, a membership-only Closed User Group (CUG) network, serves as the backbone of the National Payments System, primarily handling inter",non_ascii_suspect;suspicious_repeat_char,flagged,verified,,,medium,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,390cb8c4-537c-469c-b3d1-14d9194d8cea,difficulty;verified,
question,bd0aaed2-51ee-40bb-934c-4143bf4f79f9,2024,34,State and Union Territory governments leverage various mechanisms to borrow from the Reserve Bank of India (RBI). Which of the following com,,,verified,,,medium,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,7e1e6fc8-4e40-4e18-bfb7-660c80143603,difficulty;verified,
question,feb37eb8-99d5-4dfa-aa89-74c58233eafe,2024,35,"When banks receive deposits from various All-India Financial Institutions (AIFIs) and use them to forward loans, certain deposits are not co",,,verified,,,medium,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,39c359f9-b85b-4c3e-9a0b-e67ed39d8c4c,difficulty;verified,
question,8db74694-48dd-4f21-84a8-e02c0da21137,2024,36,"In the regulatory landscape of India’s financial sector, various entities operate under the oversight of different authorities. Among the fo",non_ascii_suspect,flagged,verified,,,medium,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,7aa6a5c3-2e2a-46c9-b5cf-d8a2168f4f88,difficulty;verified,
question,da7110b3-e6c4-4818-a774-82aaf5d16e42,2024,37,Which of the following committees is incorrectly matched with its year of establishment?,,spot_check,,,,,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,60744a81-c455-493e-9ab8-182c50e646b7,skipped,no decision
question,55094ce0-40a8-4990-9eaf-03ffc2186a32,2024,38,Stock exchanges can now be recognized as Research Analyst Administration and Supervisory Body (RAASB) and Investment Adviser Administration ,,,verified,,,medium,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,b40455eb-5470-4a6a-a540-db75843698ba,difficulty;verified,
question,cbf8c8e6-eb92-4b50-bcb5-17d4206cf7b6,2024,39,SEBI (Securities and Exchange Board of India) recently proposed tax benefits for companies investing in zero coupons and zero principal bond,suspicious_repeat_char,flagged,verified,,,medium,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,069fdcf6-30e5-4be7-9ef2-6ae4f9631ca6,difficulty;verified,
question,7fb6efd1-134f-4c24-8dc9-ca288daeb7b2,2024,40,Which of the following is not an instrument of monetary policy?,,,verified,,,easy,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,a5f18325-af4e-4040-95ca-5007d0ed75ab,difficulty;verified,
question,798d40be-1be7-4acf-8f24-875065255b8c,2024,41,The Insurance Regulatory and Development Authority of India (IRDAI) recently imposed a penalty of Rs.2 crore on which of the following Non-B,no_primary_tag,flagged,verified,,15e5b403-5be3-49c4-a4c5-8c3805cc2694,medium,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,,difficulty;tagged;verified,
question,639680ba-7e80-4f08-a577-ecd031b9f062,2024,42,The Banking Ombudsman and the Ombudsman Scheme for Digital Transactions play crucial roles in addressing customer grievances in the financia,,,,,,,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,60744a81-c455-493e-9ab8-182c50e646b7,skipped,no decision
question,4f04deeb-e43b-4ab1-aa7a-b598d75d3e61,2024,43,RBI announced its much awaited 3rd global hackathon- ‘HaRBInger 2024- Innovation for Transformation’. The announcement was made by RBI Gover,non_ascii_suspect;no_primary_tag,flagged,verified,,1d690f05-756d-4389-b40d-5bca2d050fdd,easy,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,,difficulty;tagged;verified,
question,1af91cef-9299-4846-8359-82d9dc8c63d2,2024,44,The Certificate of Registration granted to Brickwork Ratings India as a Credit Rating Agency (CRA) was cancelled by market regulator SEBI in,suspicious_repeat_char,flagged,verified,,,medium,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,bd20e212-5d6f-44c3-bddf-daede6e0516f,difficulty;verified,
question,0cb19ff4-2eaf-4191-b2a9-ad0ce688bd37,2024,45,Which of the following statements is not a feature of floating rate savings bonds? 1) The interest rate adjusts periodically based on a benc,,,verified,,,medium,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,1cefdf19-0cb1-4bad-a0f3-d5cde6ee8c46,difficulty;verified,
question,b61bbbac-da6c-4286-a75f-5a618ca7fd9d,2024,46,SEBI allowed Foreign Portfolio Investors (FPIs) established in GIFT City to accept unlimited investments from Non- Resident Indians (NRIs) a,non_ascii_suspect;suspicious_repeat_char,flagged,verified,primary tag replaced by operator SQL after this run,,medium,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,1959fdbb-aa4d-4d2b-ad00-2ba2ba1da295,difficulty;verified,
question,4a6c88b5-3ae7-4594-84b6-690a3aa7dfb7,2024,47,"In response to the persistent challenge of high Non- Performing Assets (NPAs), the government has launched a series of impactful initiatives",,,verified,,,medium,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,d189707d-212b-4d57-a1b7-5a240aeb97cb,difficulty;verified,
question,043697de-6bf4-4c94-b702-b6da06187ec2,2024,48,"The Sovereign Gold Bond Scheme, launched by the Government of India, allows individuals to invest in gold in a secure and non-physical forma",,,verified,primary tag replaced by operator SQL after this run,,medium,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,1cefdf19-0cb1-4bad-a0f3-d5cde6ee8c46,difficulty;verified,
question,08524ce8-d0a8-47a9-92c0-7f4655ae1e74,2024,49,"Mark Rutte, a prominent political figure known for his leadership and influence, has recently been appointed to assume the role of Secretary",,,verified,,,easy,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,75f89786-112e-4d19-ace5-a941f8fe577b,difficulty;verified,
question,0b8b22ff-925a-4d0f-9519-e7897fad65a4,2024,50,"The United Nations Framework Convention on Climate Change (UNFCCC) is essential for global climate negotiations, with leadership roles rotat",no_primary_tag,flagged,verified,,748e1177-b18b-4e5a-9698-9aa51b57a50b,medium,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,,difficulty;tagged;verified,
question,502ce244-eebd-45d6-873c-07b8e0daec11,2024,51,"The field of Generative Artificial Intelligence (Gen AI) has seen significant advancements and innovations, leading to an increase in patent",no_primary_tag,flagged,verified,,9dd02f97-b76e-4e51-95fe-cd68265df28c,easy,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,,difficulty;tagged;verified,
question,9bcb0ef0-a3f5-4943-b99f-0df2c20550d0,2024,52,"Carlos Alcaraz, a rising star in the world of tennis, has made headlines with his impressive performances in various Grand Slam tournaments.",no_primary_tag,flagged,verified,,8e5aa145-440d-4db7-a3f4-9ee6e4aed196,easy,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,,difficulty;tagged;verified,
question,e9341b3c-8605-4df3-9bbc-a4ddc0d5528e,2024,53,"Abhinav Bindra is a celebrated Indian shooter who made history by winning a gold medal in the Olympic Games, marking a significant achieveme",non_ascii_suspect,flagged,verified,,,easy,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,8e5aa145-440d-4db7-a3f4-9ee6e4aed196,difficulty;verified,
question,75db4cef-c2c5-4107-abe7-abc2c9b2058f,2024,54,The Environmental Performance Index (EPI) is an important metric that evaluates countries based on their environmental health and sustainabi,non_ascii_suspect;no_primary_tag,flagged,verified,,c862456b-d22b-45b5-9150-d9d1f21eb0c6,easy,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,,difficulty;tagged;verified,
question,10af97a2-2afc-49f3-9394-df831d4706cc,2024,55,"The Athletics Federation of India (AFI) plays a crucial role in promoting and developing athletics in the country, supporting athletes at va",no_primary_tag,flagged,verified,,8e5aa145-440d-4db7-a3f4-9ee6e4aed196,easy,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,,difficulty;tagged;verified,
question,ebbc4dd1-e619-499d-aa50-57e603aaf3ff,2024,56,India’s role in the G20 has become increasingly significant as the country engages with other major economies to address global challenges s,non_ascii_suspect;no_primary_tag,flagged,verified,,32f78939-6d1f-462f-947d-297acdf453f6,easy,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,,difficulty;tagged;verified,
question,b072a614-e11b-43ef-a926-102f8e4f61bb,2024,57,"The Global Peace Index (GPI) is an important measure that ranks countries and regions based on their levels of peace, considering factors su",no_primary_tag,flagged,verified,,c862456b-d22b-45b5-9150-d9d1f21eb0c6,easy,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,,difficulty;tagged;verified,
question,fc5a9390-640e-44c7-9656-3c93bdf37c62,2024,58,India has taken a significant step in international environmental governance by approving the signing of the Biodiversity Beyond National Ju,,,verified,,,medium,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,748e1177-b18b-4e5a-9698-9aa51b57a50b,difficulty;verified,
question,5ea75317-93e0-45f6-b713-e15661a4ea83,2024,59,"Lithium has emerged as a critical resource in the modern world, especially due to its essential role in the production of batteries for elec",,,verified,,,easy,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,09e4b8c2-3e2b-4633-8ec1-a58bc6867e0b,difficulty;verified,
question,5b44f24f-1c7b-4a42-b822-3393a48b648e,2024,60,The International Mathematics Olympiad (IMO) is a prestigious annual event that brings together the brightest young mathematicians from arou,no_primary_tag,flagged,verified,,b2983344-9a73-4205-bc92-76949ad7d588,easy,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,,difficulty;tagged;verified,
question,53f4f623-2ab7-46e8-9dfb-efb45ce9d735,2024,61,"In the rapidly evolving insurance sector, companies are increasingly leveraging technology to enhance their offerings and improve customer e",non_ascii_suspect;no_primary_tag,flagged,verified,,1d690f05-756d-4389-b40d-5bca2d050fdd,medium,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,,difficulty;tagged;verified,
question,ce005ad8-65c4-4c19-984b-3d3ef073fd23,2024,62,"The Aditya L1 spacecraft, launched by the Indian Space Research Organisation (ISRO), is India’s first dedicated mission to study the Sun. Th",non_ascii_suspect;no_primary_tag,flagged,verified,,93940073-ade8-459c-91cf-c7384d4b5cd9,easy,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,,difficulty;tagged;verified,
question,476a1b17-5848-47ba-9a60-c7015b1a2ef6,2024,63,"In recent developments, several Members of the Legislative Assembly (MLAs) from Jharkhand and Odisha faced disqualification under the Anti-D",,spot_check,verified,,,medium,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,c542e271-f9eb-4304-a2fb-6ca4471c6cc1,difficulty;verified,
question,8c723e8f-6790-411a-8249-8b60a512b3ce,2024,64,The Public Examinations (Prevention of Unfair Means) Act is a legislative measure aimed at maintaining the integrity of public examinations ,,,verified,,,easy,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,85494d30-76ae-44b5-a20d-e7689645f374,difficulty;verified,
question,0b0c9568-a2f0-4dd5-a57f-42866eeb2434,2024,65,"The Houthis group has been in the news recently due to their involvement in regional conflicts and their attacks on various targets, includi",non_ascii_suspect,flagged,verified,,,easy,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,23c0eda6-6163-457d-92b3-1fb9b06f4745,difficulty;verified,
question,2735f8fd-d4a7-4666-b67d-02cb8992a0d9,2024,66,"In the dynamic landscape of entrepreneurship, certain startups show promising potential for rapid growth and market success, leading them to",,,verified,,,easy,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,0adcb286-28d5-4094-bb12-80f2f9e99468,difficulty;verified,
question,6e1a77de-bc75-4417-88c8-c6435759514a,2024,67,"The Parliament of the United Kingdom is a crucial institution in the country’s governance, responsible for making and passing laws. It opera",non_ascii_suspect,flagged,verified,,,easy,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,b7d5ee3a-d1b6-475b-a7fc-7e8c8441792b,difficulty;verified,
question,2f3f55fb-f6e3-4a9d-a0bf-ee2749f1dc66,2024,68,The Chief Information Commissioner plays a vital role in promoting transparency and accountability within the Indian government by overseein,,,verified,,,easy,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,1645100c-e158-44af-aebb-a4153dcbd931,difficulty;verified,
question,4cc1af65-893b-4548-ae4c-af73d2077672,2024,69,The Randstad Employer Brand Research is a comprehensive study that evaluates employer branding and attractiveness in various industries. Thi,no_primary_tag,flagged,verified,,0adcb286-28d5-4094-bb12-80f2f9e99468,medium,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,,difficulty;tagged;verified,
question,1633fb70-e013-4f85-8c9f-ad306f6e63d0,2024,70,"The Fast-Moving Consumer Goods (FMCG) sector is a vital part of the global economy, encompassing a wide range of products that are sold quic",no_primary_tag,flagged,verified,,af53b54e-1844-450a-b3e2-e16020be4533,medium,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,,difficulty;tagged;verified,
question,ba2458c3-0fa8-4521-bac7-fbd4c2507133,2024,71,The Paris Olympics have garnered significant attention as countries around the world prepare to showcase their athletes in various sports. I,non_ascii_suspect;no_primary_tag,flagged,verified,,8e5aa145-440d-4db7-a3f4-9ee6e4aed196,easy,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,,difficulty;tagged;verified,
question,c156f5f1-1850-4f96-b60b-1ec4a8f82850,2024,72,The International Council on Monuments and Sites (ICOMOS) plays a vital role in promoting the conservation and protection of cultural herita,no_primary_tag,flagged,verified,,a966cebe-c5d9-4989-ad3f-1ebd16c23f89,medium,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,,difficulty;tagged;verified,
question,d699bb86-2cf3-4195-8a66-7b4d2c5faec9,2024,73,"In the realm of astronomy, the naming of celestial features is governed by established protocols to ensure consistency and recognition acros",non_ascii_suspect,flagged,verified,,,medium,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,4fb4c478-d456-4d9d-ad58-08af61c9025d,difficulty;verified,
question,be6b9e3c-7dbe-4638-b76c-f66406815e0f,2024,74,"In the world of sports literature, numerous athletes share their experiences and insights through books that inspire both fans and aspiring ",non_ascii_suspect,flagged,verified,,,easy,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,4db77fe0-323e-4f1f-88c3-f35a6c823427,difficulty;verified,
question,c2377279-c3a4-4bce-9fac-ad9fe5bce7e8,2024,75,"In a significant development within the banking sector, the Reserve Bank of India (RBI) has approved a merger that will reshape the landscap",no_primary_tag,flagged,verified,,65c6b4bb-b6fc-4351-a9ea-e09a179d12da,medium,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,,difficulty;tagged;verified,
question,b4e1528c-a68c-452c-8e6c-80260a6f03e9,2024,76,The G7 Leaders’ Summit is a significant annual gathering where leaders from seven of the world’s largest advanced economies come together to,non_ascii_suspect;no_primary_tag,flagged,verified,,32f78939-6d1f-462f-947d-297acdf453f6,easy,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,,difficulty;tagged;verified,
question,65c278c8-5e09-4b68-80ca-0aa0a5db073a,2024,77,The Reserve Bank of India (RBI) has recently taken a significant step towards enhancing financial connectivity in the region by signing an a,non_ascii_suspect;no_primary_tag,flagged,verified,,390cb8c4-537c-469c-b3d1-14d9194d8cea,medium,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,,difficulty;tagged;verified,
question,a3fb5fe1-9d94-4d21-9416-8b696ba1e82c,2024,78,"In culinary contexts, particularly when discussing the heat of chili peppers, a specific measurement system is used to quantify pungency or ",,,verified,,,easy,,ba80e989-e6a2-46e2-98da-8da5966e16bf,General Awareness,1086ea3f-d400-4ef1-a31a-67b153780627,difficulty;verified,
