question_number,topic,assign_topic_id,stem
44,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,What is the remainder if 2192 is divided by 6?
45,General mental ability,10b8404d-601b-48f2-a433-be996892a3d8,Consider the sequence ABC_ _ABC_DABBCD_ABCD that follows a certain pattern. Which of the f
46,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,AB and CD are 2-digit numbers. Multiplying AB with CD results in a 3-digit number DEF. Add
47,Logical reasoning,ffaec54f-12ef-46ac-b93d-e6db2e243280,"Consider the following statements in respect of five candidates P, Q, R, S, and T. Two sta"
48,Logical reasoning,ffaec54f-12ef-46ac-b93d-e6db2e243280,"Let P, Q, R, S and T be five statements such that: I. If P is true, then both Q and S are "
49,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,"A cuboid of dimensions 7cm × 5cm × 3cm is painted red, green and blue colour on each pair "
50,General mental ability,10b8404d-601b-48f2-a433-be996892a3d8,"The letters of the word ""INCOMPREHENSIBILITIES"" are arranged alphabetically in reverse ord"
51,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,Which one of the following statements best reflects the most logical message implied by th
52,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,"Regarding the financialization of household savings, which of the following statements bes"
53,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,"Based on the above passage, the following assumptions have been made: 1. Patent protection"
54,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,"Based on the above passage, the following assumptions have been made: 1. Protection of pri"
55,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,"In an examination, the maximum marks for each of the four papers namely P, Q, R and S are "
56,General mental ability,10b8404d-601b-48f2-a433-be996892a3d8,"A flag has to be designed with 4 horizontal strips using some or all of the colours red, g"
57,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,A rectangular floor measures 4 m in length and 2.2m in breadth. Tiles of size 140 cm by 60
58,Logical reasoning,ffaec54f-12ef-46ac-b93d-e6db2e243280,"There are five persons, P, Q, R, S and T each one of whom has to be assigned one task. Nei"
59,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,"There are large number of silver coins weighing 2gm, 5gm, 10gm, 25gm, 50gm each. Consider "
60,Logical reasoning,ffaec54f-12ef-46ac-b93d-e6db2e243280,Consider the following: I. A + B means A is neither smaller nor equal to B. II. A – B mean
61,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,Which one of the following statements best reflects the most logical and rational massage 
62,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,Which one of the following statements best reflects the most logical and practical message
63,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,Which one of the following statements best reflects the crux of the passage?
64,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,40 children are standing in a circle and one of them (say child-1) has a ring. The ring is
65,General mental ability,10b8404d-601b-48f2-a433-be996892a3d8,"What is the middle terms of the sequence Z, Z, Y, Y, Y, X, X, X, X, W, W, W, W, W,… ,A?"
66,Logical reasoning,ffaec54f-12ef-46ac-b93d-e6db2e243280,Questions: Is p greater than q? Statement-1: p × q is greater than zero. Statement-2: p2 i
67,Logical reasoning,ffaec54f-12ef-46ac-b93d-e6db2e243280,"Questions: Is (p + q- r) greater than (p – q + r), where p, q and r are integers? Statemen"
68,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,"In a party, 75 persons took tea, 60 persons took coffee and 15 persons took both tea and c"
69,Logical reasoning,ffaec54f-12ef-46ac-b93d-e6db2e243280,Consider a 3-digit number. Question: What is the number? Statement-1: The sum of the digit
70,Logical reasoning,ffaec54f-12ef-46ac-b93d-e6db2e243280,For five children with ages a < b < c < d < e; any two successive ages differs by 2 years.
71,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,"With reference to the above passage, the following assumptions have been made: 1. Global w"
72,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,"Which one of the following statements best reflects the most logical, rational and crucial"
73,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,"Which one of the following statements best reflects the most logical, rational and crucial"
74,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,A principal P becomes Q in 1 year when compounded half-yearly with R% annual rate of inter
75,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,How many natural numbers are there which given a remainder of 31 when 1186 is divided by t
76,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,"Let pp, qq and rr be 2 digit numbers where p < q < r. If pp + qq + rr =tt0, where tt0 is a"
77,General mental ability,10b8404d-601b-48f2-a433-be996892a3d8,"What is the sum of all 4-digit numbers less than 2000 formed by the digits 1, 2, 3 and 4, "
78,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,What is the number of selections of 10 consecutive things out of 12 things in a circle tak
79,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,"If today is Sunday, then which day is it exactly on 1010th day?"
80,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,There are three traffic signals. Each signal changes colour from green to red and then fro
