question_number,assign_topic_id,microtopic_name,confidence
75,1d225731-6fe5-4a1d-9a82-b95b85e6e1c1,Motions of the earth,ok
76,9b6155ff-703a-45ba-956b-96845914c396,Carbon sinks and sequestration,ok
77,50c227c7-107c-44c0-9348-6d42a6ceb531,Persistent pollutants and their effects,ok
78,cf0855dd-18dc-458d-988a-dbc790225c96,Population interactions,ok
79,2acb3c6d-cd9f-4426-bb07-28a61b9b0c4e,Indian flora and forest produce,check
80,42380d00-29fa-4012-ab52-e75b7ca0a93f,Wildlife Protection Act,ok
81,d824c6e9-cf89-4e2a-90be-48ede7da25b2,Population and demography,ok
82,624b9c56-25d9-492d-af2e-2465d7d48a62,Non-banking financial companies,ok
83,64bfd004-4a03-4e2c-832f-e2277f58cede,Capital market instruments and bonds,ok
84,c06dd0e0-b36c-4c67-8348-91ff8b833eb8,"Mutual funds, ETFs and investment trusts",check
85,2192efc2-2ac8-4f3c-be2b-e6bf539e90dd,National income and its aggregates,check
86,db700d76-f035-44c5-ad88-5c7272ea41d5,Alternative and cleaner fuels,ok
87,a8939b7e-951c-4784-bdcd-598340f7d32c,Capital formation and human capital,ok
88,ae80b3ab-d22a-4224-bfc7-07144b78637e,Emerging technologies,ok
89,4ae1a175-886d-4559-b1e2-a201b7207b33,Commercial banking and asset classification,check
90,4961002d-8d40-4fc2-a1df-bf161af98c88,"Governance, transparency and accountability",check
91,692609bc-f1b8-41d5-abb7-31db3a3ec72e,Nuclear energy technology,ok
92,2f1b7047-23c4-4d42-8c18-7bcd43c81785,Space science,ok
93,cea3c9c5-28f6-4169-8f35-573ac83ee43c,Cell structure and human physiology,ok
94,3e99163e-c43b-4d4d-8963-1eea850b6288,Telecom and networks,check
95,cd941d98-386c-4a64-a3b8-492266101979,Defence hardware and platforms,ok
96,47dcedf5-5a6e-4d5c-9611-8faedbae02eb,States of matter and material properties,ok
97,de8ab3b1-b68c-4a58-9083-55a1eb325737,Hydrogen and fuel cells,ok
98,75ca9347-8351-48c9-ad9a-237adcdd675e,Renewable energy,ok
99,564b065b-0338-4ad3-ac93-839a6f7b882d,Water pollution and its control,ok
100,26c18d07-ca5a-4a33-96bc-66b027666f50,Money market instruments,ok
