question_number,topic,assign_topic_id,difficulty,stem
33,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,medium,"When we meet other people while we travel, we learn to differentiate between"
34,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,easy,"With reference to the above passage, the following assumptions have been made : "
35,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,hard,Let X be a two-digit number and Y be another two-digit number formed by intercha
36,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,medium,Consider the following : Weight of 6 boys = Weight of 7 girls = Weight of 3 men 
37,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,medium,How many times the hour hand and the minute hand coincide in a clock between 10:
38,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,medium,The calendar for the year 2025 is same for
39,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,hard,"Let p, q, r and s be distinct positive integers. Let p, q be odd and r, s be eve"
40,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,medium,What is the angle between the minute hand and hour hand when the clock shows 4:2
41,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,hard,Which of the following statements best reflects/reflect the most logical and rat
42,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,easy,"Based on the above passage, the following assumptions have been made : As a larg"
43,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,easy,"Based on the above passage, the following assumptions have been made : The adole"
44,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,medium,Which one of the following statements best reflects the central idea of the abov
45,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,medium,What is the number of fives used in numbering a 260-page book?
46,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,medium,"What is the sum of the first 28 terms in the following sequence? 1, 1, 2, 1, 3, "
47,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,medium,"A person buys three articles P, Q and R for ₹ 3,330. If P costs 25% more than R "
48,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,hard,"If the sum of the two-digit numbers AB and CD is the three-digit number 1CE, whe"
50,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,hard,"The total cost of 4 oranges, 6 mangoes and 8 apples is equal to twice the total "
51,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,medium,"Which one of the following statements best reflects the most logical, rational a"
52,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,easy,"Based on the above passage, the following assumptions have been made : 1. Giant "
53,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,medium,Which one of the following statements best reflect the most logical and rational
54,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,hard,325 + 227 is divisible by
59,Logical reasoning,ffaec54f-12ef-46ac-b93d-e6db2e243280,hard,A Question is given followed by two Statements I and II. Consider the Questions 
60,Logical reasoning,ffaec54f-12ef-46ac-b93d-e6db2e243280,hard,A Question is given followed by two Statements I and II. Consider the Questions 
61,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,medium,Which one of the following statements best reflects the crux of the above passag
62,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,medium,"Which one of the following statements best reflects the most logical, rational a"
63,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,medium,Which one of the following statements best reflects the crux of the above passag
64,Logical reasoning,ffaec54f-12ef-46ac-b93d-e6db2e243280,hard,A question is given followed by two Statements I and II. Consider the Question a
65,Logical reasoning,ffaec54f-12ef-46ac-b93d-e6db2e243280,hard,A Question is given followed by two Statements I and II. Consider the Question a
66,Logical reasoning,ffaec54f-12ef-46ac-b93d-e6db2e243280,hard,A Question is given followed by two Statements I and II. Consider the Question a
67,Logical reasoning,ffaec54f-12ef-46ac-b93d-e6db2e243280,hard,A Question is given followed by two Statements I and II. Consider the Question a
68,Logical reasoning,ffaec54f-12ef-46ac-b93d-e6db2e243280,hard,A Question if given followed by two Statements I and II. Consider the Question a
69,Logical reasoning,ffaec54f-12ef-46ac-b93d-e6db2e243280,hard,A Question is given followed by two Statement I and II. Consider the Question an
70,Logical reasoning,ffaec54f-12ef-46ac-b93d-e6db2e243280,hard,A Question is given followed by two Statements I and II. Consider the Question a
71,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,medium,Which one of the following statements best reflects the most logical and rationa
72,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,easy,"Based on the above passage, the following assumptions have been made : 1. The au"
73,Logical reasoning,ffaec54f-12ef-46ac-b93d-e6db2e243280,hard,Question is given followed by two Statements I and II. Consider the Question and
74,Logical reasoning,ffaec54f-12ef-46ac-b93d-e6db2e243280,hard,"Main Statement is followed by four Statements labelled P, Q, R and S. Choose the"
75,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,medium,"a + b means a – b; a – b means a x b; a x b means a ÷ b; a ÷ b; means a + b, the"
76,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,hard,If P means ‘greater than (>)’; Q means ‘less than (<)’; R means ‘not greater tha
77,General mental ability,10b8404d-601b-48f2-a433-be996892a3d8,medium,"If in a certain code, ‘ABCD’ is written as 24 and ‘EFGH’ is written as 1680, the"
78,General mental ability,10b8404d-601b-48f2-a433-be996892a3d8,medium,"If in a certain code, 'POT' is written as ATOP and 'TRAP' is written as APART, t"
79,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,medium,"What will come in place of * in the sequence 3, 14, 39, 84, *, 258?"
80,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,hard,"In some code, letters P, Q, R, S, T represent numbers 4, 5, 10, 12, 15. It is no"
