"question_id","question_number","section","assign_topic_id","proposed_topic_label","difficulty","decision","proposal_note"
"6236478c-025e-41a2-ae08-d72b4e06f8cf","57","Quantitative Aptitude","4ad71c10-ba53-15ef-e1ce-9598602559a9","Congruence and similarity","easy","","similar triangles, side ratio"
"b725ace1-875b-4941-95a7-c82f7f813c24","59","Quantitative Aptitude","f5c68108-e718-4a7e-b546-d07e543534b5","Relative speed and meeting problems","medium","","same and opposite direction"
"3bb27d77-dbe4-45d8-838c-c9c78db3a8ff","60","Quantitative Aptitude","7eaf2385-2af8-19c9-b852-4b517f2b005c","Lines and angles","easy","","exterior angle from angle sum"
"4f9fdd2b-4698-42aa-b608-1fa77524e272","61","Quantitative Aptitude","c5d44e15-072a-4557-ad7d-f61221fe61c7","Volume and surface area of solids","medium","","cone from rotating a right triangle"
"d991a745-b422-4fde-879c-a0a40c456efe","62","Quantitative Aptitude","21fb2f26-ef41-477c-a8eb-2717f20b6083","Pipes and cisterns","easy","","two pipes together"
"2070c385-7c56-4402-b83b-6161ef963039","63","Quantitative Aptitude","e1fecd85-fe0d-4594-a851-40691666a7b4","Algebraic identities and factorisation","medium","","square of sum with reciprocal"
"e34fd61c-be9f-490b-a69f-28ed6823b023","64","Quantitative Aptitude","7d94ff40-34f9-47fe-9caa-9eae0dc38116","Mixtures and alligation","medium","","two profit rates to overall"
"6c7212ad-d1cd-4050-95fd-1c371ea16970","65","Quantitative Aptitude","a5ece133-4cad-4641-8caa-5e593c34e888","Simultaneous equations from word conditions","medium","","two items, total given"
"5c7ec8c2-7311-4fe7-beb9-c1678ffd439d","66","Quantitative Aptitude","7d94ff40-34f9-47fe-9caa-9eae0dc38116","Mixtures and alligation","hard","","three-component blend, unknown ratio part"
"7eab61e1-f791-4926-b8be-e0bd66c5ccd3","67","Quantitative Aptitude","e1fecd85-fe0d-4594-a851-40691666a7b4","Algebraic identities and factorisation","medium","","a3-b3 over a2+ab+b2"
"c54f276e-d2bb-478f-ad6a-6a686b61a6c5","68","Quantitative Aptitude","2ab2e850-22d2-4286-8b8e-5e40767657e3","Successive percentage change","easy","","two successive rises"
"3524acea-da3b-450d-adc9-99e11f1e04e8","70","Quantitative Aptitude","80dd720e-8f81-fc7e-b319-eb1b1ac461df","Trigonometric ratios and identities","hard","","multi-identity simplification"
"c2827776-ec0f-49ae-93be-6949c3f03ec2","71","Quantitative Aptitude","d98cdd8a-6f6a-420a-a477-e5385f96f029","Remainders and factors","hard","","remainder of a large power"
"71e85ea2-b917-4ed6-acae-2b58b7708870","72","Quantitative Aptitude","2ab2e850-22d2-4286-8b8e-5e40767657e3","Successive percentage change","easy","","two successive discounts"
"98d40a20-6cdd-4055-9484-22948cdbf4d0","73","Quantitative Aptitude","b46a977a-8c32-71a1-b429-c48e7019f637","Circle theorems - chords, tangents and cyclic quadrilaterals","medium","","chord length from perpendicular distance"
"44428d04-9826-40b7-ad55-e61acd60c421","74","Quantitative Aptitude","9ea559c5-2c7b-49b4-8ab0-98938fd471df","Simple and compound interest","hard","","annual instalment on SI debt"
"45847ae3-e976-4738-a27a-29724dcd9636","75","Quantitative Aptitude","5d6007fc-1b29-498d-bd19-6a50b296f041","BODMAS and order of operations","easy","","nested decimal BODMAS"
"d6f4cb73-ce7c-49ca-bbeb-d497798c945b","76","English Comprehension","b56cb48c-f85b-4158-8e71-f954f48a8c10","Antonyms","easy","","underlined word"
"42d0a65b-634c-443b-ae5e-1e6dc38e7984","77","English Comprehension","bb17b54f-b233-4c9d-9bad-4526b5ce2f87","Synonyms","medium","","stationary vs stationery trap"
"a146424c-ca75-496c-ad57-452eaf84446d","78","English Comprehension","57e9ec9c-c979-437a-b1e8-90580921f096","Phrase replacement","medium","","comparative adverb error"
"a97656bb-ec88-4a96-9556-cd5c5d75fa1a","79","English Comprehension","b56cb48c-f85b-4158-8e71-f954f48a8c10","Antonyms","easy","","antonym fills blank"
"6d68daa7-70d5-443f-b4bd-5e364e78393d","80","English Comprehension","8d10db27-adf4-21de-1e30-ac69023ab650","Sentence rearrangement (para jumble)","medium","","jumbled parts; see para-jumble gap; moved off Logical Order per migration 306"
"b9550414-35c8-4469-a4cf-5169d0f2cee9","81","English Comprehension","f4ab61e2-cadf-4686-a1c5-50554463f230","Meaning of an idiom in context","medium","","cooked your goose"
"2a1ae4f2-cfb5-48b3-9be8-2019e9dc528d","82","English Comprehension","e6f14cb6-df7f-4e3a-9aa4-5efbf45b7946","One-word substitution","easy","","utopia"
"d3c8c1f9-8447-4ea7-88a5-d9347a3fbb86","83","English Comprehension","b56cb48c-f85b-4158-8e71-f954f48a8c10","Antonyms","hard","","low-frequency word"
"d5f97d27-62ba-4256-a776-664d84e5e946","84","English Comprehension","57e9ec9c-c979-437a-b1e8-90580921f096","Phrase replacement","medium","","preposition in phrase"
"e75a5954-c952-4552-beb3-33afac969acf","85","English Comprehension","22591465-673a-c375-3460-2702125f6fc3","Spelling","easy","","correct spelling fills blank"
"cd83a3db-cebe-4780-b674-7bfe6f01b8e8","86","English Comprehension","22591465-673a-c375-3460-2702125f6fc3","Spelling","easy","","correctly spelt word"
"b3ef6ea7-2dcb-490b-9023-71b18e0b233c","87","English Comprehension","925bca25-49af-bb3b-0e2b-707ca2e0b9fa","Active and passive voice","medium","","active to passive; no voice leaf; filled from migration 306"
"8431dbb1-875a-4d24-8f47-30c936f659cb","88","English Comprehension","f4ab61e2-cadf-4686-a1c5-50554463f230","Meaning of an idiom in context","easy","","bite the bullet"
"a14cfe2e-7ac2-42ef-bb7b-a4258aba570b","89","English Comprehension","8d10db27-adf4-21de-1e30-ac69023ab650","Sentence rearrangement (para jumble)","medium","","rearrange segments; moved off Logical Order per migration 306"
"8ff7da5c-c982-4329-b2b6-cbbb0b495eb7","90","English Comprehension","bb17b54f-b233-4c9d-9bad-4526b5ce2f87","Synonyms","hard","","low-frequency word"
"438b0224-5c97-44ff-9f1f-164edee0d31d","91","English Comprehension","8d10db27-adf4-21de-1e30-ac69023ab650","Sentence rearrangement (para jumble)","medium","","jumbled sentences; moved off Logical Order per migration 306"
"6697bdea-f5b2-4373-bae2-6764a3dbcdaa","92","English Comprehension","10b21db7-8b86-4fa9-a1f6-8cd7d21085da","Segment-marked error identification","medium","","double comparative"
"82974ed9-4769-4fcc-8754-97576e87243b","93","English Comprehension","925bca25-49af-bb3b-0e2b-707ca2e0b9fa","Active and passive voice","medium","","passive to active; no voice leaf; filled from migration 306"
"37800b60-99e8-4eb1-8a11-c68f316b4641","94","English Comprehension","10b21db7-8b86-4fa9-a1f6-8cd7d21085da","Segment-marked error identification","easy","","segment with grammatical error"
"d36e8e29-bace-4e66-bd3d-cc39da4a159d","95","English Comprehension","b56cb48c-f85b-4158-8e71-f954f48a8c10","Antonyms","easy","","antonym fills blank"
"97133082-445c-4378-a32d-25d4cb6d3b70","96","English Comprehension","c91ecdcc-7fc9-4d23-b3b7-9122ce81cf9a","Multi-blank passage cloze","medium","","blank 1 of 5"
"7ba6c7c2-bd42-413e-a4ea-375ba609b97d","97","English Comprehension","c91ecdcc-7fc9-4d23-b3b7-9122ce81cf9a","Multi-blank passage cloze","medium","","blank 2 of 5"
"f2915e82-9579-4165-9955-740911bf370c","98","English Comprehension","c91ecdcc-7fc9-4d23-b3b7-9122ce81cf9a","Multi-blank passage cloze","medium","","blank 3 of 5"
"bd7fabf1-7461-432e-9bb5-10f133074c54","99","English Comprehension","c91ecdcc-7fc9-4d23-b3b7-9122ce81cf9a","Multi-blank passage cloze","medium","","blank 4 of 5"
"4ccb3f5e-150d-4e38-b082-0f3d3fa654bd","100","English Comprehension","c91ecdcc-7fc9-4d23-b3b7-9122ce81cf9a","Multi-blank passage cloze","medium","","blank 5 of 5"
