question_id,is_child,parent_question_id,prompt_index,year,format,theme_code,theme_id,secondary_theme_code,secondary_theme_id,essay_type,quote_source_type,tagging_source,confidence_score,metadata_json,notes
e4713d66-b536-41ce-8b63-067646455632,no,NONE,NONE,2023,precis,AIE,9289eb5d-a919-4e42-9ace-d48d46b77c62,SOC,eed4c802-adc3-4488-aeec-97472b381754,NONE,NONE,manual,0.9,"{""marks"":""30"",""source_row_id"":""RBI-ENG-2023-Q2"",""word_limit"":""~180""}","Tagged by SOURCE PASSAGE theme, not an argued position. Passage: gender bias in AI systems. AIE is status active (see catalogue mismatch note)."
684db451-78cf-4bca-b172-ae10d8ca7fb2,no,NONE,NONE,2023,comprehension,ECO,6abb9a63-c84f-4aa1-969b-f59d1b78904c,ETH,9ef8b81c-04f8-4c06-9c0d-4cb9283a6a12,NONE,NONE,manual,0.7,"{""marks"":""30"",""source_row_id"":""RBI-ENG-2023-Q3""}","Tagged by SOURCE PASSAGE theme, not an argued position. Passage: inflation and ""greedflation""; ethical-pricing argument -> ETH secondary."
116c60ca-e58c-4304-a2c0-62bf0d4efa76,yes,5697c38f-02eb-4bc2-bd7a-6bc8f95c02ee,1,2024,essay,ECO,6abb9a63-c84f-4aa1-969b-f59d1b78904c,SOC,eed4c802-adc3-4488-aeec-97472b381754,issue_concrete,NONE,manual,0.7,"{""marks"":""40"",""parent_question_id"":""5697c38f-02eb-4bc2-bd7a-6bc8f95c02ee"",""prompt_index"":1,""source_row_id"":""RBI-ENG-2024-Q1-P1"",""word_limit"":""600-620""}","Social/economic/environmental impact of mega-event; economic dimension dominant, social secondary."
dd497950-a9bd-41ca-afb2-a6e1b524ca53,yes,5697c38f-02eb-4bc2-bd7a-6bc8f95c02ee,2,2024,essay,IR,4d49e79c-18ad-4284-b13b-e5121a185cc0,ENV,332c594e-5eb4-4de1-b73c-c6adc88742b4,issue_concrete,NONE,manual,0.7,"{""marks"":""40"",""parent_question_id"":""5697c38f-02eb-4bc2-bd7a-6bc8f95c02ee"",""prompt_index"":2,""source_row_id"":""RBI-ENG-2024-Q1-P2"",""word_limit"":""600-620""}",Origin/destination-country effects -> IR primary; climate driver -> ENV secondary (reserved CLM candidate).
3cc76493-44da-4a65-b59e-c4a34afa5b24,yes,5697c38f-02eb-4bc2-bd7a-6bc8f95c02ee,3,2024,essay,HLW,3a78804a-269e-4fc8-8368-f5094bf994a7,PER,f06ada8b-bba5-4ac5-b429-a973ed52cbeb,issue_concrete,NONE,manual,0.9,"{""marks"":""40"",""parent_question_id"":""5697c38f-02eb-4bc2-bd7a-6bc8f95c02ee"",""prompt_index"":3,""source_row_id"":""RBI-ENG-2024-Q1-P3"",""word_limit"":""600-620""}",Mental health named explicitly -> HLW (status active; see catalogue mismatch note). Organisational success -> PER secondary.
ce345591-0343-415d-a6d5-c3d10a5663c1,yes,5697c38f-02eb-4bc2-bd7a-6bc8f95c02ee,4,2024,essay,SLF,83da4097-bb79-4d80-8f8a-fc216da4a261,PER,f06ada8b-bba5-4ac5-b429-a973ed52cbeb,quote_abstract,NONE,manual,0.9,"{""marks"":""40"",""parent_question_id"":""5697c38f-02eb-4bc2-bd7a-6bc8f95c02ee"",""prompt_index"":4,""source_row_id"":""RBI-ENG-2024-Q1-P4"",""word_limit"":""600-620""}","Unattributed quote in source; quote_source_type left blank. Lifelong learning / keeping mind young -> SLF (grow, understand ourselves)."
01ad3514-e262-4430-abb7-42283f5af600,no,NONE,NONE,2024,precis,AIE,9289eb5d-a919-4e42-9ace-d48d46b77c62,PER,f06ada8b-bba5-4ac5-b429-a973ed52cbeb,NONE,NONE,manual,0.9,"{""marks"":""30"",""source_row_id"":""RBI-ENG-2024-Q2"",""word_limit"":""180-200""}","Tagged by SOURCE PASSAGE theme, not an argued position. Passage: AI as CEO / future of leadership. AIE active; leadership -> PER secondary."
89bcff12-0802-4f9e-aab5-69f077f0861e,no,NONE,NONE,2024,comprehension,SCI,5be86afc-5f6c-4eca-83c7-535cefc5b06c,ECO,6abb9a63-c84f-4aa1-969b-f59d1b78904c,NONE,NONE,manual,0.5,"{""marks"":""30"",""source_row_id"":""RBI-ENG-2024-Q3""}","Tagged by SOURCE PASSAGE theme, not an argued position. Passage: CRM systems in business. Business-management content has no code (GAP-1); SCI via tech-as-business-tool is a weak fit."
ba9a0986-62c7-487f-8010-d44368a749ab,yes,106fcb3e-e237-4429-889f-e4939d785ee1,1,2025,essay,ENV,332c594e-5eb4-4de1-b73c-c6adc88742b4,IR,4d49e79c-18ad-4284-b13b-e5121a185cc0,issue_concrete,NONE,manual,0.7,"{""marks"":""40"",""parent_question_id"":""106fcb3e-e237-4429-889f-e4939d785ee1"",""prompt_index"":1,""source_row_id"":""RBI-ENG-2025-Q1-P1"",""word_limit"":""600-620""}",NDC emission-intensity target. Reserved CLM (climate action) would fit better; ENV used as nearest ACTIVE code. NDC is an international commitment -> IR secondary.
d97eccbe-da72-44f5-9486-bae8238c5316,yes,106fcb3e-e237-4429-889f-e4939d785ee1,2,2025,essay,SCI,5be86afc-5f6c-4eca-83c7-535cefc5b06c,ECO,6abb9a63-c84f-4aa1-969b-f59d1b78904c,issue_concrete,NONE,manual,0.9,"{""marks"":""40"",""parent_question_id"":""106fcb3e-e237-4429-889f-e4939d785ee1"",""prompt_index"":2,""source_row_id"":""RBI-ENG-2025-Q1-P2"",""word_limit"":""600-620""}",Technological change in media -> SCI; advertising market -> ECO secondary.
0d4014ac-7e77-44cf-b5ff-6e038eae667f,yes,106fcb3e-e237-4429-889f-e4939d785ee1,3,2025,essay,SOC,eed4c802-adc3-4488-aeec-97472b381754,NONE,NONE,issue_concrete,NONE,manual,0.7,"{""marks"":""40"",""parent_question_id"":""106fcb3e-e237-4429-889f-e4939d785ee1"",""prompt_index"":3,""source_row_id"":""RBI-ENG-2025-Q1-P3"",""word_limit"":""600-620""}",Intergenerational learning in education -> SOC (education access).
320a9571-44e9-4a38-a09d-5be0a40290c1,yes,106fcb3e-e237-4429-889f-e4939d785ee1,4,2025,essay,ECO,6abb9a63-c84f-4aa1-969b-f59d1b78904c,NAT,9db59dff-44df-4a2d-b0de-8b55154a5470,issue_concrete,NONE,manual,0.7,"{""marks"":""40"",""parent_question_id"":""106fcb3e-e237-4429-889f-e4939d785ee1"",""prompt_index"":4,""source_row_id"":""RBI-ENG-2025-Q1-P4"",""word_limit"":""600-620""}",Western startup models vs developing-country fit -> ECO (development models); India-specific relevance -> NAT secondary.
045fd95a-bc21-482e-b646-ebdcc5b45c49,no,NONE,NONE,2025,precis,ENV,332c594e-5eb4-4de1-b73c-c6adc88742b4,NONE,NONE,NONE,NONE,manual,0.9,"{""marks"":""30"",""source_row_id"":""RBI-ENG-2025-Q2"",""word_limit"":""180-200""}","Tagged by SOURCE PASSAGE theme, not an argued position. Passage: Amazon hypertropical climate and tree mortality. Forest ecology -> ENV; reserved CLM not needed."
982e7c26-e2a7-4279-acca-5089b3961dcc,no,NONE,NONE,2025,comprehension,SCI,5be86afc-5f6c-4eca-83c7-535cefc5b06c,ENV,332c594e-5eb4-4de1-b73c-c6adc88742b4,NONE,NONE,manual,0.7,"{""marks"":""30"",""source_row_id"":""RBI-ENG-2025-Q3""}","Tagged by SOURCE PASSAGE theme, not an argued position. Passage: osmotic power at Fukuoka desalination plant; renewable-energy tech -> SCI, environmental framing -> ENV secondary."
