row_id,parent_question_id,year,section_id,question_number,format,prompt_index,prompt_text_excerpt,marks,word_limit,theme_code,secondary_theme_code,essay_type,quote_source_type,confidence,notes
RBI-ENG-2023-Q2,e4713d66-b536-41ce-8b63-067646455632,2023,a9893684-a94e-405a-94c6-7f1d0f5f965d,2,precis,,"In the contemporary era, the intersection of gender equality and artificial intelligence (AI) has emerged as a crucial discourse shaping the socio-technological",30,~180,AIE,SOC,,,high,"Tagged by SOURCE PASSAGE theme, not an argued position. Passage: gender bias in AI systems. AIE is status active (see catalogue mismatch note)."
RBI-ENG-2023-Q3,684db451-78cf-4bca-b172-ae10d8ca7fb2,2023,a9893684-a94e-405a-94c6-7f1d0f5f965d,3,comprehension,,"In the contemporary economic landscape, the phenomenon of inflation has become a central concern for policymakers, economists, and the general populace. Rising ",30,,ECO,ETH,,,medium,"Tagged by SOURCE PASSAGE theme, not an argued position. Passage: inflation and ""greedflation""; ethical-pricing argument -> ETH secondary."
RBI-ENG-2024-Q1-P1,5697c38f-02eb-4bc2-bd7a-6bc8f95c02ee,2024,e6dfd322-92ba-4e7e-8439-2817a82fe98d,1,essay,1,"Discuss the social, economic, and environmental impacts of hosting Olympics in India.",40,600-620,ECO,SOC,issue_concrete,,medium,"Social/economic/environmental impact of mega-event; economic dimension dominant, social secondary."
RBI-ENG-2024-Q1-P2,5697c38f-02eb-4bc2-bd7a-6bc8f95c02ee,2024,e6dfd322-92ba-4e7e-8439-2817a82fe98d,1,essay,2,"How does climate change impact global migration, and what are the effects on both origin and destination countries?",40,600-620,IR,ENV,issue_concrete,,medium,Origin/destination-country effects -> IR primary; climate driver -> ENV secondary (reserved CLM candidate).
RBI-ENG-2024-Q1-P3,5697c38f-02eb-4bc2-bd7a-6bc8f95c02ee,2024,e6dfd322-92ba-4e7e-8439-2817a82fe98d,1,essay,3,How can organizations foster employee well-being by prioritizing mental health for overall success?,40,600-620,HLW,PER,issue_concrete,,high,Mental health named explicitly -> HLW (status active; see catalogue mismatch note). Organisational success -> PER secondary.
RBI-ENG-2024-Q1-P4,5697c38f-02eb-4bc2-bd7a-6bc8f95c02ee,2024,e6dfd322-92ba-4e7e-8439-2817a82fe98d,1,essay,4,"“Anyone who stops learning is old, whether at twenty or eighty. Anyone who keeps learning stays young. The greatest thing in life is to keep your mind young”. E",40,600-620,SLF,PER,quote_abstract,,high,"Unattributed quote in source; quote_source_type left blank. Lifelong learning / keeping mind young -> SLF (grow, understand ourselves)."
RBI-ENG-2024-Q2,01ad3514-e262-4430-abb7-42283f5af600,2024,e6dfd322-92ba-4e7e-8439-2817a82fe98d,2,precis,,"In the rapidly evolving intersection of AI and corporate leadership, a provocative question is emerging: Can AI step into the shoes of a CEO? The notion may see",30,180-200,AIE,PER,,,high,"Tagged by SOURCE PASSAGE theme, not an argued position. Passage: AI as CEO / future of leadership. AIE active; leadership -> PER secondary."
RBI-ENG-2024-Q3,89bcff12-0802-4f9e-aab5-69f077f0861e,2024,e6dfd322-92ba-4e7e-8439-2817a82fe98d,3,comprehension,,"In today’s competitive business environment, companies are increasingly focusing on Customer Relationship Management (CRM) systems to build strong and lasting r",30,,SCI,ECO,,,low,"Tagged by SOURCE PASSAGE theme, not an argued position. Passage: CRM systems in business. Business-management content has no code (GAP-1); SCI via tech-as-business-tool is a weak fit."
RBI-ENG-2025-Q1-P1,106fcb3e-e237-4429-889f-e4939d785ee1,2025,aef8aa28-d706-4ba4-872e-9620f83bbcef,1,essay,1,India committed to reducing the emissions intensity of its GDP by 45% by 2030 (from 2005 levels) as part of its updated Nationally Determined Contributions (NDC,40,600-620,ENV,IR,issue_concrete,,medium,NDC emission-intensity target. Reserved CLM (climate action) would fit better; ENV used as nearest ACTIVE code. NDC is an international commitment -> IR secondary.
RBI-ENG-2025-Q1-P2,106fcb3e-e237-4429-889f-e4939d785ee1,2025,aef8aa28-d706-4ba4-872e-9620f83bbcef,1,essay,2,Shift in Advertisement strategies from paper billboards to digital billboards. Role of technological change in Media.,40,600-620,SCI,ECO,issue_concrete,,high,Technological change in media -> SCI; advertising market -> ECO secondary.
RBI-ENG-2025-Q1-P3,106fcb3e-e237-4429-889f-e4939d785ee1,2025,aef8aa28-d706-4ba4-872e-9620f83bbcef,1,essay,3,How can youngsters help older people in keeping up with times in Education sector?,40,600-620,SOC,,issue_concrete,,medium,Intergenerational learning in education -> SOC (education access).
RBI-ENG-2025-Q1-P4,106fcb3e-e237-4429-889f-e4939d785ee1,2025,aef8aa28-d706-4ba4-872e-9620f83bbcef,1,essay,4,We are copying startups of western countries. Are such startups relevant for developing countries like India?,40,600-620,ECO,NAT,issue_concrete,,medium,Western startup models vs developing-country fit -> ECO (development models); India-specific relevance -> NAT secondary.
RBI-ENG-2025-Q2,045fd95a-bc21-482e-b646-ebdcc5b45c49,2025,aef8aa28-d706-4ba4-872e-9620f83bbcef,2,precis,,"The Amazon rainforest is inching toward a ""hypertropical"" climate regime that has not existed on Earth for at least 10 million years, new research suggests.",30,180-200,ENV,,,,high,"Tagged by SOURCE PASSAGE theme, not an argued position. Passage: Amazon hypertropical climate and tree mortality. Forest ecology -> ENV; reserved CLM not needed."
RBI-ENG-2025-Q3,982e7c26-e2a7-4279-acca-5089b3961dcc,2025,aef8aa28-d706-4ba4-872e-9620f83bbcef,3,comprehension,,"In the Middle East, Africa, and elsewhere, regions with severe water shortages make extensive use of desalination facilities that process seawater into usable f",30,,SCI,ENV,,,medium,"Tagged by SOURCE PASSAGE theme, not an argued position. Passage: osmotic power at Fukuoka desalination plant; renewable-energy tech -> SCI, environmental framing -> ENV secondary."
