question_id,pyq_paper_id,year,paper,question_number,order_verdict,stored_key_label,stored_key_text,upsc_key_label,upsc_key_text,current_correct_option_id,new_correct_option_id,applies,verdict,note
f1bf2ba6-b47e-4f99-8f02-7abe2126d427,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,16,ORDER_OK,a,1 only,a,1 only,8e0fe206-1517-4ca8-8257-dd41144bb60d,,no,MATCH,
0dac6259-4710-4183-840f-5aecf8383b8f,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,17,ORDER_OK,a,Cotton,a,Cotton,6d5998a0-706b-4def-b623-62d2395a7f83,,no,MATCH,
3692e405-bdb5-4bfc-9a94-96fc9cf83294,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,18,ORDER_OK,d,Neither 1 nor 2,d,Neither 1 nor 2,5c882281-8b24-40f4-9a6e-1cc009823c15,,no,MATCH,
e4b96246-3ebc-4cf9-970a-8bdb861faacc,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,19,ORDER_OK,c,1 and 4 only,c,1 and 4 only,024ac08b-7477-48b3-a538-a48c013ac361,,no,MATCH,
8e9356a4-06be-48bf-a2f6-69680627d0f1,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,20,ORDER_OK,c,4 only,a,"1, 2 and 3 only",a66b5b20-8446-4ac5-a9fd-85c4d09db595,55f82bb8-f6de-4cf2-82ae-b33948845890,yes,CORRECTION,"set to corpus option (a) ""1, 2 and 3 only""; source https://upsc.gov.in/sites/default/files/AnsKey-CSP-20-Paper-I-091121.pdf"
e56621bd-a5f0-404b-980e-336f981a476c,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,21,ORDER_OK,b,1 and 3 only,b,1 and 3 only,9ac9dbbd-a793-42cd-8a5b-b9ba86edaf27,,no,MATCH,
5f43c16e-a29d-4959-8893-94a7dc45798a,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,22,ORDER_OK,a,1 and 2 only,a,1 and 2 only,119b0277-9ba8-4b8d-b9c4-4efe4f3bf204,,no,MATCH,
2553704a-cc22-406e-a86f-6ec71cab6b4a,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,23,ORDER_OK,c,"1,3 and 4 only",c,"1,3 and 4 only",1ecd6a67-b825-4e64-b1a9-1c859781cba3,,no,MATCH,
baf66cd4-0d10-4b83-8753-dc2f6884e317,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,24,ORDER_OK,a,Birds,a,Birds,9b4c732d-0220-401a-98f7-65b4d358abbd,,no,MATCH,
bde6ce8e-2e57-4d43-9c23-c1024e040b73,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,25,ORDER_OK,a,Kanha National Park,a,Kanha National Park,11f8af0e-cddd-405b-9540-628e44fc0057,,no,MATCH,
a84bd717-ee65-485d-aa57-f910d42ce553,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,26,ORDER_OK,d,"1, 2 and 3",d,"1, 2 and 3",80d1c442-3b31-4baa-9dd5-1f91cd573d16,,no,MATCH,
6bfa8f1d-1eec-431b-a756-01b9b8eb56ae,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,27,ORDER_OK,c,3 and 4 only,a,1 and 2 only,2291bf29-e805-492a-97a8-05a08e4fa889,a743638a-0972-49c6-afcc-614cbfc5c46f,yes,CORRECTION,"set to corpus option (a) ""1 and 2 only""; source https://upsc.gov.in/sites/default/files/AnsKey-CSP-20-Paper-I-091121.pdf"
5115b1b3-b6f6-4e12-b407-39737b88ad73,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,28,ORDER_OK,a,"1, 2 and 3 only",a,"1, 2 and 3 only",06356bf2-4471-44c4-a57a-e5724c55c770,,no,MATCH,
0c7077a7-3830-4f3f-89fa-364252f747ec,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,29,ORDER_OK,d,"1, 2 and 3",d,"1, 2 and 3",cc167eb3-0738-4ab7-be1a-911a3a33c7bd,,no,MATCH,
0ee2f03b-b719-4878-877e-3a0c05ab9df8,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,30,ORDER_OK,d,"1, 2 and 3",d,"1, 2 and 3",852c2a7c-ac94-4a8d-b86b-50f20afeb7ec,,no,MATCH,
fcadc9e6-300c-4fbd-af4a-2c83814ade09,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,31,ORDER_OK,c,"2, 3 and 6 only",c,"2, 3 and 6 only",778d554c-6ee7-4830-813b-99189dae6b91,,no,MATCH,
c56fb969-b220-4517-9ce2-efa1de75c29a,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,32,ORDER_OK,c,1 and 3 only,a,1 and 2 only,5f21216b-5f5f-4454-82ed-b79788204507,2145cc8d-b8fe-429c-a21c-ed2dd6d137ce,yes,CORRECTION,"set to corpus option (a) ""1 and 2 only""; source https://upsc.gov.in/sites/default/files/AnsKey-CSP-20-Paper-I-091121.pdf"
665f7270-fd72-4159-a3be-6b7a5cfc2dc4,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,33,ORDER_OK,d,"1, 2, 3 and 4",d,"1, 2, 3 and 4",5f4923ed-23d4-4f3f-92cb-b00bfdf0e8a5,,no,MATCH,
b8d43fdd-4d9d-4323-a8ca-d1cef94412bf,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,34,ORDER_OK,b,2 only,b,2 only,aaefe9f0-d483-47f4-8168-1bd556ca2d45,,no,MATCH,
eaa9fc54-ffaf-4666-a9ab-30f74a4cfad1,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,35,ORDER_OK,a,"Argentina, Mexico, South Africa and Turkey",a,"Argentina, Mexico, South Africa and Turkey",adfb4ba5-97d7-46a0-aa7f-fe8914af6b3d,,no,MATCH,
d8d76598-a6e5-4ff1-84e8-c797d9e16a18,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,36,ORDER_OK,b,"1, 3 and 4 only",b,"1, 3 and 4 only",c041fb27-77be-4b9b-a5b4-1ed64fcd78fe,,no,MATCH,
a6aa0068-62eb-4d66-8a04-28cd3558bef5,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,37,ORDER_OK,a,1 and 2 only,a,1 and 2 only,a1ed689a-aac4-4cd5-b5bf-dc979e42e695,,no,MATCH,
35f67d99-fd34-4ef9-b10e-2cf73df955b7,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,38,ORDER_OK,a,1 and 2 only,c,3 and 4 only,fe27cd5f-f497-437c-b0e4-756b366d9bd2,337e6ed2-cf33-4311-b255-03bc68238e32,yes,CORRECTION,"set to corpus option (c) ""3 and 4 only""; source https://upsc.gov.in/sites/default/files/AnsKey-CSP-20-Paper-I-091121.pdf"
3eb2a1cb-1647-4b69-a44a-c4c7d97c6b6f,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,39,ORDER_OK,d,Neither 1 nor 2,d,Neither 1 nor 2,76712240-57de-475a-a411-b6a03caa81d3,,no,MATCH,
c4caf2e1-78a2-432a-baa2-b39ba05245e7,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,40,ORDER_OK,c,1 and 3 only,c,1 and 3 only,949107e1-07a1-430c-8e97-b9e48b6c1107,,no,MATCH,"booklet prints ""(a)"" twice; the second is read as (d), the only label not printed"
c6b2224c-bdbc-410e-acd7-99214a5a47ce,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,41,ORDER_OK,b,It is a largely non-debt creating capital flow.,b,It is a largely non-debt creating capital flow.,ccac96b4-f397-48fd-8ab7-9f1a2ec86416,,no,MATCH,
84e876c4-4765-4334-8985-fe37ea63ec9f,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,42,ORDER_OK,,,X,,,,no,DROPPED,UPSC dropped this item; stored key already empty; publish with no correct answer
5fce46a1-488d-44c6-8335-1c2c9e5023f3,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,43,ORDER_OK,a,Crude oil,a,Crude oil,ff3cdbc7-6759-42a9-b738-fe0aa39e244c,,no,MATCH,
c701e982-9ac4-41fd-93d5-a3251dc0174f,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,44,ORDER_OK,d,"1, 2 and 3",d,"1, 2 and 3",55f6d5d7-cf23-4f8f-9f56-c6170413ceb1,,no,MATCH,
08052d86-a3cb-4afc-9067-e92185dcc786,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,45,ORDER_OK,b,Some use imported uranium and others use domestic supplies,b,Some use imported uranium and others use domestic supplies,ba8b7e50-f781-4e3b-a32a-9507e64e4c97,,no,MATCH,
2ddc41ea-7954-49ad-96b9-4bfca23de596,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,46,ORDER_OK,c,1 and 3 only,c,1 and 3 only,85ea8dca-b005-47e1-8a07-e8b60d07d514,,no,MATCH,
a8c900ae-5914-4a86-8b69-5c4fff47af7c,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,47,ORDER_OK,b,2 only,b,2 only,82a23431-1c51-4345-93f9-0915bc295ecb,,no,MATCH,
4bed944b-dffd-4fac-859d-fdac09fa66be,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,48,ORDER_OK,b,3 and 4 only,b,3 and 4 only,9d20cf1b-d4c5-42b3-9357-f83da9214b4b,,no,MATCH,
b374b04f-94a6-4f74-8cd2-ad831d96ed46,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,49,ORDER_OK,d,Neither 1 nor 2,b,2 only,ee9f54f3-a4e9-4e0f-b895-e967a1617e9d,56e4f4e6-6a1c-42a1-b75b-f2b7ee96d3d1,yes,CORRECTION,"set to corpus option (b) ""2 only""; source https://upsc.gov.in/sites/default/files/AnsKey-CSP-20-Paper-I-091121.pdf"
a69b69b0-34b3-4b46-b4a3-7ca78eafd349,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,50,ORDER_OK,b,1.3 and 4 only,b,1.3 and 4 only,f3c544ad-c96f-49e4-a5c3-b9d86480c620,,no,MATCH,
1da61e0a-8889-4b7f-bb2a-9b046a7fbfc3,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,51,ORDER_OK,a,1 and 2 only,c,"1, 3 and 4 only",41136830-8ada-4b20-9767-a4d66acc4d6a,e11b23c1-0f69-46d2-b30a-959fc4e0c671,yes,CORRECTION,"set to corpus option (c) ""1, 3 and 4 only""; source https://upsc.gov.in/sites/default/files/AnsKey-CSP-20-Paper-I-091121.pdf"
b1ce30b2-5dde-4c57-afe9-f3ca408208ac,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,52,ORDER_OK,a,1 and 2 only,d,"1, 2 and 3",077303d1-5510-48c8-91e0-c28766f8ea9d,29867155-cdd0-46da-9d92-a3619eae19e7,yes,CORRECTION,"set to corpus option (d) ""1, 2 and 3""; source https://upsc.gov.in/sites/default/files/AnsKey-CSP-20-Paper-I-091121.pdf"
1ba0a212-a09f-4e24-a274-3360e01d9454,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,53,ORDER_OK,d,Evolved LISA,d,Evolved LISA,0b37ddf6-899a-4688-a3f6-4846573c89d5,,no,MATCH,
899a3e91-0514-4792-b7ee-0f8b66bc31f1,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,54,ORDER_OK,a,1 only,d,"1, 2 and 3",70872f65-4ff2-42ce-8e5b-c7e44fe2afc8,37eb8449-fba6-4c41-bffc-053ec0b91428,yes,CORRECTION,"set to corpus option (d) ""1, 2 and 3""; source https://upsc.gov.in/sites/default/files/AnsKey-CSP-20-Paper-I-091121.pdf"
785eb850-8fa9-4783-9306-a63ace6ae9d7,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,55,ORDER_OK,d,1.2 and 3,b,1 and 2 only,b5d65955-9c77-4575-ba4b-7bd9d0f2f769,e8f9cf22-edb8-423c-8620-e366d9ab6877,yes,CORRECTION,"set to corpus option (b) ""1 and 2 only""; source https://upsc.gov.in/sites/default/files/AnsKey-CSP-20-Paper-I-091121.pdf"
bdac99c9-67b1-47ea-b212-9080c395fa94,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,56,ORDER_OK,a,Digital security infrastructure,a,Digital security infrastructure,9f035f40-a51d-46ac-b983-bc7cec09c07b,,no,MATCH,
02226499-918b-48ef-8705-25d2289d22ea,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,57,ORDER_OK,c,1 and 3 only,c,1 and 3 only,b0dca320-76b5-4cde-ad03-88d962760244,,no,MATCH,
4a14d545-314f-4ae6-b873-b7da18caa76b,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,58,ORDER_OK,a,"1, 2 and 3 only",a,"1, 2 and 3 only",87aeac9e-90b2-4940-a150-86c48e5586e0,,no,MATCH,
cd53c932-0d21-4ba0-b579-d681a7d1c85a,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,59,ORDER_OK,a,1 only,a,1 only,0216d519-b5fa-4042-afda-6ab53f0939ba,,no,MATCH,
98137db9-4d8c-4b35-bee2-97fb534817f3,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,60,ORDER_OK,d,to leave it unchanged,d,to leave it unchanged,77c78608-69f5-499e-a631-91ff21c1a984,,no,MATCH,
fa88904b-434c-406e-954f-1534723204b4,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,61,ORDER_OK,c,Perfections whose attainment led to the Bodhisattva path,c,Förfections whose attainment led to the Bodhisattva path,c2689297-a0af-4e4c-9c04-227e80b70cda,,no,MATCH,"corpus (c) ""Perfections whose attainment led to the Bodhisattva path"" vs booklet (c) ""Förfections whose attainment led to the Bodhisattva path"": scan artefact, same text"
92af1ea0-e912-4fe0-9a72-bd028e0117e1,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,62,ORDER_OK,b,2 and 3 only,b,2 and 3 only,72cc2a9e-a98a-47b5-ac56-31c50c9b4997,,no,MATCH,
84b16f58-5d94-454e-a0cd-6a71e73aec34,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,63,ORDER_OK,b,its unprofitability in the world market because of new inventions,b,its unprofitability in the world market because of new inventions,3567a079-2222-49c1-8c09-87588ece2f32,,no,MATCH,
0521b6b7-433b-4da7-bb53-a1b1cc30ccef,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,64,ORDER_OK,d,he wanted to train British civilians for administrative purpose in India,d,he wanted to train British civilians for administrative purpose in India,cebd6599-0581-4264-9bd4-d88586af2533,,no,MATCH,
7ea81d0f-4148-4fb7-829f-f121f032477e,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,65,ORDER_OK,d,Birsa Munda’s Revolt of 1899-1900,d,Birsa Munda’s Revolt of 1899-1900,55786c87-9bf5-4806-8ea6-a723346f7db4,,no,MATCH,
538b55a8-7847-44ed-aeb4-79ac397840b3,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,66,ORDER_OK,d,"1, 2 and 3",c,3 only,946d46e7-483e-4d55-8874-aeda3784b38b,d74d6e4e-0a49-419b-b4ca-47f5f76f91a0,yes,CORRECTION,"set to corpus option (c) ""3 only""; source https://upsc.gov.in/sites/default/files/AnsKey-CSP-20-Paper-I-091121.pdf"
a57d77dc-e64a-4db0-89c1-5a66599a53ef,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,67,ORDER_OK,d,prevention of mitochondrial diseases in offspring,d,prevention of mitochondrial diseases in offspring,ec87dd57-3b53-4a25-99cb-63b783bbab58,,no,MATCH,
b026b038-56ac-4c5e-a5ef-cfcc30a11699,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,68,ORDER_OK,c,"2, 4 and 5 only",b,"1, 3 and 4 only",9f6cb333-4ad7-499e-a460-1064cfd90198,d8661621-a251-4378-8071-47153580b795,yes,CORRECTION,"set to corpus option (b) ""1, 3 and 4 only""; source https://upsc.gov.in/sites/default/files/AnsKey-CSP-20-Paper-I-091121.pdf"
ff3f2cb7-276d-4705-95ec-700fd3e20ecc,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,69,ORDER_OK,c,"1, 3 and 4 only",c,"1, 3 and 4 only",41471396-5e7c-4b6a-9804-8b98a6974f56,,no,MATCH,
3c7f59ef-a535-4c6a-bc0c-92b73d702ed7,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,70,ORDER_OK,d,1 and 3 only,d,1 and 3 only,a8c861fb-875e-439c-b024-94df44d20679,,no,MATCH,
2e1f5091-3061-4097-9fd1-744b2dc9e736,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,71,ORDER_OK,b,2 and 3 only,b,2 and 3 only,ad8c6152-d6f9-47d9-92f8-e6ac1ddea38b,,no,MATCH,
2202f9de-cbff-41cc-9a54-cdb5ccac2bbb,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,72,ORDER_OK,b,2 and 3 only,b,2 and 3 only,63ec1c86-2e49-46a2-9be4-5674de400939,,no,MATCH,
62c192da-5df7-4f79-aacb-b55819c788b0,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,73,ORDER_OK,a,Indian handicrafts were ruined.,a,Indian handicrafts were ruined.,bbebfc36-4864-432c-9c13-2c7a0329f363,,no,MATCH,
5db566ba-f959-4aa0-97c9-cbba7c1c5d97,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,74,ORDER_OK,c,2-4-1-3,c,2-4-1-3,57dcc0e7-9531-4377-bf81-6829b37f41ab,,no,MATCH,
06ac4820-0c31-4979-b5de-7bc55fdf84c8,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,75,ORDER_DIFFERS,c,A diary to be maintained for daily accounts,c,A bill of exchange,ae766cd5-5a7c-4e5b-a26e-8506419892f3,fe6eeaa4-e2b5-4780-ba5e-5eefa8e185b8,yes,CORRECTION,"permutation: corpus (b) = booklet (c), corpus (c) = booklet (b); set to corpus option (b) ""A bill of exchange""; source https://upsc.gov.in/sites/default/files/AnsKey-CSP-20-Paper-I-091121.pdf; the letter-based check saw a MATCH here: the stored letter equals UPSC's letter but names a different text"
6509b366-42a6-42ba-9881-084bff3d7489,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,76,ORDER_OK,a,1 and 2 only,a,1 and 2 only,58456d16-ea4f-4db9-8622-7bec367b1cd1,,no,MATCH,
b2ab3c54-1152-4fcd-b270-9b98f7f757bf,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,77,ORDER_OK,,,X,,,,no,DROPPED,UPSC dropped this item; stored key already empty; publish with no correct answer
9423c52f-5b55-48a6-a07a-ec866f7d35e3,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,78,ORDER_OK,a,Gopal Baba Walangkar,a,Gopal Baba Walangkar,907ce1e3-130b-4c74-a445-516a24cdd0c0,,no,MATCH,
858f8fdc-7583-4ee6-b339-fd7c9351a840,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,79,ORDER_OK,a,measurement of land,a,measurement of land,29431168-0ffa-458d-aa5a-1c98913876f3,,no,MATCH,
a4826f58-4081-4ff1-9295-ee16461d77ac,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,80,ORDER_OK,a,Ashoka,a,Ashoka,a5fcda73-e407-4015-bbed-6b7f2f290bd4,,no,MATCH,
6b02c9a7-7cfc-474c-bc10-f5ff0d7d5be3,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,81,ORDER_OK,b,the Government is responsible to the Parliament and can be removed by it,b,the Government is responsible to the Parliament and can be removed by it,276d2757-255b-4b87-a70b-f2f64d230c97,,no,MATCH,
7678c9d9-369c-420d-8c34-20f375bb4113,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,82,ORDER_OK,a,Directive Principles of State Policy,a,Directive Principles of State Policy,45fa1dc5-afbb-4dd4-9002-c5182fd1dab3,,no,MATCH,
1115f9c5-f253-4501-a891-f352cfc4030b,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,83,ORDER_OK,d,Neither 1 nor 2,d,Neither 1 nor 2,a5a04656-9c17-4672-9e62-f0dd117aea3c,,no,MATCH,
0caaffdf-9450-4b45-affb-2181717f6a7f,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,84,ORDER_OK,d,economic determinism,a,the final goal of a stateless society,12304e86-207c-4cbd-8248-94fbc1823197,06d62c04-dd53-44e6-a083-dfebb5194283,yes,CORRECTION,"set to corpus option (a) ""the final goal of a stateless society""; source https://upsc.gov.in/sites/default/files/AnsKey-CSP-20-Paper-I-091121.pdf"
bde1c129-8ef0-480a-b90c-8ad92376f5fd,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,85,ORDER_OK,d,An agency for the implementation of public policy,d,An agency for the implementation of public policy,74410ea1-d38a-4e3a-9eef-4fce21c04ac5,,no,MATCH,
0f868ff0-00f0-44c2-a552-fb0b22bfd574,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,86,ORDER_OK,a,a part of the Constitution but has no legal effect,d,a part of the Constitution but has no legal effect independently of other parts,ceaec0bf-5736-4757-addf-e09597d91b10,df6724e7-2730-4d0d-b86b-541cb7096ee9,yes,CORRECTION,"set to corpus option (d) ""a part of the Constitution but has no legal effect independently of other parts""; source https://upsc.gov.in/sites/default/files/AnsKey-CSP-20-Paper-I-091121.pdf"
3fc1f385-fc13-457c-bdf2-fb722ad8a403,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,87,ORDER_OK,d,a credit system granted by IMF to its members,d,a credit system granted by IMF to its members,df7f2f85-1315-48d5-acfd-d33035a8e50a,,no,MATCH,
ca9d82e1-3c83-4b55-bf3c-59823981ba35,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,88,ORDER_OK,d,2 and 3 only,d,2 and 3 only,5230652c-100b-4d92-a721-1f8a5f2968dd,,no,MATCH,
eb91c74c-7467-4ce2-9880-159cd59d3da9,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,89,ORDER_OK,a,1 only,d,Neither 1 nor 2,1b4e0770-d877-4f55-a6a0-d00101871ac7,33837b5a-64ff-4384-a066-cd5e516d2cf0,yes,CORRECTION,"set to corpus option (d) ""Neither 1 nor 2""; source https://upsc.gov.in/sites/default/files/AnsKey-CSP-20-Paper-I-091121.pdf"
c9b2ce8e-1f63-4dcd-b7eb-d077fad24031,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,90,ORDER_OK,d,2 and 3 only,c,1 and 3 only,c3b86fe0-ded7-4a7c-a6a0-c269a7773a8c,16429ccc-eacf-417c-bbcc-7dea9f7530a7,yes,CORRECTION,"set to corpus option (c) ""1 and 3 only""; source https://upsc.gov.in/sites/default/files/AnsKey-CSP-20-Paper-I-091121.pdf"
86fd0e13-5e22-41ba-9e9c-5565bd8cc713,980cfb08-efbd-453f-8dbc-251fefb9d3f5,2020,GS,91,ORDER_OK,b,2 and 4 only,b,2 and 4 only,31d0e4cb-2f48-41a8-8101-454d82959c3f,,no,MATCH,
