"row_type","row_id","paper_year","question_number_or_topic_id","text_preview","flags","sample_reason","decision","notes"
"question","21ea578c-6b05-439d-8401-8293e861c1be","2013","34","Discuss the major challenges in the implementation of the National Rural Health Mission (NRHM).","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","0d66eae7-39f5-4457-98a9-3cc906c0ee24","2013","35","Evaluate the performance of the Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA) in rural asset creation.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","c1f670af-3cc6-4398-a80b-0a01ca9a0758","2013","36","The Right to Education (RTE) Act aims to ensure free and compulsory education, but quality remains a challenge. Discuss.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","79aab0a3-5348-4b70-bec7-4100394faee0","2013","37","Analyze the impact of coalition politics on the stability and policy-making of the Central Government.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","733362f5-c970-491f-8230-7dc9aabb5cdf","2013","38","Discuss the relevance of the look East Policy in the context of changing geopolitical dynamics in the Asia-Pacific region.","","spot_check","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","12ad4b64-713d-4fbe-b113-7c298211ce24","2013","39","India's relations with its neighbors are crucial for its internal security and economic growth. Comment.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","2fec7dc6-3de0-4255-b32f-f6e7f3dd9913","2013","40","Discuss the role of the United Nations Security Council (UNSC) in maintaining global peace and India's claim for permanent membership.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","6b1c317f-cc7d-45cc-bf96-d3d206b52da7","2013","41","What is the significance of the BRICS grouping for India's foreign policy interests?","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","5ac18a28-0b1c-4ace-a2a5-ba76b5165338","2013","42","Examine the challenges faced by India in managing its maritime borders.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","a1804414-4281-48f2-a9c8-b186a8b669ef","2013","43","Discuss the impact of the World Bank's funding on infrastructure development projects in India.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","884bbbcf-4a76-4515-8195-54b23be915e6","2013","44","The role of the Comptroller and Auditor General (CAG) has become increasingly critical in public accountability. Discuss.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","92d11573-7ffd-485d-950a-7a6eb578ac2f","2013","45","Analyze the institutional challenges faced by the Election Commission of India in conducting free and fair elections.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","dc07d172-89b2-47af-ba32-8e20d9366adb","2013","46","Discuss the need for electoral reforms in India with special reference to criminalization of politics.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","c235c469-5057-4ad0-9511-097769bbb833","2013","47","The pressure groups play a significant role in influencing governmental decisions. Explain with suitable examples.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","ae856cba-2cb2-4cfb-bedd-44b105fc4cc3","2013","48","Examine the effectiveness of the National Human Rights Commission (NHRC) in protecting human rights in India.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","72eb93a8-d32b-48c9-b68b-cdcf6d4200c4","2013","49","Discuss the role of e-governance initiatives in reducing corruption and improving service delivery.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","4a88fdab-4500-4fd7-9126-44354bd974bc","2013","50","What are the major structural issues hindering the performance of public sector banks in India?","","spot_check","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","4a61817d-1b33-475e-8d7f-9f4ca6fade1e","2013","51","Discuss the relationship between savings rate, investment pattern, and capital-output ratio in the context of growth acceleration.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","875f00e7-536d-425d-90ee-a86cbe7bf9be","2013","52","What are the major structural limitations of the manufacturing sector that prevent it from absorbing surplus labor from agriculture?","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","743456e5-dcf7-453a-9d89-a1585a8b05ab","2013","53","Explain the significance of direct tax reforms in widening the tax-to-GDP ratio base in India.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","853bb007-9910-4870-a9a2-8051d10ec6dc","2013","54","What is venture capital? Discuss its role in driving the growth of technology startups in India.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","6e4d97dd-e7c9-4f0e-abe1-30da267125d9","2013","55","Discuss the impact of farm subsidies on the fiscal health of state budgets and environment degradation.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","1c13d6f4-47e6-4822-a91e-c00c0511a3cf","2013","56","What are the primary objectives of the National Food Security Act, 2013? Evaluate its operational constraints.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","6e792b91-645f-4083-8f8a-2cc35d1be693","2013","57","Explain the concept of precision farming. How can it mitigate input wastage in intensive agricultural belts?","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","085c8a77-225a-469e-abe2-8d5ceb6ffbf6","2013","58","Discuss the structural constraints of the biotechnology sector in transitioning from laboratory research to commercial scale production.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","09b709bb-b098-4665-babd-90716d30b24f","2013","59","Explain the design features of the three-stage nuclear power expansion program of India.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","4e11fbe2-b93d-40dd-b894-97e354c7f3a4","2013","60","What is intellectual property piracy? Discuss its impact on the economic growth of the creative and technology software industries.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","9a7e287a-8bd4-4b2b-8713-b1a4d14d6c5e","2013","61","Trace the causes and mitigation strategies for major landslide vulnerabilities inside the Western Ghats region.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","40581238-4b8b-4582-9c37-2ee6d1e2f381","2013","62","Discuss the institutional setups required for managing chemical industrial disasters in urban-fringe clusters.","","spot_check","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","6a71e050-bd44-4df0-bcae-1c3aa23f5f84","2013","63","Analyze the role of social media networks in driving internal security disruptions and spreading misinformation during crisis events.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","799f8d92-6f0d-465d-8a25-2f2e8c915d27","2013","64","What is the mandate of the National Security Council (NSC)? Evaluate its advisory role in internal security policymaking.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","e34984bc-92bf-4f47-a286-5b257db2f94a","2013","65","Examine the structural funding models of left-wing extremist organizations. How can financial choking curb their networks?","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","c6f8fc19-39b5-4aaf-8897-71409b72d86d","2013","66","Discuss the challenges faced in managing security parameters across the non-demarcated segments of India's international borders.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","80976e35-5bc4-4283-b8c4-34ab6915f3eb","2013","67","Explain the concept of Special Economic Zones (SEZs). Why have they lagged in replicating Chinese industrial models?","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","b5724206-caaa-4ebc-bdaa-f5096a15ae1b","2013","68","Discuss the utility of public-private partnership (PPP) models in developing high-density transport infrastructure networks.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","a0576ed7-c996-4a38-9f53-128a3983224b","2013","69","Analyze the impact of global trade protectionism on India's software export matrices.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","8c07f7e4-d93e-4e41-8cae-299397bb7734","2013","70","What is environmental impact assessment (EIA)? Trace its evolution inside the developmental clearing loops of India.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","315bb804-cce8-4a69-a151-61c5d51817a4","2013","71","Discuss the ecological parameters of the National Mission for Clean Ganga. Why have enforcement cycles lagged behind?","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","beb00772-57d1-4f89-bc6a-0c1bef56cca8","2013","72","Explain the linkage between coastal security architecture loops and illegal maritime smuggling operations.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","af739e4e-5ea8-4c21-b52d-091338a65be1","2013","73","What is cross-border money laundering? Discuss the structural coordination challenges between international intelligence branches.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","98854f05-3005-447e-9594-2b42ae271d01","2013","74","Discuss the structural framework changes required in the lines of command to tackle modern urban asymmetric warfare threats.","","spot_check","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","73fb46b8-087c-4d24-8357-5f595142b970","2013","75","What are non-performing assets (NPAs)? Analyze their structural drag on the credit cycle acceleration of public infrastructure deployment.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","e7402ca3-010c-4a97-9fd0-31bba30087e0","2013","76","What do you understand by 'ethical human conduct'? Discuss its determinants and consequences in human actions.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","b6218bce-4fd5-424b-b0ef-710f2cfbe656","2013","77","How do social institutions like school and media impact value formation in citizens? Analyze.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","ac1f3fbb-9987-45f2-8eb6-2df7dce6a02c","2013","78","What is emotional intelligence and what are its utilities in civil services administration?","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","4ae13cbe-a392-4121-af3f-4218fa304060","2013","79","Define the terms 'attitude' and 'belief'. How does cognitive dissonance affect an individual's internal alignment?","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","1e82d28e-8f49-4c02-90bd-098a88a83f3d","2013","80","Discuss the ethical ideals of administrative systems as postulated by classical Indian thinkers like Kautilya.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","1d9500fc-9435-4103-b4c5-baaa582c8125","2013","81","What do you understand by the concept of 'utilitarianism'? Critique its limitations when applied to minority protection.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","2e1d22c4-0c52-458d-bfce-3066cfc22d78","2013","82","Examine the significance of public service values like objectivity, dedication, and tolerance in a multi-cultural society like India.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","1a2e964b-442d-4311-97a3-471db18fb784","2013","83","Explain the concept of corruption in public life as a systemic failure rather than individual moral decay.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","b6d67fc5-7cd0-439c-8d91-0683e3a8360d","2013","84","""Seven Sins"" according to Mahatma Gandhi are highly relevant to understand contemporary economic anomalies. Elaborate.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","f7c6f259-d3a7-4900-97ba-6b9731d11ef8","2013","85","""The weak can never forgive. Forgiveness is the attribute of the strong."" - Mahatma Gandhi. Analyze.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","4910f5a1-93a6-46b8-aab6-4169b23fe54c","2013","86","Discuss the ethical dimensions of data privacy and access in information systems of e-governance infrastructure.","","spot_check","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","9c5dd08a-b270-4d70-af0b-af6fda08cea5","2013","87","What are the structural flaws in current asset disclosure regulations of public officials that limit their effectiveness against illegal wea","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","12aeb5ad-89ba-43d7-9921-e0409df5b722","2013","88","You are a senior executive engineer in charge of a district-level public works department. A massive flyover project is being constructed in","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","c9caebf2-5bfc-4c58-9db7-fc6ea00ec826","2013","89","You are the District Magistrate of a highly sensitive, drought-prone district that is currently experiencing a severe water crisis. The stat","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","85e59ba5-4bd8-4a94-a461-d07478b1c3f5","2013","90","You are a senior program director heading a state social welfare department. The government has introduced an ambitious digital conditional-","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","1e18a01f-2638-4594-a3df-c3eedc22cbfe","2013","91","You are leading an anti-corruption investigation unit within a major state infrastructure corporation. Your team is investigating a multi-mi","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","078b7ae2-3858-465a-bb8f-735ad419cb10","2013","92","You are a senior officer working in the national food safety standards authority. A leading domestic FMCG brand has launched a highly popula","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","c0db8741-8c72-481c-9160-8cb1c23b3e43","2013","93","You are a senior officer working in the environment impact clearing branch of a state government. A major multinational automobile manufactu","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","1c102c05-729c-4df8-8272-2fd01ade4166","2013","94","Be the change you want to see in others - Gandhiji.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","7fbcbaff-808d-4bb8-88ad-a454cf920781","2013","95","Is the colonial mentality hindering India's success?","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","56067fbd-5526-439d-85f4-48b940943e3b","2013","96","GDP (Gross Domestic Product) along with GDH (Gross Domestic Happiness) would be the right index for India's development.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"question","5d795b0f-38ab-4175-8f7e-1ad4f296d2f6","2013","97","Science and technology is the panacea for the growth and security of India.","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"tag","c20d9ffa-bda2-463a-bb78-92032fb1bb71","2013","028918a2-4769-4d8c-9dab-1e42fcb46b1c","French Revolution: causes, course, France under Napoleon, impact and significance for the modern world","","spot_check","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"tag","42e9b96d-944e-4cc8-935f-456530aa1393","2013","049901d3-a4a5-41ea-a138-c0eec3f3d0c3","Case studies: public-safety & procurement dilemmas under pressure: infrastructure-safety cover-up under election-timeline pressure, defence-","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"tag","58d1c113-6829-4cb2-b806-b4a93709b1dd","2013","054aa525-7ef7-41fa-be69-d3778ce887de","Internal security challenges: social diversity as a security issue, neighbourhood-origin threats, non-state actors, global vulnerability ind","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"tag","72eaa0be-b33a-4273-b693-abfa0d3ab8df","2013","0e370af1-44dc-430b-a830-9c549d036623","Citizen's Charter and RTI Act: utility/limitations as accountability instruments; RTI's role in redefining accountability beyond mere citize","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"tag","39e5a303-f833-4c31-a4c5-97ff99bc406d","2013","12162135-681a-4e58-87f3-31cf403b3cfb","Pressure groups and formal/informal associations: types, significance, distinction from political parties, politicisation of pressure groups","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"tag","bda2c4be-b313-4803-8e4f-fe057c5050f7","2013","12feeb23-16c7-4c59-b28b-f61ce53a3053","Women-related issues: hysterectomies, workforce participation gaps, gender disparities in poverty, women in corporate roles, abortion rights","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"tag","2f08bd85-b389-4743-a47b-9b7be390374e","2013","148a93f6-0e07-4057-98a1-5f4751a4b757","Emergence of the USA: American colonies, independence, the Revolutionary War and its political/global impact, the US Civil War and its globa","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"tag","666f0b0b-66f2-4421-965d-f6480868ef08","2013","21b8574b-4143-4333-9d38-d916fd1035a2","The Governor, Chief Minister, Advocate-General, and State Legislature: appointment, discretionary/ordinance/pardoning powers, composition of","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"tag","fef18ade-2cfa-4440-9e8d-68acd9994d26","2013","24789b2b-e004-466c-9a4e-00d433f58a2e","Dance in India: concept, Ashta Nayika, eight classical forms, folk and modern dances; Tandava as recorded in early inscriptions; Garba, Cham","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"tag","3704353c-41ac-4f7a-be76-3314902af8c5","2013","26a1506e-c212-48b3-ab7d-ac33f38f6292","Social media and internal-security threats: regulation challenges, AI's dual role, and monitoring difficulties","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"tag","77752c39-290f-44db-966f-d5eb5626946b","2013","2a7ac40c-4ad1-4abc-9496-79984ee6ddf1","Volcanism: shield/composite/caldera/flood-basalt/mid-ocean-ridge types, lava types, intrusive landforms (batholiths, laccoliths, lapoliths, ","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"tag","9ec15fcc-b569-4095-b73f-4835b94e3e35","2013","2a964f06-9b59-4139-9e33-2af38ac3ebac","Classical Temple Architecture: Nagara, Dravida, Vesara and regional sub-schools (Pallava, Chola, Pandya, Vijayanagara, Nayaka, Hoysala, Rash","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"tag","68ac28d5-c6da-46a8-b143-d99d170f54e9","2013","2c26a666-8e16-46a5-9362-547604b3556e","Bhakti and Sufi movements: reach across age/gender/religious barriers; Sri Chaitanya's re-orientation; Vaishnava Acharyas' metaphysical foun","","spot_check","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"tag","95b96c70-5cd6-4386-a2c3-1316dd1cd83d","2013","31bc6bb7-ac08-43d4-a4be-6d7bd49d3d09","Moral and political attitude formation; distinguishing 'attitude' from 'belief' and how cognitive dissonance affects internal alignment","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"tag","8e7a7128-a4b7-4909-bdbf-383ab51165c1","2013","3eb08a5b-0910-493b-bf1d-07f0b7468836","Indian moral/spiritual exemplars used as case anchors: Mahatma Gandhi, Dr S. Radhakrishnan, Rabindranath Tagore, Swami Dayanand Saraswati, M","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"tag","444eca5c-a0ba-4119-8238-f049c44bc8ab","2013","41ad5c1f-7129-4d6e-b241-5c67f84cfb99","Frequently cited quotation-anchors for ethics answer-writing: Gandhi's 'Seven Sins' and 'the weak can never forgive'; Socrates' 'an unexamin","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"tag","60bb966d-9fc3-4797-8032-9f78981986c4","2013","41ad5c1f-7129-4d6e-b241-5c67f84cfb99","Frequently cited quotation-anchors for ethics answer-writing: Gandhi's 'Seven Sins' and 'the weak can never forgive'; Socrates' 'an unexamin","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"tag","e45f6d19-d936-4cf4-a97b-e729ded3266c","2013","48f777dc-05ca-423d-8267-33de79eb8587","Beginning of the modern age: disintegration of the feudal system, Renaissance (humanism, art, architecture, literature, science), Reformatio","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"tag","ca2e1219-6587-4c74-a5d5-4416a40a80bb","2013","4ae26f49-1b68-4366-b3a3-becbe93c9abb","Case studies: development vs displacement/environment trade-offs: environmental clearance vs displacement/pollution trade-offs, court-ordere","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"tag","b00bdc5f-0945-4ed6-9687-8fed85b56e6e","2013","4f0aa90b-bb3e-4e5c-abfa-70a39be2cca7","Political parties in India: reforms, problems in functioning, casteism and politics, anti-defection strengthening, and coalition-government ","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
"tag","894ecc12-082d-454b-99ba-68f50fb07171","2013","529f8ea2-d455-4c0a-93e3-e7044ad48271","Case studies: whistleblowing, disclosure & confidentiality dilemmas: whistleblower/suspect pleading humanitarian delay, workplace-harassment","","","verified","Clean sweep + spot-check sample confirmed sound - bulk pass 2026-08-26"
