question_id,pyq_paper_id,year,question_number,stored_key_label,stored_key_text,upsc_key_label,upsc_key_text,solved_answer,solvable,current_correct_option_id,new_correct_option_id,applies,verdict,confidence,note
53be0d3f-2702-41ed-951d-19a291d1f623,586d515e-2d3d-485d-a944-3983e4569e53,2023,17,a,11,a,11,11,yes,1d407e34-a841-4af4-af6d-b7727e18f5b9,,no,MATCH,high,working: int('9'*99) % 13 = 11 (python).
64dd65ef-2694-433a-8b8c-887ceef8e167,586d515e-2d3d-485d-a944-3983e4569e53,2023,18,c,81,c,81,81,yes,0cd66e93-b733-4183-bae2-498f5db4689e,,no,MATCH,high,"working: 111111111^2 = 12345678987654321, digit sum 81."
ae2889c3-e1fb-4bf9-8e3f-72234864b216,586d515e-2d3d-485d-a944-3983e4569e53,2023,19,b,: 856,b,: 856,: 856,yes,1d93a016-9cb4-4bdb-88d3-a1ef4ac744ec,,no,MATCH,high,"working: 10-99: tens 45*10=450, units 45*9=405 -> 855; plus 100 -> 1; total 856."
ccdfafc4-77e6-4215-b78b-0bf0b94e33a2,586d515e-2d3d-485d-a944-3983e4569e53,2023,20,c,20,c,20,20,yes,7c8fa5bd-6845-4aea-897f-1ac6121a7514,,no,MATCH,high,"working: 6 points, max 2 per side so no 3 collinear (points not at vertices): C(6,3)=20."
442dfccf-0f71-4ed6-aca7-c9543a1ec50c,586d515e-2d3d-485d-a944-3983e4569e53,2023,21,c,Waiting to deal with carbon emissions until technology improves is not a wise strategy.,c,Waiting to deal with carbon emissions until technology improves is not a wise strategy.,not solvable: missing passage,no,373ac309-c474-439c-b3e9-42c0f8353b3b,,no,MATCH,medium,stored key equals UPSC key by letter; not independently solvable; stem: missing passage; working: Question refers to a passage that is not in the stem.
5713b301-9e4f-45e3-9dfc-b674659093c4,586d515e-2d3d-485d-a944-3983e4569e53,2023,22,a,We are likely to spend more money on cure than prevention.,a,We are likely to spend more money on cure than prevention.,not solvable: missing passage,no,747f5478-74c1-4284-8bea-ebb4468e5840,,no,MATCH,medium,stored key equals UPSC key by letter; not independently solvable; stem: missing passage; working: Question refers to a passage that is not in the stem.
3e67301f-e267-4dab-8c1a-11ce08fb3ce5,586d515e-2d3d-485d-a944-3983e4569e53,2023,23,b,We must place food-based nutrition at the centre of our policy debate.,b,We must place food-based nutrition at the centre of our policy debate.,not solvable: missing passage,no,b879a0b3-f2be-4964-bc5e-91ca09d7d1e7,,no,MATCH,medium,stored key equals UPSC key by letter; not independently solvable; stem: missing passage; working: Question refers to a passage that is not in the stem.
9fc935d5-2fba-464c-b210-7cd0bdae1278,586d515e-2d3d-485d-a944-3983e4569e53,2023,24,a,1 Only,a,1 Only,1 Only,yes,f883849d-4ce8-46a0-8451-dc9c2ec002b7,,no,MATCH,high,"working: Stmt1 parity = parity of p+q+r+s+t = #odds=2 -> even always. Stmt2 parity = parity of q+t, which can be either. Only 1."
d68aa28f-cdeb-4b67-adcc-3e30094cacbd,586d515e-2d3d-485d-a944-3983e4569e53,2023,25,d,"1, 2 and 3",d,"1, 2 and 3","1, 2 and 3",yes,f01f7643-266b-43be-9bb7-4cc517f30b1b,,no,MATCH,high,"stem: math expression flattened: '(p+c)(p-c)' formatting lost, possibly a fraction; answer same either way; working: Stem likely (p+c)(p-c) (fraction/product garbled). 1: p=2,c=4 -> 6*(-2)=-12 even (also (2+6)/(2-6)=-2 even if a fraction). 2: p=2,c=9 -> 13 odd. 3: 3*9=27 odd. All three."
21d44ca6-cfa8-41c0-95b9-d71133f596aa,586d515e-2d3d-485d-a944-3983e4569e53,2023,26,a,18,a,18,18,yes,843a20c9-ea1d-4996-971c-59faeb24f410,,no,MATCH,high,"working: Brute force: unique 936*4=3744, digits distinct non-zero; A+B+C=18."
fcf0348c-0949-4fa7-bb15-85c3d27e50e2,586d515e-2d3d-485d-a944-3983e4569e53,2023,27,d,"7, 11 and 13",d,"7, 11 and 13","7, 11 and 13",yes,80ea6491-8b44-4fbf-83eb-c77322bcd378,,no,MATCH,high,working: XYZXYZ = XYZ*1001 = XYZ*7*11*13.
742ad453-e543-40a7-86c2-a35fee794625,586d515e-2d3d-485d-a944-3983e4569e53,2023,28,a,27,a,27,27,yes,02544f1a-009f-4632-a6fb-2c1cb5ca6d97,,no,MATCH,high,working: 5x5x5 block; fully surrounded = inner 3x3x3 = 27.
5a551187-a792-4e8a-b988-0ad2c9142f29,586d515e-2d3d-485d-a944-3983e4569e53,2023,29,c,36,c,36,36,yes,8e5737a9-4772-4044-9e0f-d982aad82140,,no,MATCH,high,"working: Odd positions get 1,1,3,3: 4!/(2!2!)=6; even positions 2,2,4,4: 6; 6*6=36."
f5f779d0-7456-4b16-8dcd-5d26f64d9734,586d515e-2d3d-485d-a944-3983e4569e53,2023,30,a,1 Only,a,1 Only,1 Only,yes,01458f9f-f70f-4b08-bcf9-19bc0c64d373,,no,MATCH,high,"working: Rates per 48: A 6, B 3, C 4; 3-day cycle 13. After 9 days 39, day10 (A) 45, day11 (B) 48 -> finishes on day 11. Day 1 Monday -> day 11 Thursday. Stmt1 true, stmt2 (10 days) false. If Sunday were a holiday it would finish Friday (neither) -- interpretation assumes continuous daily rotation."
0900fcc2-8738-4d30-b674-20f62ae07f1e,586d515e-2d3d-485d-a944-3983e4569e53,2023,31,a,"A national, pragmatic, legal and policy framework for water allocation should be made.",a,"A national, pragmatic, legal and policy framework for water allocation should be made.",not solvable: missing passage,no,ac2bd925-d672-4467-a855-b3ef08b6ab09,,no,MATCH,medium,stored key equals UPSC key by letter; not independently solvable; stem: missing passage; working: Question refers to a passage that is not in the stem.
4606591d-a95a-43e7-8474-f180360460a9,586d515e-2d3d-485d-a944-3983e4569e53,2023,32,d,"For rapid economic growth as envisaged by us, attention should be paid to health and nutrition of the people.",d,"For rapid economic growth as envisaged by us, attention should be paid to health and nutrition of the people.",not solvable: missing passage,no,e8b209d6-ae5f-4193-98c1-3bfcbd73f9cc,,no,MATCH,medium,stored key equals UPSC key by letter; not independently solvable; stem: missing passage; working: Question refers to a passage that is not in the stem.
6598b7e2-4f3b-4fe2-8c6f-16edcd0786db,586d515e-2d3d-485d-a944-3983e4569e53,2023,33,c,Risk perceptions of farmers are important for motivating them for taking adaptation decisions.,c,Risk perceptions of farmers are important for motivating them for taking adaptation decisions.,not solvable: missing passage,no,49f4ce7a-5e9b-4297-8b9c-b5345d59d7d9,,no,MATCH,medium,stored key equals UPSC key by letter; not independently solvable; stem: missing passage; working: Question refers to a passage that is not in the stem.
4c51e927-8c5b-41d6-b1a7-9ee551cb208f,586d515e-2d3d-485d-a944-3983e4569e53,2023,34,d,45,d,45,45,yes,c87d848f-96a7-4535-ac34-f80a21522627,,no,MATCH,high,working: Worst case: 18 white + 16 black + all 10 same-foot red shoes = 44; 45th gives a red pair. Assumes left/right shoes (a pair needs one of each foot); if shoes interchangeable answer would be 36 (option b).
ba467736-aa86-4491-809f-4bcd89d1ad2c,586d515e-2d3d-485d-a944-3983e4569e53,2023,35,b,19,b,19,19,yes,236e1d22-9ede-42e2-85c6-aa1ccfc19df5,,no,MATCH,high,"working: Count nonneg (b,c) with 4b+6c<=25 (singles fill rest): 19 solutions."
544615ce-d415-4d9e-bf5f-53d64f0065d6,586d515e-2d3d-485d-a944-3983e4569e53,2023,36,b,2 only,b,2 only,2 only,yes,4e66ee65-28cf-4b08-88e0-819512a12a08,,no,MATCH,high,"working: Exactly one wrong is impossible (stmt1 false). Exactly two correct: C(4,2)*D2=6*1=6 (stmt2 true)."
e25407f5-2f63-43c1-9704-b1d4c33c8c8a,586d515e-2d3d-485d-a944-3983e4569e53,2023,37,a,0,a,0,0,yes,1c546aa9-225f-4ea6-89be-43af08cda3b5,,no,MATCH,high,"working: 85*95 contributes 25, 96 contributes 4 -> divisible by 100; remainder 0."
4747af21-c241-41c1-b8e2-37ec222bb5ea,586d515e-2d3d-485d-a944-3983e4569e53,2023,38,a,2,a,2,2,yes,d90a9cb5-02a5-4535-9cc7-4baf5437e328,,no,MATCH,high,"stem: exponent rendered inline (superscript lost) but unambiguous; working: Exponent 9*7*5*3*1=945; unit digit of 2^945, 945 mod 4=1 -> 2."
8b604303-e73a-4f31-828b-d4184ee3d987,586d515e-2d3d-485d-a944-3983e4569e53,2023,39,d,31,d,31,31,yes,0bb35dd3-c4d1-47fa-81b8-22af6ae14ab3,,no,MATCH,high,working: Brute force all ABC+DEF=1111 with distinct non-zero digits: sum always 31.
1bb5296c-757f-47d3-af35-73e27f4e0ed9,586d515e-2d3d-485d-a944-3983e4569e53,2023,40,c,8,c,8,8,yes,2dd51a47-80dd-47c7-addf-282ee579bf52,,no,MATCH,high,working: Brute force min n/digitsum over 100-999: n=199 (199/19); 9-1=8.
272b709b-da1e-46ae-ae7c-618821017b7b,586d515e-2d3d-485d-a944-3983e4569e53,2023,41,b,Unemployment must be seen as a function of rising education and aspirations of young Indians.,b,Unemployment must be seen as a function of rising education and aspirations of young Indians.,not solvable: passage not present,no,7d2c63db-e765-4042-9a2a-80ac8fc0fde5,,no,MATCH,medium,stored key equals UPSC key by letter; not independently solvable; stem: passage not present; working: Question depends on a reading passage absent from the stem.
ab12b2cc-5b46-4ba0-ae3e-b0b4c49bef29,586d515e-2d3d-485d-a944-3983e4569e53,2023,42,b,It is not desirable to have Governments managed by empirical statesmen unless well mixed with others who are grounded in learning and reflect wisdom.,b,It is not desirable to have Governments managed by empirical statesmen unless well mixed with others who are grounded in learning and reflect wisdom.,not solvable: passage not present,no,210509a1-81bf-48f1-9f99-79ed0a0f4f49,,no,MATCH,medium,stored key equals UPSC key by letter; not independently solvable; stem: passage not present; working: Question depends on a reading passage absent from the stem.
dac51d8e-bb92-42e5-8cfa-a0baa010a165,586d515e-2d3d-485d-a944-3983e4569e53,2023,43,d,Liberty,d,Liberty,not solvable: passage not present,no,2249e362-cd87-4fbe-92a2-dea278b729e5,,no,MATCH,medium,stored key equals UPSC key by letter; not independently solvable; stem: passage not present; working: Question depends on a reading passage absent from the stem.
4616efe2-106b-4f30-8441-e418e809913f,586d515e-2d3d-485d-a944-3983e4569e53,2023,44,d,4,d,4,4,yes,4603eddf-e689-4a8f-aa2c-ed3d1e5e21db,,no,MATCH,medium,solve has more than one defensible reading; UPSC key selects the stored option; stem: garbled symbols: exponent flattened (2^192 printed as 2192); working: Stem reads '2192' (superscript lost). Intended 2^192: even powers of 2 mod 6 = 4 -> 4. Literal 2192 = 6*365+2 -> remainder 2 (option c). Both readings reach an option.
e769ae03-8eae-492f-956e-fab84957aeb9,586d515e-2d3d-485d-a944-3983e4569e53,2023,45,d,DDCA,d,DDCA,DDCA,yes,31bd07e6-beb3-4349-a100-41234da722cf,,no,MATCH,high,"working: 20 chars in blocks of 4 as rotations: ABCD DABC CDAB BCDA ABCD; blanks = D,D,C,A -> DDCA."
d1958b30-2571-4b91-b06d-3370270009b8,586d515e-2d3d-485d-a944-3983e4569e53,2023,46,a,6,a,6,6,yes,ade80c7b-2050-4dae-97c9-2f44da27ebd3,,no,MATCH,high,"working: Enumerated all distinct digits: unique AB=12, CD=34, DEF=408, GHI=567 (digits 1-9 excl none repeated). A+B+C=1+2+3=6."
8642f4ad-be55-4a02-b21c-7941785a9b2a,586d515e-2d3d-485d-a944-3983e4569e53,2023,47,d,Neither 1 nor 2,d,Neither 1 nor 2,Neither 1 nor 2,yes,15308211-e262-4d23-aeee-1a016404c8ad,,no,MATCH,high,"working: False statement => neither R nor S selected; exactly one of P,Q; T free. Max 2 selected, S never selected. Enumerated 32 subsets: neither conclusion holds."
f6816103-9d83-4f28-b4a0-ba12f10819ed,586d515e-2d3d-485d-a944-3983e4569e53,2023,48,a,1 Only,a,1 Only,1 Only,yes,1f24f38f-f470-42e0-95e7-e6afc6d0af57,,no,MATCH,high,"working: Truth table over 32 assignments satisfying I and II: 1 holds in all (T true => not(R and S); if P true then S true so R false); 2 fails (Q true, P false allowed)."
d1295203-36c6-4373-b24d-620abce53197,586d515e-2d3d-485d-a944-3983e4569e53,2023,49,a,1 Only,a,1 Only,1 Only,yes,ae169f4d-b7e7-46ce-9dea-35077301d113,,no,MATCH,high,"working: Interior cubes (7-2)(5-2)(3-2)=15 -> 1 true. Green(5x3)/blue(7x3) shared edges run along 3cm: 1 non-corner cube x 4 edges = 4, not 6 -> 2 false."
ac9d5654-446a-4929-ab29-027cbddb48d6,586d515e-2d3d-485d-a944-3983e4569e53,2023,50,c,Two,c,Two,Two,yes,fcc965f5-d3e6-4ab4-949f-afa1cb2c93e0,,no,MATCH,high,working: Reverse-sorted: TSSRPONNMLIIIIIHEEECB vs INCOMPREHENSIBILITIES; matches at positions 13 and 15 (1-based) -> two.
02ce3aea-1830-4944-93d9-8a61e194ad1e,586d515e-2d3d-485d-a944-3983e4569e53,2023,51,d,"In our lives, having too few choices may not be a good thing, but having too many can be equally as difficult.",d,"In our lives, having too few choices may not be a good thing, but having too many can be equally as difficult.",not solvable: passage not present,no,914d6bac-1d23-454d-804d-eb1525e7894a,,no,MATCH,medium,stored key equals UPSC key by letter; not independently solvable; stem: passage not present; working: Question depends on a reading passage absent from the stem.
3961a6b2-0167-4718-8a36-8fd678793221,586d515e-2d3d-485d-a944-3983e4569e53,2023,52,a,1 and 2 only,d,"1, 2 and 3",not solvable: passage not present,no,a43c1493-7640-4d49-8a17-74e9218006ec,57142f5e-8258-4f65-bdc2-b5d23c5af675,yes,CORRECTION,medium,"UPSC final key (d) against stored (a); not independently solvable, so the target text rests on the UPSC letter mapping to the corpus label; stem: passage not present; working: Question depends on a reading passage absent from the stem."
e0b861dc-05ba-4ede-b741-c0f760cda681,586d515e-2d3d-485d-a944-3983e4569e53,2023,53,b,1 and 4,b,1 and 4,not solvable: passage not present,no,08784ec7-a859-4592-a1c3-5090818b317e,,no,MATCH,medium,stored key equals UPSC key by letter; not independently solvable; stem: passage not present; working: Question depends on a reading passage absent from the stem.
bbfd95be-d4d1-41d2-a2ef-25cdea10d256,586d515e-2d3d-485d-a944-3983e4569e53,2023,54,c,Both 1 and 2,c,Both 1 and 2,not solvable: passage not present,no,49d9fc17-3831-474f-847d-79ba93029917,,no,MATCH,medium,stored key equals UPSC key by letter; not independently solvable; stem: passage not present; working: Question depends on a reading passage absent from the stem.
abf7af06-a93e-4ea7-9ca0-004d5e8634e7,586d515e-2d3d-485d-a944-3983e4569e53,2023,55,d,35,d,35,35,yes,a0021ea0-4555-4c0b-a3ea-58a9d28d422a,,no,MATCH,high,"working: Integer solutions of p+q+r+s=396 with 0..100 each = deficits summing to 4 across 4 papers = C(7,3)=35 (brute-force confirmed)."
702861ac-5081-4a14-bbed-cd5115a7d90e,586d515e-2d3d-485d-a944-3983e4569e53,2023,56,c,24,c,24,24,yes,5a35cfca-65cd-47da-9eaa-e8f131cc7109,,no,MATCH,high,working: 3*2*2*2 = 24 (enumerated).
e771c4d7-b18c-4355-9956-2e18028fa819,586d515e-2d3d-485d-a944-3983e4569e53,2023,57,c,8,d,9,9,yes,bcfded8b-30f8-4aa2-b214-5228efe1cc4c,79704d16-27d0-470e-aa02-da0ad22ec5de,yes,CORRECTION,high,"UPSC final key and independent solve agree on (d) against stored (c); working: Exhaustive packing search on 20cm grid (400x220 floor = 20x11 units, tile 7x3 units) gives max 9; e.g. layout found with 9 tiles (area 7.56 of 8.8 m^2). Naive 2-block layout only gives 8."
49f887cc-3b8e-4e28-ab51-7baddc545bb4,586d515e-2d3d-485d-a944-3983e4569e53,2023,58,d,24,d,24,24,yes,7f83dfae-950c-40e2-9b34-910dd00176ab,,no,MATCH,high,working: Task-2 to R or S (2 ways); Task-1 from remaining non-P/Q persons (2 ways: the other of R/S or T); remaining 3 tasks 3! -> 2*2*6=24 (enumerated).
1b919613-e5ed-4ee9-9e00-009d836427f0,586d515e-2d3d-485d-a944-3983e4569e53,2023,59,c,Both 1 and 2,c,Both 1 and 2,Both 1 and 2,yes,917d623e-4733-4166-8c33-e51858250ce9,,no,MATCH,high,"working: DP min coins for exact 78 using {2,5,10,25,50} = 7 (e.g. 50+10+10+2+2+2+2) -> 1 true. On a balance, 50+25+5 vs 2 on other pan = 4 coins < 7 -> 2 true."
088fc30c-f159-4b2f-9aa3-5b0c7f561e79,586d515e-2d3d-485d-a944-3983e4569e53,2023,60,b,Only Conclusion-2 follows from the Statement.,b,Only Conclusion-2 follows from the Statement.,Only Conclusion-2 follows from the Statement.,yes,45a1a436-dc7a-45bb-a6fc-32c57f066164,,no,MATCH,high,"working: P>=Q, P<=T, T<R, R=S. Q=T not forced. S=R>T>=P>=Q so S>Q -> only conclusion 2."
fc73e8d4-a441-4a9c-854b-052a651a2b58,586d515e-2d3d-485d-a944-3983e4569e53,2023,61,d,Agroecosystems should be developed in addition to or along with conventional agriculture.,d,Agroecosystems should be developed in addition to or along with conventional agriculture.,not solvable: passage not present,no,9b4f5a2d-9459-4737-8370-5c033be36887,,no,MATCH,medium,stored key equals UPSC key by letter; not independently solvable; stem: passage not present; working: Question depends on a reading passage absent from the stem.
eff395ab-50d0-4985-9fd3-dab992e9096d,586d515e-2d3d-485d-a944-3983e4569e53,2023,62,a,It is necessary to put proper effluent treatment protocols in place.,a,It is necessary to put proper effluent treatment protocols in place.,not solvable: passage not present,no,46e34fcd-da09-4f92-9c3d-76fd41cab0eb,,no,MATCH,medium,stored key equals UPSC key by letter; not independently solvable; stem: passage not present; working: Question depends on a reading passage absent from the stem.
a0bdf220-c662-4b95-a5fc-e4c394a91959,586d515e-2d3d-485d-a944-3983e4569e53,2023,63,a,"To become a global power, India needs to invest in universal quality education.",a,"To become a global power, India needs to invest in universal quality education.",not solvable: passage not present,no,85c8fd22-1be9-466c-afc5-513800af48b5,,no,MATCH,medium,stored key equals UPSC key by letter; not independently solvable; stem: passage not present; working: Question depends on a reading passage absent from the stem.
a26760a3-9507-40c3-b959-fb110e838a9b,586d515e-2d3d-485d-a944-3983e4569e53,2023,64,b,15,b,15,15,yes,5ebbee67-967e-4f8a-95ab-aa3ea514ff93,,no,MATCH,high,working: Ring after k passes at child 1+k(k+1)/2 mod 40; first k with k(k+1)/2 divisible by 40 is k=15 (120). Wording '(including child-1)' slightly ambiguous; 15 passes.
c605d6fc-8815-47c4-8d60-861999b9ded0,586d515e-2d3d-485d-a944-3983e4569e53,2023,65,b,I,b,I,I,yes,1503252b-cd0d-4dbf-b7fb-c9446b11eb9f,,no,MATCH,high,working: Letter i from Z repeats 2..27 times; total 377 terms; middle = 189th = I.
0d77904e-8e4f-424b-9b72-ad508077abe7,586d515e-2d3d-485d-a944-3983e4569e53,2023,66,d,The Question cannot be answered even by using both the Statements together.,d,The Question cannot be answered even by using both the Statements together.,The Question cannot be answered even by using both the Statements together.,yes,f0f6e76e-0be0-4d61-9a16-7488f7a089db,,no,MATCH,high,"working: pq>0 and p^2>q^2 give same sign and |p|>|q|: p>q if positive, p<q if negative -> undetermined even together."
82d6865c-ade4-433e-9dfa-bb6c8bfb31ba,586d515e-2d3d-485d-a944-3983e4569e53,2023,67,c,"The Question can be answered by using both the Statements together, but cannot be answered using either Statement alone.",c,"The Question can be answered by using both the Statements together, but cannot be answered using either Statement alone.","The Question can be answered by using both the Statements together, but cannot be answered using either Statement alone.",yes,edd3ed17-5ebd-4b24-b99a-94c9cd08581b,,no,MATCH,high,"working: Question reduces to q>r. S1 p>q alone, S2 p<r alone insufficient; together q<p<r gives definite answer (No)."
8b604322-e7e7-497b-94ae-fa14a455d26b,586d515e-2d3d-485d-a944-3983e4569e53,2023,68,a,"The Question can be answered by using one of the Statements alone, but cannot be answered using the other Statement alone.",a,"The Question can be answered by using one of the Statements alone, but cannot be answered using the other Statement alone.","The Question can be answered by using one of the Statements alone, but cannot be answered using the other Statement alone.",yes,5ccc47b5-f067-48d9-9e5c-903947d40949,,no,MATCH,high,"working: Tea∪coffee=120; total = 120 + milk-only. S1 (milk 50) insufficient since milk∩coffee unknown. S2: N=5m, N=120+m -> m=30, N=150. Only S2 sufficient."
46f19baa-4038-46ea-b652-ea8b9067cacd,586d515e-2d3d-485d-a944-3983e4569e53,2023,69,d,The Question cannot be answered even by using both the Statements together.,d,The Question cannot be answered even by using both the Statements together.,The Question cannot be answered even by using both the Statements together.,yes,ae67e8ad-2796-4786-924d-4a0276fa0ece,,no,MATCH,high,"working: S1: digits {1,2,3}: 6 numbers. S2 alone many. Together: 132 and 312 both divisible by 6 -> not unique."
ce487fe5-4ee6-4548-b61a-b7f5cd5a4761,586d515e-2d3d-485d-a944-3983e4569e53,2023,70,b,The Question can be answered by using either Statement alone.,b,The Question can be answered by using either Statement alone.,The Question can be answered by using either Statement alone.,yes,409f3897-7695-42e7-a7e2-88747f72096f,,no,MATCH,high,working: Ages a..a+8. S1: a+8=3a -> a=4. S2: mean a+4=8 -> a=4. Either alone.
54315efe-47a6-4d33-bd10-742db1873af5,586d515e-2d3d-485d-a944-3983e4569e53,2023,71,a,1 only,a,1 only,not solvable: passage not present,no,aba2fd90-b508-4b1a-8f59-9a85214ad08d,,no,MATCH,medium,stored key equals UPSC key by letter; not independently solvable; stem: passage not present; working: Question depends on a reading passage absent from the stem.
2f117185-bd39-4ee5-926c-5627708fe99f,586d515e-2d3d-485d-a944-3983e4569e53,2023,72,a,An enhanced efficiency of use of nitrogen is imperative for both food production and environment.,a,An enhanced efficiency of use of nitrogen is imperative for both food production and environment.,not solvable: passage not present,no,0ceba984-e49e-4a3e-8a12-42d7c4eaf0f9,,no,MATCH,medium,stored key equals UPSC key by letter; not independently solvable; stem: passage not present; working: Question depends on a reading passage absent from the stem.
