slug	exams	name
cos-public-offers-to-be-in-dematerialised-form-39dc6b59	pfrda,sebi	Public offers to be in dematerialised form
cos-punishment-for-failure-to-distribute-dividend-370783bd	pfrda,sebi	Punishment for failure to distribute dividend
cos-quorum-for-a-board-meeting-eaaed9ee	pfrda,sebi	Quorum for a Board meeting
cos-quorum-requirements-for-a-general-meeting-f1ef188d	pfrda,sebi	Quorum requirements for a general meeting
cos-reduction-of-share-capital-dfd7d905	pfrda,sebi	Reduction of share capital
cos-registration-of-charges-73e3ea5e	pfrda,sebi	Registration of charges
cos-related-party-transactions-68181697	pfrda,sebi	Related party transactions
cos-removal-by-special-resolution-with-central-government-approv-d019da30	pfrda,sebi	Removal by special resolution with Central Government approval
cos-removal-of-name-from-the-register-of-companies-02ef9f3b	pfrda,sebi	Removal of name from the register of companies
cos-reporting-of-fraud-by-the-auditor-747e37c1	pfrda,sebi	Reporting of fraud by the auditor
cos-resignation-and-intimation-of-resignation-d30efe66	pfrda,sebi	Resignation and intimation of resignation
cos-resolutions-passed-by-circulation-61c1b2bb	pfrda,sebi	Resolutions passed by circulation
cos-schedules-of-the-companies-act-2013-5eddaf0e	pfrda,sebi	Schedules of the Companies Act 2013
cos-services-an-auditor-may-render-c7012cb4	pfrda,sebi	Services an auditor may render
cos-shelf-prospectus-and-abridged-prospectus-e6df180d	pfrda,sebi	Shelf prospectus and abridged prospectus
cos-small-shareholders-director-6ce7c901	pfrda,sebi	Small shareholders' director
cos-special-auditor-who-appoints-ab384079	pfrda,sebi	Special auditor — who appoints
cos-stakeholders-relationship-committee-964ed50d	pfrda,sebi	Stakeholders Relationship Committee
cos-transfer-and-transmission-partly-paid-shares-3ad10f34	pfrda,sebi	Transfer and transmission; partly paid shares
cos-transfer-to-the-unpaid-dividend-account-076df915	pfrda,sebi	Transfer to the Unpaid Dividend Account
cos-tribunal-s-power-to-rectify-its-own-order-424b3b8c	pfrda,sebi	Tribunal's power to rectify its own order
cos-tribunal-ordered-removal-of-an-auditor-9d6be110	pfrda,sebi	Tribunal-ordered removal of an auditor
cos-types-of-companies-one-person-company-ace862e4	pfrda,sebi	Types of companies; One Person Company
cos-vacation-of-office-resignation-and-removal-d74dfbe4	pfrda,sebi	Vacation of office, resignation and removal
cos-who-may-sign-for-an-llp-1f241269	pfrda,sebi	Who may sign for an LLP
cos-woman-director-and-resident-director-1a248713	pfrda,sebi	Woman director and resident director
cos-s-123-sources-of-dividend-ac8b492e	pfrda,sebi	s.123 sources of dividend
cos-s-124-seven-year-transfer-to-the-iepf-abca0f11	pfrda,sebi	s.124 seven-year transfer to the IEPF
cos-s-125-constitution-of-the-iepf-ef99b222	pfrda,sebi	s.125 constitution of the IEPF
cos-s-135-csr-obligation-and-excess-set-off-727f6a06	pfrda,sebi	s.135 CSR obligation and excess set-off
cos-s-141-eligibility-and-disqualification-d8425679	pfrda,sebi	s.141 eligibility and disqualification
cos-s-144-prohibited-non-audit-services-59190ee1	pfrda,sebi	s.144 prohibited non-audit services
cos-s-186-loans-and-investments-by-a-company-451c33a6	pfrda,sebi	s.186 loans and investments by a company
cos-s-32-red-herring-prospectus-and-filing-window-5e4b0142	pfrda,sebi	s.32 red herring prospectus and filing window
cos-s-39-minimum-application-money-7fd524e1	pfrda,sebi	s.39 minimum application money
cos-s-408-constitution-of-the-nclt-bb987696	pfrda,sebi	s.408 constitution of the NCLT
cos-s-409-qualification-of-president-and-members-3f689af9	pfrda,sebi	s.409 qualification of president and members
cos-s-44-shares-and-debentures-as-movable-property-0ae16328	pfrda,sebi	s.44 shares and debentures as movable property
cos-s-46-duplicate-share-certificate-and-penalty-3d5946a0	pfrda,sebi	s.46 duplicate share certificate and penalty
cos-s-52-securities-premium-permitted-applications-e2c9f050	pfrda,sebi	s.52 securities premium — permitted applications
cos-s-71-debentures-and-debenture-trustee-aa8bacb1	pfrda,sebi	s.71 debentures and debenture trustee
