slug	exams	name
cost-make-or-buy-and-shutdown-decisions-91b4aa14	ifsca,pfrda,sebi	Make-or-buy and shutdown decisions
cost-margin-of-safety-and-angle-of-incidence-611056b6	ifsca,pfrda,sebi	Margin of safety and angle of incidence
cost-marginal-costing-contribution-and-p-v-ratio-5dbaee83	ifsca,pfrda,sebi	Marginal costing — contribution and P/V ratio
cost-material-valuation-fifo-and-moving-average-b84d56ab	ifsca,pfrda,sebi	Material valuation — FIFO and moving average
cost-material-variances-price-usage-mix-yield-a9f55959	ifsca,pfrda,sebi	Material variances — price, usage, mix, yield
cost-objectives-and-scope-of-cost-and-management-accounting-2711c3c3	ifsca,pfrda,sebi	Objectives and scope of cost and management accounting
cost-operating-service-sector-costing-transport-hotel-healthcare-ad2bb07c	ifsca,pfrda,sebi	Operating / service sector costing — transport, hotel, healthcare
cost-overhead-absorption-bases-and-rates-65feb5ec	ifsca,pfrda,sebi	Overhead absorption — bases and rates
cost-overhead-variances-variable-and-fixed-f30f7130	ifsca,pfrda,sebi	Overhead variances — variable and fixed
cost-process-costing-normal-loss-abnormal-loss-abnormal-gain-18c2fe41	ifsca,pfrda,sebi	Process costing — normal loss, abnormal loss, abnormal gain
cost-process-innovation-and-business-process-re-engineering-b894f4ac	ifsca,pfrda,sebi	Process innovation and Business Process Re-engineering
cost-role-of-the-management-accountant-bb3480a3	ifsca,pfrda,sebi	Role of the management accountant
cost-sales-variances-price-volume-mix-cc222e43	ifsca,pfrda,sebi	Sales variances — price, volume, mix
cost-single-output-unit-costing-2222baee	ifsca,pfrda,sebi	Single output / unit costing
cost-six-sigma-dmaic-belts-defect-level-af9d959b	ifsca,pfrda,sebi	Six Sigma — DMAIC, belts, defect level
cost-standard-costing-types-of-standards-and-ideal-standard-4097314a	ifsca,pfrda,sebi	Standard costing — types of standards and ideal standard
cost-sunk-differential-opportunity-and-relevant-costs-52aa27f3	ifsca,pfrda,sebi	Sunk, differential, opportunity and relevant costs
cost-takt-time-980eeda3	ifsca,pfrda,sebi	Takt time
cost-target-costing-and-life-cycle-costing-4c0e5dfb	ifsca,pfrda,sebi	Target costing and life-cycle costing
cost-target-profit-sales-ac606b44	ifsca,pfrda,sebi	Target-profit sales
cost-total-productive-maintenance-and-oee-a1de98b7	ifsca,pfrda,sebi	Total Productive Maintenance and OEE
cost-under-and-over-absorption-normal-vs-abnormal-factors-c4746f5e	ifsca,pfrda,sebi	Under- and over-absorption — normal vs abnormal factors
cost-waste-scrap-spoilage-and-defectives-treatment-8068f1c3	ifsca,pfrda,sebi	Waste, scrap, spoilage and defectives — treatment
cost-method-selection-by-industry-c24f9d77	ifsca,pfrda,sebi	Which costing method suits which industry
cost-zero-base-and-performance-budgeting-dfb7b882	ifsca,pfrda,sebi	Zero-base and performance budgeting
