slug	exams	name
mgmt-hrd-subsystems-201f9c61	ifsca,pfrda,sebi	HRD subsystems
mgmt-hersey-blanchard-situational-leadership-082ac8ad	ifsca,pfrda,sebi	Hersey–Blanchard situational leadership
mgmt-herzberg-two-factor-theory-motivators-vs-hygiene-36490ed2	ifsca,pfrda,sebi	Herzberg two-factor theory — motivators vs hygiene
mgmt-incentives-vs-rewards-36bad494	ifsca,pfrda,sebi	Incentives vs rewards
mgmt-internal-vs-external-factors-affecting-governance-8f37de11	ifsca	Internal vs external factors affecting governance
mgmt-katz-s-managerial-skills-technical-human-conceptual-5726a053	ifsca,pfrda,sebi	Katz's managerial skills — technical, human, conceptual
mgmt-koontz-and-o-donnell-on-the-manager-s-function-1f231aca	ifsca,pfrda,sebi	Koontz and O'Donnell on the manager's function
mgmt-kurt-lewin-styles-autocratic-democratic-laissez-faire-6f5e8f58	ifsca,pfrda,sebi	Kurt Lewin styles — autocratic, democratic, laissez-faire
mgmt-leader-vs-manager-3c77b920	ifsca,pfrda,sebi	Leader vs manager
mgmt-levels-of-management-b6b7841a	ifsca,pfrda,sebi	Levels of management
mgmt-linking-function-of-the-manager-b80962d9	ifsca,pfrda,sebi	Linking function of the manager
mgmt-management-as-science-and-art-ff675366	ifsca,pfrda,sebi	Management as science and art
mgmt-manager-s-role-in-hrd-and-employee-support-25b21b1a	ifsca,pfrda,sebi	Manager's role in HRD and employee support
mgmt-maslow-s-hierarchy-of-needs-da8c774d	ifsca,pfrda,sebi	Maslow's hierarchy of needs
mgmt-mcclelland-s-needs-theory-bac953f8	ifsca,pfrda,sebi	McClelland's needs theory
mgmt-mcgregor-theory-x-and-theory-y-28580774	ifsca,pfrda,sebi	McGregor Theory X and Theory Y
mgmt-mechanisms-board-audit-committee-disclosure-5b828720	ifsca	Mechanisms — board, audit committee, disclosure
mgmt-mintzberg-decisional-roles-4baa053e	ifsca,pfrda,sebi	Mintzberg decisional roles
mgmt-mintzberg-informational-roles-monitor-disseminator-spokesper-baf36484	ifsca,pfrda,sebi	Mintzberg informational roles — monitor, disseminator, spokesperson
mgmt-mintzberg-interpersonal-roles-figurehead-leader-liaison-49fc125c	ifsca,pfrda,sebi	Mintzberg interpersonal roles — figurehead, leader, liaison
mgmt-morale-vs-motivation-520a1930	ifsca,pfrda,sebi	Morale vs motivation
mgmt-nadler-s-hrd-functions-f80a8958	ifsca,pfrda,sebi	Nadler's HRD functions
mgmt-oral-vs-written-communication-1dc286da	ifsca,pfrda,sebi	Oral vs written communication
mgmt-organising-meaning-and-scope-0ae6aa0f	ifsca,pfrda,sebi	Organising — meaning and scope
mgmt-pestel-analysis-dd98b34e	ifsca,pfrda,sebi	PESTEL analysis
mgmt-path-goal-theory-a09f2b6b	ifsca,pfrda,sebi	Path–Goal theory
mgmt-perception-and-selective-perception-174dc7bc	ifsca,pfrda,sebi	Perception and selective perception
mgmt-planning-as-a-prerequisite-function-eaddfc36	ifsca,pfrda,sebi	Planning as a prerequisite function
mgmt-planning-premises-bc03fd6f	ifsca,pfrda,sebi	Planning premises
mgmt-planning-steps-and-sequence-6bfbdfe2	ifsca,pfrda,sebi	Planning — steps and sequence
mgmt-primary-functions-of-management-131b8158	ifsca,pfrda,sebi	Primary functions of management
mgmt-process-improvement-approaches-1d8ad304	ifsca,pfrda,sebi	Process improvement approaches
mgmt-psychological-barriers-f15aef7b	ifsca,pfrda,sebi	Psychological barriers
mgmt-pygmalion-effect-e43fef9d	ifsca,pfrda,sebi	Pygmalion effect
mgmt-qualities-and-traits-of-an-effective-leader-b8cf8ffc	ifsca,pfrda,sebi	Qualities and traits of an effective leader
mgmt-reward-and-punishment-approach-8108401a	ifsca,pfrda,sebi	Reward and punishment approach
mgmt-role-of-incentives-in-building-morale-d8240a6e	ifsca,pfrda,sebi	Role of incentives in building morale
mgmt-role-of-information-technology-in-communication-82c70812	ifsca,pfrda,sebi	Role of information technology in communication
mgmt-sebi-lodr-governance-requirements-4678f1e4	ifsca	SEBI LODR governance requirements
mgmt-smart-goal-setting-4bc18c16	ifsca,pfrda,sebi	SMART goal setting
mgmt-swot-analysis-7cc6b065	ifsca,pfrda,sebi	SWOT analysis
mgmt-semantic-barriers-jargon-and-terminology-fcabceac	ifsca,pfrda,sebi	Semantic barriers — jargon and terminology
mgmt-staffing-vs-organising-3a8aafb7	ifsca,pfrda,sebi	Staffing vs organising
mgmt-steps-in-the-communication-process-ed152e55	ifsca,pfrda,sebi	Steps in the communication process
mgmt-successful-leader-vs-effective-leader-a7a5b5ba	ifsca,pfrda,sebi	Successful leader vs effective leader
mgmt-succession-planning-and-potential-appraisal-66945317	ifsca,pfrda,sebi	Succession planning and potential appraisal
mgmt-taylor-s-scientific-management-1319b8f7	ifsca,pfrda,sebi	Taylor's scientific management
mgmt-training-outcomes-and-organisational-benefit-bea31ae3	ifsca,pfrda,sebi	Training outcomes and organisational benefit
mgmt-trait-approach-personality-intelligence-emotion-4fd09f0e	ifsca,pfrda,sebi	Trait approach — personality, intelligence, emotion
mgmt-transactional-vs-transformational-leadership-burns-68232741	ifsca,pfrda,sebi	Transactional vs transformational leadership (Burns)
mgmt-tuckman-s-stages-of-group-development-14ed76f4	ifsca,pfrda,sebi	Tuckman's stages of group development
mgmt-upward-downward-and-lateral-communication-330b22b2	ifsca,pfrda,sebi	Upward, downward and lateral communication
mgmt-verbal-vs-non-verbal-communication-d8ec7c6b	ifsca,pfrda,sebi	Verbal vs non-verbal communication
mgmt-vroom-expectancy-theory-valence-instrumentality-expectancy-68fb804d	ifsca,pfrda,sebi	Vroom expectancy theory — valence, instrumentality, expectancy
