slug	exams	name	act
fsa-fema-residential-status-under-s-2-v-a6cc6289	ifsca,pfrda,sebi	FEMA — residential status under s.2(v)	Foreign Exchange Management Act, 1999
fsa-fema-current-and-capital-account-transactions-s-5-s-6-and-lrs-cea4e175	ifsca,pfrda,sebi	FEMA — current and capital account transactions (s.5, s.6) and LRS	Foreign Exchange Management Act, 1999
fsa-fema-authorised-persons-and-rbi-directions-s-10-to-s-12-6a68c4c3	ifsca,pfrda,sebi	FEMA — authorised persons and RBI directions (s.10 to s.12)	Foreign Exchange Management Act, 1999
fsa-fema-penalties-enforcement-and-compounding-s-13-to-s-15-5d4c30c2	ifsca,pfrda,sebi	FEMA — penalties, enforcement and compounding (s.13 to s.15)	Foreign Exchange Management Act, 1999
fsa-fema-adjudication-and-appeals-f3c94c7a	ifsca,pfrda,sebi	FEMA — adjudication and appeals	Foreign Exchange Management Act, 1999
fsa-fema-civil-character-and-contrast-with-fera-05cf5ce6	ifsca,pfrda,sebi	FEMA — civil character and contrast with FERA	Foreign Exchange Management Act, 1999
fsa-competition-act-anti-competitive-agreements-s-3-6365e41c	ifsca,pfrda,sebi	Competition Act — anti-competitive agreements (s.3)	Competition Act, 2002
fsa-competition-act-abuse-of-dominant-position-s-4-d2e98375	ifsca,pfrda,sebi	Competition Act — abuse of dominant position (s.4)	Competition Act, 2002
fsa-competition-act-combinations-and-merger-control-s-5-s-6-d04b44db	ifsca,pfrda,sebi	Competition Act — combinations and merger control (s.5, s.6)	Competition Act, 2002
fsa-competition-act-cci-composition-and-inquiry-process-a6de3bbc	ifsca,pfrda,sebi	Competition Act — CCI composition and inquiry process	Competition Act, 2002
fsa-competition-act-penalties-and-lesser-penalty-s-27-s-46-be28b1f6	ifsca,pfrda,sebi	Competition Act — penalties and lesser penalty (s.27, s.46)	Competition Act, 2002
fsa-competition-act-settlement-commitment-and-appeals-60379d10	ifsca,pfrda,sebi	Competition Act — settlement, commitment and appeals	Competition Act, 2002
fsa-llp-act-partners-designated-partners-and-mutual-rights-2fc4debb	ifsca,pfrda,sebi	LLP Act — partners, designated partners and mutual rights	Limited Liability Partnership Act, 2008
fsa-llp-act-incorporation-legal-status-and-liability-4c17408f	ifsca,pfrda,sebi	LLP Act — incorporation, legal status and liability	Limited Liability Partnership Act, 2008
fsa-llp-act-conversion-into-llp-9695455d	ifsca,pfrda,sebi	LLP Act — conversion into LLP	Limited Liability Partnership Act, 2008
fsa-llp-act-small-llp-filings-and-decriminalisation-ea45d566	ifsca,pfrda,sebi	LLP Act — small LLP, filings and decriminalisation	Limited Liability Partnership Act, 2008
fsa-llp-act-winding-up-and-dissolution-81af7b12	ifsca,pfrda,sebi	LLP Act — winding up and dissolution	Limited Liability Partnership Act, 2008
fsa-pss-act-authorisation-revocation-and-appeal-s-4-s-9-s-34-6522ce78	ifsca,pfrda,sebi	PSS Act — authorisation, revocation and appeal (s.4–s.9, s.34)	Payment and Settlement Systems Act, 2007
fsa-pss-act-designated-authority-and-payments-regulatory-board-s-3-42d69444	ifsca,pfrda,sebi	PSS Act — designated authority and Payments Regulatory Board (s.3)	Payment and Settlement Systems Act, 2007
fsa-pss-act-settlement-finality-netting-and-customer-funds-s-23-s-23a-558d449e	ifsca,pfrda,sebi	PSS Act — settlement finality, netting and customer funds (s.23, s.23A)	Payment and Settlement Systems Act, 2007
fsa-pss-act-rbi-directions-and-oversight-s-17-8adadd3b	ifsca,pfrda,sebi	PSS Act — RBI directions and oversight (s.17)	Payment and Settlement Systems Act, 2007
fsa-pss-act-offences-penalties-and-eft-dishonour-s-25-s-30-1628f8d5	ifsca,pfrda,sebi	PSS Act — offences, penalties and EFT dishonour (s.25–s.30)	Payment and Settlement Systems Act, 2007
fsa-cicra-registration-and-minimum-capital-of-credit-information-companies-4adf6a55	ifsca,pfrda,sebi	CICRA — registration and minimum capital of credit information companies	Credit Information Companies (Regulation) Act, 2005
fsa-cicra-credit-institutions-membership-and-specified-users-68d8c34e	ifsca,pfrda,sebi	CICRA — credit institutions, membership and specified users	Credit Information Companies (Regulation) Act, 2005
fsa-cicra-privacy-principles-and-unauthorised-access-88b9d2f2	ifsca,pfrda,sebi	CICRA — privacy principles and unauthorised access	Credit Information Companies (Regulation) Act, 2005
fsa-cicra-correction-of-credit-information-and-dispute-timelines-69b7c986	ifsca,pfrda,sebi	CICRA — correction of credit information and dispute timelines	Credit Information Companies (Regulation) Act, 2005
fsa-cicra-offences-and-rbi-penalties-1100a1bc	ifsca,pfrda,sebi	CICRA — offences and RBI penalties	Credit Information Companies (Regulation) Act, 2005
fsa-factoring-act-factoring-business-assignor-debtor-and-receivables-78348f29	ifsca,pfrda,sebi	Factoring Act — factoring business, assignor, debtor and receivables	Factoring Regulation Act, 2011
fsa-factoring-act-registration-of-factors-and-rbi-powers-7084663c	ifsca,pfrda,sebi	Factoring Act — registration of factors and RBI powers	Factoring Regulation Act, 2011
fsa-factoring-act-assignment-notice-and-rights-of-the-factor-1e053e13	ifsca,pfrda,sebi	Factoring Act — assignment, notice and rights of the factor	Factoring Regulation Act, 2011
fsa-factoring-act-registration-of-assignments-with-cersai-and-treds-072f8843	ifsca,pfrda,sebi	Factoring Act — registration of assignments with CERSAI and TReDS	Factoring Regulation Act, 2011
fsa-factoring-act-penalties-2fddcc92	ifsca,pfrda,sebi	Factoring Act — penalties	Factoring Regulation Act, 2011
fsa-ni-act-promissory-notes-bills-of-exchange-and-cheques-4375664f	ifsca,pfrda,sebi	NI Act — promissory notes, bills of exchange and cheques	Negotiable Instruments Act, 1881
fsa-ni-act-holder-holder-in-due-course-and-negotiation-7e1a816c	ifsca,pfrda,sebi	NI Act — holder, holder in due course and negotiation	Negotiable Instruments Act, 1881
fsa-ni-act-maturity-and-days-of-grace-d0a1b497	ifsca,pfrda,sebi	NI Act — maturity and days of grace	Negotiable Instruments Act, 1881
fsa-ni-act-crossing-of-cheques-and-banker-protection-bc226f72	ifsca,pfrda,sebi	NI Act — crossing of cheques and banker protection	Negotiable Instruments Act, 1881
fsa-ni-act-cheque-dishonour-under-s-138-and-complaint-timelines-24c62cde	ifsca,pfrda,sebi	NI Act — cheque dishonour under s.138 and complaint timelines	Negotiable Instruments Act, 1881
fsa-ni-act-interim-compensation-and-appeal-deposit-s-143a-s-148-25c1830e	ifsca,pfrda,sebi	NI Act — interim compensation and appeal deposit (s.143A, s.148)	Negotiable Instruments Act, 1881
fsa-ibc-cirp-initiation-default-threshold-and-applicants-s-4-7-9-10-7f5412f4	ifsca,pfrda,sebi	IBC — CIRP initiation, default threshold and applicants (s.4, 7, 9, 10)	Insolvency and Bankruptcy Code, 2016
fsa-ibc-moratorium-irp-rp-and-coc-decision-making-f56b7503	ifsca,pfrda,sebi	IBC — moratorium, IRP/RP and CoC decision-making	Insolvency and Bankruptcy Code, 2016
fsa-ibc-cirp-timelines-resolution-plan-and-s-29a-ineligibility-f0234a1a	ifsca,pfrda,sebi	IBC — CIRP timelines, resolution plan and s.29A ineligibility	Insolvency and Bankruptcy Code, 2016
fsa-ibc-liquidation-waterfall-under-s-53-8a25ca49	ifsca,pfrda,sebi	IBC — liquidation waterfall under s.53	Insolvency and Bankruptcy Code, 2016
fsa-ibc-pre-packaged-insolvency-for-msmes-and-ibbi-11958b40	ifsca,pfrda,sebi	IBC — pre-packaged insolvency for MSMEs and IBBI	Insolvency and Bankruptcy Code, 2016
fsa-sarfaesi-s-13-demand-notice-representation-and-enforcement-measures-a2da9bf8	ifsca,pfrda,sebi	SARFAESI — s.13 demand notice, representation and enforcement measures	Securitisation and Reconstruction of Financial Assets and Enforcement of Security Interest Act, 2002
fsa-sarfaesi-consortium-consent-s-13-9-and-cmm-dm-assistance-s-14-c946b8b5	ifsca,pfrda,sebi	SARFAESI — consortium consent (s.13(9)) and CMM/DM assistance (s.14)	Securitisation and Reconstruction of Financial Assets and Enforcement of Security Interest Act, 2002
fsa-sarfaesi-drt-application-s-17-and-drat-pre-deposit-s-18-cabe157d	ifsca,pfrda,sebi	SARFAESI — DRT application (s.17) and DRAT pre-deposit (s.18)	Securitisation and Reconstruction of Financial Assets and Enforcement of Security Interest Act, 2002
fsa-sarfaesi-exclusions-under-s-31-and-applicability-9d414489	ifsca,pfrda,sebi	SARFAESI — exclusions under s.31 and applicability	Securitisation and Reconstruction of Financial Assets and Enforcement of Security Interest Act, 2002
fsa-sarfaesi-asset-reconstruction-companies-and-cersai-39fcd4cb	ifsca,pfrda,sebi	SARFAESI — asset reconstruction companies and CERSAI	Securitisation and Reconstruction of Financial Assets and Enforcement of Security Interest Act, 2002
fsa-rdb-act-drt-jurisdiction-and-pecuniary-threshold-21a137a0	ifsca,pfrda,sebi	RDB Act — DRT jurisdiction and pecuniary threshold	Recovery of Debts and Bankruptcy Act, 1993
fsa-rdb-act-original-application-procedure-and-limitation-d67663ae	ifsca,pfrda,sebi	RDB Act — original application procedure and limitation	Recovery of Debts and Bankruptcy Act, 1993
fsa-rdb-act-drat-appeal-and-pre-deposit-e3ce98e7	ifsca,pfrda,sebi	RDB Act — DRAT appeal and pre-deposit	Recovery of Debts and Bankruptcy Act, 1993
fsa-rdb-act-recovery-certificate-and-recovery-officer-296b5aca	ifsca,pfrda,sebi	RDB Act — recovery certificate and recovery officer	Recovery of Debts and Bankruptcy Act, 1993
fsa-pmla-offence-of-money-laundering-and-punishment-s-3-s-4-6b07b190	ifsca,pfrda,sebi	PMLA — offence of money laundering and punishment (s.3, s.4)	Prevention of Money-laundering Act, 2002
fsa-pmla-scheduled-offences-and-proceeds-of-crime-f5f7d7ab	ifsca,pfrda,sebi	PMLA — scheduled offences and proceeds of crime	Prevention of Money-laundering Act, 2002
fsa-pmla-reporting-entities-record-keeping-and-fiu-ind-39142814	ifsca,pfrda,sebi	PMLA — reporting entities, record-keeping and FIU-IND	Prevention of Money-laundering Act, 2002
fsa-pmla-provisional-attachment-and-adjudicating-authority-2705095f	ifsca,pfrda,sebi	PMLA — provisional attachment and Adjudicating Authority	Prevention of Money-laundering Act, 2002
fsa-pmla-arrest-bail-s-45-appellate-tribunal-and-s-66-10f83185	ifsca,pfrda,sebi	PMLA — arrest, bail (s.45), Appellate Tribunal and s.66	Prevention of Money-laundering Act, 2002
fsa-sebi-act-establishment-board-composition-and-functions-117fb99d	ifsca,pfrda,sebi	SEBI Act — establishment, Board composition and functions	Securities and Exchange Board of India Act, 1992
fsa-sebi-act-directions-interim-measures-cis-and-registration-d5e8f953	ifsca,pfrda,sebi	SEBI Act — directions, interim measures, CIS and registration	Securities and Exchange Board of India Act, 1992
fsa-sebi-act-chapter-via-penalties-and-adjudication-1665ac49	ifsca,pfrda,sebi	SEBI Act — Chapter VIA penalties and adjudication	Securities and Exchange Board of India Act, 1992
fsa-sebi-act-sat-appeals-settlement-recovery-and-offences-5dc5f8e7	ifsca,pfrda,sebi	SEBI Act — SAT appeals, settlement, recovery and offences	Securities and Exchange Board of India Act, 1992
fsa-scra-definitions-of-securities-derivatives-spot-delivery-and-options-c6d22c82	ifsca,pfrda,sebi	SCRA — definitions of securities, derivatives, spot delivery and options	Securities Contracts (Regulation) Act, 1956
fsa-scra-recognition-bye-laws-and-control-of-stock-exchanges-d57338bc	ifsca,pfrda,sebi	SCRA — recognition, bye-laws and control of stock exchanges	Securities Contracts (Regulation) Act, 1956
fsa-scra-contracts-in-notified-areas-and-legality-of-derivatives-6c68e473	ifsca,pfrda,sebi	SCRA — contracts in notified areas and legality of derivatives	Securities Contracts (Regulation) Act, 1956
fsa-scra-listing-delisting-appeals-and-minimum-public-shareholding-9547a88f	ifsca,pfrda,sebi	SCRA — listing, delisting appeals and minimum public shareholding	Securities Contracts (Regulation) Act, 1956
fsa-scra-penalties-and-adjudication-under-s-23-to-s-23h-4a18aa02	ifsca,pfrda,sebi	SCRA — penalties and adjudication under s.23 to s.23H	Securities Contracts (Regulation) Act, 1956
fsa-depositories-act-depository-participant-and-beneficial-owner-9c56d888	ifsca,pfrda,sebi	Depositories Act — depository, participant and beneficial owner	Depositories Act, 1996
fsa-depositories-act-option-to-hold-transfer-fungibility-and-opt-out-61f0883c	ifsca,pfrda,sebi	Depositories Act — option to hold, transfer, fungibility and opt-out	Depositories Act, 1996
fsa-depositories-act-rights-of-depository-and-bo-pledge-and-indemnity-60813add	ifsca,pfrda,sebi	Depositories Act — rights of depository and BO, pledge and indemnity	Depositories Act, 1996
fsa-depositories-act-penalties-sebi-powers-and-appeals-eab300cd	ifsca,pfrda,sebi	Depositories Act — penalties, SEBI powers and appeals	Depositories Act, 1996
