source,file,year,paper,question_number,paper_local_number,global_number,en_len,verdict,best_score,best_other_score,best_other_year,best_other_paper,ocr_derived,scoring_pass
db,UPSCCSEMains2016GS2.json,2016,GS2,2,2,22,104,orphan,51.5,57.4,2014,GS2,true,phase3
db,UPSCCSEMains2016GS2.json,2016,GS2,3,3,23,123,orphan,51.3,53.8,2020,GS2,true,phase3
db,UPSCCSEMains2016GS2.json,2016,GS2,4,4,24,125,orphan,50.0,59.8,2018,GS2,true,phase3
db,UPSCCSEMains2016GS2.json,2016,GS2,5,5,25,135,orphan,50.4,63.6,2014,GS2,true,phase3
db,UPSCCSEMains2016GS2.json,2016,GS2,6,6,26,123,orphan,50.0,65.8,2017,GS4,true,phase3
db,UPSCCSEMains2016GS2.json,2016,GS2,7,7,27,88,orphan,50.6,64.7,2020,GS2,true,phase3
db,UPSCCSEMains2016GS2.json,2016,GS2,8,8,28,134,orphan,50.0,54.6,2013,GS1,true,phase3
db,UPSCCSEMains2016GS2.json,2016,GS2,9,9,29,114,orphan,50.0,56.4,2026,GS3,true,phase3
db,UPSCCSEMains2016GS2.json,2016,GS2,10,10,30,107,orphan,60.6,55.8,2014,GS2,true,phase3
db,UPSCCSEMains2016GS2.json,2016,GS2,11,11,31,113,orphan,56.2,55.4,2016,GS3,true,phase3
db,UPSCCSEMains2016GS2.json,2016,GS2,12,12,32,142,orphan,50.4,53.2,2015,GS2,true,phase3
db,UPSCCSEMains2016GS2.json,2016,GS2,13,13,33,131,orphan,50.4,54.3,2026,GS2,true,phase3
db,UPSCCSEMains2016GS2.json,2016,GS2,14,14,34,111,orphan,57.4,54.6,2015,GS2,true,phase3
db,UPSCCSEMains2016GS2.json,2016,GS2,15,15,35,98,orphan,50.0,55.2,2026,GS4,true,phase3
db,UPSCCSEMains2016GS2.json,2016,GS2,16,16,36,151,orphan,46.9,51.7,2014,GS4,true,phase3
db,UPSCCSEMains2016GS2.json,2016,GS2,17,17,37,130,orphan,52.8,56.7,2026,GS4,true,phase3
db,UPSCCSEMains2016GS2.json,2016,GS2,18,18,38,102,orphan,60.4,61.4,2026,GS2,true,phase3
db,UPSCCSEMains2016GS2.json,2016,GS2,19,19,39,134,orphan,51.9,55.0,2026,GS2,true,phase3
db,UPSCCSEMains2016GS2.json,2016,GS2,20,20,40,131,orphan,55.0,55.8,2019,GS3,true,phase3
db,UPSCCSEMains2017APPENDGS1GS2Essay.json,2017,GS1,40,1,1,125,unverifiable,,53.2,2018,GS2,true,phase3
db,UPSCCSEMains2017APPENDGS1GS2Essay.json,2017,GS1,41,2,2,91,unverifiable,,52.2,2013,GS2,true,phase3
db,UPSCCSEMains2017APPENDGS1GS2Essay.json,2017,GS1,42,3,3,150,unverifiable,,50.3,2019,GS4,true,phase3
db,UPSCCSEMains2017APPENDGS1GS2Essay.json,2017,GS1,43,4,4,76,unverifiable,,56.0,2013,GS1,true,phase3
db,UPSCCSEMains2017APPENDGS1GS2Essay.json,2017,GS1,44,5,5,91,unverifiable,,60.0,2026,GS2,true,phase3
db,UPSCCSEMains2017APPENDGS1GS2Essay.json,2017,GS1,45,6,6,102,unverifiable,,56.7,2014,GS3,true,phase3
db,UPSCCSEMains2017APPENDGS1GS2Essay.json,2017,GS1,46,7,7,154,unverifiable,,51.0,2016,GS2,true,phase3
db,UPSCCSEMains2017APPENDGS1GS2Essay.json,2017,GS1,47,8,8,46,unverifiable,,60.0,2013,GS1,true,phase3
db,UPSCCSEMains2017APPENDGS1GS2Essay.json,2017,GS1,48,9,9,140,unverifiable,,52.9,2018,GS2,true,phase3
db,UPSCCSEMains2017APPENDGS1GS2Essay.json,2017,GS1,49,10,10,136,unverifiable,,56.3,2016,GS2,true,phase3
db,UPSCCSEMains2017APPENDGS1GS2Essay.json,2017,GS1,50,11,11,176,unverifiable,,50.9,2016,GS3,true,phase3
db,UPSCCSEMains2017APPENDGS1GS2Essay.json,2017,GS1,51,12,12,103,unverifiable,,55.9,2026,GS2,true,phase3
db,UPSCCSEMains2017APPENDGS1GS2Essay.json,2017,GS1,52,13,13,138,unverifiable,,53.3,2026,GS2,true,phase3
db,UPSCCSEMains2017APPENDGS1GS2Essay.json,2017,GS1,53,14,14,85,unverifiable,,53.6,2016,GS4,true,phase3
db,UPSCCSEMains2017APPENDGS1GS2Essay.json,2017,GS1,54,15,15,160,unverifiable,,51.0,2013,GS3,true,phase3
db,UPSCCSEMains2017APPENDGS1GS2Essay.json,2017,GS1,55,16,16,124,unverifiable,,54.5,2020,GS4,true,phase3
db,UPSCCSEMains2017APPENDGS1GS2Essay.json,2017,GS1,56,17,17,88,unverifiable,,57.5,2017,GS3,true,phase3
db,UPSCCSEMains2017APPENDGS1GS2Essay.json,2017,GS1,57,18,18,117,unverifiable,,57.1,2014,GS2,true,phase3
db,UPSCCSEMains2017APPENDGS1GS2Essay.json,2017,GS1,58,19,19,156,unverifiable,,51.0,2018,GS4,true,phase3
db,UPSCCSEMains2017APPENDGS1GS2Essay.json,2017,GS1,59,20,20,149,unverifiable,,52.8,2023,GS4,true,phase3
db,UPSCCSEMains2017APPENDGS1GS2Essay.json,2017,GS2,60,1,21,182,unverifiable,,58.4,2015,GS2,true,phase3
db,UPSCCSEMains2017APPENDGS1GS2Essay.json,2017,GS2,61,2,22,130,unverifiable,,56.0,2016,GS2,true,phase3
db,UPSCCSEMains2017APPENDGS1GS2Essay.json,2017,GS2,62,3,23,202,unverifiable,,52.5,2016,GS2,true,phase3
db,UPSCCSEMains2017APPENDGS1GS2Essay.json,2017,GS2,63,4,24,151,unverifiable,,52.3,2018,GS2,true,phase3
db,UPSCCSEMains2017APPENDGS1GS2Essay.json,2017,GS2,64,5,25,109,unverifiable,,57.4,2014,GS2,true,phase3
db,UPSCCSEMains2017APPENDGS1GS2Essay.json,2017,GS2,65,6,26,259,unverifiable,,49.8,2020,GS4,true,phase3
db,UPSCCSEMains2017APPENDGS1GS2Essay.json,2017,GS2,66,7,27,140,unverifiable,,52.6,2017,GS3,true,phase3
db,UPSCCSEMains2017APPENDGS1GS2Essay.json,2017,GS2,67,8,28,152,unverifiable,,50.7,2020,GS2,true,phase3
db,UPSCCSEMains2017APPENDGS1GS2Essay.json,2017,GS2,68,9,29,205,unverifiable,,52.5,2026,GS2,true,phase3
db,UPSCCSEMains2017APPENDGS1GS2Essay.json,2017,GS2,69,10,30,144,unverifiable,,53.6,2026,GS2,true,phase3
db,UPSCCSEMains2017APPENDGS1GS2Essay.json,2017,GS2,70,11,31,232,unverifiable,,50.7,2016,GS2,true,phase3
db,UPSCCSEMains2017APPENDGS1GS2Essay.json,2017,GS2,71,12,32,118,unverifiable,,56.4,2026,GS2,true,phase3
db,UPSCCSEMains2017APPENDGS1GS2Essay.json,2017,GS2,72,13,33,218,unverifiable,,52.1,2026,GS4,true,phase3
db,UPSCCSEMains2017APPENDGS1GS2Essay.json,2017,GS2,73,14,34,211,unverifiable,,51.7,2026,GS2,true,phase3
db,UPSCCSEMains2017APPENDGS1GS2Essay.json,2017,GS2,74,15,35,171,unverifiable,,56.2,2023,GS4,true,phase3
db,UPSCCSEMains2017APPENDGS1GS2Essay.json,2017,GS2,75,16,36,187,unverifiable,,52.2,2023,GS3,true,phase3
db,UPSCCSEMains2017APPENDGS1GS2Essay.json,2017,GS2,76,17,37,215,unverifiable,,100.0,2015,GS2,true,phase3
db,UPSCCSEMains2017APPENDGS1GS2Essay.json,2017,GS2,77,18,38,140,unverifiable,,92.8,2016,GS2,true,phase3
db,UPSCCSEMains2017APPENDGS1GS2Essay.json,2017,GS2,78,19,39,188,unverifiable,,52.2,2026,GS2,true,phase3
db,UPSCCSEMains2017APPENDGS1GS2Essay.json,2017,GS2,79,20,40,161,unverifiable,,57.3,2015,GS2,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS1,1,1,1,72,unverifiable,,57.1,2016,GS2,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS1,2,2,2,119,unverifiable,,57.6,2016,GS2,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS1,3,3,3,87,unverifiable,,55.8,2026,GS3,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS1,4,4,4,100,unverifiable,,56.2,2013,GS4,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS1,5,5,5,55,unverifiable,,59.3,2023,GS3,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS1,6,6,6,60,unverifiable,,59.3,2023,GS3,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS1,7,7,7,75,unverifiable,,63.9,2014,GS4,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS1,8,8,8,126,unverifiable,,52.5,2026,GS3,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS1,9,9,9,155,unverifiable,,53.3,2018,GS2,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS1,10,10,10,96,unverifiable,,60.6,2014,GS2,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS1,11,11,11,110,unverifiable,,52.8,2026,GS4,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS1,12,12,12,102,unverifiable,,55.4,2014,GS2,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS1,13,13,13,144,unverifiable,,51.4,2018,GS4,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS1,14,14,14,138,unverifiable,,52.2,2023,GS3,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS1,15,15,15,100,unverifiable,,56.1,2016,GS3,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS1,16,16,16,128,unverifiable,,56.0,2020,GS2,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS1,17,17,17,167,unverifiable,,52.1,2026,GS2,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS1,18,18,18,113,unverifiable,,54.1,2018,GS3,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS1,19,19,19,167,unverifiable,,50.9,2026,GS4,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS1,20,20,20,114,unverifiable,,54.5,2022,GS4,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS2,21,1,21,206,exact,100.0,53.0,2026,GS2,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS2,22,2,22,190,exact,100.0,61.3,2026,GS2,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS2,23,3,23,160,exact,100.0,51.3,2023,GS3,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS2,24,4,24,146,exact,99.3,50.7,2017,GS4,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS2,25,5,25,195,exact,100.0,50.8,2018,GS4,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS2,26,6,26,196,exact,100.0,50.5,2026,GS2,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS2,27,7,27,122,exact,100.0,51.7,2020,GS4,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS2,28,8,28,158,exact,100.0,57.5,2022,GS4,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS2,29,9,29,116,exact,99.1,54.1,2013,GS4,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS2,30,10,30,200,exact,100.0,54.6,2016,GS2,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS2,31,11,31,146,exact,99.3,53.2,2013,GS3,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS2,32,12,32,194,exact,100.0,51.3,2017,GS4,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS2,33,13,33,111,exact,100.0,53.2,2017,GS4,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS2,34,14,34,154,exact,100.0,52.3,2020,GS2,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS2,35,15,35,194,exact,100.0,50.3,2016,GS3,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS2,36,16,36,251,exact,99.6,49.6,2013,GS2,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS2,37,17,37,188,exact,100.0,50.3,2019,GS3,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS2,38,18,38,226,exact,98.2,51.1,2017,GS4,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS2,39,19,39,147,exact,100.0,56.6,2018,GS4,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS2,40,20,40,146,exact,100.0,56.9,2018,GS4,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS3,41,1,41,186,exact,100.0,51.7,2020,GS2,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS3,42,2,42,167,exact,100.0,50.0,2023,GS4,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS3,43,3,43,106,exact,100.0,52.9,2026,GS3,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS3,44,4,44,145,exact,99.3,55.6,2015,GS3,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS3,45,5,45,133,exact,100.0,50.4,2016,GS4,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS3,46,6,46,222,exact,100.0,50.0,2022,GS4,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS3,47,7,47,143,exact,100.0,55.1,2023,GS3,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS3,48,8,48,111,exact,100.0,56.1,2013,GS1,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS3,49,9,49,229,exact,100.0,48.9,2018,GS4,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS3,50,10,50,190,exact,100.0,51.4,2019,GS3,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS3,51,11,51,122,exact,95.9,54.5,2018,GS4,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS3,52,12,52,130,exact,100.0,51.2,2013,GS1,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS3,53,13,53,191,exact,100.0,49.5,2019,GS4,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS3,54,14,54,158,exact,100.0,53.2,2023,GS3,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS3,55,15,55,132,exact,100.0,53.8,2018,GS2,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS3,56,16,56,146,exact,100.0,54.2,2026,GS3,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS3,57,17,57,122,exact,100.0,50.4,2026,GS3,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS3,58,18,58,212,exact,99.5,47.3,2021,GS4,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS3,59,19,59,311,exact,99.3,48.7,2018,GS4,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS3,60,20,60,314,exact,99.7,48.4,2017,GS4,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS4,61,1,61,115,exact,100.0,57.1,2017,GS4,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS4,62,1,61,82,exact,100.0,66.2,2023,GS4,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS4,63,2,62,129,exact,100.0,54.3,2022,GS4,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS4,64,2,62,141,exact,100.0,57.0,2020,GS2,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS4,65,3,63,135,exact,100.0,53.8,2017,GS4,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS4,66,3,63,259,exact,100.0,52.0,2017,GS4,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS4,67,4,64,215,exact,100.0,50.5,2026,GS3,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS4,68,4,64,210,exact,97.1,52.4,2019,GS4,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS4,69,5,65,223,exact,100.0,49.3,2023,GS4,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS4,70,5,65,75,exact,100.0,60.8,2021,GS4,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS4,71,6,66,464,variant,89.8,49.4,2019,GS4,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS4,72,6,66,82,exact,100.0,55.8,2019,GS4,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS4,73,6,66,93,exact,100.0,51.1,2016,GS3,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS4,74,7,67,1388,exact,98.5,46.8,2022,GS4,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS4,75,8,68,1674,exact,98.9,47.0,2022,GS4,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS4,76,9,69,1003,exact,99.6,47.1,2022,GS4,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS4,77,10,70,1191,exact,95.7,47.4,2022,GS4,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS4,78,11,71,1414,exact,99.4,46.8,2021,GS4,true,phase3
db,UPSCCSEMains2018ALL.json,2018,GS4,79,12,72,1115,exact,99.1,47.3,2022,GS4,true,phase3
db,UPSCCSEMains2023ALL.json,2023,GS1,1,1,1,82,unverifiable,,56.8,2016,GS3,true,phase3
db,UPSCCSEMains2023ALL.json,2023,GS1,2,2,2,123,unverifiable,,54.1,2018,GS4,true,phase3
db,UPSCCSEMains2023ALL.json,2023,GS1,3,3,3,105,unverifiable,,57.7,2013,GS1,true,phase3
db,UPSCCSEMains2023ALL.json,2023,GS1,4,4,4,86,unverifiable,,57.6,2013,GS4,true,phase3
db,UPSCCSEMains2023ALL.json,2023,GS1,5,5,5,102,unverifiable,,53.5,2013,GS1,true,phase3
db,UPSCCSEMains2023ALL.json,2023,GS1,6,6,6,94,unverifiable,,55.4,2016,GS4,true,phase3
db,UPSCCSEMains2023ALL.json,2023,GS1,7,7,7,168,unverifiable,,50.6,2018,GS3,true,phase3
db,UPSCCSEMains2023ALL.json,2023,GS1,8,8,8,74,unverifiable,,53.4,2013,GS2,true,phase3
db,UPSCCSEMains2023ALL.json,2023,GS1,9,9,9,70,unverifiable,,60.9,2022,GS4,true,phase3
db,UPSCCSEMains2023ALL.json,2023,GS1,10,10,10,107,unverifiable,,50.5,2016,GS2,true,phase3
db,UPSCCSEMains2023ALL.json,2023,GS1,11,11,11,131,unverifiable,,55.8,2018,GS2,true,phase3
db,UPSCCSEMains2023ALL.json,2023,GS1,12,12,12,147,unverifiable,,52.4,2017,GS3,true,phase3
db,UPSCCSEMains2023ALL.json,2023,GS1,13,13,13,114,unverifiable,,54.9,2018,GS2,true,phase3
db,UPSCCSEMains2023ALL.json,2023,GS1,14,14,14,137,unverifiable,,54.4,2018,GS3,true,phase3
db,UPSCCSEMains2023ALL.json,2023,GS1,15,15,15,171,unverifiable,,55.6,2017,GS3,true,phase3
db,UPSCCSEMains2023ALL.json,2023,GS1,16,16,16,79,unverifiable,,61.5,2016,GS2,true,phase3
db,UPSCCSEMains2023ALL.json,2023,GS1,17,17,17,110,unverifiable,,51.4,2018,GS2,true,phase3
db,UPSCCSEMains2023ALL.json,2023,GS1,18,18,18,101,unverifiable,,58.0,2020,GS2,true,phase3
db,UPSCCSEMains2023ALL.json,2023,GS1,19,19,19,53,unverifiable,,57.7,2018,GS2,true,phase3
db,UPSCCSEMains2023ALL.json,2023,GS1,20,20,20,78,unverifiable,,58.4,2016,GS2,true,phase3
db,UPSCCSEMains2023ALL.json,2023,GS2,21,1,21,92,unverifiable,,54.5,2018,GS2,true,phase3
db,UPSCCSEMains2023ALL.json,2023,GS2,22,2,22,146,unverifiable,,52.1,2020,GS4,true,phase3
db,UPSCCSEMains2023ALL.json,2023,GS2,23,3,23,117,unverifiable,,50.4,2016,GS2,true,phase3
db,UPSCCSEMains2023ALL.json,2023,GS2,24,4,24,84,unverifiable,,54.2,2013,GS2,true,phase3
db,UPSCCSEMains2023ALL.json,2023,GS2,25,5,25,176,unverifiable,,50.9,2013,GS3,true,phase3
db,UPSCCSEMains2023ALL.json,2023,GS2,26,6,26,169,unverifiable,,52.1,2026,GS4,true,phase3
db,UPSCCSEMains2023ALL.json,2023,GS2,27,7,27,176,unverifiable,,58.0,2026,GS2,true,phase3
