year,paper,section_id,db_question_number,db_source_question_ref,extract_paper_local_number,extract_source_question_ref,db_text,unlockias_text,score,action,has_tag,source_confidence,phase3_db_verdict,phase3_db_score,phase3_unlockias_verdict,phase3_unlockias_score,regate_db_verdict,regate_db_score,regate_unlockias_verdict,regate_unlockias_score,gate_relaxed,apply_eligible,late_db_verdict,late_db_score,late_unlockias_verdict,late_unlockias_score,phase2_db_verdict,phase2_db_score,phase2_unlockias_verdict,phase2_unlockias_score
2013,GS1,daca2e9f-012e-46fc-8b10-b6df340b4200,11,GS1-Q11,,,What were the major reasons for the outbreak of the French Revolution? How did it affect the modern world?,,53.6,delete,true,aggregator,,,,,,,,,,,,,,,orphan,52.9,,
2013,GS1,daca2e9f-012e-46fc-8b10-b6df340b4200,12,GS1-Q12,,,Critically examine the factors responsible for the rise of Fascism in Italy after the First World War.,,64.9,delete,true,aggregator,,,,,,,,,,,,,,,orphan,57.4,,
2013,GS1,daca2e9f-012e-46fc-8b10-b6df340b4200,13,GS1-Q13,13,GS1-Q13,The American War of Independence was an economic revolt against British mercantilism. Discuss.,"""American Revolution was an economic revolt against mercantilism."" Substantiate.",72.9,replace,true,aggregator,,,,,,,,,,true,,,,,orphan,68.5,exact,100.0
2013,GS1,daca2e9f-012e-46fc-8b10-b6df340b4200,14,GS1-Q14,,,Discuss the consequences of the Industrial Revolution on the working class in England.,,55.2,delete,true,aggregator,,,,,,,,,,,,,,,orphan,51.8,,
2013,GS1,daca2e9f-012e-46fc-8b10-b6df340b4200,15,GS1-Q15,,,How do you explain the global distribution of active volcanoes?,,53.2,delete,true,aggregator,,,,,,,,,,,,,,,orphan,53.2,,
2013,GS1,daca2e9f-012e-46fc-8b10-b6df340b4200,16,GS1-Q16,23,GS1-Q23,Discuss the factors influencing the localized distribution of the cotton textile industry in India.,(a) Do you agree that there is a growing trend of opening new sugar mills in southern States of India? Discuss with justification. (100 words) (b) Analyze the factors for the highly decentralized cotton textile industry in India. (100 words),65.9,review,true,aggregator,,,,,,,,,,,,,,,orphan,63.3,orphan,74.8
2013,GS1,daca2e9f-012e-46fc-8b10-b6df340b4200,17,GS1-Q17,19,GS1-Q19,What is the 'continental drift' theory? Discuss the evidence supporting it.,(a) What do you understand by the theory of 'continental drift'? Discuss the prominent evidences in its support. (100 words) (b) The recent cyclone on east coast of India was called 'Phailin'. How are the tropical cyclones named across the world? Elaborate. (100 words),70.4,review,true,aggregator,,,,,,,,,,,,,,,orphan,70.4,orphan,71.8
2013,GS1,daca2e9f-012e-46fc-8b10-b6df340b4200,18,GS1-Q18,,,Explain the origin and distribution of the monsoon climate in India.,,57.6,delete,true,aggregator,,,,,,,,,,,,,,,orphan,56.7,,
2013,GS1,daca2e9f-012e-46fc-8b10-b6df340b4200,19,GS1-Q19,,,Discuss the ecological and economic importance of wetlands in India.,,56.7,delete,true,aggregator,,,,,,,,,,,,,,,orphan,56.7,,
2013,GS1,daca2e9f-012e-46fc-8b10-b6df340b4200,20,GS1-Q20,,,What are the major challenges associated with the management of urban solid waste in Indian cities?,,52.6,delete,true,aggregator,,,,,,,,,,,,,,,orphan,53.1,,
2013,GS1,daca2e9f-012e-46fc-8b10-b6df340b4200,21,GS1-Q21,,,Examine the role of the caste system as a barrier to social mobility in contemporary India.,,49.0,delete,true,aggregator,,,,,,,,,,,,,,,orphan,50.0,,
2013,GS1,daca2e9f-012e-46fc-8b10-b6df340b4200,22,GS1-Q22,17,GS1-Q17,Discuss the socio-economic impacts of globalization on the elderly population in India.,Critically examine the effect of globalization on the aged population in India.,75.7,review,true,aggregator,,,,,,,,,,true,,,,,orphan,68.6,exact,100.0
2013,GS1,daca2e9f-012e-46fc-8b10-b6df340b4200,23,GS1-Q23,,,How does communalism manifest itself in Indian politics? Suggest measures to counter it.,,46.7,delete,true,aggregator,,,,,,,,,,,,,,,orphan,47.7,,
2013,GS1,daca2e9f-012e-46fc-8b10-b6df340b4200,24,GS1-Q24,,,Discuss the challenges faced by women working in the unorganized sector in India.,,53.7,delete,true,aggregator,,,,,,,,,,,,,,,orphan,51.2,,
2013,GS1,daca2e9f-012e-46fc-8b10-b6df340b4200,25,GS1-Q25,,,Analyze the relationship between poverty and population growth in the context of developing nations.,,53.1,delete,true,aggregator,,,,,,,,,,,,,,,orphan,49.5,,
2013,GS1,daca2e9f-012e-46fc-8b10-b6df340b4200,,,4,GS1-Q4,,Several foreigners made India their homeland and participated in various movements. Analyze their role in the Indian struggle for freedom.,55.6,insert,,aggregator,,,,,,,,,,,,,,,,,exact,100.0
2013,GS1,daca2e9f-012e-46fc-8b10-b6df340b4200,,,5,GS1-Q5,,"""In many ways, Lord Dalhousie was the founder of modern India."" Elaborate.",49.1,insert,,aggregator,,,,,,,,,,,,,,,,,exact,100.0
2013,GS1,daca2e9f-012e-46fc-8b10-b6df340b4200,,,6,GS1-Q6,,Critically discuss the objectives of Bhoodan and Gramdan Movements initiated by Acharya Vinoba Bhave and their success.,53.7,insert,,aggregator,,,,,,,,,,,,,,,,,exact,100.0
2013,GS1,daca2e9f-012e-46fc-8b10-b6df340b4200,,,7,GS1-Q7,,"Write a critical note on the evolution and significance of the slogan, 'Jai Jawan Jai Kisan'.",55.6,insert,,aggregator,,,,,,,,,,,,,,,,,exact,100.0
2013,GS1,daca2e9f-012e-46fc-8b10-b6df340b4200,,,8,GS1-Q8,,Discuss the contributions of Maulana Abul Kalam Azad to pre- and post-independent India.,54.7,insert,,aggregator,,,,,,,,,,,,,,,,,exact,100.0
2013,GS1,daca2e9f-012e-46fc-8b10-b6df340b4200,,,9,GS1-Q9,,Analyze the circumstances that led to the Tashkent Agreement in 1966. Discuss the highlights of the Agreement.,49.7,insert,,aggregator,,,,,,,,,,,,,,,,,exact,100.0
2013,GS1,daca2e9f-012e-46fc-8b10-b6df340b4200,,,10,GS1-Q10,,Critically examine the compulsions which prompted India to play a decisive role in the emergence of Bangladesh.,57.5,insert,,aggregator,,,,,,,,,,,,,,,,,exact,100.0
2013,GS1,daca2e9f-012e-46fc-8b10-b6df340b4200,,,11,GS1-Q11,,"""'Latecomer' Industrial Revolution in Japan involved certain factors that were markedly different from what West had experienced."" Analyze.",55.2,insert,,aggregator,,,,,,,,,,,,,,,,,exact,99.2
2013,GS1,daca2e9f-012e-46fc-8b10-b6df340b4200,,,12,GS1-Q12,,"""Africa was chopped into States artificially created by accidents of European competition."" Analyze.",46.2,insert,,aggregator,,,,,,,,,,,,,,,,,exact,100.0
2013,GS1,daca2e9f-012e-46fc-8b10-b6df340b4200,,,14,GS1-Q14,,What policy instruments were deployed to contain the Great Economic Depression?,48.7,insert,,aggregator,,,,,,,,,,,,,,,,,exact,100.0
2013,GS1,daca2e9f-012e-46fc-8b10-b6df340b4200,,,15,GS1-Q15,,Discuss the various social problems which originated out of the speedy process of urbanization in India.,57.6,insert,,aggregator,,,,,,,,,,,,,,,,,exact,100.0
2013,GS1,daca2e9f-012e-46fc-8b10-b6df340b4200,,,16,GS1-Q16,,"""Male membership needs to be encouraged in order to make women's organization free from gender bias."" Comment.",47.5,insert,,aggregator,,,,,,,,,,,,,,,,,exact,100.0
2013,GS1,daca2e9f-012e-46fc-8b10-b6df340b4200,,,18,GS1-Q18,,Growing feeling of regionalism is an important factor in generation of demand for a separate State. Discuss.,50.0,insert,,aggregator,,,,,,,,,,,,,,,,,exact,100.0
2013,GS1,daca2e9f-012e-46fc-8b10-b6df340b4200,,,20,GS1-Q20,,(a) Bring out the causes for the formation of heat islands in the urban habitat of the world. (100 words) (b) What do you understand by the phenomenon of 'temperature inversion' in meteorology? How does it affect weather and the habitants of the place? (100 words),55.7,insert,,aggregator,,,,,,,,,,,,,,,,,orphan,77.3
2013,GS1,daca2e9f-012e-46fc-8b10-b6df340b4200,,,21,GS1-Q21,,Major hot deserts in northern hemisphere are located between 20-30 deg N latitudes and on the western side of the continents. Why?,49.5,insert,,aggregator,,,,,,,,,,,,,,,,,exact,100.0
2013,GS1,daca2e9f-012e-46fc-8b10-b6df340b4200,,,22,GS1-Q22,,(a) Bring out the causes for more frequent occurrence of landslides in the Himalayas than in the Western Ghats. (100 words) (b) There is no formation of deltas by rivers of the Western Ghats. Why? (100 words),51.9,insert,,aggregator,,,,,,,,,,,,,,,,,orphan,79.2
2013,GS1,daca2e9f-012e-46fc-8b10-b6df340b4200,,,24,GS1-Q24,,"With growing scarcity of fossil fuels, the atomic energy is gaining more and more significance in India. Discuss the availability of raw material required for the generation of atomic energy in India and in the world.",55.1,insert,,aggregator,,,,,,,,,,,,,,,,,exact,100.0
2013,GS1,daca2e9f-012e-46fc-8b10-b6df340b4200,,,25,GS1-Q25,,"It is said that India has substantial reserves of shale oil and gas, which can feed the needs of the country for quarter century. However, tapping of the resource does not appear to be high on the agenda. Discuss critically the availability and issues involved.",49.4,insert,,aggregator,,,,,,,,,,,,,,,,,exact,99.6
2013,GS2,d332fcad-6750-4542-af0a-3f203f819096,26,GS2-Q1,,,The dynamic nature of the Indian Constitution is reflected in its amendment process. Discuss.,,52.7,delete,true,aggregator,,,,,,,,,,,,,,,orphan,53.8,,
2013,GS2,d332fcad-6750-4542-af0a-3f203f819096,27,GS2-Q2,7,GS2-Q7,Discuss the scope and limitations of judicial review in India.,Discuss the recommendations of the 13th Finance Commission which have been a departure from the previous commissions for strengthening the local government finances.,62.9,review,true,aggregator,,,,,,,,,,true,,,,,orphan,57.4,exact,98.8
2013,GS2,d332fcad-6750-4542-af0a-3f203f819096,28,GS2-Q3,,,The Governor's discretionary powers have often been a source of tension between the Centre and the States. Comment.,,51.0,delete,true,aggregator,,,,,,,,,,,,,,,orphan,51.3,,
2013,GS2,d332fcad-6750-4542-af0a-3f203f819096,29,GS2-Q4,,,Discuss the significance of the 73rd and 74th Constitutional Amendment Acts in empowering local bodies.,,53.6,delete,true,aggregator,,,,,,,,,,,,,,,orphan,51.0,,
2013,GS2,d332fcad-6750-4542-af0a-3f203f819096,30,GS2-Q5,,,Examine the role of the Finance Commission in strengthening fiscal federalism in India.,,60.5,delete,true,aggregator,,,,,,,,,,,,,,,orphan,60.5,,
2013,GS2,d332fcad-6750-4542-af0a-3f203f819096,31,GS2-Q6,,,The Central Vigilance Commission (CVC) has emerged as an important body to fight corruption. Discuss its powers and limitations.,,50.2,delete,true,aggregator,,,,,,,,,,,,,,,orphan,50.0,,
2013,GS2,d332fcad-6750-4542-af0a-3f203f819096,32,GS2-Q7,,,What is the Right to Information (RTI) Act? Discuss its role in enhancing accountability and transparency in governance.,,51.2,delete,true,aggregator,,,,,,,,,,,,,,,orphan,49.1,,
2013,GS2,d332fcad-6750-4542-af0a-3f203f819096,33,GS2-Q8,,,Examine the role of civil society organizations in the formulation of public policies in India.,,52.2,delete,true,aggregator,,,,,,,,,,,,,,,orphan,51.1,,
2013,GS2,d332fcad-6750-4542-af0a-3f203f819096,34,GS2-Q9,,,Discuss the major challenges in the implementation of the National Rural Health Mission (NRHM).,,60.1,delete,true,aggregator,,,,,,,,,,,,,,,orphan,52.2,,
2013,GS2,d332fcad-6750-4542-af0a-3f203f819096,35,GS2-Q10,,,Evaluate the performance of the Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA) in rural asset creation.,,51.7,delete,true,aggregator,,,,,,,,,,,,,,,orphan,51.7,,
2013,GS2,d332fcad-6750-4542-af0a-3f203f819096,36,GS2-Q11,,,"The Right to Education (RTE) Act aims to ensure free and compulsory education, but quality remains a challenge. Discuss.",,52.5,delete,true,aggregator,,,,,,,,,,,,,,,orphan,49.6,,
2013,GS2,d332fcad-6750-4542-af0a-3f203f819096,37,GS2-Q12,,,Analyze the impact of coalition politics on the stability and policy-making of the Central Government.,,53.5,delete,true,aggregator,,,,,,,,,,,,,,,orphan,53.5,,
2013,GS2,d332fcad-6750-4542-af0a-3f203f819096,38,GS2-Q13,,,Discuss the relevance of the look East Policy in the context of changing geopolitical dynamics in the Asia-Pacific region.,,52.5,delete,true,aggregator,,,,,,,,,,,,,,,orphan,51.2,,
2013,GS2,d332fcad-6750-4542-af0a-3f203f819096,39,GS2-Q14,,,India's relations with its neighbors are crucial for its internal security and economic growth. Comment.,,50.5,delete,true,aggregator,,,,,,,,,,,,,,,orphan,50.0,,
2013,GS2,d332fcad-6750-4542-af0a-3f203f819096,40,GS2-Q15,,,Discuss the role of the United Nations Security Council (UNSC) in maintaining global peace and India's claim for permanent membership.,,49.2,delete,true,aggregator,,,,,,,,,,,,,,,orphan,48.9,,
2013,GS2,d332fcad-6750-4542-af0a-3f203f819096,41,GS2-Q16,,,What is the significance of the BRICS grouping for India's foreign policy interests?,,54.7,delete,true,aggregator,,,,,,,,,,,,,,,orphan,53.0,,
2013,GS2,d332fcad-6750-4542-af0a-3f203f819096,42,GS2-Q17,,,Examine the challenges faced by India in managing its maritime borders.,,52.6,delete,true,aggregator,,,,,,,,,,,,,,,orphan,51.4,,
2013,GS2,d332fcad-6750-4542-af0a-3f203f819096,43,GS2-Q18,,,Discuss the impact of the World Bank's funding on infrastructure development projects in India.,,54.0,delete,true,aggregator,,,,,,,,,,,,,,,orphan,51.1,,
2013,GS2,d332fcad-6750-4542-af0a-3f203f819096,44,GS2-Q19,,,The role of the Comptroller and Auditor General (CAG) has become increasingly critical in public accountability. Discuss.,,50.3,delete,true,aggregator,,,,,,,,,,,,,,,orphan,48.7,,
2013,GS2,d332fcad-6750-4542-af0a-3f203f819096,45,GS2-Q20,,,Analyze the institutional challenges faced by the Election Commission of India in conducting free and fair elections.,,49.1,delete,true,aggregator,,,,,,,,,,,,,,,orphan,50.0,,
2013,GS2,d332fcad-6750-4542-af0a-3f203f819096,46,GS2-Q21,2,GS2-Q2,Discuss the need for electoral reforms in India with special reference to criminalization of politics.,"Discuss Section 66A of IT Act, with reference to its alleged violation of Article 19 of the Constitution.",60.3,review,true,aggregator,,,,,,,,,,true,,,,,orphan,54.5,exact,100.0
2013,GS2,d332fcad-6750-4542-af0a-3f203f819096,47,GS2-Q22,,,The pressure groups play a significant role in influencing governmental decisions. Explain with suitable examples.,,51.4,delete,true,aggregator,,,,,,,,,,,,,,,orphan,52.7,,
2013,GS2,d332fcad-6750-4542-af0a-3f203f819096,48,GS2-Q23,,,Examine the effectiveness of the National Human Rights Commission (NHRC) in protecting human rights in India.,,51.9,delete,true,aggregator,,,,,,,,,,,,,,,orphan,50.9,,
2013,GS2,d332fcad-6750-4542-af0a-3f203f819096,49,GS2-Q24,,,Discuss the role of e-governance initiatives in reducing corruption and improving service delivery.,,50.5,delete,true,aggregator,,,,,,,,,,,,,,,orphan,51.0,,
2013,GS2,d332fcad-6750-4542-af0a-3f203f819096,50,GS2-Q25,,,What are the major structural issues hindering the performance of public sector banks in India?,,54.1,delete,true,aggregator,,,,,,,,,,,,,,,orphan,52.1,,
2013,GS2,d332fcad-6750-4542-af0a-3f203f819096,,,1,GS2-Q1,,The role of individual MPs (Members of Parliament) has diminished over the years and as a result healthy constructive debates on policy issues are not usually witnessed. How far can this be attributed to the anti-defection law which was legislated but with a different intention?,48.4,insert,,aggregator,,,,,,,,,,,,,,,,,exact,100.0
2013,GS2,d332fcad-6750-4542-af0a-3f203f819096,,,3,GS2-Q3,,Recent directives from Ministry of Petroleum and Natural Gas are perceived by the 'Nagas' as a threat to override the exceptional status enjoyed by the State. Discuss in light of Article 371A of the Indian Constitution.,50.5,insert,,aggregator,,,,,,,,,,,,,,,,,exact,100.0
2013,GS2,d332fcad-6750-4542-af0a-3f203f819096,,,4,GS2-Q4,,'The Supreme Court of India keeps a check on arbitrary power of the Parliament in amending the Constitution.' Discuss critically.,50.0,insert,,aggregator,,,,,,,,,,,,,,,,,exact,100.0
2013,GS2,d332fcad-6750-4542-af0a-3f203f819096,,,5,GS2-Q5,,"Many State Governments further bifurcate geographical administrative areas like Districts and Talukas for better governance. In light of the above, can it also be justified that more number of smaller States would bring in effective governance at State level? Discuss.",49.7,insert,,aggregator,,,,,,,,,,,,,,,,,exact,100.0
2013,GS2,d332fcad-6750-4542-af0a-3f203f819096,,,6,GS2-Q6,,Constitutional mechanisms to resolve the inter-state water disputes have failed to address and solve the problems. Is the failure due to structural or process inadequacy or both? Discuss.,49.4,insert,,aggregator,,,,,,,,,,,,,,,,,exact,100.0
2013,GS2,d332fcad-6750-4542-af0a-3f203f819096,,,8,GS2-Q8,,"The product diversification of financial institutions and insurance companies, resulting in overlapping of products and services strengthens the case for the merger of the two regulatory agencies, namely SEBI and IRDA. Justify.",52.0,insert,,aggregator,,,,,,,,,,,,,,,,,exact,100.0
2013,GS2,d332fcad-6750-4542-af0a-3f203f819096,,,9,GS2-Q9,,"The concept of Mid Day Meal (MDM) scheme is almost a century old in India with early beginnings in Madras Presidency in pre-independent India. The scheme has again been given impetus in most states in the last two decades. Critically examine its twin objectives, latest mandates and success.",51.4,insert,,aggregator,,,,,,,,,,,,,,,,,exact,100.0
2013,GS2,d332fcad-6750-4542-af0a-3f203f819096,,,10,GS2-Q10,,"Pressure group politics is sometimes seen as the informal face of politics. With regards to the above, assess the structure and functioning of pressure groups in India.",57.9,insert,,aggregator,,,,,,,,,,,,,,,,,exact,100.0
2013,GS2,d332fcad-6750-4542-af0a-3f203f819096,,,11,GS2-Q11,,"The legitimacy and accountability of Self Help Groups (SHGs) and their patrons, the micro-finance outfits, need systematic assessment and scrutiny for the sustained success of the concept. Discuss.",50.0,insert,,aggregator,,,,,,,,,,,,,,,,,exact,100.0
2013,GS2,d332fcad-6750-4542-af0a-3f203f819096,,,12,GS2-Q12,,The Central Government frequently complains on the poor performance of the State Governments in eradicating suffering of the vulnerable sections of the society. Restructuring of Centrally sponsored schemes across the sectors for ameliorating the cause of vulnerable sections of population aims at providing flexibility to the States in better implementation. Critically evaluate.,54.1,insert,,aggregator,,,,,,,,,,,,,,,,,exact,100.0
2013,GS2,d332fcad-6750-4542-af0a-3f203f819096,,,13,GS2-Q13,,"Electronic cash transfer system for the welfare schemes is an ambitious project to minimize corruption, eliminate wastage and facilitate reforms. Comment.",50.2,insert,,aggregator,,,,,,,,,,,,,,,,,exact,100.0
2013,GS2,d332fcad-6750-4542-af0a-3f203f819096,,,14,GS2-Q14,,The basis of providing urban amenities in rural areas (PURA) is rooted in establishing connectivity. Comment.,50.5,insert,,aggregator,,,,,,,,,,,,,,,,,exact,100.0
2013,GS2,d332fcad-6750-4542-af0a-3f203f819096,,,15,GS2-Q15,,Identify the Millennium Development Goals (MDGs) that are related to health. Discuss the success of the actions taken by the Government for achieving the same.,53.6,insert,,aggregator,,,,,,,,,,,,,,,,,exact,100.0
2013,GS2,d332fcad-6750-4542-af0a-3f203f819096,,,16,GS2-Q16,,"Though Citizens' charters have been formulated by many public service delivery organizations, there is no corresponding improvement in the level of citizens' satisfaction and quality of services being provided. Analyse.",52.2,insert,,aggregator,,,,,,,,,,,,,,,,,exact,100.0
2013,GS2,d332fcad-6750-4542-af0a-3f203f819096,,,17,GS2-Q17,,"'A national Lokpal, however strong it may be, cannot resolve the problems of immorality in public affairs.' Discuss.",50.3,insert,,aggregator,,,,,,,,,,,,,,,,,exact,100.0
2013,GS2,d332fcad-6750-4542-af0a-3f203f819096,,,18,GS2-Q18,,The proposed withdrawal of International Security Assistance Force (ISAF) from Afghanistan in 2014 is fraught with major security implications for the countries of the region. Examine in light of the fact that India is faced with a plethora of challenges and needs to safeguard its own strategic interests.,52.2,insert,,aggregator,,,,,,,,,,,,,,,,,exact,100.0
2013,GS2,d332fcad-6750-4542-af0a-3f203f819096,,,19,GS2-Q19,,What do you understand by 'The String of Pearls'? How does it impact India? Briefly outline the steps taken by India to counter this.,52.6,insert,,aggregator,,,,,,,,,,,,,,,,,exact,100.0
2013,GS2,d332fcad-6750-4542-af0a-3f203f819096,,,20,GS2-Q20,,Economic ties between India and Japan while growing in the recent years are still far below their potential. Elucidate the policy constraints which are inhibiting this growth.,50.4,insert,,aggregator,,,,,,,,,,,,,,,,,exact,100.0
2013,GS2,d332fcad-6750-4542-af0a-3f203f819096,,,21,GS2-Q21,,The protests in Shahbag Square in Dhaka in Bangladesh reveal a fundamental split in society between the nationalists and Islamic forces. What is its significance for India?,54.7,insert,,aggregator,,,,,,,,,,,,,,,,,exact,100.0
2013,GS2,d332fcad-6750-4542-af0a-3f203f819096,,,22,GS2-Q22,,Discuss the political developments in Maldives in the last two years. Should they be of any cause of concern to India?,57.7,insert,,aggregator,,,,,,,,,,,,,,,,,exact,100.0
2013,GS2,d332fcad-6750-4542-af0a-3f203f819096,,,23,GS2-Q23,,"In respect of India - Sri Lanka relations, discuss how domestic factors influence foreign policy.",50.9,insert,,aggregator,,,,,,,,,,,,,,,,,exact,100.0
2013,GS2,d332fcad-6750-4542-af0a-3f203f819096,,,24,GS2-Q24,,What is meant by Gujral doctrine? Does it have any relevance today? Discuss.,52.5,insert,,aggregator,,,,,,,,,,,,,,,,,exact,100.0
2013,GS2,d332fcad-6750-4542-af0a-3f203f819096,,,25,GS2-Q25,,"The World Bank and the IMF, collectively known as the Bretton Woods Institutions, are the two inter-governmental pillars supporting the structure of the world's economic and financial order. Superficially, the World Bank and the IMF exhibit many common characteristics, yet their role, functions and mandate are distinctly different. Elucidate.",53.5,insert,,aggregator,,,,,,,,,,,,,,,,,exact,100.0
2013,GS3,b5cbb735-b687-4de5-90cb-3978f48a71a1,51,GS3-Q1,,,"Discuss the relationship between savings rate, investment pattern, and capital-output ratio in the context of growth acceleration.",,53.3,delete,true,aggregator,,,,,,,,,,,,,,,orphan,52.8,,
2013,GS3,b5cbb735-b687-4de5-90cb-3978f48a71a1,52,GS3-Q2,,,What are the major structural limitations of the manufacturing sector that prevent it from absorbing surplus labor from agriculture?,,53.6,delete,true,aggregator,,,,,,,,,,,,,,,orphan,48.1,,
2013,GS3,b5cbb735-b687-4de5-90cb-3978f48a71a1,53,GS3-Q3,,,Explain the significance of direct tax reforms in widening the tax-to-GDP ratio base in India.,,51.6,delete,true,aggregator,,,,,,,,,,,,,,,orphan,51.6,,
2013,GS3,b5cbb735-b687-4de5-90cb-3978f48a71a1,54,GS3-Q4,,,What is venture capital? Discuss its role in driving the growth of technology startups in India.,,50.3,delete,true,aggregator,,,,,,,,,,,,,,,orphan,52.1,,
2013,GS3,b5cbb735-b687-4de5-90cb-3978f48a71a1,55,GS3-Q5,,,Discuss the impact of farm subsidies on the fiscal health of state budgets and environment degradation.,,55.8,delete,true,aggregator,,,,,,,,,,,,,,,orphan,52.9,,
2013,GS3,b5cbb735-b687-4de5-90cb-3978f48a71a1,56,GS3-Q6,,,"What are the primary objectives of the National Food Security Act, 2013? Evaluate its operational constraints.",,51.7,delete,true,aggregator,,,,,,,,,,,,,,,orphan,50.5,,
2013,GS3,b5cbb735-b687-4de5-90cb-3978f48a71a1,57,GS3-Q7,,,Explain the concept of precision farming. How can it mitigate input wastage in intensive agricultural belts?,,49.1,delete,true,aggregator,,,,,,,,,,,,,,,orphan,49.1,,
2013,GS3,b5cbb735-b687-4de5-90cb-3978f48a71a1,58,GS3-Q8,,,Discuss the structural constraints of the biotechnology sector in transitioning from laboratory research to commercial scale production.,,49.1,delete,true,aggregator,,,,,,,,,,,,,,,orphan,48.1,,
2013,GS3,b5cbb735-b687-4de5-90cb-3978f48a71a1,59,GS3-Q9,,,Explain the design features of the three-stage nuclear power expansion program of India.,,50.6,delete,true,aggregator,,,,,,,,,,,,,,,orphan,51.7,,
2013,GS3,b5cbb735-b687-4de5-90cb-3978f48a71a1,60,GS3-Q10,,,What is intellectual property piracy? Discuss its impact on the economic growth of the creative and technology software industries.,,50.2,delete,true,aggregator,,,,,,,,,,,,,,,orphan,49.6,,
2013,GS3,b5cbb735-b687-4de5-90cb-3978f48a71a1,61,GS3-Q11,,,Trace the causes and mitigation strategies for major landslide vulnerabilities inside the Western Ghats region.,,49.1,delete,true,aggregator,,,,,,,,,,,,,,,orphan,49.1,,
2013,GS3,b5cbb735-b687-4de5-90cb-3978f48a71a1,62,GS3-Q12,,,Discuss the institutional setups required for managing chemical industrial disasters in urban-fringe clusters.,,54.4,delete,true,aggregator,,,,,,,,,,,,,,,orphan,51.4,,
2013,GS3,b5cbb735-b687-4de5-90cb-3978f48a71a1,63,GS3-Q13,22,GS3-Q22,Analyze the role of social media networks in driving internal security disruptions and spreading misinformation during crisis events.,What are social networking sites and what security implications do these sites present?,61.6,review,true,aggregator,,,,,,,,,,true,,,,,orphan,51.5,exact,100.0
