year,paper,paper_local_number,unlockias_text,best_score,matched_docx_qno,verdict
2025,GS2,1,"Constitutional morality is the fulcrum which acts as an essential check upon the high functionaries and citizens alike…”In view of the above observation of the Supreme Court, explain the concept of constitutional morality and its application to ensure balance between judicial independence and judicial accountability in India.",100.0,11,exact
2025,GS2,2,"Discuss the nature of Jammu and Kashmir Legislative Assembly after the Jammu and Kashmir Reorganization Act, 2019. Briefly describe the powers and functions of the Assembly of the Union Territory of Jammu and Kashmir.",100.0,4,exact
2025,GS2,3,Examine the evolving pattern of Centre-State financial relations in the context of planned development in India. How far have the recent reforms impacted the fiscal federalism in India?,100.0,14,exact
2025,GS2,4,"“In contemporary development models, decision-making and problem-solving responsibilities are not located close to the source of information and execution defeating the objectives of development.” Critically evaluate.",100.0,17,exact
2025,GS2,5,Compare and contrast the President’s power to pardon in India and in the USA. Are there any limits to it in both the countries? What are ‘preemptive pardons’?,100.0,3,exact
2025,GS2,6,"Indian Constitution has conferred the amending power on the ordinary legislative institutions with a few procedural hurdles. In view of this statement, examine the procedural and substantive limitations on the amending power of the Parliament to change the Constitution.",100.0,12,exact
2025,GS2,7,Discuss the evolution of collegium system in India. Critically examine the advantages and disadvantages of the system of appointment of the Judges of the Supreme Court of India and that of the USA.,100.0,13,exact
2025,GS2,8,"Discuss the ‘corrupt practices’ for the purpose of the Representation of the People Act, 1951. Analyze whether the increase in the assets of the legislators and/or their associates, disproportionate to their known sources of income, would constitute ‘undue influence’ and consequently a corrupt practice.",100.0,1,exact
2025,GS2,9,Comment on the need of administrative tribunals as compared to the court system. Assess the impact of the recent tribunal reforms through rationalization of tribunals made in 2021.,100.0,2,exact
2025,GS2,10,"The Attorney General of India plays a crucial role in guiding the legal framework of the Union Government and ensuring sound governance through legal counsel.” Discuss his responsibilities, rights and limitations in this regard.",100.0,5,exact
2025,GS2,11,The National Commission for Protection of Child Rights has to address the challenges faced by children in the digital era. Examine the existing policies and suggest measures the Commission can initiate to tackle the issue.,100.0,18,exact
2025,GS2,12,Civil Society Organizations are often perceived as being anti-State actors than non-State actors. Do you agree? Justify.,100.0,8,exact
2025,GS2,13,"What are environmental pressure groups? Discuss their role in raising awareness, influencing policies and advocating for environmental protection in India.",100.0,15,exact
2025,GS2,14,Women’s social capital complements in advancing empowerment and gender equity. Explain.,100.0,6,exact
2025,GS2,15,Inequality in the ownership pattern of resources is one of the major causes of poverty. Discuss in the context of ‘paradox of poverty’.,100.0,16,exact
2025,GS2,16,e-governance projects have a built-in bias towards technology and back-end integration than user-centric designs. Examine.,100.0,7,exact
2025,GS2,17,"India-Africa digital partnership is achieving mutual respect, co-development and long-term institutional partnerships. Elaborate.",100.0,9,exact
2025,GS2,18,"With the waning of globalization, post-Cold War world is becoming a site of sovereign nationalism.” Elucidate.",100.0,10,exact
2025,GS2,19,"Energy security constitutes the dominant kingpin of India’s foreign policy, and is linked with India’s overarching influence in Middle Eastern countries.” How would you integrate energy security with India’s foreign policy trajectories in the coming years?",100.0,19,exact
2025,GS2,20,"“The reform process in the United Nations remains unresolved, because of the delicate imbalance of East and West and entanglement of the USA vs. Russo-Chinese alliance.” Examine and critically evaluate the East-West policy confrontations in this regard.",100.0,20,exact
2025,GS3,1,What are the challenges before the Indian economy when the world is moving away from free trade and multilateralism to protectionism and bilateralism? How can these challenges be met?,100.0,2,exact
2025,GS3,2,Explain how the Fiscal Health Index (FHI) can be used as a tool for assessing the fiscal performance of states in India. In what way would it encourage the states to adopt prudent and sustainable fiscal policies?,100.0,11,exact
2025,GS3,3,Discuss the rationale of the Production Linked Incentive (PLI) scheme. What are its achievements? In what way can the functioning and outcomes of the scheme be improved?,100.0,12,exact
2025,GS3,4,Distinguish between the Human Development Index (HDI) and the Inequality-adjusted Human Development Index (IHDI) with special reference to India. Why is the IHDI considered a better indicator of inclusive growth?,100.0,1,exact
2025,GS3,5,Explain the factors influencing the decision of the farmers on the selection of high value crops in India.,100.0,3,exact
2025,GS3,6,Elaborate the scope and significance of supply chain management of agricultural commodities in India.,100.0,4,exact
2025,GS3,7,Examine the scope of the food processing industries in India. Elaborate the measures taken by the government in the food processing industries for generating employment opportunities.,100.0,14,exact
2025,GS3,8,India aims to become a semiconductor manufacturing hub. What are the challenges faced by the semiconductor industry in India? Mention the salient features of the India Semiconductor Mission.,100.0,16,exact
2025,GS3,9,The fusion energy programme in India has steadily evolved over the past few decades. Mention India’s contributions to the international fusion energy project – International Thermonuclear Experimental Reactor (ITER). What will be the implications of the success of this project for the future of global energy?,100.0,5,exact
2025,GS3,10,How can India achieve energy independence through clean technology by 2047? How can biotechnology can play a crucial role in this endeavour?,97.5,6,exact
2025,GS3,11,How does nanotechnology offer significant advancements in the field of agriculture? How can this technology help to uplift the socio-economic status of farmers?,100.0,15,exact
2025,GS3,12,"What is Carbon Capture, Utilization and Storage (CCUS)? What is the potential role of CCUS in tackling climate change?",100.0,7,exact
2025,GS3,13,Seawater intrusion in the coastal aquifers is a major concern in India. What are the causes of seawater intrusion and the remedial measures to combat this hazard?,100.0,8,exact
2025,GS3,14,Examine the factors responsible for depleting groundwater in India. What are the steps taken by the government to mitigate such depletion of groundwater?,100.0,13,exact
2025,GS3,15,"Write a review on India’s climate commitments under the Paris Agreement (2015) and mention how these have been further strengthened in COP26 (2021). In this direction, how has the first Nationally Determined Contribution intended by India been updated in 2022?",100.0,18,exact
2025,GS3,16,Mineral resources are fundamental to the country’s economy and these are exploited by mining. Why is mining considered an environmental hazard? Explain the remedial measures required to reduce the environmental hazard due to mining.,100.0,17,exact
2025,GS3,17,Terrorism is a global scourge. How has it manifested in India? Elaborate with contemporary examples. What are the counter measures adopted by the State? Explain.,100.0,9,exact
2025,GS3,18,The Government of India recently stated that Left Wing Extremism (LWE) will be eliminated by 2026. What do you understand by LWE and how are the people affected by it? What measures have been taken by the government to eliminate LWE?,100.0,10,exact
2025,GS3,19,What are the major challenges to internal security and peace process in the North-Eastern States? Map the various peace accords and agreements initiated by the government in the past decade.,100.0,19,exact
2025,GS3,20,Why is maritime security vital to protect India’s sea trade? Discuss maritime and coastal security challenges and the way forward.,100.0,20,exact
2025,GS4,1,"In the present digital age, social media has revolutionised our way of communication and interaction. However, it has raised several ethical issues and challenges. Describe the key ethical dilemmas in this regard. (Answer in 150 words) 10",100.0,1,exact
2025,GS4,2,"India is an emerging economic power of the world as it has recently secured the status of fourth largest economy of the world as per IMF projection. However, it has been observed that in some sectors, allocated funds remain either under-utilised or misutilised. What specific measures would you recommend for ensuring accountability in this regard to stop leakages and gaining the status of third largest economy of the world in near future?",100.0,6,exact
2025,GS4,3,"“The strength of a society is not in its laws, but in the morality of its people.” – Swami Vivekananda",100.0,3,exact
2025,GS4,4,"Subash is Secretary, PWD in the State Government. He is a senior officer, known for his competence, integrity and dedication to work. He enjoys the trust and confidence of Minister Incharge of PWD and Programme Implementation. As a part of his job profile, he is responsible for policy formulation, execution of projects relating to infrastructure initiatives in the State. Besides, he oversees the technical and administrative aspects relating to planning, designing and construction etc. Subash's Minister is an important Minister in the state and significant growth in urban infrastructure development and road network has been registered during his tenure. He is very keen for launching of ambitious road construction project in the near future. Subash is in regular touch with the Minister and is working various modalities of road construction project. Regular meetings, interactions and presentations are made by him to the Minister before a formal public announcement of the project is made by the Minister. Subash's only son Vikas is in real estate business. His son from his own sources is aware that a mega road project is on the anvil and announcement in this regard is expected anytime. He is very keen to know from his father the exact location of the upcoming project. He knows that there would be quantum jump in the prices of land in the vicinity. Buying land at this stage at cheaper prices would pay him rich dividends. He is pleading with him (his father) day in and day out to share him location of the proposed project. He assured him that he would handle the matter discretely as it would not attract any adverse notice as he in the normal course, keeps on buying land as a part of his business. He feels pressurised because of constant pleadings by his son. Another significant aspect of the matter pertained to the extra/undue interest in the above project by the Minister PWD. His nephew was also having big infrastructure project company. In fact, the Minister has also introduced his nephew to him and indicated to him to take care of his nephew's business interest in the forthcoming project. The Minister encouraged him to act fast in the matter as early announcement and execution of mega road project would enhance his status in the party and public life. In the above backdrop, Subash is in a fix as to the future course of action. (a) Discuss the ethical issues involved in the case. (b) Critically examine the options available to Subash in the above situation. (c) Which of the above would be most appropriate and why ?",100.0,9,exact
2025,GS4,5,"“Those who in trouble untroubled are, will trouble trouble itself.” – Thiruvalluvar",100.0,3,exact
2025,GS4,6,"Vijay was Deputy Commissioner of remote district of Hilly Northern State of the country for the last two years. In the month of August heavy rains lashed the complete state followed by cloud burst in the upper reaches of the said district. The damage was very heavy in the complete state especially in the affected district. The complete road network and telecommunication were disrupted and the buildings were damaged extensively. People's houses have been destroyed and they were forced to stay in open. More than 200 people have been killed and about 5000 were badly injured. The Civil Administration under Vijay got activated and started conducting rescue and relief operations. Temporary shelter camps and hospitals were established to provide shelter and medical facilities to the homeless and injured people. Helicopter services were pressed in, for evacuating sick and old people from remote areas. Vijay got a message from his hometown in Kerala that his mother was seriously sick. After two days Vijay received the unfortunate message that his mother has expired. Vijay has no close relative except one elder sister who was US citizen and staying there for last several years. In the meantime, the situation in the affected district deteriorated further due to resumption of heavy rains after a gap of five days. At the same time, continuous messages were coming on his mobile from his hometown to reach at the earliest for performing last rites of his mother. (a) What are the options available with Vijay ? (b) What are the ethical dilemma being faced by Vijay ? (c) Critically evaluate and examine each of these options identified by Vijay. (d) Which of the options, do you think, would be most appropriate for Vijay to adopt and why ?",100.0,7,exact
2025,GS4,7,“The greatest discovery of my generation is that a human being can alter his life by altering his attitudes.” – William James,100.0,3,exact
2025,GS4,8,"In line with the Directive Principles of State Policy enshrined in the Indian Constitution, the government has a constitutional obligation to ensure basic needs – ""Roti, Kapda aur Makan (Food, Clothes and Shelter)"" – for the under-privileged. Pursuing this mandate, the district administration proposed clearing a portion of forest land to develop housing for the homeless and economically weaker sections of the society. The proposed land, however, is an ecologically sensitive zone densely populated with age-old trees, medicinal plants and vital biodiversity. Besides, these forests help to regulate micro-climate and rainfalls; provide habitat for wildlife, support soil fertility and prevent land/soil erosion and sustain livelihoods of tribal and nomadic communities. Inspite of the ecological and social costs, the administration argues in favour of the said proposal by highlighting that this very initiative addresses fundamental human rights as a critical welfare priority. Besides, it fulfils the government's duty to uplift and empower the poor through inclusive housing development. Further, these forest areas have become unsafe due to wild-animal threats and recurring human-wild life conflicts. Lastly, clearing forest-zones may help to curb anti-social elements allegedly using these areas as hideouts, thereby enhancing law and order. (a) Can deforestation be ethically justified in the pursuit of social welfare objectives like, housing for the homeless ? (b) What are the socio-economic, administrative and ethical challenges in balancing environmental conservation with human development ? (c) What substantial alternatives or policy interventions can be proposed to ensure that both environmental integrity and human dignity are protected ?",100.0,8,exact
2025,GS4,9,“Constitutional morality is not a natural sentiment but a product of civil education and adherance of the rule of law.” Examine the significance of constitutional morality for public servant highlighting the role in promoting good governance and ensuring accountability in public administration.,100.0,1,exact
2025,GS4,10,"Ashok is Divisional Commissioner of one of the border districts of the North East State. A few years back, Military has taken over the neighbouring country after overthrowing the elected civil government. Civil war situation is prevailing in the country especially in last two years. However, internal situation further deteriorated due to rebel groups taking over control of certain populated areas near own border. Due to intense fight between military and rebel groups, civilian casualties has increased manifold in recent past. In the meantime, in one night Ashok got information from the local police guarding the border check post that there are about 200-250 people mainly women and children trying to cross over to our side of the border. There are also about 10 soldiers with their weapons in military uniform part of this group who wants to cross over. Women and Children are also crying and begging for help. A few of them are injured and bleeding profusely need immediate medical care. Ashok tried to contact Home Secretary of the State but failed to do so due to poor connectivity mainly due to inclement weather. (a) What are the options available with Ashok to cope with the situation ? (b) What are the ethical and legal dilemmas being faced by Ashok ? (c) Which of the options, do you think would be more appropriate for Ashok to adopt and why ? (d) In the present situation, what are the extra precautionary measures to be taken by the Border Guarding Police in dealing with soldiers in uniform ?",100.0,12,exact
2025,GS4,11,"“For any kind of social re-engineering by successfully implementing welfare schemes, a civil servant must use reason and critical thinking in an ethical framework.” Justify this statement with suitable examples. (Answer in 150 words) 10",97.8,4,exact
2025,GS4,12,"Mahatma Gandhi National Rural Employment Guarantee Program, MGNREGA was earlier known as National Rural Employment Scheme, NREGA. It is an Indian Social Welfare Program that aimed at fulfilling the 'Right to Work' provisions made in the Constitution. MGNREGA was launched in 2006 under Rural Employment Sector by the Ministry of Rural Development. Main objective of the program is to give legal guarantee of wage employment to the adult members of rural households who are willing to do unskilled manual labour work subject to a maximum of 100 days per year for every household. Every rural household has the right to register under the scheme, job card is issued to the registered, Job Card holder can seek employment; State Government shall pay 25% of minimum wage for the first 30 days as compensatory daily unemployment allowance to the families and of wage for remaining period of the year. MGNREGA work was undertaken by various Gram Panchayats. You have been appointed as an Administrator Incharge of the District. You have been given the responsibility of monitoring MGNREGA work undertaken by various Gram Panchayats. You are also given the authority to give technical sanctions to all MGNREGA works. In one of the Panchayats in your jurisdiction, you notice that your predecessor has mismanaged the Program in terms of : (i) Money not disbursed to actual job-seekers. (ii) Muster Rolls of the Labourers not properly maintained. (iii) Mismatch between the work done and payments made. (iv) Payments made to fictitious persons. (v) Job Cards were given without looking into the need of person. (vi) Mismanagement of funds and to the extent of siphoning of funds. (vii) Approved works that never existed. (a) What is your reaction to the above situation and how do you restore the proper functioning of MGNREGA Program in this regard ? (b) What actions would you initiate to solve the various issues listed above ? (c) How would you deal with the above situation ?",100.0,11,exact
2025,GS4,13,What are the major teachings of Mahavir? Explain their relevance in the contemporary world.,100.0,4,exact
2025,GS4,14,"Carl von Clausewitz once said, ""War is a diplomacy by other means."" Critically analyse the above statement in the present context of contemporary geo-political conflict. (Answer in 150 words) 10",97.3,2,exact
2025,GS4,15,"Keeping the national security in mind, examine the ethical dilemmas related to controversies over environmental clearance of development projects in ecologically sensitive border areas in the country. (Answer in 150 words) 10",97.7,2,exact
2025,GS4,16,"""One who is devoted to one’s duty attains highest perfection in life."" Analyse this statement with reference to sense of responsibility and personal fulfilment in a civil servant. (Answer in 150 words) 10",96.4,5,exact
2025,GS4,17,"To achieve holistic development goal, a civil servant acts as an enabler and active facilitator of growth rather than a regulator. What specific measures will you suggest to achieve this goal?",100.0,5,exact
2025,GS4,18,"It is said that for an ethical work culture, there must be code of ethics in place in every organisation. To ensure value-based and compliance-based work culture, what suitable measures would you adopt in your work place? (Answer in 150 words) 10",97.9,6,exact
