year,paper,db_question_number,db_source_question_ref,extract_source_question_ref,verdict,reason,hand_verdict,calibration,hand_tranche,retag_required,len_ratio,len_ratio_clean,db_len,ul_len,db_mojibake_runs,ul_mojibake_runs,db_markers,ul_markers,nest_score,content_cosine,content_jaccard,content_jaccard_raw,pair_score,best_alt_score,best_alt_local_number,alt_margin,alt_is_pair,db_local_number,extract_local_number,position_delta,worklist_score,worklist_action,db_text,unlockias_text,best_alt_text
2016,GS2,69,GS2-Q11,GS2-Q1,wrong_question,UnlockIAS Q8 of the same paper scores 61.3 against db_text vs 55.0 for the pair (+6.3): the pairing is not the best available match,wrong_question,match,1,,2.124,2.124,113,240,0,0,0,0,61.5,9.5,10.0,10.0,55.0,61.3,8,6.3,false,11,1,-10,61.1,review,Discuss the procedures and utility of the mechanism of Judicial Review in the context of the Indian Constitution.,"To what extent is Article 370 of the Indian Constitution, bearing marginal note “temporary provision with respect to the State of Jammu and Kashmir”, temporary? Discuss the future prospects of this provision in the context of Indian polity.",Exercise of CAG’s powers in relation to the accounts of the Union and the States is derived from Article 149 of the Indian Constitution. Discuss whether the aud
2016,GS2,76,GS2-Q18,GS2-Q19,wrong_question,content cosine 26.2 is at or below the labelled wrong-question ceiling of 38.7: the two texts do not share their subject matter,wrong_question,match,1,,1.314,1.314,102,134,0,0,0,0,59.9,26.2,16.7,16.7,58.8,58.8,19,0.0,true,18,19,1,60.5,review,Analyze the strategic dimensions of India's maritime security architecture in the Indian Ocean Region.,Evaluate the economic and strategic dimensions of India’s Look East Policy in the context of the post-Cold War international scenario.,Evaluate the economic and strategic dimensions of India’s Look East Policy in the context of the post-Cold War international scenario.
2017,GS1,49,GS1-Q10,GS1-Q7,review,content cosine 38.7 lies in the region where the labelled apply and wrong-question populations OVERLAP (30.3 - 38.7): the calibration set no longer supports any cut here,wrong_question,MISMATCH,1,,0.956,0.956,136,130,0,0,0,0,61.5,38.7,19.0,19.0,61.2,61.2,7,0.0,true,10,7,-3,62.7,review,Discuss the various economic and socio-cultural forces that are driving increasing discrimination against the Scheduled Tribes in India.,What are the two major legal initiatives by the State since Independence addressing discrimination against Scheduled Tribes (STs)?,What are the two major legal initiatives by the State since Independence addressing discrimination against Scheduled Tribes (STs)?
2017,GS2,61,GS2-Q2,GS2-Q6,review,content cosine 38.3 lies in the region where the labelled apply and wrong-question populations OVERLAP (30.3 - 38.7): the calibration set no longer supports any cut here,,,,,1.346,1.346,130,175,0,0,1,0,69.0,38.3,29.4,29.4,63.6,63.6,6,0.0,true,2,6,4,71.2,review,Critically examine the Supreme Court's judgement on 'National Anthem' in Context of Article 19(1)(a) of the Constitution of India.,"Critically examine the Supreme Court’s judgement on ‘National Judicial Appointments Commission Act, 2014’ with reference to appointment of judges of higher judiciary in India.","Critically examine the Supreme Court’s judgement on ‘National Judicial Appointments Commission Act, 2014’ with reference to appointment of judges of higher judi"
2017,GS2,66,GS2-Q7,GS2-Q12,apply,"content cosine 60.9 at or above the labelled apply floor of 30.3, length ratio 1.19 at or above the 0.66 floor (the pair is LONGER - it restores text db_text truncated), no enumeration loss, and the pair is the best match in the paper",apply,match,2,,1.186,1.186,140,166,0,0,0,0,77.5,60.9,46.7,46.7,74.9,74.9,12,0.0,true,7,12,5,78.0,review,"Does the Rights of Persons with Disabilities Act, 2016 ensure mechanism for enhanced administrative capacity for their empowerment? Examine.","Does the Rights of Persons with Disabilities Act, 2016 ensure effective mechanism for empowerment and inclusion of the intended beneficiaries in the society? Discuss.","Does the Rights of Persons with Disabilities Act, 2016 ensure effective mechanism for empowerment and inclusion of the intended beneficiaries in the society? Di"
2017,GS2,67,GS2-Q8,GS2-Q14,apply,"content cosine 61.1 at or above the labelled apply floor of 30.3, length ratio 1.44 at or above the 0.66 floor (the pair is LONGER - it restores text db_text truncated), no enumeration loss, and the pair is the best match in the paper",apply,match,2,,1.441,1.441,152,219,0,0,0,0,87.5,61.1,52.4,52.4,85.8,85.8,14,0.0,true,8,14,6,87.7,keep,Hunger and Poverty are the biggest challenges for good governance in India still today. Evaluate how far success is achieved in tracking these problems.,Hunger and poverty are the biggest challenges for good governance in India still today. Evaluate how far successive governments have progressed in dealing with these humongous problems. Suggest measures for improvement.,Hunger and poverty are the biggest challenges for good governance in India still today. Evaluate how far successive governments have progressed in dealing with 
2018,GS1,5,GS1-Q5,GS1-Q19,apply,"content cosine 92.8 at or above the labelled apply floor of 30.3, length ratio 1.16 at or above the 0.66 floor (the pair is LONGER - it restores text db_text truncated), no enumeration loss, and the pair is the best match in the paper",apply,match,1,,1.164,1.164,55,64,0,0,0,0,83.3,92.8,85.7,85.7,87.8,87.8,19,-0.0,true,5,19,14,84.2,review,Why is India taking keen interest in the Arctic region?,Why is India taking keen interest in resources of Arctic Region?,Why is India taking keen interest in resources of Arctic Region?
2019,GS4,71,GS4-Q6a,GS4-A-Q11,sub_part_loss,"no enumeration markers, but the pair is only 39% of db_text's length (below the 0.66 floor) AND sits inside it at nest 76.9 (above the 0.0 gate): a fragment is being taken",,,,,0.388,0.4,134,52,12,0,0,0,76.9,81.7,62.5,62.5,83.1,83.1,17,0.0,true,,17,,87.2,keep,What do each of the following quotations mean to you? Ã¢â¬â Ã¢â¬ÅAn unexamined life is not worth livingÃ¢â¬Â. Ã¢â¬â Socrates,“An unexamined life is not worth living.” – Socrates,“An unexamined life is not worth living.” – Socrates
2019,GS4,72,GS4-Q6b,GS4-A-Q12,sub_part_loss,"no enumeration markers, but the pair is only 50% of db_text's length (below the 0.66 floor) AND sits inside it at nest 81.9 (above the 0.0 gate): a fragment is being taken",,,,,0.503,0.516,165,83,12,0,0,0,81.9,81.2,66.7,66.7,89.7,89.7,18,-0.0,true,,18,,89.3,keep,What do each of the following quotations mean to you? Ã¢â¬â Ã¢â¬ÅA man is but a product of his thoughts. What he thinks he becomes.Ã¢â¬Â Ã¢â¬â M. K. Gandhi,“A man is but a product of his thoughts. What he thinks he becomes.” – M. K. Gandhi,“A man is but a product of his thoughts. What he thinks he becomes.” – M. K. Gandhi
2023,GS4,61,GS4-A-Q1,GS4-A-Q4,sub_part_loss,"db_text carries 2 enumeration markers the pair has none of, and the pair sits inside db_text (nest 97.5): applying it deletes the other part(s)",sub_part_loss,match,1,,0.396,0.396,396,157,0,0,2,0,97.5,63.8,42.1,42.1,83.3,83.3,7,0.0,true,1,7,6,100.0,keep,(a) What do you understand by 'moral integrity' and 'professional efficiency' in the context of corporate governance in India? Illustrate with suitable examples. (Answer in 150 words) 10 (b) 'International aid' is an accepted form of helping 'resource-challenged' nations. Comment on 'ethics in contemporary international aid'. Support your answer with suitable examples. (Answer in 150 words) 10,What do you understand by ‘moral integrity’ and ‘professional efficiency’ in the context of corporate governance in India? Illustrate with suitable examples.,What do you understand by ‘moral integrity’ and ‘professional efficiency’ in the context of corporate governance in India? Illustrate with suitable examples.
2023,GS4,62,GS4-A-Q2,GS4-A-Q6,sub_part_loss,"db_text carries 2 enumeration markers the pair has none of, and the pair sits inside db_text (nest 98.8): applying it deletes the other part(s)",sub_part_loss,match,1,,0.491,0.491,340,167,0,0,2,0,98.8,76.1,60.0,60.0,91.0,91.0,11,-0.0,true,2,11,9,100.0,keep,"(a) ""Corruption is the manifestation of the failure of core values in the society."" In your opinion, what measures can be adopted to uplift the core values in the society? (Answer in 150 words) 10 (b) In the context of work environment, differentiate between 'coercion' and 'undue influence' with suitable examples. (Answer in 150 words) 10","“Corruption is the manifestation of the failure of core values in the society.” In your opinion, what measures can be adopted to uplift the core values in the society?","“Corruption is the manifestation of the failure of core values in the society.” In your opinion, what measures can be adopted to uplift the core values in the s"
2023,GS4,63,GS4-A-Q3,GS4-A-Q11,sub_part_loss,"db_text carries 3 enumeration markers the pair has none of, and the pair sits inside db_text (nest 97.3): applying it deletes the other part(s)",sub_part_loss,match,1,,0.166,0.166,681,113,0,0,3,0,97.3,50.5,25.0,23.9,92.4,95.2,19,2.8,false,3,17,14,100.0,keep,"Given below are three quotations of great thinkers. What do each of these quotations convey to you in the present context? (a) ""The simplest acts of kindness are by far more powerful than a thousand heads bowing in prayer."" - Mahatma Gandhi (Answer in 150 words) 10 (b) ""To awaken the people, it is the women who must be awakened. Once she is on the move, the family moves, the village moves, the nation moves."" - Jawaharlal Nehru (Answer in 150 words) 10 (c) ""Do not hate anybody, because that hatred that comes out from you must, in the long run, come back to you. If you love, that love will come back to you, completing the circle."" - Swami Vivekananda (Answer in 150 words) 10",“The simplest acts of kindness are by far more powerful than a thousand heads bowing in prayer.” — Mahatma Gandhi,"“Do not hate anybody, because that hatred that comes out from you must, in the long run, come back to you. If you love, that love will come back to you, complet"
2023,GS4,64,GS4-A-Q4,GS4-A-Q2,sub_part_loss,"db_text carries 2 enumeration markers the pair has none of, and the pair sits inside db_text (nest 98.6): applying it deletes the other part(s)",sub_part_loss,match,1,,0.671,0.671,417,280,0,0,2,0,98.6,93.1,88.0,84.6,96.9,96.9,3,0.0,true,4,3,-1,100.0,keep,"(a) ""What really matters for success, character, happiness and lifelong achievements is a definite set of emotional skills - your EQ - not just purely cognitive abilities that are measured by conventional IQ tests."" Do you agree with this view? Give reasons in support of your answer. (Answer in 150 words) 10 (b) Differentiate 'moral intuition' from 'moral reasoning' with suitable examples. (Answer in 150 words) 10","“What really matters for success, character, happiness and lifelong achievements is a definite set of emotional skills — your EQ — not just purely cognitive abilities that are measured by conventional IQ tests.” Do you agree with this view? Give reasons in support of your answer.","“What really matters for success, character, happiness and lifelong achievements is a definite set of emotional skills — your EQ — not just purely cognitive abi"
2023,GS4,65,GS4-A-Q5,GS4-A-Q5,sub_part_loss,"db_text carries 2 enumeration markers the pair has none of, and the pair sits inside db_text (nest 99.2): applying it deletes the other part(s)",sub_part_loss,match,1,,0.452,0.452,292,132,0,0,2,0,99.2,82.6,57.9,57.9,93.1,93.1,9,0.0,true,5,9,4,100.0,keep,"(a) Is conscience a more reliable guide when compared to laws, rules and regulations in the context of ethical decision making? Discuss. (Answer in 150 words) 10 (b) 'Probity is essential for an effective system of governance and socio-economic development.' Discuss. (Answer in 150 words) 10","Is conscience a more reliable guide when compared to laws, rules and regulations in the context of ethical decision-making? Discuss.","Is conscience a more reliable guide when compared to laws, rules and regulations in the context of ethical decision-making? Discuss."
2023,GS4,66,GS4-A-Q6,GS4-A-Q1,sub_part_loss,"db_text carries 2 enumeration markers the pair has none of, and the pair sits inside db_text (nest 100.0): applying it deletes the other part(s)",sub_part_loss,match,1,,0.426,0.426,223,95,0,0,2,0,100.0,77.9,53.8,53.8,100.0,100.0,1,0.0,true,6,1,-5,100.0,keep,(a) What were the major teachings of Guru Nanak? Explain their relevance in the contemporary world. (Answer in 150 words) 10 (b) Explain the term social capital. How does it enhance good governance? (Answer in 150 words) 10,What were the major teachings of Guru Nanak? Explain their relevance in the contemporary world.,What were the major teachings of Guru Nanak? Explain their relevance in the contemporary world.
